Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-16253.2	-16268.6	15.4163	0.20907	0.189554	0.176559	0.169884	0.115359	0.0869595	0.153593	0.198046	0.100217	0.162749	0.116531	0.10807	0.0793612	0.130813	0.153581	0.129606	0.168734	0.136522	0.136847	0.104776	0.0782175	0.138233	0.134698	0.039958	0.019393	0.00971305	0.0223101	0.0138984	0.00120111	0.0140909	0.0149898	0.0654714	0.0324606	0.0141331	0.0440916	8.18285e-05	0.00354074	0.00936237	0.0133787	0.0614604	0.000270432	0.000196318	0.0472231	0.275978	0.240619	0.0691646	0.0565925	0.345916	0.0117299	0.241734	0.220109	0.15635	0.381807	3.605207
110	-16260	-16274	13.993	0.242711	0.165499	0.214231	0.175968	0.090496	0.0791107	0.157166	0.22997	0.119555	0.162308	0.1305	0.105973	0.0879004	0.125499	0.115896	0.167314	0.162629	0.135673	0.136847	0.129638	0.0944698	0.143456	0.14095	0.0412979	0.0213244	0.00583955	0.0244259	0.0168097	0.00373665	0.00372185	0.0120522	0.0725584	0.0282374	0.00846668	0.0328807	3.10908e-05	0.013361	0.0100523	0.00883372	0.0890705	0.000593463	0.000311326	0.040169	0.273989	0.241151	0.0697057	0.0567176	0.346681	0.0117558	0.24236	0.220679	0.154164	0.382797	3.74753
120	-16257.7	-16271.5	13.7411	0.233069	0.211818	0.199505	0.1893	0.108664	0.0891711	0.17003	0.197011	0.112373	0.169029	0.134991	0.1331	0.0833049	0.129337	0.11922	0.138911	0.167164	0.119946	0.122135	0.12607	0.0792805	0.155918	0.1629	0.036928	0.0213619	0.00492603	0.0286051	0.0200911	0.0035342	0.016849	0.0109482	0.0580269	0.0327134	0.00647581	0.0424127	4.21488e-05	0.00654257	0.0082642	0.0118658	0.0862794	0.00205751	0.000113488	0.0224408	0.278668	0.245269	0.070896	0.0463334	0.352601	0.00623227	0.24236	0.220679	0.154164	0.382797	3.772728
130	-16254.1	-16268.3	14.2156	0.207269	0.189783	0.184826	0.161073	0.104917	0.0861991	0.131502	0.197011	0.124411	0.169323	0.146492	0.119834	0.0889796	0.123921	0.116268	0.157243	0.167164	0.137967	0.153896	0.128738	0.0792805	0.171972	0.148068	0.0374149	0.0330884	0.000791647	0.0223331	0.0181281	0.00292695	0.014094	0.00728248	0.077489	0.0391304	0.00839315	0.026778	0.000539371	0.00713462	0.0109795	0.00996223	0.0740377	0.00399713	0.000108642	0.0345277	0.279962	0.246408	0.0712251	0.0324152	0.354238	0.0157521	0.213584	0.230056	0.160715	0.395645	3.725275
140	-16256.2	-16270.6	14.3109	0.208633	0.181556	0.197775	0.154894	0.0991019	0.0651946	0.139117	0.232912	0.10857	0.189848	0.144005	0.125059	0.0889796	0.131917	0.126186	0.116592	0.154601	0.142932	0.142412	0.153774	0.0853654	0.150303	0.132017	0.0501538	0.0259766	0.00072628	0.0145739	0.0150427	0.00375342	0.00574883	0.00943374	0.073225	0.0267077	0.00518422	0.0443288	0.00194169	0.0124462	0.0145847	0.0083668	0.0776629	0.00160203	5.95886e-05	0.0524815	0.288104	0.253154	0.0670232	0.0353132	0.343915	0.0124914	0.213584	0.230056	0.160715	0.395645	3.715745
150	-16253.9	-16268.1	14.2528	0.207189	0.167539	0.183661	0.190596	0.108383	0.0778137	0.144784	0.192278	0.100974	0.189848	0.124334	0.132971	0.0780431	0.128161	0.120375	0.14349	0.161979	0.139351	0.12983	0.156454	0.0832803	0.152076	0.166308	0.0573437	0.0251841	0.000511188	0.0183711	0.0206123	0.00290771	0.00411739	0.010231	0.0663181	0.0382501	0.0011512	0.0309135	0.00256269	0.010054	0.0126792	0.00899915	0.0782323	0.000855164	6.34271e-05	0.0524815	0.281047	0.271672	0.0653816	0.0368966	0.335491	0.00951183	0.209564	0.225727	0.157691	0.407019	3.721557
160	-16248.9	-16263.8	14.9279	0.227552	0.182865	0.165765	0.178866	0.118115	0.0784166	0.144784	0.192278	0.115005	0.173674	0.119887	0.103262	0.0952605	0.124454	0.125333	0.160579	0.160542	0.144523	0.159032	0.132428	0.0721181	0.152076	0.144397	0.0489188	0.0185061	0.000660132	0.0181792	0.0126624	0.000969108	0.0103561	0.00879645	0.050655	0.0373258	0.00237029	0.0372004	0.00206157	0.00519716	0.0033351	0.0126018	0.0772359	0.000937457	0.000180249	0.0346847	0.281539	0.272147	0.065496	0.0369612	0.336078	0.00777931	0.224198	0.221548	0.154771	0.399483	3.654046
170	-16254.9	-16269.3	14.3556	0.23238	0.173083	0.196598	0.176956	0.108687	0.0928065	0.129598	0.196697	0.118113	0.17376	0.115196	0.129188	0.0854085	0.126693	0.125827	0.141893	0.171608	0.11482	0.182342	0.149022	0.0664661	0.14797	0.1353	0.0377616	0.0262101	0.00118455	0.0289357	0.0103294	0.000783801	0.0152893	0.00926154	0.059143	0.0487685	0.00371209	0.0419857	0.00107034	0.00367542	0.00396433	0.0103849	0.0764901	0.00180317	0.000659539	0.039446	0.283961	0.274489	0.0660595	0.0270665	0.33897	0.00945438	0.224198	0.221548	0.154771	0.399483	3.711272
180	-16251.1	-16266	14.8647	0.193789	0.178194	0.170913	0.171195	0.12517	0.0795573	0.128517	0.196476	0.13323	0.201568	0.114443	0.106361	0.0810835	0.153593	0.125827	0.129348	0.162311	0.11482	0.152181	0.137253	0.0927618	0.143096	0.16792	0.042965	0.0208118	0.0025238	0.021183	0.00668755	0.00185911	0.00655756	0.00607189	0.068901	0.0407659	0.00573676	0.0316429	0.00104176	0.00462765	0.00715086	0.00800731	0.0664926	0.00157825	0.00127668	0.0548786	0.292632	0.240488	0.0680767	0.0390234	0.349321	0.0104591	0.224198	0.221548	0.154771	0.399483	3.660366
190	-16251.6	-16265.7	14.0376	0.228663	0.185244	0.191388	0.161094	0.0899734	0.0864731	0.160141	0.196476	0.13198	0.19828	0.128405	0.141926	0.109368	0.129095	0.137497	0.126174	0.147506	0.121219	0.148793	0.128776	0.0744776	0.167538	0.148058	0.046602	0.00515968	0.00448648	0.0313085	0.0147929	0.00238401	0.0134504	0.00529053	0.0638371	0.0300949	0.0147145	0.0348791	0.00120569	0.00735397	0.00786775	0.0117851	0.0653536	0.000892588	0.0013495	0.0417222	0.292428	0.24032	0.0680292	0.0390215	0.349077	0.0111239	0.224198	0.221548	0.154771	0.399483	3.743076
200	-16251.1	-16265.9	14.7942	0.209041	0.195672	0.208439	0.185517	0.106302	0.079091	0.135058	0.196476	0.121244	0.198542	0.128545	0.103648	0.0754578	0.110832	0.13557	0.12373	0.138321	0.142894	0.119281	0.157272	0.0794114	0.160766	0.1387	0.0405102	0.0191557	0.00484117	0.0212401	0.00706331	0.00717534	0.0152759	0.0049985	0.0724414	0.0235171	0.00904425	0.0402287	0.00131252	0.00613195	0.00402318	0.0210327	0.0693678	0.000468014	0.0011873	0.0485869	0.28246	0.270903	0.0657104	0.0376914	0.337178	0.00605723	0.228069	0.225517	0.139773	0.406641	3.667413
210	-16250.8	-16264.8	14.0391	0.222696	0.176844	0.181258	0.168279	0.120639	0.0797646	0.124058	0.201639	0.123601	0.203146	0.108665	0.143468	0.0892253	0.124477	0.138491	0.135459	0.147082	0.120459	0.156229	0.171154	0.0747804	0.179736	0.138157	0.0465967	0.0311425	0.0101132	0.0236476	0.00841837	0.00257235	0.0110041	0.00430488	0.0654065	0.034132	0.0155611	0.0317364	0.00206644	0.00687912	0.00647096	0.0110724	0.0569604	0.000266828	0.000295489	0.0449639	0.280368	0.268896	0.0630292	0.0440781	0.33468	0.00894955	0.228069	0.225517	0.139773	0.406641	3.742918
220	-16251.5	-16265.9	14.3677	0.218604	0.197732	0.204001	0.17923	0.116195	0.102251	0.135853	0.199387	0.124929	0.175584	0.110482	0.131114	0.105819	0.11244	0.137097	0.139287	0.139654	0.109138	0.135791	0.153213	0.0811346	0.139038	0.150595	0.053849	0.0252394	0.0061207	0.0131044	0.00846636	0.00715522	0.00789515	0.00556788	0.0640995	0.0304874	0.00446813	0.0306906	0.0001364	0.00919561	0.00334608	0.00667934	0.0769687	0.000550796	0.0057524	0.0517229	0.289311	0.24764	0.0650398	0.0421023	0.345356	0.0105507	0.222964	0.223804	0.14968	0.403552	3.710064
230	-16254.6	-16269.6	14.9305	0.210303	0.196605	0.173828	0.193473	0.0925382	0.0766556	0.119311	0.173507	0.114082	0.168761	0.12397	0.116958	0.0935881	0.133776	0.127136	0.124223	0.153393	0.129083	0.14632	0.147911	0.0833352	0.162629	0.144845	0.0340465	0.016276	0.0120195	0.0257058	0.00492182	0.0102053	0.00429923	0.0192589	0.0634062	0.0437342	0.00777188	0.0476929	0.00031406	0.00350249	0.0103205	0.0102848	0.0833363	0.00125488	0.00412848	0.0450723	0.288808	0.247209	0.0649267	0.0489626	0.335153	0.0149402	0.224371	0.235602	0.146107	0.39392	3.653782
240	-16257.1	-16270.1	13.0452	0.194092	0.176423	0.182947	0.180115	0.109936	0.101734	0.132282	0.214229	0.149603	0.17803	0.121934	0.107953	0.090349	0.13976	0.127771	0.144253	0.165776	0.157807	0.142746	0.128839	0.0882891	0.163168	0.181493	0.0529237	0.0245167	0.0166223	0.0317611	0.0173547	0.00108882	0.00753176	0.00783781	0.0619709	0.0370884	0.013282	0.0240285	0.00122196	0.00553983	0.0108191	0.00661675	0.0784665	0.00221584	0.00310852	0.0587853	0.287945	0.246471	0.0647328	0.0488163	0.337139	0.0148955	0.223587	0.23584	0.146255	0.394318	3.84231
250	-16249.7	-16264.6	14.91	0.209898	0.202307	0.164419	0.181578	0.0936848	0.0919193	0.127782	0.210011	0.107494	0.170438	0.133461	0.121604	0.092095	0.128729	0.126414	0.132487	0.170174	0.127749	0.125496	0.137453	0.0817725	0.152061	0.168006	0.0491184	0.0130892	0.0129497	0.0221396	0.0069599	0.00163738	0.00467471	0.00412866	0.0519786	0.0361721	0.012082	0.0316401	0.000987013	0.00441739	0.00957777	0.0117892	0.0771796	0.0049925	0.00143863	0.0418499	0.288901	0.247289	0.0649476	0.0540125	0.338258	0.00659224	0.218714	0.2307	0.143068	0.407518	3.655832
260	-16252	-16266.3	14.3241	0.209898	0.173308	0.213745	0.141614	0.121161	0.0918232	0.147471	0.201725	0.124822	0.159794	0.124144	0.121604	0.0904544	0.116535	0.129026	0.169723	0.161301	0.131042	0.175064	0.142876	0.0798895	0.151399	0.142791	0.0345668	0.0251549	0.0073166	0.0185489	0.0202097	0.000577929	0.0146859	0.00825337	0.0455702	0.0314964	0.00949104	0.0330174	0.00114691	0.00747732	0.009826	0.00424132	0.0698843	0.00130191	0.00440235	0.0460471	0.296327	0.253645	0.066617	0.0507442	0.323954	0.00871302	0.218714	0.2307	0.143068	0.407518	3.714427
270	-16252.7	-16267.7	15.0289	0.224155	0.167318	0.191006	0.185166	0.126611	0.070185	0.148244	0.180385	0.114649	0.186378	0.125988	0.122719	0.0933323	0.121674	0.126952	0.129407	0.128331	0.126836	0.124831	0.128432	0.0753214	0.134169	0.17071	0.05162	0.0207352	0.0110915	0.0214903	0.0169072	0.00334952	0.00709717	0.0113354	0.0706061	0.0511093	0.00324162	0.0327351	0.00131907	0.00386962	0.00649562	0.0174366	0.0694949	0.00101356	0.00102769	0.0391661	0.293347	0.262889	0.0700088	0.0464587	0.320696	0.00660024	0.214162	0.239889	0.144558	0.401391	3.643944
280	-16247.8	-16261	13.2044	0.207034	0.164687	0.196087	0.179865	0.13211	0.0991387	0.135507	0.204273	0.14001	0.193468	0.134378	0.15157	0.0817429	0.121191	0.128517	0.158222	0.163788	0.149904	0.127183	0.154717	0.0813164	0.166423	0.139452	0.0367376	0.0250894	0.00910325	0.0150297	0.00726217	0.00135491	0.00822937	0.00623083	0.0726038	0.0266926	0.0137685	0.0346791	0.000574789	0.00486346	0.00698208	0.0136613	0.0881261	0.00136465	8.78113e-05	0.0433698	0.28655	0.256798	0.0683867	0.0453822	0.335512	0.00737151	0.220157	0.236218	0.148377	0.395248	3.826397
290	-16254.3	-16267.7	13.4769	0.191192	0.175256	0.19231	0.186177	0.104479	0.106531	0.143017	0.207431	0.127045	0.223184	0.136707	0.107904	0.105137	0.137674	0.119968	0.149097	0.178393	0.125223	0.146758	0.155956	0.0912467	0.124744	0.139452	0.0455822	0.00769889	0.00739331	0.0268991	0.00564512	0.00417958	0.0078036	0.00804743	0.062461	0.0358908	0.00890731	0.0506756	0.000910561	0.00526225	0.0115464	0.0100223	0.0808009	0.000701185	0.00100025	0.0428255	0.286889	0.257102	0.0684677	0.0455566	0.335909	0.00607561	0.220157	0.236218	0.148377	0.395248	3.79914
300	-16244.6	-16259	14.4402	0.192796	0.175256	0.196842	0.147623	0.113806	0.0893211	0.1393	0.189688	0.114988	0.165343	0.130125	0.125898	0.084287	0.108041	0.137016	0.143903	0.178393	0.140702	0.162491	0.122331	0.0760539	0.152864	0.16384	0.0446849	0.020586	0.00649661	0.023159	0.0126771	0.00672819	0.0119886	0.00723206	0.0650232	0.0290992	0.014011	0.0511335	0.00154666	0.01186	0.00707185	0.00708781	0.0833483	0.000507234	0.000214061	0.0474448	0.277284	0.274087	0.0722516	0.0440313	0.324663	0.00768323	0.220836	0.23386	0.148835	0.396469	3.702809
