Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-16860.2	-16862.4	2.17339	0.142817	0.200309	0.212074	0.167882	0.189197	0.193008	0.151724	0.226784	0.160998	0.175494	0.134007	0.0956642	0.114928	0.129484	0.136178	0.186745	0.182151	0.164354	0.189035	0.177835	0.134278	0.117661	0.175423	0.0203768	0.0475198	0.0182335	0.0310474	0.00908583	0.0190899	0.00628558	0.0395967	0.0122057	0.079831	0.00150665	0.00414132	0.0227918	0.0235318	0.0128484	0.00184874	0.0199102	0.0505877	0.0347992	0.00756999	2.55775	0.295108	0.302343	0.0854696	0.317079	4.22084
11	1	-16902.5	-16903.7	1.21563	0.170778	0.184436	0.15716	0.194361	0.18305	0.162397	0.242756	0.163183	0.187198	0.140878	0.191569	0.131244	0.155552	0.150485	0.116171	0.136839	0.148749	0.227418	0.167563	0.218665	0.11945	0.151762	0.247191	0.00981254	0.0140115	0.0115292	0.0205149	0.00999475	0.0135382	0.0326993	0.0205932	0.00193148	0.00434308	0.0453554	0.00827686	0.0207229	0.0318127	0.00700903	0.00251241	0.0152187	0.0702439	0.0115153	0.0054347	2.700673	0.261903	0.329206	0.0882092	0.320682	4.305925
12	0	-16857.7	-16859.6	1.8395	0.2143	0.175913	0.158435	0.161581	0.192649	0.179969	0.187007	0.226784	0.162822	0.171746	0.130395	0.13736	0.0717429	0.145231	0.14018	0.124376	0.170572	0.159429	0.18027	0.188555	0.133186	0.144389	0.209367	0.0204662	0.0439835	0.0162174	0.01348	0.0109508	0.0251199	0.0056616	0.0425384	0.0147968	0.0732202	0.00590055	0.00618717	0.0220144	0.0358958	0.00464862	0.000642638	0.0126237	0.081139	0.0184346	0.010743	2.874268	0.294348	0.301564	0.087826	0.316262	4.230924
13	1	-16901.1	-16900.8	-0.376061	0.173678	0.195268	0.173942	0.192805	0.214462	0.159514	0.260336	0.197114	0.215778	0.139448	0.166001	0.117349	0.148985	0.109864	0.140563	0.147631	0.198216	0.220397	0.175279	0.219956	0.139973	0.173623	0.190434	0.0115316	0.0224238	0.0225937	0.00898729	0.0117106	0.0158755	0.0474841	0.0197862	0.00676551	0.00716003	0.0690928	0.0139654	0.0178438	0.025727	0.00773776	0.00375557	0.00747594	0.0503545	0.0140629	0.0101446	2.700673	0.258296	0.324673	0.0869945	0.330036	4.465094
14	0	-16850.3	-16851.3	0.966215	0.173379	0.194811	0.194478	0.155802	0.166991	0.226025	0.170502	0.226784	0.191064	0.190577	0.130395	0.0961063	0.131332	0.157041	0.158624	0.145637	0.19472	0.125701	0.151999	0.184098	0.16417	0.14174	0.19841	0.00764833	0.0432594	0.0178023	0.0128099	0.0213137	0.0176274	0.00102	0.0393991	0.0210892	0.0572725	0.00415896	0.00165916	0.0238556	0.0317898	0.0151645	0.000529156	0.0190484	0.0727904	0.036872	0.00879389	2.790506	0.294348	0.301564	0.087826	0.316262	4.32429
15	1	-16909.8	-16909.9	0.0685625	0.142948	0.207255	0.156708	0.171463	0.221955	0.17542	0.269209	0.176454	0.241453	0.151106	0.166001	0.144509	0.161663	0.118576	0.136185	0.160316	0.198216	0.210678	0.154559	0.184203	0.133888	0.204909	0.207779	0.00812826	0.0113569	0.0227605	0.00640491	0.00884373	0.00873871	0.0632768	0.0123407	0.00237372	0.00236516	0.0411834	0.00769846	0.0315269	0.0208809	0.0098812	0.00717648	0.013451	0.0416924	0.00878934	0.00333237	2.60635	0.255636	0.321329	0.096399	0.326637	4.427655
16	0	-16854.7	-16856.4	1.68132	0.198876	0.188042	0.168522	0.189934	0.216096	0.202804	0.163423	0.222248	0.150881	0.136891	0.115085	0.0960745	0.0977366	0.142918	0.156053	0.164277	0.186474	0.153015	0.197559	0.164319	0.134416	0.137111	0.19841	0.0127856	0.0518692	0.0297318	0.0265318	0.0120661	0.0109209	0.00118499	0.0367435	0.0138712	0.0847741	0.00184705	0.0027848	0.0224342	0.0352844	0.00917141	0.000195883	0.0103172	0.0750496	0.0260599	0.00799155	2.790506	0.293905	0.30111	0.0891997	0.315786	4.252779
17	1	-16897.5	-16899.5	1.98945	0.150432	0.196415	0.146799	0.227902	0.198011	0.13568	0.281975	0.170819	0.171173	0.15	0.160363	0.120747	0.12025	0.140768	0.115525	0.138222	0.164876	0.181972	0.203141	0.211317	0.131181	0.165914	0.19576	0.00485468	0.0182412	0.0221767	0.0101723	0.00566759	0.00614166	0.0395481	0.00813675	0.0079155	0.00371132	0.0515246	0.014229	0.0294287	0.0204711	0.0198471	0.00289589	0.0126785	0.0627709	0.0131267	0.00278617	2.60635	0.27252	0.288064	0.100132	0.339285	4.235566
18	0	-16853.1	-16854.5	1.37824	0.217518	0.196414	0.168522	0.16759	0.167535	0.202804	0.16975	0.226054	0.141198	0.172098	0.11693	0.106709	0.115297	0.149726	0.164287	0.151423	0.186474	0.206241	0.154511	0.150577	0.154006	0.137111	0.167772	0.0205393	0.0477376	0.0175053	0.0163735	0.0179876	0.0202482	0.00107689	0.0432042	0.00806734	0.0911817	0.000927491	0.00036256	0.0235644	0.0292153	0.0131909	0.000451499	0.010489	0.0731	0.0432489	0.014921	2.778777	0.293905	0.30111	0.0891997	0.315786	4.28394
19	1	-16896.8	-16899	2.17919	0.180113	0.155383	0.149648	0.221826	0.193342	0.152919	0.214281	0.170819	0.193445	0.155533	0.175471	0.120065	0.122737	0.126921	0.115525	0.138222	0.188946	0.187586	0.161678	0.229322	0.159172	0.139248	0.17624	0.016748	0.0270552	0.0132746	0.00935978	0.00955232	0.0101947	0.0487551	0.0171313	0.0117313	0.00721405	0.036931	0.0107592	0.0384383	0.0245353	0.0112041	0.00392857	0.0112414	0.0682447	0.00385949	0.00799377	2.60635	0.276541	0.292314	0.0868548	0.344291	4.216593
20	0	-16854.8	-16857	2.14867	0.168001	0.218056	0.192443	0.144315	0.169368	0.215272	0.157772	0.226379	0.173519	0.17708	0.115364	0.104794	0.100229	0.140332	0.144633	0.148095	0.21763	0.159661	0.172402	0.139029	0.144024	0.16126	0.167772	0.0254476	0.0396528	0.00875003	0.0146718	0.0165245	0.0291963	0.00107687	0.0589723	0.00323258	0.0718418	0.00132699	0.000398766	0.0142163	0.0364796	0.0146259	0.000236881	0.0220247	0.0527852	0.0257053	0.0123013	2.778777	0.295296	0.301779	0.0856449	0.31728	4.206897
21	1	-16896.8	-16898.3	1.43808	0.144381	0.19711	0.163453	0.221826	0.222584	0.150301	0.268833	0.180745	0.206215	0.12661	0.14097	0.110146	0.117972	0.120856	0.122648	0.138216	0.171172	0.206866	0.19932	0.192729	0.139382	0.149832	0.199353	0.0106022	0.018686	0.0207877	0.026664	0.00470178	0.00645934	0.0454345	0.0266142	0.0113988	0.00595357	0.0451672	0.00413731	0.0217294	0.0239915	0.0150798	0.00130162	0.0144919	0.0616493	0.0108748	0.0074677	2.82351	0.268639	0.295371	0.0878307	0.348159	4.274714
