Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
10	0	-14489.1	-14455.6	-33.4652	0.9729964	0.233189	0.318955	0.219795	0.424339	0.412106	0.36357	0.395656	0.393529	0.495446	0.254939	0.141994	0.185207	0.260698	0.096047	0.256046	0.258303	0.251571	0.213115	0.220776	0.173578	0.187512	0.158975	0.318927	0.0553843	0.00314644	0.0117529	0.0917507	0.00212356	0.00728598	0.00104343	0.0103816	0.0276336	0.00919142	0.0363619	0.126044	0.00311024	0.00773979	0.0105513	0.00211296	0.00153955	0.00303185	0.00252393	0.00430304	0.169263	0.399118	0.0609776	0.0080475	0.362593	7.86443e-07	0.131535	0.468482	0.995377	2.40461	0.243373	0.392031	0.0941395	0.270456	0.4113784	6.651285
11	1	-14426.9	-14359.5	-67.3639	0.7373106	0.636364	0.558765	0.563886	0.547367	0.482429	0.189293	0.703034	0.743378	0.320851	0.412962	0.301598	0.342956	0.279407	0.267914	0.370889	0.344215	0.307846	0.310752	0.388928	0.288307	0.2279	0.266305	0.520361	0.0155313	0.00862621	0.0466336	0.00524642	0.0175039	0.309434	0.0109282	0.00585797	0.0498966	0.00176232	0.0234329	0.0318937	0.0011051	0.0314234	0.0162511	0.016231	0.0143823	0.0069808	0.000518792	0.0518045	0.100396	0.430697	0.0415009	0.01429	0.39924	0.013877	0.082169	0.380615	0.937947	2.59927	0.275457	0.38928	0.0680239	0.26724	0.4195867	10.04115
12	0	-14459.8	-14414	-45.8704	0.960668	0.295335	0.511181	0.283993	0.468111	0.407568	0.424417	0.496898	0.496328	0.448499	0.322983	0.164868	0.185207	0.26643	0.161555	0.285101	0.272434	0.293168	0.239865	0.309549	0.181718	0.193947	0.181972	0.423921	0.0482401	0.00430027	0.0111603	0.0683316	0.00428024	0.0127092	0.00165269	0.0174531	0.0603161	0.00752158	0.0515329	0.211153	0.0103796	0.0336454	0.0125315	0.000339827	0.00214566	0.00622917	0.00796401	0.0048711	0.150261	0.337334	0.0506235	0.00453569	0.457244	1.05339e-06	0.129041	0.464602	0.993164	2.41319	0.275351	0.359323	0.0943281	0.270998	0.4113784	7.891806
13	1	-14410.9	-14342.4	-68.5134	0.6643052	0.631813	0.522037	0.573454	0.555054	0.613748	0.214827	0.687943	0.621618	0.383202	0.425393	0.292865	0.367295	0.346268	0.339251	0.338419	0.314762	0.358308	0.300554	0.389572	0.275002	0.236183	0.294126	0.439539	0.0197513	0.00478832	0.0488724	0.0100879	0.00572562	0.381106	0.0141498	0.00443107	0.0195411	0.00229912	0.00991302	0.0109668	0.000597129	0.0157536	0.0358746	0.0155992	0.019857	0.00588744	0.00145488	0.00822132	0.0798561	0.437262	0.0436878	0.0308876	0.373261	0.0350456	0.0665863	0.34619	0.910887	2.67634	0.285042	0.38422	0.0669706	0.263767	0.3663714	10.15611
14	0	-14453.2	-14399.5	-53.653	0.856142	0.377289	0.379016	0.328083	0.490566	0.50648	0.505606	0.477312	0.639461	0.3869	0.492621	0.239364	0.232598	0.26643	0.141229	0.300996	0.338188	0.294416	0.301754	0.316261	0.260335	0.259119	0.201132	0.358116	0.0390525	0.00397885	0.0130281	0.0979855	0.00132722	0.0264116	0.0021883	0.0116023	0.0441031	0.0317049	0.0298023	0.209316	0.00431402	0.0265805	0.017566	0.000837619	0.00292809	0.00304766	0.00952694	0.00149161	0.12165	0.278867	0.0517065	0.0201177	0.527658	3.70371e-07	0.107437	0.428792	0.971375	2.4924	0.277293	0.361858	0.0879393	0.27291	0.3805665	8.670066
15	1	-14405.5	-14337.8	-67.6944	0.5813051	0.667803	0.578085	0.681008	0.555054	0.554948	0.176806	0.619547	0.632706	0.241572	0.410634	0.292937	0.306277	0.276355	0.273528	0.404737	0.366239	0.31083	0.350697	0.357556	0.278919	0.291173	0.295841	0.44598	0.0345995	0.00806486	0.0194005	0.015065	0.0164489	0.391724	0.0234424	0.000889226	0.0253339	0.00267848	0.0249808	0.0132725	0.000548308	0.0276728	0.0397255	0.00547205	0.0136828	0.0254197	0.00219421	0.0143604	0.0744233	0.407514	0.0407156	0.0360616	0.399393	0.0418927	0.0492765	0.301719	0.871473	2.77753	0.346528	0.355236	0.0603896	0.237847	0.3810899	10.07421
16	0	-14447.5	-14375	-72.4782	0.6065289	0.359905	0.503821	0.268466	0.567468	0.620648	0.549724	0.711916	0.648772	0.815517	0.486955	0.239364	0.296761	0.309824	0.241231	0.347561	0.406104	0.334298	0.327259	0.325717	0.37952	0.250217	0.242608	0.489842	0.0400962	0.00679119	0.0255561	0.111827	0.00376542	0.0258966	0.00545346	0.0240079	0.0553986	0.0401981	0.0598801	0.338645	0.00218001	0.00140304	0.0448261	0.000722742	0.00409843	0.00884436	0.024095	0.00540275	0.0927283	0.26753	0.0496043	0.0251301	0.565007	5.17079e-07	0.0544574	0.315882	0.884614	2.74505	0.270899	0.379561	0.0829229	0.266617	0.3805665	10.55259
17	1	-14391.4	-14322.2	-69.1741	0.6307811	0.609433	0.517636	0.59454	0.54341	0.523773	0.195423	0.743624	0.639015	0.315933	0.444172	0.321174	0.250597	0.308983	0.329774	0.451984	0.389231	0.406308	0.301856	0.369294	0.319003	0.289498	0.275966	0.44244	0.00945502	0.0363736	0.0292608	0.0210591	0.00753698	0.359548	0.00820007	0.00222269	0.0258507	0.00190593	0.00673338	0.0206898	0.000569696	0.00631471	0.0226785	0.00349084	0.0123203	0.0155446	0.00465724	0.0446904	0.0663383	0.422703	0.0366311	0.0177705	0.414279	0.0422786	0.0595123	0.328956	0.896245	2.71529	0.337546	0.371948	0.0588243	0.231682	0.3810899	10.22217
18	0	-14417.8	-14347.1	-70.7025	0.7414948	0.354081	0.64134	0.337178	0.497919	0.650445	0.587603	0.597816	0.723985	0.718023	0.403332	0.283958	0.271772	0.402877	0.256206	0.367402	0.350964	0.376125	0.266463	0.313262	0.269846	0.170172	0.197724	0.489842	0.0330495	0.00604398	0.0250039	0.122103	0.0134772	0.0345347	0.00136983	0.0169491	0.0744926	0.0381753	0.0499294	0.378501	0.00153579	0.00396475	0.0129833	0.000526079	0.00202711	0.00691002	0.0160522	0.00904524	0.0922452	0.266136	0.0493459	0.0302094	0.562063	5.74295e-07	0.0830645	0.382468	0.939325	2.59514	0.339937	0.34362	0.075071	0.241371	0.4028285	10.37501
19	1	-14386.5	-14311.4	-75.1254	0.5139499	0.802396	0.480282	0.59454	0.586959	0.566295	0.223654	0.743624	0.709249	0.348659	0.360686	0.291199	0.366925	0.335952	0.324225	0.399978	0.461929	0.434214	0.347896	0.412427	0.29778	0.235941	0.267819	0.592003	0.0196908	0.0304342	0.00916154	0.0314971	0.00634091	0.38457	0.00340595	0.00134782	0.0191025	0.00206737	0.00381195	0.00764642	0.00137435	0.0216715	0.0141245	0.00499817	0.0119789	0.0127426	0.0038773	0.0428259	0.0572893	0.378566	0.0316344	0.0489945	0.432557	0.0509586	0.0360015	0.260925	0.830159	2.87291	0.3302	0.368612	0.0600466	0.241141	0.3810899	10.8173
