Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-17203.9	-17211.1	7.17362	0.189331	0.15818	0.186257	0.186465	0.149824	0.17764	0.229193	0.182476	0.189632	0.138355	0.132549	0.111348	0.11344	0.121375	0.148643	0.109537	0.124663	0.151481	0.222881	0.0960205	0.114496	0.130686	0.211359	0.0243736	0.00889015	0.0532848	0.0269595	0.00155315	0.0264672	0.00609995	0.000708177	0.0144853	0.0278643	0.0329763	0.0293999	0.0062107	0.00441253	0.0261791	0.00666235	0.017401	0.0246041	0.0199803	0.016377	0.221697	0.322958	0.0878745	0.36747	3.950721
110	-17207.9	-17213.2	5.32387	0.189256	0.15818	0.207056	0.202607	0.191186	0.216069	0.21421	0.195646	0.195464	0.179551	0.152544	0.138583	0.114047	0.132112	0.13867	0.109924	0.11307	0.146108	0.167516	0.104016	0.112534	0.142567	0.211359	0.0503392	0.0148336	0.0509026	0.0297741	0.00274845	0.026786	0.00352562	0.00148027	0.0220176	0.0356491	0.0277027	0.0322584	0.0120789	0.00388351	0.0206284	0.0213078	0.0115675	0.00837818	0.0113293	0.0162339	0.221697	0.322958	0.0878745	0.36747	4.135697
120	-17202.8	-17209.5	6.76662	0.235597	0.146089	0.161041	0.173841	0.16201	0.156459	0.203288	0.161378	0.201174	0.149278	0.154807	0.119458	0.114047	0.135788	0.138632	0.161923	0.138284	0.162146	0.216684	0.0785594	0.139164	0.120006	0.187042	0.0367403	0.011335	0.075871	0.0186614	0.00107414	0.0281006	0.00278004	0.0131345	0.0117366	0.0512489	0.0130345	0.0225355	0.00965257	0.00267033	0.0141442	0.0108712	0.00787828	0.0179254	0.00779935	0.0175312	0.221697	0.322958	0.0878745	0.36747	3.991422
130	-17190.7	-17196.6	5.90314	0.215954	0.17173	0.179872	0.214168	0.139474	0.178734	0.209266	0.17038	0.213484	0.150725	0.122022	0.151368	0.114047	0.130397	0.164729	0.130675	0.138517	0.167549	0.168776	0.0905611	0.139164	0.120006	0.187042	0.0401261	0.0115575	0.0668297	0.013103	0.000636434	0.027252	0.0025611	0.0180549	0.0164605	0.0491061	0.0150776	0.0387426	0.0100831	0.00652781	0.0160854	0.0185665	0.0107732	0.0212376	0.0111689	0.0151794	0.221697	0.322958	0.0878745	0.36747	4.07777
140	-17192.8	-17199.4	6.54644	0.214318	0.146704	0.201107	0.215619	0.134373	0.182024	0.209266	0.184295	0.232803	0.150951	0.133642	0.117444	0.118408	0.108625	0.157029	0.156565	0.130521	0.143331	0.168776	0.102872	0.139164	0.115017	0.165876	0.0290269	0.011216	0.0597301	0.0166334	0.00122939	0.0192354	0.0027399	0.0130994	0.0185299	0.0294303	0.0156169	0.0425468	0.0155658	0.00785742	0.0192641	0.0177653	0.00473422	0.023588	0.021151	0.015747	0.220321	0.320953	0.0935354	0.36519	4.01344
150	-17210.6	-17217	6.42554	0.210121	0.164065	0.194726	0.214888	0.187024	0.160184	0.214911	0.183342	0.206746	0.137061	0.139875	0.127749	0.109204	0.0847063	0.156073	0.130908	0.131511	0.169517	0.168776	0.0818589	0.139164	0.113341	0.166078	0.0360262	0.0162231	0.0719127	0.0117112	0.00954115	0.0403093	0.00350801	0.00880481	0.0144023	0.022474	0.0171902	0.0242695	0.0159279	0.0141868	0.0285824	0.0176325	0.00345819	0.0247415	0.00607433	0.0467243	0.225244	0.328124	0.095625	0.351008	4.02553
160	-17205.4	-17210.8	5.38778	0.210121	0.170621	0.181018	0.202479	0.168811	0.165382	0.229546	0.227202	0.225335	0.135493	0.155945	0.14009	0.110277	0.0995697	0.141666	0.115512	0.114232	0.143336	0.196501	0.0990729	0.122065	0.126593	0.191756	0.0569289	0.0114438	0.0555468	0.0192138	0.0111691	0.0259186	0.00311695	0.0163297	0.0152581	0.0402106	0.0151257	0.0304126	0.0126797	0.00691915	0.0371759	0.0199137	0.00281682	0.0219148	0.00509166	0.0494954	0.228839	0.314321	0.0978104	0.35903	4.129306
170	-17199.1	-17205.9	6.80546	0.172103	0.150311	0.177332	0.219677	0.142574	0.162413	0.19886	0.179321	0.23782	0.162844	0.158322	0.119063	0.100203	0.120555	0.129948	0.138284	0.134801	0.158435	0.182638	0.0911095	0.122682	0.112694	0.204372	0.0298161	0.0112894	0.0495909	0.0148601	0.00430788	0.0346456	0.00211927	0.0156711	0.0153633	0.0331952	0.0258425	0.0368084	0.0145059	0.00375676	0.0322329	0.00852374	0.000976521	0.0242264	0.0257661	0.0276816	0.229452	0.315163	0.0953932	0.359992	3.987538
180	-17200.6	-17206.1	5.52029	0.191583	0.186708	0.184508	0.210508	0.17682	0.206007	0.198603	0.179321	0.234138	0.162844	0.143544	0.127283	0.12551	0.109957	0.157169	0.150425	0.118489	0.14173	0.175928	0.0825017	0.135079	0.139136	0.184761	0.0422764	0.00417488	0.0556003	0.0234581	0.0054264	0.0367244	0.00551326	0.0033676	0.0233608	0.0309965	0.0203824	0.0215798	0.0211293	0.0038877	0.026665	0.0102634	0.000356011	0.0194455	0.0129771	0.0259151	0.236657	0.313369	0.0942597	0.355714	4.116055
190	-17200.8	-17207.1	6.28968	0.211805	0.168849	0.167296	0.179497	0.14232	0.144709	0.237329	0.215119	0.218999	0.147265	0.138727	0.149917	0.113244	0.109957	0.16761	0.13643	0.118558	0.160414	0.184615	0.0846307	0.126193	0.145886	0.183237	0.0310829	0.00300576	0.0754158	0.0298958	0.00326618	0.0320339	0.0103691	0.00452695	0.0119291	0.0319798	0.011507	0.0276963	0.0119021	0.00544763	0.0252894	0.0161007	0.000318419	0.0300756	0.0146121	0.0100555	0.236657	0.313369	0.0942597	0.355714	4.039116
