Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-16363.9	-16375.8	11.8982	0.253206	0.175526	0.226528	0.189698	0.168449	0.168493	0.115419	0.0714026	0.178929	0.158983	0.138791	0.145067	0.136476	0.138467	0.134001	0.118612	0.18677	0.140196	0.126318	0.17349	0.125412	0.0904178	0.162138	0.0660259	0.00853368	0.00186832	0.0273142	0.0388824	0.00274407	0.112197	0.0111723	0.00770917	0.0191641	0.00490862	0.00866813	0.00639575	0.0280184	0.00564465	0.00756201	0.0169299	0.0072116	0.00147369	0.0517942	0.269522	0.330546	0.0636447	0.0493259	0.279202	0.00775929	0.217685	0.261585	0.107127	0.413604	3.95701
11	1	-16330	-16344	14.0127	0.224973	0.182931	0.18747	0.155052	0.0965617	0.108144	0.148404	0.16433	0.117641	0.173019	0.120914	0.128248	0.0974583	0.101382	0.125734	0.135911	0.188642	0.153885	0.156195	0.121933	0.0866784	0.152949	0.170617	0.036028	0.0251528	0.0136195	0.0288253	0.0149753	0.00567549	0.0139688	0.00592708	0.0532692	0.0356325	0.0185098	0.0357313	0.000629228	0.0156508	0.012255	0.0090702	0.0641795	0.0064384	0.00435904	0.0465945	0.279711	0.280283	0.0701002	8.14197e-05	0.350596	0.0192285	0.231221	0.225389	0.159386	0.384004	3.745564
12	0	-16362.5	-16373.7	11.1933	0.251226	0.208722	0.207115	0.197078	0.150147	0.170534	0.115419	0.101711	0.18379	0.14905	0.117064	0.124387	0.163839	0.135419	0.143311	0.150469	0.183519	0.152224	0.139797	0.152145	0.11043	0.0876044	0.169515	0.0777031	0.0089751	0.000947251	0.0329932	0.0379465	0.00448694	0.0904705	0.0210665	0.00770917	0.0294281	0.00534755	0.00709671	0.00198071	0.037576	0.012171	0.00490514	0.0335395	0.00704209	0.000921891	0.0406811	0.251794	0.333373	0.0664329	0.0514868	0.291434	0.00547931	0.217685	0.261585	0.107127	0.413604	4.027503
13	1	-16328.5	-16342.7	14.1406	0.198833	0.182931	0.206324	0.155052	0.0912762	0.103904	0.149196	0.214938	0.123073	0.184844	0.121998	0.101337	0.104587	0.0969852	0.126724	0.135911	0.172227	0.131502	0.159111	0.132474	0.0892675	0.151594	0.134745	0.0530224	0.0231438	0.0180379	0.0228511	0.00220974	0.00575033	0.0131506	0.0105878	0.0559183	0.0319291	0.00666131	0.0455947	8.60853e-05	0.00853322	0.0108877	0.0124672	0.0754504	0.00814086	0.00369352	0.0558192	0.278855	0.279425	0.0698857	2.61406e-05	0.349523	0.0222848	0.231628	0.221764	0.161928	0.38468	3.732769
14	0	-16367	-16380.6	13.6057	0.209762	0.167861	0.166363	0.186113	0.133189	0.170534	0.115419	0.0790842	0.152952	0.147393	0.104394	0.119597	0.122908	0.135906	0.148371	0.149401	0.13326	0.159027	0.149382	0.164833	0.12289	0.0758763	0.198551	0.0824192	0.0202884	0.00103684	0.0237713	0.0312012	0.00492845	0.12006	0.0068359	0.00908956	0.0109389	0.00742725	0.0085556	0.00850162	0.0344713	0.0107545	0.00278009	0.048172	0.00366528	0.000793798	0.0375045	0.265724	0.325562	0.0648764	0.0502805	0.284606	0.00895072	0.201677	0.259119	0.110927	0.428276	3.786262
15	1	-16301.3	-16314.8	13.4722	0.229105	0.189403	0.173202	0.175697	0.108162	0.087272	0.134571	0.224514	0.129544	0.208634	0.116177	0.127781	0.0834345	0.121037	0.131459	0.132634	0.167384	0.14963	0.102893	0.137385	0.0912834	0.168267	0.151851	0.0556187	0.0293727	0.00648349	0.0308316	0.00933848	0.0017512	0.00620605	0.0138658	0.0651571	0.0330685	0.00926518	0.0486391	0.000110615	0.0143711	0.0149047	0.0059876	0.0682248	0.00483062	0.00350737	0.0367598	0.279245	0.279816	0.0699833	0.00548608	0.350011	0.0154593	0.231628	0.221764	0.161928	0.38468	3.799615
16	0	-16354.6	-16367.7	13.1202	0.211072	0.18476	0.197907	0.16491	0.159234	0.171511	0.115104	0.113654	0.179118	0.137595	0.0975553	0.152735	0.127431	0.145509	0.148371	0.125193	0.151594	0.156747	0.126921	0.183656	0.12289	0.0935114	0.155324	0.070303	0.0123109	0.00119802	0.0206072	0.0349544	0.00488213	0.103585	0.00996467	0.0081937	0.0111167	0.00801981	0.00478044	0.00971039	0.0277597	0.010361	0.00143924	0.0388531	0.00326842	0.00145987	0.0297443	0.266959	0.325663	0.0718402	0.0388942	0.285928	0.0107151	0.201677	0.259119	0.110927	0.428276	3.834815
17	1	-16264.7	-16280.2	15.5435	0.190794	0.19211	0.164016	0.16382	0.105793	0.0907211	0.135856	0.197726	0.139888	0.179823	0.116656	0.120963	0.0759326	0.146585	0.109732	0.136227	0.135843	0.125946	0.138788	0.135767	0.0898214	0.136637	0.127023	0.0428936	0.0211084	0.0108313	0.0255192	0.00957493	0.000814644	0.0104535	0.0131944	0.0678586	0.0418348	0.00681505	0.0357535	4.25146e-05	0.00790905	0.0134564	0.0187478	0.0679277	0.00201123	0.00167353	0.0375967	0.295346	0.221596	0.0740186	0.024147	0.370193	0.0146999	0.231628	0.221764	0.161928	0.38468	3.592484
18	0	-16356.4	-16368.7	12.3739	0.223915	0.175507	0.21473	0.156963	0.159234	0.18355	0.117808	0.0783943	0.16819	0.153528	0.127564	0.13642	0.13372	0.145509	0.165088	0.15333	0.149558	0.145834	0.134931	0.168772	0.133854	0.0979935	0.179717	0.0822506	0.0103521	0.0019307	0.0150286	0.016273	0.00391817	0.102978	0.0158545	0.00736669	0.0111645	0.00765823	0.00417975	0.012066	0.0260714	0.0216048	0.00136423	0.0330083	0.000877839	0.00216282	0.02922	0.268907	0.32804	0.0677144	0.039178	0.288015	0.00814495	0.194916	0.259308	0.117188	0.428589	3.90944
19	1	-16257.5	-16273.3	15.801	0.202761	0.19211	0.175422	0.143387	0.115359	0.0922505	0.139205	0.198046	0.120568	0.179823	0.14462	0.120963	0.108571	0.125683	0.108248	0.129606	0.135671	0.111958	0.136847	0.138152	0.0906154	0.148767	0.154473	0.0523645	0.0174289	0.00736016	0.0279093	0.0110362	0.00109979	0.010901	0.0080154	0.0370881	0.0229763	0.00631171	0.0247449	4.12962e-05	0.00343672	0.00792833	0.00824095	0.0714599	0.000262603	0.00170757	0.0333188	0.292592	0.219529	0.0733283	0.0383262	0.36674	0.00948466	0.236122	0.214999	0.175935	0.372944	3.566735
