Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-23466.2	-23470.6	4.44004	0.519294	0.0985668	0.0317868	0.042876	0.112658	0.197624	0.0512191	0.321332	0.0100267	0.0420164	0.0139347	0.152566	0.0741377	0.181735	0.0999421	0.106644	0.0193822	0.00116246	0.0361722	0.0813666	0.0473298	0.026511	0.0150056	0.366172	0.0280893	0.298399	0.0905218	0.0287688	0.0103563	0.145415	0.0953412	0.047357	0.0193915	0.0211423	0.0442506	0.0409528	0.178384	0.0342512	0.0381899	0.182616	0.00989645	0.0395474	0.221749	0.241437	0.257225	0.462426	0.0389117	4.22408
10	-18002.9	-18012.6	9.71747	0.191282	0.163113	0.0652353	0.0968112	0.221946	0.157655	0.103553	0.179367	0.125812	0.171213	0.0578433	0.104876	0.134516	0.154967	0.180677	0.13129	0.0443385	0.0102469	0.0645703	0.14398	0.153691	0.0921561	0.189729	0.0671726	0.0115556	0.0903425	0.0220392	0.0524106	0.0183137	0.0156195	0.0523682	0.0533029	0.0179958	0.0227687	0.0373139	0.0198745	0.0690831	0.00735759	0.0440405	0.0444269	0.0339237	0.0509672	0.0265917	0.16127	0.411376	0.112361	0.314993	3.696337
20	-17525	-17531	6.013	0.218051	0.163113	0.210775	0.18084	0.212606	0.178432	0.206969	0.173806	0.233559	0.171213	0.136323	0.110942	0.134516	0.1427	0.150043	0.131927	0.124334	0.013201	0.156157	0.153313	0.134245	0.139156	0.182851	0.0212414	0.00800389	0.0277734	0.00669343	0.0292198	0.0252204	0.0155332	0.0210522	0.0192287	0.00920458	0.00463953	0.0249787	0.0143004	0.0459084	0.00666869	0.0190361	0.00654455	0.0181057	0.0657554	0.0186033	0.204338	0.329387	0.0899664	0.376309	4.066784
30	-17406.2	-17412.2	5.9527	0.219651	0.182674	0.210775	0.171244	0.178941	0.178432	0.197376	0.163384	0.234266	0.168219	0.139109	0.120452	0.137057	0.12313	0.161506	0.131927	0.15373	0.0743633	0.156157	0.149578	0.14919	0.136724	0.166143	0.0209937	0.0141401	0.0310753	0.00110524	0.00979738	0.0281513	0.019831	0.00687508	0.0242978	0.0173337	0.00614046	0.0257537	0.012295	0.0366794	0.00440234	0.0175614	0.00376552	0.0192313	0.0582259	0.0111314	0.213781	0.34461	0.0941244	0.347485	4.072814
40	-17368.4	-17373.3	4.92343	0.212229	0.182674	0.251097	0.180401	0.180591	0.173858	0.197376	0.178989	0.173353	0.192752	0.139109	0.131255	0.128383	0.14946	0.146747	0.137648	0.160051	0.138238	0.172528	0.149578	0.14919	0.155053	0.188455	0.00670987	0.0114734	0.0252733	0.00366767	0.0275487	0.011456	0.0277814	0.0149779	0.0303756	0.0105515	0.00763117	0.0185785	0.00595651	0.0122806	0.00470745	0.0191856	0.00664496	0.0235949	0.0293567	0.00897409	0.229422	0.326895	0.0945664	0.349117	4.175741
50	-17375.4	-17381.1	5.67883	0.201522	0.189663	0.200278	0.180401	0.199846	0.165171	0.2035	0.204463	0.200119	0.175526	0.120709	0.120061	0.158476	0.133468	0.176434	0.131232	0.143029	0.12843	0.163201	0.13456	0.168147	0.157984	0.181645	0.0043652	0.00351752	0.0289729	0.00349066	0.0193506	0.00837559	0.0163985	0.0104294	0.024172	0.0123492	0.00913748	0.0194458	0.00691541	0.00729572	0.00280112	0.0276552	0.00536449	0.0130866	0.0332203	0.00599183	0.229422	0.326895	0.0945664	0.349117	4.100201
60	-17380.4	-17383.3	2.86622	0.208634	0.201489	0.209676	0.227615	0.22063	0.174435	0.186667	0.205303	0.185785	0.158003	0.137457	0.154437	0.125228	0.142347	0.18656	0.148518	0.171048	0.148827	0.186962	0.178698	0.159667	0.174421	0.192498	0.00328128	0.00381457	0.0292463	0.00290294	0.0181449	0.0112924	0.0299506	0.0177978	0.0181666	0.00584203	0.00897273	0.0365257	0.0161246	0.0119555	0.00494056	0.0317	0.00358291	0.0123405	0.0192789	0.010694	0.222211	0.334201	0.0866686	0.35692	4.381461
70	-17382.1	-17385.3	3.19985	0.23404	0.201489	0.254687	0.227904	0.209342	0.198108	0.199063	0.180484	0.183341	0.152507	0.134241	0.126276	0.106402	0.167532	0.154156	0.159267	0.141363	0.160446	0.195451	0.132156	0.131395	0.174817	0.206118	0.00373815	0.0100753	0.0289901	0.000835942	0.0230878	0.018799	0.0198224	0.0200852	0.0255864	0.00735441	0.00393362	0.0225784	0.00919343	0.0140328	0.00114224	0.0385286	0.00541836	0.020917	0.0281668	0.0152261	0.225133	0.338597	0.0878084	0.348462	4.348099
80	-17378.9	-17383.1	4.19518	0.23404	0.194255	0.225386	0.170328	0.209342	0.182911	0.199063	0.200049	0.174134	0.176009	0.10457	0.151122	0.125839	0.135713	0.175796	0.15606	0.161398	0.13907	0.182011	0.153194	0.124775	0.186635	0.189572	0.00979669	0.00948947	0.0300503	0.00271324	0.0113256	0.0177685	0.0257664	0.00823506	0.0231538	0.00569971	0.00938778	0.0266195	0.0107431	0.0161472	0.00107552	0.0301067	0.0140468	0.016695	0.0151814	0.0132939	0.223559	0.33623	0.094185	0.346026	4.248566
90	-17385.3	-17390.1	4.79229	0.199054	0.21958	0.230579	0.21757	0.199695	0.164783	0.17194	0.185755	0.17142	0.168879	0.117936	0.136446	0.123804	0.112614	0.192385	0.156955	0.165153	0.136512	0.184865	0.147973	0.12959	0.15277	0.202631	0.0104055	0.00664663	0.0317567	0.00151485	0.00730573	0.01754	0.0212535	0.0066958	0.00728052	0.00946959	0.0102126	0.0373862	0.0199491	0.0111771	0.00252342	0.0134966	0.0110646	0.0260306	0.0333363	0.0149204	0.223559	0.33623	0.094185	0.346026	4.188855
100	-17381.6	-17386.8	5.2242	0.21648	0.16305	0.230579	0.196325	0.212246	0.15369	0.182382	0.186337	0.195736	0.166568	0.109952	0.13952	0.147513	0.134492	0.135962	0.170854	0.167585	0.14175	0.164608	0.146639	0.146961	0.135775	0.186581	0.00932272	0.0153562	0.0303565	0.00176008	0.0225071	0.0237627	0.0222546	0.00687229	0.0138501	0.0197342	0.00953614	0.0281552	0.014212	0.0181647	0.00345313	0.022996	0.0065022	0.0170913	0.0167562	0.0114344	0.224345	0.337412	0.0910001	0.347243	4.145664
110	-17378.9	-17384.2	5.31101	0.21648	0.187431	0.237044	0.197657	0.185435	0.149593	0.182382	0.219678	0.211988	0.166568	0.147593	0.133345	0.120896	0.138412	0.165209	0.148294	0.137707	0.126678	0.142158	0.146524	0.12626	0.14684	0.18386	0.00971881	0.0104073	0.0460085	0.0043773	0.0235915	0.00911426	0.0219343	0.0110533	0.0215612	0.0184615	0.00796171	0.0276599	0.00997208	0.0130689	0.00473016	0.0213158	0.0117565	0.0103254	0.0259722	0.00995886	0.224345	0.337412	0.0910001	0.347243	4.136983
120	-17374.5	-17379.7	5.16429	0.265465	0.181634	0.199892	0.187884	0.189782	0.17642	0.163512	0.169749	0.194753	0.169444	0.164179	0.113656	0.107899	0.138412	0.154061	0.148294	0.154953	0.136552	0.187963	0.146524	0.152408	0.149382	0.184475	0.0114172	0.00869842	0.0317497	0.00654382	0.0169448	0.00900726	0.019643	0.0130243	0.02162	0.0137574	0.0065762	0.0261905	0.00732036	0.0228857	0.00333562	0.0176642	0.0132191	0.0265412	0.0248496	0.0133747	0.229417	0.322432	0.0930574	0.355093	4.151655
130	-17373.4	-17377.2	3.79888	0.212095	0.182842	0.235658	0.224588	0.189749	0.180402	0.19303	0.186518	0.205206	0.170956	0.135994	0.137975	0.131114	0.141755	0.163554	0.145807	0.159727	0.179689	0.154739	0.138113	0.137745	0.149382	0.208664	0.0063231	0.0051994	0.0237231	0.00925164	0.0207829	0.019453	0.0312663	0.0121993	0.0153811	0.0104048	0.00607192	0.0407843	0.00659538	0.0258506	0.00138865	0.0278835	0.00478134	0.0258989	0.0171861	0.012469	0.229417	0.322432	0.0930574	0.355093	4.288196
140	-17379.6	-17384.3	4.73491	0.216613	0.186562	0.235732	0.19149	0.166604	0.174472	0.196585	0.183822	0.219112	0.170956	0.145323	0.136621	0.119576	0.144061	0.126876	0.130515	0.178396	0.119416	0.154739	0.156807	0.136044	0.162765	0.211546	0.00743449	0.00238583	0.0442722	0.00165942	0.00380794	0.0136489	0.0301445	0.0148621	0.0334401	0.0101153	0.00576382	0.0454298	0.0148112	0.0153059	0.00086945	0.0167231	0.00268421	0.0200255	0.0336401	0.0129358	0.22633	0.323197	0.100158	0.350315	4.194593
150	-17374.6	-17378.7	4.14466	0.226124	0.199447	0.225912	0.19149	0.211425	0.165851	0.187437	0.201705	0.208706	0.162322	0.144027	0.116593	0.145796	0.126327	0.178288	0.133087	0.178396	0.142703	0.164113	0.170511	0.133966	0.167535	0.181266	0.00971983	0.00453497	0.0276256	0.00224634	0.0102101	0.0160523	0.0155889	0.0221896	0.0133569	0.0127247	0.00684287	0.0230013	0.0124556	0.0107407	0.000904186	0.0335347	0.00193515	0.0185488	0.0377413	0.010638	0.22633	0.323197	0.100158	0.350315	4.253618
160	-17378.9	-17383	4.12051	0.22285	0.208981	0.224451	0.202725	0.184423	0.186187	0.193603	0.176778	0.208706	0.172722	0.144027	0.11671	0.132602	0.126327	0.157651	0.13164	0.174787	0.126954	0.177051	0.152086	0.19302	0.159521	0.181266	0.0134474	0.00461997	0.0324466	0.00192174	0.0109888	0.0207048	0.0204178	0.00793016	0.0143112	0.00322066	0.010029	0.0148616	0.0125574	0.0283425	0.00103849	0.0192623	0.000723513	0.0316211	0.0407274	0.011792	0.228949	0.326936	0.0897481	0.354367	4.256033
170	-17382.1	-17387.4	5.25952	0.197819	0.168995	0.225648	0.202725	0.19122	0.160318	0.197938	0.171666	0.196655	0.14403	0.131808	0.15859	0.135563	0.116555	0.149057	0.135994	0.177654	0.157937	0.194848	0.155645	0.163694	0.172936	0.171667	0.00910808	0.00895399	0.0280366	0.00251192	0.0129082	0.0163799	0.025816	0.00785852	0.0189806	0.0206133	0.00364494	0.00542894	0.00780098	0.0173222	0.00143783	0.0151591	0.00175317	0.0219176	0.0185803	0.0189564	0.225756	0.325939	0.0988804	0.349425	4.142132
180	-17390.6	-17394.3	3.70385	0.249362	0.224906	0.20286	0.190858	0.19122	0.186629	0.185947	0.180593	0.20469	0.184135	0.144001	0.098916	0.128115	0.116555	0.146096	0.152204	0.133129	0.153074	0.166526	0.172945	0.139131	0.178835	0.217351	0.00347268	0.00569338	0.023533	0.00789857	0.0326343	0.0232974	0.0184224	0.0081739	0.0243553	0.0140526	0.01806	0.0151176	0.0226349	0.0251114	0.000821522	0.025809	0.0106352	0.0300116	0.0309388	0.00894425	0.228294	0.329604	0.0887482	0.353354	4.297699
190	-17372.5	-17377.2	4.68882	0.236716	0.193022	0.211814	0.195507	0.19327	0.177729	0.184113	0.185306	0.183933	0.162162	0.144001	0.132277	0.125919	0.138828	0.135336	0.148499	0.130971	0.135426	0.166526	0.167855	0.135037	0.175659	0.205443	0.0166578	0.0051071	0.0268731	0.00359059	0.0195681	0.00921926	0.0308549	0.00904938	0.0396391	0.0224559	0.005211	0.0218762	0.0172761	0.0274312	0.00159647	0.0202404	0.00492518	0.0182742	0.0197674	0.0142409	0.228294	0.329604	0.0887482	0.353354	4.199202
200	-17379.1	-17384.3	5.19005	0.241979	0.193022	0.220893	0.187534	0.195174	0.15272	0.169476	0.185306	0.196824	0.184432	0.107397	0.132887	0.123379	0.159249	0.180965	0.138414	0.150978	0.159632	0.162591	0.167715	0.114753	0.155303	0.206411	0.0155405	0.00229071	0.0176402	0.00422851	0.0164287	0.00617578	0.0304676	0.00928479	0.0160624	0.0173404	0.00196732	0.0161131	0.00748944	0.0142752	0.00229632	0.0199487	0.00891105	0.0315009	0.0197525	0.0043281	0.236149	0.306538	0.0918018	0.365512	4.149079
210	-17379.2	-17384.6	5.3547	0.270069	0.218197	0.229994	0.19106	0.204159	0.158003	0.192348	0.169582	0.165717	0.152026	0.148595	0.122546	0.137223	0.150952	0.154189	0.137133	0.143051	0.113063	0.171085	0.132078	0.135336	0.155303	0.178569	0.0120886	0.00783218	0.0268817	0.00313329	0.0165196	0.0139578	0.0380909	0.0155688	0.0167444	0.00558798	0.0025141	0.0181229	0.00456617	0.0290635	0.00220283	0.0272672	0.0085419	0.0135863	0.034414	0.00565179	0.233289	0.312124	0.0935021	0.361085	4.132614
220	-17379.5	-17385.1	5.59688	0.263855	0.154649	0.221348	0.187978	0.198978	0.171634	0.180409	0.171833	0.199922	0.194458	0.159048	0.138807	0.112698	0.152648	0.138692	0.120054	0.132757	0.15654	0.154805	0.138282	0.146492	0.174002	0.178569	0.00996424	0.00510094	0.0205822	0.000600505	0.0103705	0.0243066	0.0198231	0.0116744	0.0305974	0.0118438	0.00278283	0.0110857	0.00910343	0.0204499	0.0012547	0.0175007	0.00609846	0.0101248	0.0221824	0.0144926	0.228893	0.325087	0.0917401	0.354281	4.108395
230	-17372.6	-17377.1	4.50509	0.255384	0.184332	0.225741	0.198257	0.205501	0.171634	0.192837	0.163402	0.211973	0.145289	0.124759	0.138007	0.119546	0.142894	0.160825	0.137508	0.142114	0.135015	0.187499	0.199144	0.155782	0.145572	0.193527	0.0104801	0.00729699	0.0317716	0.00633722	0.0136559	0.00794322	0.0276339	0.00812384	0.0257474	0.00973494	0.00327825	0.0202319	0.00736777	0.0147132	0.0025119	0.0283661	0.00479464	0.0224175	0.0178739	0.0107516	0.23431	0.326141	0.0916589	0.34789	4.217575
240	-17381.7	-17386	4.25754	0.213811	0.170949	0.216646	0.227433	0.196307	0.179266	0.215677	0.176485	0.211925	0.204747	0.144044	0.139317	0.121192	0.153634	0.13721	0.143201	0.143562	0.135427	0.181929	0.155291	0.129897	0.129776	0.210419	0.0229967	0.00461301	0.0329021	0.00221406	0.00871252	0.0214092	0.0159572	0.019489	0.0163864	0.0116667	0.0135636	0.0203362	0.00594974	0.0169737	0.00498674	0.018818	0.00988227	0.0199395	0.0306067	0.00678002	0.236924	0.313114	0.09819	0.351772	4.24233
