Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	0	-15807.7	-15820.4	12.7106	0.117921	0.110497	0.084159	0.138104	0.0932824	0.0959884	0.121789	0.0825414	0.107378	0.162038	0.0805232	0.080212	0.118081	0.0912309	0.112451	0.119639	0.100031	0.0916383	0.150016	0.0578344	0.108072	0.0839649	0.156387	0.0339289	0.0396891	0.0889442	0.0338775	0.0185458	0.0466714	0.0147383	0.0311487	0.0160365	0.0380569	0.0318028	0.0351107	0.0256297	0.0463637	0.0378381	0.0492293	0.0619184	0.0397518	0.0446481	0.0201359	3.217845
11	1	-15803.4	-15816.6	13.2124	0.133141	0.0861994	0.106347	0.109682	0.120034	0.0680218	0.11695	0.0731236	0.118075	0.172697	0.0692717	0.0997995	0.0984597	0.0945966	0.103845	0.106854	0.128175	0.105136	0.111011	0.0785501	0.0871841	0.0718363	0.158603	0.0247271	0.0426996	0.0233974	0.0242603	0.0510096	0.0320311	0.0243166	0.0308789	0.0306131	0.0200345	0.0342599	0.0376372	0.103411	0.0483987	0.0275011	0.0510219	0.0442163	0.006734	0.0267456	0.0661861	3.167673
12	0	-15807.4	-15820.5	13.0991	0.139813	0.102417	0.113608	0.0812875	0.108645	0.0959884	0.121327	0.0768105	0.0852051	0.203126	0.0840511	0.0628342	0.0995951	0.0983233	0.11379	0.121618	0.125659	0.131929	0.122171	0.0723839	0.0735254	0.0682166	0.161696	0.0304303	0.0333709	0.056719	0.0330729	0.0213654	0.0629763	0.0150912	0.0226831	0.0243982	0.0151638	0.0305706	0.0370675	0.0352014	0.0504358	0.030098	0.0679855	0.0493963	0.0398822	0.0362272	0.0228387	3.178995
13	1	-15803.9	-15816.4	12.5313	0.125174	0.0967255	0.11056	0.0970236	0.108333	0.0680218	0.143456	0.0769459	0.0942952	0.166948	0.0768844	0.0852217	0.100561	0.0878506	0.128225	0.122753	0.12669	0.0926022	0.115922	0.0925694	0.0931774	0.0820624	0.202321	0.0337779	0.0382621	0.0212587	0.0366146	0.0612556	0.021158	0.0246936	0.0243297	0.028612	0.0313437	0.0356788	0.0362493	0.0737797	0.0560971	0.0225519	0.0525828	0.0492733	0.0180842	0.0222687	0.0535858	3.235782
14	0	-15802.4	-15815.9	13.5674	0.128605	0.0991989	0.114257	0.0896123	0.107724	0.089945	0.127076	0.0860318	0.10288	0.148224	0.0880191	0.0777348	0.0998111	0.0809943	0.108457	0.123415	0.103072	0.123461	0.115414	0.082429	0.0759987	0.0633725	0.143299	0.0397176	0.0209414	0.0716365	0.0338493	0.0204708	0.0346959	0.0169394	0.0306243	0.0256347	0.0302765	0.0423015	0.0401677	0.0327602	0.0521464	0.0338034	0.0518574	0.0644743	0.0556195	0.0406641	0.0145602	3.132173
15	1	-15804.9	-15818.7	13.7814	0.14462	0.0918486	0.10508	0.102037	0.105874	0.0974396	0.109937	0.0726643	0.0978221	0.16146	0.0768844	0.0852217	0.0767992	0.0799689	0.0947898	0.109648	0.109751	0.102752	0.126389	0.0743961	0.0887377	0.0748457	0.157615	0.0318818	0.0281394	0.0255834	0.0317454	0.0408406	0.0328095	0.0285797	0.0372636	0.0404827	0.0321924	0.0211848	0.0244802	0.0895042	0.062225	0.0135186	0.0588467	0.0511926	0.0207211	0.0373731	0.0556257	3.110772
16	0	-15807	-15819.7	12.7012	0.128605	0.0991989	0.0788174	0.113962	0.102843	0.0758257	0.117601	0.0774016	0.0880799	0.158921	0.0901719	0.0828871	0.100834	0.101248	0.110683	0.139587	0.123383	0.129558	0.115414	0.09799	0.107663	0.0945135	0.135776	0.0160656	0.0372549	0.105227	0.0348657	0.0169525	0.0593799	0.0193771	0.0336907	0.0223513	0.0324497	0.0410055	0.0283266	0.0319812	0.0339909	0.0305733	0.0486705	0.0558549	0.0339768	0.0502602	0.0155666	3.218785
17	1	-15803.1	-15817.1	13.9223	0.120918	0.0976888	0.0983438	0.0773674	0.0978212	0.0764669	0.112743	0.0663668	0.0978221	0.14843	0.0760421	0.0953037	0.108187	0.0788587	0.118932	0.091051	0.103817	0.104817	0.131359	0.0743587	0.0894246	0.0944045	0.157481	0.0357582	0.033009	0.0219303	0.0247683	0.0587717	0.0262946	0.0379018	0.0429149	0.0423046	0.0374904	0.0322325	0.0271701	0.0865598	0.043379	0.0319504	0.0471744	0.055429	0.0191988	0.0228985	0.0515401	3.096682
18	0	-15799.9	-15812.1	12.245	0.149341	0.104622	0.0999404	0.114209	0.133196	0.0830151	0.125531	0.0733237	0.0988382	0.162366	0.0692263	0.0884461	0.0870876	0.10414	0.11584	0.144751	0.131953	0.120181	0.0963374	0.0902205	0.0848798	0.0945135	0.160111	0.0248944	0.0352091	0.0698095	0.0295701	0.0269374	0.0471312	0.0153259	0.0246603	0.0126082	0.0310094	0.0352375	0.0410215	0.0246629	0.0507879	0.0403607	0.0607666	0.0621428	0.0539682	0.035723	0.0105142	3.26441
19	1	-15816.8	-15829	12.2051	0.16595	0.117856	0.112236	0.0825925	0.102586	0.0757864	0.113001	0.0645816	0.101462	0.16379	0.0868986	0.0784317	0.0819858	0.0756959	0.127502	0.116433	0.125033	0.141503	0.112092	0.0621698	0.079687	0.0888485	0.152815	0.0407248	0.0217018	0.0377559	0.0387729	0.0723892	0.0275174	0.02486	0.0371329	0.0343704	0.0522141	0.0444349	0.041104	0.076707	0.0386732	0.0242237	0.0623836	0.051763	0.0136179	0.0312683	0.0678499	3.268401
