Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-26228.8	-26223.3	-5.49264	0.328299	0.156105	0.0851783	0.0417128	0.187351	0.0559682	0.305916	0.0357177	0.112337	0.0259986	0.280372	0.254297	0.0354876	0.00512213	0.0199197	0.222926	0.278192	0.105002	0.0867931	0.0152753	0.34212	0.10604	0.0307406	0.0449484	0.0593844	0.051205	0.035074	0.181387	0.0658016	0.0526724	0.0473582	0.131502	0.187489	0.333435	0.0793001	0.526792	0.168616	0.180409	0.11591	0.0206701	0.0820353	0.0423137	0.172923	0.341	0.169494	0.117863	0.0165302	0.2534	0.101713	0.00149552	0.157247	0.574194	0.267063	5.696097
10	-17672.6	-17677.6	4.93674	0.274758	0.166627	0.173572	0.0860955	0.207191	0.218168	0.131518	0.137958	0.16842	0.0798555	0.280372	0.210643	0.153604	0.0152325	0.127829	0.146294	0.166706	0.166691	0.133186	0.0264452	0.160828	0.106135	0.130864	0.0787668	0.0265574	0.0259882	0.0486752	0.0470141	0.0649646	0.12977	0.099862	0.030281	0.0493038	0.176672	0.0191243	0.0894359	0.0480636	0.0622077	0.0474181	0.0287318	0.0510014	0.0116802	0.0486479	0.15534	0.215387	0.128593	0.0494142	0.322012	0.129254	0.118488	0.535796	0.0667223	0.278993	4.653159
20	-16678.2	-16690.4	12.1995	0.211409	0.14458	0.203283	0.158817	0.179254	0.159641	0.0964304	0.100237	0.179114	0.134332	0.125642	0.138968	0.127749	0.0793487	0.163635	0.144768	0.158589	0.112274	0.118215	0.0815035	0.133756	0.0988191	0.162739	0.0703055	0.0225495	0.016732	0.0246906	0.0310037	0.0360269	0.145281	0.0368401	0.0232587	0.0191778	0.0320574	0.00582378	0.0630236	0.0427007	0.0204627	0.0219621	0.0310605	0.0371507	0.0021414	0.0315269	0.222657	0.387885	0.0928218	0.0246986	0.23308	0.0388582	0.243722	0.366582	0.0798782	0.309818	3.926878
30	-16439.8	-16451.3	11.4814	0.211409	0.170102	0.186199	0.17899	0.19487	0.175282	0.106448	0.113292	0.199401	0.182274	0.0994089	0.151244	0.137288	0.143491	0.149326	0.143666	0.158589	0.124337	0.140598	0.163027	0.120017	0.101439	0.151341	0.0533361	0.0150324	0.00461795	0.0464256	0.0347348	0.0122661	0.141342	0.0211369	0.0168149	0.00927199	0.00550273	0.00917123	0.0125265	0.0257495	0.0121185	0.014174	0.0294542	0.00996815	0.00305364	0.0199614	0.209548	0.365047	0.0491931	0.0448318	0.308344	0.0230366	0.26804	0.235933	0.0988733	0.397154	3.998697
40	-16381.4	-16394.2	12.7312	0.229025	0.16436	0.212432	0.190742	0.17523	0.146409	0.110102	0.0849306	0.195681	0.152964	0.122226	0.124528	0.137288	0.131682	0.160121	0.117049	0.142893	0.15693	0.123499	0.141284	0.113847	0.10976	0.136841	0.080158	0.0129058	0.00548374	0.0292527	0.0376616	0.0135962	0.113327	0.0215019	0.00545427	0.0185558	0.0115452	0.0127686	0.00550839	0.016196	0.0139945	0.0176163	0.0357116	0.00494794	0.00141908	0.0362831	0.260831	0.319886	0.0829798	0.0459173	0.270199	0.0201867	0.217685	0.261585	0.107127	0.413604	3.87371
50	-16363.9	-16375.8	11.8982	0.253206	0.175526	0.226528	0.189698	0.168449	0.168493	0.115419	0.0714026	0.178929	0.158983	0.138791	0.145067	0.136476	0.138467	0.134001	0.118612	0.18677	0.140196	0.126318	0.17349	0.125412	0.0904178	0.162138	0.0660259	0.00853368	0.00186832	0.0273142	0.0388824	0.00274407	0.112197	0.0111723	0.00770917	0.0191641	0.00490862	0.00866813	0.00639575	0.0280184	0.00564465	0.00756201	0.0169299	0.0072116	0.00147369	0.0517942	0.269522	0.330546	0.0636447	0.0493259	0.279202	0.00775929	0.217685	0.261585	0.107127	0.413604	3.95701
60	-16362.5	-16373.7	11.1933	0.251226	0.208722	0.207115	0.197078	0.150147	0.170534	0.115419	0.101711	0.18379	0.14905	0.117064	0.124387	0.163839	0.135419	0.143311	0.150469	0.183519	0.152224	0.139797	0.152145	0.11043	0.0876044	0.169515	0.0777031	0.0089751	0.000947251	0.0329932	0.0379465	0.00448694	0.0904705	0.0210665	0.00770917	0.0294281	0.00534755	0.00709671	0.00198071	0.037576	0.012171	0.00490514	0.0335395	0.00704209	0.000921891	0.0406811	0.251794	0.333373	0.0664329	0.0514868	0.291434	0.00547931	0.217685	0.261585	0.107127	0.413604	4.027503
70	-16367	-16380.6	13.6057	0.209762	0.167861	0.166363	0.186113	0.133189	0.170534	0.115419	0.0790842	0.152952	0.147393	0.104394	0.119597	0.122908	0.135906	0.148371	0.149401	0.13326	0.159027	0.149382	0.164833	0.12289	0.0758763	0.198551	0.0824192	0.0202884	0.00103684	0.0237713	0.0312012	0.00492845	0.12006	0.0068359	0.00908956	0.0109389	0.00742725	0.0085556	0.00850162	0.0344713	0.0107545	0.00278009	0.048172	0.00366528	0.000793798	0.0375045	0.265724	0.325562	0.0648764	0.0502805	0.284606	0.00895072	0.201677	0.259119	0.110927	0.428276	3.786262
80	-16354.6	-16367.7	13.1202	0.211072	0.18476	0.197907	0.16491	0.159234	0.171511	0.115104	0.113654	0.179118	0.137595	0.0975553	0.152735	0.127431	0.145509	0.148371	0.125193	0.151594	0.156747	0.126921	0.183656	0.12289	0.0935114	0.155324	0.070303	0.0123109	0.00119802	0.0206072	0.0349544	0.00488213	0.103585	0.00996467	0.0081937	0.0111167	0.00801981	0.00478044	0.00971039	0.0277597	0.010361	0.00143924	0.0388531	0.00326842	0.00145987	0.0297443	0.266959	0.325663	0.0718402	0.0388942	0.285928	0.0107151	0.201677	0.259119	0.110927	0.428276	3.834815
90	-16356.4	-16368.7	12.3739	0.223915	0.175507	0.21473	0.156963	0.159234	0.18355	0.117808	0.0783943	0.16819	0.153528	0.127564	0.13642	0.13372	0.145509	0.165088	0.15333	0.149558	0.145834	0.134931	0.168772	0.133854	0.0979935	0.179717	0.0822506	0.0103521	0.0019307	0.0150286	0.016273	0.00391817	0.102978	0.0158545	0.00736669	0.0111645	0.00765823	0.00417975	0.012066	0.0260714	0.0216048	0.00136423	0.0330083	0.000877839	0.00216282	0.02922	0.268907	0.32804	0.0677144	0.039178	0.288015	0.00814495	0.194916	0.259308	0.117188	0.428589	3.90944
