Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15791.5	-15805	13.507	0.128607	0.100883	0.0999404	0.0993533	0.113028	0.0842961	0.132001	0.079353	0.102852	0.155698	0.070269	0.0711922	0.103817	0.0935057	0.110701	0.120059	0.112831	0.122753	0.126102	0.0819543	0.101582	0.0732078	0.148366	0.0223871	0.0284697	0.0709543	0.0291052	0.0286299	0.0425463	0.0205173	0.0220724	0.0123613	0.0312364	0.0352375	0.0381803	0.0289865	0.0564592	0.0422641	0.0490054	0.0468414	0.0488477	0.0345216	0.0172385	3.138212
110	-15797.2	-15810	12.8005	0.105577	0.123807	0.0833886	0.105438	0.106557	0.0871274	0.126217	0.0778403	0.104571	0.141148	0.0749466	0.0966221	0.103817	0.098994	0.12354	0.130624	0.137843	0.107541	0.118728	0.0861785	0.0865929	0.0925349	0.164576	0.0215144	0.0366312	0.0742908	0.029081	0.0228059	0.0359574	0.0212357	0.0329854	0.0157411	0.0272169	0.0391326	0.0299809	0.029321	0.0381461	0.0421337	0.0487623	0.0728683	0.0472132	0.0396945	0.0199329	3.208855
120	-15806	-15818.8	12.7156	0.122766	0.126529	0.0798781	0.0966205	0.125404	0.0773677	0.129981	0.0778403	0.0883461	0.175064	0.0762163	0.0837605	0.103817	0.098994	0.0943377	0.138259	0.129214	0.124708	0.118728	0.0896426	0.0717344	0.0910816	0.171257	0.0267116	0.0308681	0.0814183	0.0380148	0.0179741	0.0433145	0.00961417	0.0115378	0.0194821	0.0417031	0.0397208	0.0494375	0.0378049	0.033192	0.0354071	0.0418081	0.0473153	0.0457365	0.055446	0.0192961	3.217351
130	-15801	-15813.8	12.7432	0.125725	0.0971504	0.111587	0.102735	0.119785	0.0796495	0.144869	0.0649039	0.0810807	0.184087	0.0806034	0.0763753	0.106599	0.09524	0.111497	0.146711	0.119849	0.119864	0.126972	0.0770987	0.0821319	0.0723512	0.162953	0.0193741	0.0396039	0.0707119	0.0229016	0.027845	0.0408204	0.0126915	0.0181086	0.0076252	0.0303255	0.0405419	0.0439587	0.0355132	0.0436884	0.0583436	0.0429795	0.0473153	0.0463171	0.0461098	0.029999	3.214591
140	-15809.1	-15821.7	12.6421	0.11102	0.0907272	0.0742998	0.114366	0.10671	0.0733892	0.153214	0.0931978	0.0883257	0.1914	0.0981703	0.0681385	0.0839945	0.0874804	0.121198	0.130623	0.127673	0.102821	0.136204	0.088158	0.0677123	0.09707	0.167092	0.0214305	0.0321917	0.0679908	0.0337104	0.0198522	0.0505281	0.0177061	0.02828	0.0167822	0.0189978	0.050278	0.0447093	0.030684	0.0676529	0.0344544	0.0478278	0.0634609	0.0427161	0.0368365	0.0256287	3.224702
150	-15798.6	-15812.4	13.7205	0.115321	0.110962	0.099776	0.110031	0.114695	0.0774805	0.112167	0.0889838	0.117304	0.160475	0.0811408	0.074434	0.0838475	0.0846377	0.103693	0.120155	0.137485	0.0942067	0.110646	0.075187	0.0857368	0.081419	0.167092	0.0241284	0.0384415	0.0664994	0.0289017	0.0248776	0.0503404	0.0239903	0.0189586	0.0210528	0.0300989	0.0353558	0.0329465	0.0223488	0.0405634	0.0187758	0.04157	0.0482881	0.0523531	0.0507319	0.0397576	3.116857
160	-15806.7	-15818.2	11.5219	0.147314	0.0990378	0.114863	0.104212	0.114695	0.0689438	0.157812	0.0896138	0.116256	0.191044	0.092036	0.0969469	0.0915679	0.0960475	0.109897	0.121115	0.133185	0.113084	0.120887	0.0793354	0.0820542	0.0896939	0.15403	0.0225331	0.0280697	0.0779945	0.0263271	0.0130718	0.0377649	0.0278514	0.0388249	0.0269398	0.0325399	0.0327663	0.0554523	0.0289252	0.0441961	0.0176699	0.0506523	0.063977	0.0530448	0.0433526	0.0310959	3.336719
170	-15805.6	-15817.8	12.2819	0.121352	0.101228	0.117678	0.105528	0.109296	0.0791766	0.126429	0.0753848	0.104664	0.176285	0.0959376	0.0796418	0.106886	0.0960475	0.112159	0.141487	0.109023	0.111295	0.120887	0.0821653	0.110514	0.0697962	0.15612	0.0231618	0.0297512	0.0769561	0.0131345	0.0343622	0.0320086	0.0240978	0.0254527	0.0231783	0.0507817	0.031149	0.0435241	0.0277896	0.0527804	0.0329313	0.0482429	0.0639573	0.0472662	0.051871	0.0193388	3.260716
180	-15798.7	-15811	12.3309	0.12736	0.101228	0.100942	0.101976	0.135814	0.0926253	0.108925	0.0755369	0.104534	0.161511	0.0816387	0.0805615	0.112939	0.102749	0.115647	0.130517	0.145806	0.127401	0.112141	0.073984	0.0838177	0.0753577	0.171943	0.021033	0.038606	0.0850531	0.0236692	0.0255239	0.0353767	0.0196677	0.0371749	0.0159712	0.0373173	0.0477185	0.0462193	0.0380223	0.0452043	0.0314883	0.0426551	0.0422615	0.0441055	0.0272157	0.0265858	3.255823
190	-15790.7	-15804	13.2776	0.113257	0.104628	0.108416	0.100602	0.123035	0.0832207	0.121235	0.0814835	0.106895	0.167526	0.0808081	0.0805615	0.100448	0.0938171	0.104355	0.127007	0.123956	0.10931	0.11826	0.0677141	0.0904963	0.0768521	0.161762	0.0222668	0.0231312	0.0835407	0.0256328	0.0287737	0.0431886	0.0191584	0.0297076	0.0147624	0.0273142	0.0374502	0.0416152	0.0300975	0.0552077	0.0296982	0.0463463	0.0500295	0.0334886	0.0518667	0.0222188	3.161144
