Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14387.5	-14289.8	-97.7834	0.2362286	0.734366	0.776362	0.767099	0.495923	0.786454	0.616107	0.618762	1.06902	0.754862	0.514768	0.257109	0.261007	0.502455	0.411945	0.50927	0.470399	0.562761	0.280565	0.430658	0.219888	0.310787	0.120623	0.613175	0.00254299	0.00732193	0.21464	0.05272	0.0270598	0.0195455	0.195072	0.0152504	0.0501776	0.00777324	0.00712584	0.0101425	0.000899234	0.207368	0.0789634	0.0080513	0.00671277	0.071396	0.0128229	0.00315446	0.034314	0.112521	0.0728348	0.0190742	0.753319	0.0079365	0.00153086	0.0569408	0.47153	3.47	0.385539	0.340727	0.0965061	0.177227	13.0831
110	-14383.6	-14278.1	-105.519	0.2420011	0.749289	0.767687	0.767099	0.52206	1.19332	0.565304	0.760943	1.11612	0.98323	0.579085	0.167558	0.165205	0.560324	0.400699	0.552038	0.495579	0.39102	0.336853	0.447113	0.221107	0.357523	0.174542	0.578523	0.00948555	0.013759	0.245712	0.0974312	0.0172039	0.022973	0.159126	0.0164695	0.0344822	0.0121665	0.0147686	0.00718305	0.00507544	0.0856599	0.0939891	0.00349638	0.00206459	0.141138	0.0179961	0.00427087	0.0340352	0.126306	0.072243	0.018799	0.747198	0.0014183	0.00175969	0.0609772	0.484311	3.45295	0.381611	0.339136	0.0960554	0.183198	13.85667
120	-14380.3	-14270.4	-109.825	0.2401268	0.782773	0.845778	0.826723	0.624397	0.832195	0.544953	0.804436	0.99503	1.12916	0.574437	0.238915	0.218507	0.469335	0.452049	0.57097	0.540506	0.453814	0.296717	0.458398	0.286254	0.379565	0.165895	0.791358	0.00931966	0.0105961	0.247283	0.0346977	0.0116514	0.010444	0.264635	0.0100578	0.0497054	0.00774795	0.0107531	0.00751952	0.00374396	0.09776	0.108139	0.00116687	0.00276625	0.100897	0.0133273	0.0028767	0.0339673	0.126054	0.0781685	0.0115217	0.745707	0.00458108	0.00168311	0.0596582	0.480197	3.45846	0.381611	0.339136	0.0960554	0.183198	14.28725
130	-14391.5	-14290.1	-101.398	0.2359265	0.703707	0.763131	0.7099	0.489067	0.963282	0.47498	0.859934	0.800129	0.83636	0.559077	0.199095	0.194084	0.476483	0.514367	0.635024	0.532636	0.384515	0.375791	0.451329	0.229105	0.441602	0.095195	0.673735	0.00298949	0.0012863	0.324431	0.059791	0.00564332	0.022134	0.150942	0.0324581	0.044299	0.0301584	0.0192436	0.00579768	0.00456992	0.142522	0.119829	0.000982211	0.00154429	0.110112	0.00163263	0.00170516	0.0333684	0.123831	0.0767903	0.0130701	0.73256	0.0203798	0.00151946	0.0567317	0.470852	3.4709	0.381611	0.339136	0.0960554	0.183198	13.4446
140	-14396.4	-14300.2	-96.2016	0.2501998	0.703707	0.508286	0.881861	0.524745	0.773203	0.610959	0.838943	0.921874	0.775028	0.534032	0.194602	0.238482	0.477292	0.369199	0.48367	0.490779	0.293052	0.377027	0.335679	0.302271	0.387593	0.115723	0.801122	0.00205642	0.00393005	0.191123	0.0640448	0.0280976	0.0227416	0.168629	0.0564011	0.0567387	0.0550361	0.0195352	0.005097	0.00338391	0.122138	0.0487249	0.000988044	0.00627162	0.123551	0.00321845	0.00408691	0.030979	0.114942	0.0788153	0.0128162	0.751878	0.0105699	0.00212108	0.0668343	0.501907	3.42914	0.379015	0.336829	0.102204	0.181952	12.92492
150	-14395	-14297.4	-97.6206	0.2411715	0.741323	0.754363	0.767666	0.508352	0.719839	0.733374	0.791116	0.813931	0.862273	0.56171	0.250856	0.286258	0.592981	0.418908	0.463338	0.543402	0.326605	0.351298	0.366563	0.222673	0.325307	0.159162	0.59507	0.00934285	0.0141942	0.191123	0.0291763	0.0278309	0.0339351	0.0862994	0.0352685	0.0330445	0.039634	0.0271002	0.00218993	0.0201936	0.0710599	0.0922476	0.000749224	0.00531404	0.182598	0.00191591	0.0072429	0.0308635	0.114513	0.0785214	0.0158266	0.749073	0.0112023	0.00172552	0.0603924	0.482494	3.45539	0.379015	0.336829	0.102204	0.181952	13.06683
160	-14384.7	-14279.4	-105.3	0.2443812	0.853489	0.762477	0.767666	0.488381	0.909541	0.57718	0.808461	1.06512	0.857634	0.584011	0.175087	0.203467	0.506751	0.425053	0.461706	0.471173	0.485202	0.314046	0.45313	0.304747	0.382985	0.155088	0.766905	0.0114245	0.032581	0.299524	0.00961518	0.0109999	0.0861492	0.108997	0.0337057	0.00978773	0.0185433	0.0239748	0.00162161	0.0225676	0.100459	0.167831	0.00147886	0.00410633	0.0907532	0.0129507	0.00841701	0.0309893	0.11498	0.0788415	0.0146607	0.752128	0.0084009	0.00186015	0.0626632	0.489486	3.44599	0.378653	0.336506	0.103063	0.181778	13.83479
170	-14385.3	-14285.1	-100.265	0.2322146	0.763385	0.695473	0.829835	0.541361	0.852487	0.635843	0.643657	1.05557	0.891099	0.481605	0.17038	0.202502	0.417384	0.472739	0.544234	0.497692	0.465054	0.274314	0.481434	0.252559	0.36095	0.217878	0.642591	0.00269931	0.024393	0.190434	0.0350591	0.0258289	0.0357549	0.136983	0.0677259	0.0174546	0.0199422	0.0129617	0.0052091	0.0199363	0.102194	0.111624	0.00251501	0.00321253	0.0933071	0.0120365	0.0219797	0.0253812	0.112141	0.0779821	0.0141204	0.756449	0.0139263	0.00138385	0.0541812	0.462449	3.48199	0.378759	0.336449	0.103045	0.181747	13.33128
180	-14384.9	-14282.4	-102.519	0.2353436	0.82294	0.801669	0.825057	0.502276	0.849182	0.644554	0.741629	1.06637	0.832862	0.511412	0.182884	0.267576	0.433308	0.409587	0.517501	0.427334	0.450304	0.277105	0.448068	0.254672	0.365704	0.157381	0.601345	0.00327988	0.0175862	0.359093	0.0352119	0.0237027	0.0459576	0.143122	0.0646744	0.0108109	0.0267857	0.0305123	0.00260133	0.0201857	0.14244	0.112237	0.00848953	0.00761343	0.0894461	0.00544115	0.0167592	0.0310041	0.11169	0.0776684	0.0123616	0.753406	0.0138703	0.00149761	0.0563289	0.469542	3.47263	0.382843	0.340077	0.0933741	0.183707	13.55667
190	-14385.4	-14274.9	-110.531	0.2242876	0.909616	0.865136	0.851334	0.68313	0.996259	0.651677	0.825307	1.08787	0.881979	0.500292	0.16291	0.27668	0.480374	0.464057	0.512013	0.415838	0.403401	0.273653	0.486693	0.286966	0.399033	0.143925	0.698418	0.00442106	0.00644633	0.267566	0.068947	0.00825931	0.0571652	0.258334	0.0450158	0.00507586	0.0246005	0.0397227	0.00166751	0.0118592	0.108281	0.0792861	0.00430647	0.00939718	0.0862504	0.00726805	0.00743953	0.0315935	0.113813	0.0678414	0.0135239	0.767729	0.00549884	0.0011217	0.0488563	0.444041	3.50598	0.385271	0.335891	0.0939664	0.184872	14.35787
