Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-14393	-14311	-81.9474	0.5403808	0.753266	0.612285	0.640827	0.573633	0.694634	0.207518	0.932732	0.675044	0.381053	0.474733	0.398363	0.402356	0.344645	0.384719	0.50855	0.346438	0.357013	0.387429	0.346725	0.315812	0.235941	0.261662	0.598934	0.0156817	0.0189845	0.0205058	0.0222609	0.0130379	0.372275	0.00429732	0.00661134	0.04376	0.00165482	0.00678669	0.00791648	0.00199023	0.0170572	0.0145537	0.00693927	0.0521797	0.00781363	0.00916258	0.0217216	0.0522488	0.421845	0.0318776	0.0264608	0.394499	0.0730691	0.0410945	0.277462	0.847564	2.83388	0.313284	0.407553	0.0503745	0.228788	0.3810899	11.4995
110	-14394.8	-14315	-79.7551	0.6319352	0.765404	0.543509	0.739239	0.540577	0.637952	0.228596	0.731382	0.69126	0.510515	0.3883	0.30439	0.306706	0.316229	0.317805	0.405587	0.384562	0.469996	0.316785	0.346725	0.312363	0.318183	0.284225	0.558327	0.0249244	0.0184991	0.0456274	0.0332862	0.00465133	0.476883	0.00942303	0.00956226	0.0944027	0.00204863	0.00238541	0.00297231	0.00605968	0.00608381	0.015916	0.00686448	0.0698005	0.0105707	0.0100545	0.0116412	0.0398312	0.410187	0.061448	0.0257296	0.383597	0.0792065	0.0597544	0.329565	0.896776	2.7139	0.31278	0.406897	0.0519042	0.22842	0.3810899	11.28028
120	-14393.6	-14309.6	-84.0025	0.4824046	0.747986	0.513125	0.736441	0.570654	0.685014	0.246318	0.81499	0.733605	0.382462	0.437367	0.289531	0.473804	0.419485	0.418559	0.405587	0.388832	0.445177	0.285308	0.293465	0.380436	0.320738	0.351811	0.589589	0.0226698	0.0259709	0.019706	0.0469824	0.00383806	0.373854	0.00532447	0.00998343	0.0986671	0.0161439	0.00236334	0.00135173	0.009	0.00766207	0.0106456	0.0130611	0.0954855	0.00589281	0.00370038	0.0024262	0.0329587	0.483562	0.0508456	0.033551	0.333608	0.0654744	0.0301747	0.240274	0.807031	2.92252	0.31278	0.406897	0.0519042	0.22842	0.3559788	11.70501
130	-14388.6	-14304.6	-83.9813	0.4695413	0.703721	0.540424	0.673664	0.617861	0.705642	0.305463	0.924713	0.656881	0.385516	0.437367	0.257314	0.352506	0.3709	0.423014	0.430337	0.469309	0.373238	0.390002	0.470853	0.248627	0.30525	0.310278	0.684527	0.0178485	0.0290755	0.0119721	0.0392305	0.00600169	0.373854	0.00971217	0.00329145	0.0682354	0.0123359	0.00345336	0.000651114	0.0180582	0.0124588	0.0103105	0.00475332	0.0239339	0.00634271	0.00502338	0.00894099	0.0209378	0.473733	0.0498121	0.0661786	0.326827	0.0625119	0.027891	0.231567	0.796775	2.94377	0.31322	0.40747	0.0532339	0.226076	0.3833787	11.70289
140	-14391.8	-14295.4	-96.4469	0.5936343	0.820844	0.65801	0.801135	0.788216	0.725351	0.34043	0.715363	1.0497	0.43204	0.567677	0.353758	0.41708	0.474881	0.395549	0.456236	0.50091	0.373238	0.303194	0.312011	0.33481	0.30525	0.252009	0.684527	0.0191687	0.0240929	0.0116669	0.023498	0.00755288	0.520096	0.0311102	0.0079155	0.0505116	0.0180153	0.0195788	0.000466128	0.01581	0.0622858	0.00537757	0.00813913	0.0268807	0.00860544	0.0124408	0.014033	0.0213818	0.48378	0.0508685	0.0629405	0.332555	0.0484747	0.0517978	0.308715	0.878036	2.76145	0.331673	0.396522	0.0518036	0.220001	0.3833787	12.94946
150	-14394.4	-14301.3	-93.106	0.4685273	0.724265	0.567154	0.958674	0.659247	0.756673	0.284799	0.908268	0.781369	0.437718	0.549289	0.42619	0.294964	0.455875	0.353218	0.433276	0.437442	0.424684	0.267606	0.493354	0.313387	0.342921	0.366548	0.557879	0.0066431	0.0185361	0.00973344	0.00541868	0.0107838	0.499379	0.0332381	0.0103886	0.0486319	0.00839475	0.0133952	0.000625507	0.00905036	0.023859	0.0521896	0.00102417	0.0199195	0.0229988	0.01972	0.00663172	0.0248585	0.500222	0.0525974	0.0386446	0.343857	0.0398203	0.0277134	0.230874	0.795945	2.94547	0.33104	0.395765	0.0536144	0.219581	0.3833787	12.61536
160	-14384.1	-14295.6	-88.4941	0.5486585	0.700208	0.627184	0.637094	0.647219	0.701653	0.276023	0.908268	0.812465	0.428625	0.428391	0.461049	0.461506	0.415844	0.387673	0.353303	0.442287	0.41736	0.385973	0.405703	0.270825	0.37048	0.313292	0.520508	0.00884995	0.0180011	0.011351	0.0045746	0.0191769	0.439137	0.0271617	0.0212863	0.0563562	0.00301048	0.0131053	0.00205344	0.014499	0.0306624	0.0664175	0.000931033	0.00984598	0.0150411	0.00951715	0.010259	0.0263248	0.459167	0.0556997	0.0486445	0.368065	0.0420982	0.0427231	0.2825	0.852682	2.8221	0.32733	0.402536	0.0530136	0.217121	0.3833787	12.15417
170	-14391.1	-14301	-90.0709	0.5231385	0.735491	0.578149	0.566421	0.651786	0.718358	0.186064	0.827517	0.851124	0.433944	0.445841	0.339666	0.493001	0.479334	0.361754	0.453628	0.512124	0.487908	0.426955	0.496169	0.298881	0.234547	0.276852	0.590614	0.00975514	0.0338123	0.0249493	0.0131189	0.00680296	0.472375	0.0151278	0.0247886	0.0409241	0.00426195	0.0261751	0.00944313	0.0135497	0.0150948	0.0494795	0.00122377	0.0386559	0.0298975	0.020907	0.0153811	0.0269273	0.469676	0.0569745	0.0423508	0.362834	0.0412367	0.0377524	0.266753	0.836401	2.85909	0.32733	0.402536	0.0530136	0.217121	0.3833787	12.31185
180	-14392.3	-14299.1	-93.1563	0.6224854	0.939042	0.666883	0.627115	0.512176	0.743487	0.273986	1.00068	0.8358	0.417708	0.500487	0.33605	0.351826	0.396037	0.458694	0.453628	0.409802	0.474404	0.359066	0.406027	0.298881	0.219773	0.314212	0.590614	0.0306533	0.0221578	0.0296462	0.0327264	0.038802	0.503793	0.0137178	0.0183677	0.100713	0.00300562	0.00491774	0.0111863	0.0194156	0.0640613	0.0375626	0.00277395	0.0361469	0.0172595	0.0237619	0.0233475	0.0287368	0.44932	0.0486184	0.0478565	0.385937	0.0395319	0.0577763	0.324542	0.892371	2.72531	0.349811	0.389083	0.0512418	0.209864	0.3833787	12.62039
190	-14372.4	-14280.4	-91.9578	0.4321795	0.823855	0.681387	0.666517	0.585765	0.750527	0.197051	0.78259	0.826599	0.456012	0.552278	0.336522	0.377531	0.471053	0.350187	0.408724	0.442705	0.476135	0.328223	0.444714	0.40823	0.357547	0.314212	0.568556	0.0103794	0.0212087	0.00524118	0.00908016	0.0452126	0.52987	0.00884624	0.00405705	0.0456857	0.00974696	0.0044645	0.0295476	0.00560979	0.0694203	0.0308656	0.00650596	0.0189793	0.00949081	0.0153514	0.0140649	0.0201416	0.45008	0.0487007	0.0571127	0.38659	0.0373744	0.0216173	0.205359	0.76388	3.00914	0.358055	0.374685	0.0524494	0.21481	0.3833787	12.50055
