Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
100	-14721.5	-14774.4	52.9021	0.138967	0.0979565	0.0986138	0.103495	0.0890952	0.0665993	0.144495	0.0716111	0.10148	0.18126	0.0733669	0.0876904	0.109004	0.0932251	0.105802	0.143589	0.149086	0.109316	0.142498	0.0800535	0.106553	0.0910573	0.208522	0.0936689	0.0251787	0.0257024	0.0530058	0.0227228	0.0274201	0.0201608	0.0420068	0.0383203	0.0413914	0.0318842	0.0555908	0.0236763	0.0408017	0.0500293	0.022338	0.0195409	0.0351536	0.0267209	0.014138	4.049744	0.275385	0.290598	0.101362	0.332655	0.0420758	0.0296588	0.0298578	0.0313355	0.0269758	0.0201646	0.0437493	0.021682	0.0307256	0.054881	0.0222136	0.0265504	0.0330035	0.0282262	0.032034	0.043475	0.0451393	0.033098	0.0431449	0.0242382	0.0322615	0.0275699	0.0631351	0.0283606	0.00762347	0.00778203	0.0160488	0.00687988	0.0083021	0.00610418	0.0127186	0.0116024	0.0125323	0.00965372	0.0168315	0.00716859	0.0123537	0.0151476	0.00676338	0.0059165	0.0106436	0.00809041	0.00428064	3.302786
110	-14724.8	-14777.7	52.8703	0.13898	0.0979656	0.108513	0.090581	0.112834	0.0796446	0.141181	0.0784975	0.10149	0.181277	0.0733737	0.0804787	0.109014	0.093725	0.121131	0.143602	0.149099	0.0946814	0.142512	0.0770643	0.0805892	0.0862335	0.174854	0.110982	0.0233938	0.0310484	0.0377725	0.0247121	0.0179705	0.0178933	0.0593415	0.0466723	0.0516845	0.0321843	0.0372725	0.0364538	0.0374518	0.0437486	0.0143768	0.0291677	0.0422834	0.0224556	0.0285998	4.103645	0.269706	0.298081	0.106418	0.325795	0.0420797	0.0296615	0.032855	0.0274256	0.0341633	0.0241144	0.0427461	0.0237671	0.0307285	0.0548861	0.0222157	0.0243669	0.0330066	0.0283775	0.0366755	0.043479	0.0451435	0.0286671	0.0431489	0.0233331	0.0244004	0.0261093	0.0529412	0.0336025	0.00708306	0.00940066	0.0114365	0.00748221	0.005441	0.00541765	0.0179671	0.0141312	0.0156488	0.00974459	0.0112852	0.0110373	0.0113394	0.013246	0.00435293	0.00883123	0.0128023	0.006799	0.00865928	3.302786
120	-14726	-14778.9	52.8703	0.137822	0.0844312	0.0835185	0.107244	0.111893	0.0917113	0.140004	0.0778432	0.0970234	0.179766	0.078408	0.0894498	0.104902	0.0820729	0.110146	0.142405	0.116595	0.117061	0.138336	0.0941712	0.0728077	0.092943	0.180005	0.110057	0.0286087	0.0213155	0.0560348	0.0313907	0.0211683	0.0163018	0.0588468	0.0469049	0.0512537	0.0375548	0.0527515	0.0328556	0.0340162	0.0495322	0.0114226	0.0363259	0.030677	0.0186468	0.0265615	4.103645	0.263141	0.290826	0.103828	0.342205	0.041729	0.0255636	0.0252873	0.0324707	0.0338785	0.0277679	0.0423898	0.0235689	0.0293762	0.0544286	0.02374	0.0270831	0.0317618	0.0248496	0.0333494	0.0431166	0.035302	0.0354431	0.0418848	0.0285127	0.0220443	0.0281408	0.054501	0.0333224	0.00866198	0.00645381	0.0169659	0.00950432	0.00640924	0.00493577	0.0178173	0.0142016	0.0155183	0.0113706	0.0159718	0.00994783	0.0102992	0.0149971	0.00345847	0.0109986	0.00928823	0.00564579	0.00804214	3.302786
130	-14727.5	-14780	52.5095	0.147894	0.0888569	0.111769	0.0733773	0.122198	0.0965187	0.119401	0.0750334	0.102109	0.189189	0.0778618	0.0859557	0.110401	0.133175	0.099987	0.114235	0.122707	0.121874	0.14475	0.0939441	0.0759176	0.0810167	0.182254	0.0959032	0.0356204	0.0300667	0.0545413	0.0217884	0.0414172	0.0159523	0.0571113	0.0479545	0.0475446	0.0395234	0.0745557	0.0377465	0.0360277	0.0416442	0.0176566	0.0476144	0.0341613	0.0366277	0.016362	4.103645	0.268071	0.296274	0.105773	0.329882	0.043495	0.0261325	0.0328709	0.02158	0.035938	0.0283858	0.0351153	0.0220671	0.03003	0.0556399	0.0228989	0.0252793	0.0324686	0.0391662	0.0294058	0.0335963	0.0360876	0.0358426	0.0425704	0.0276286	0.0223271	0.0238267	0.0536003	0.0282048	0.0104758	0.00884252	0.0160404	0.0064079	0.0121807	0.00469152	0.0167962	0.0141032	0.0139827	0.0116237	0.0219266	0.0111011	0.0105956	0.0122474	0.00519274	0.0140032	0.0100467	0.0107721	0.00481202	3.400243
140	-14725.3	-14778.3	52.9547	0.128292	0.0928663	0.0956008	0.104691	0.13697	0.0703989	0.124788	0.0784191	0.106717	0.165133	0.0754937	0.085437	0.115383	0.127538	0.109066	0.11939	0.126991	0.127373	0.113494	0.0796515	0.106235	0.0846723	0.190478	0.100231	0.0364322	0.0252427	0.0551664	0.0260862	0.0262054	0.00564323	0.0546253	0.0501182	0.0408313	0.0408206	0.0457803	0.0352453	0.0390197	0.0370328	0.0243378	0.0328858	0.0206976	0.0386888	0.0279187	3.80718	0.275412	0.292334	0.093338	0.338916	0.0385484	0.0279038	0.0287254	0.0314567	0.0411559	0.021153	0.0374955	0.0235628	0.0320654	0.0496181	0.0226838	0.0256715	0.0346693	0.0383217	0.0327713	0.0358735	0.0381573	0.0382721	0.0341018	0.0239331	0.0319208	0.0254417	0.0572334	0.0301166	0.0109469	0.00758475	0.016576	0.00783821	0.00787401	0.00169564	0.0164134	0.0150592	0.0122687	0.0122655	0.0137557	0.0105902	0.0117244	0.0111274	0.00731285	0.0098813	0.00621908	0.0116249	0.00838881	3.328086
150	-14719.1	-14771.8	52.7746	0.129607	0.0938177	0.110722	0.0997449	0.103545	0.0842087	0.126067	0.0832608	0.114243	0.166825	0.0834487	0.0878197	0.10433	0.122567	0.108648	0.120613	0.128292	0.128678	0.124336	0.0883647	0.0727332	0.0855398	0.169033	0.0986137	0.0274	0.0175414	0.0632332	0.0311799	0.0271196	0.0271292	0.0551849	0.0584193	0.038847	0.0196884	0.0624817	0.0365367	0.0336459	0.0459395	0.0389088	0.0280952	0.0209097	0.0390851	0.021684	4.107262	0.280262	0.289258	0.0951316	0.335349	0.0389433	0.0281897	0.0332689	0.0299706	0.0311126	0.0253024	0.0378796	0.0250176	0.034327	0.0501264	0.0250741	0.0263875	0.0313483	0.0368282	0.0326458	0.036241	0.0385482	0.0386642	0.0373596	0.0265512	0.0218544	0.0257024	0.0507897	0.0296307	0.00823296	0.00527071	0.0189999	0.00936873	0.0081487	0.00815159	0.0165816	0.0175534	0.0116725	0.00591584	0.0187741	0.0109783	0.0101097	0.0138036	0.011691	0.00844186	0.0062828	0.011744	0.00651546	3.328086
160	-14724.3	-14777.1	52.8139	0.139744	0.0934775	0.11032	0.0993832	0.0946821	0.0947303	0.125609	0.0874533	0.113829	0.16622	0.106938	0.0759488	0.0890841	0.108491	0.108254	0.129394	0.123898	0.128211	0.123885	0.0880443	0.08891	0.0650886	0.16842	0.0919787	0.0273007	0.036175	0.0524569	0.0359185	0.0270213	0.0208994	0.0581262	0.0709909	0.0468623	0.0309931	0.0403565	0.0411999	0.0335239	0.0520461	0.0387677	0.0250296	0.026483	0.0237972	0.0181421	4.040632	0.270883	0.305314	0.099677	0.324127	0.0419894	0.0280875	0.0331482	0.029862	0.0284494	0.0284639	0.0377423	0.0262773	0.0342025	0.0499447	0.032132	0.0228206	0.0267674	0.0325987	0.0325275	0.0388795	0.037228	0.038524	0.0372241	0.0264549	0.026715	0.0195574	0.0506056	0.0276371	0.00820311	0.0108696	0.0157619	0.0107925	0.00811916	0.0062797	0.0174654	0.0213308	0.0140809	0.00931258	0.012126	0.0123795	0.010073	0.0156384	0.0116486	0.00752072	0.00795744	0.00715043	0.0054512	3.328086
170	-14730.9	-14783.7	52.8403	0.142514	0.0953304	0.116076	0.0852428	0.0965588	0.0966079	0.111887	0.0891867	0.116029	0.163505	0.0617955	0.0774542	0.121866	0.114806	0.1104	0.133675	0.126354	0.104569	0.158128	0.0588202	0.0890482	0.102852	0.209125	0.0938018	0.0162768	0.0324088	0.056841	0.0126661	0.0229357	0.025421	0.0479037	0.0475278	0.0380163	0.0435613	0.0535827	0.0559396	0.0233748	0.0515382	0.0140389	0.0216552	0.0390853	0.0280546	0.0144854	4.040632	0.270843	0.305269	0.0996624	0.324225	0.0429138	0.0287058	0.0349527	0.0256682	0.0290757	0.0290905	0.0336914	0.0268558	0.0349386	0.0492346	0.0186078	0.0233229	0.0366962	0.0345703	0.0332435	0.040252	0.0380475	0.0314877	0.0476154	0.0177119	0.0268141	0.0309706	0.0629715	0.0282455	0.00490126	0.0097589	0.0171159	0.00381401	0.00690638	0.00765474	0.0144247	0.0143115	0.0114474	0.0131171	0.0161348	0.0168445	0.0070386	0.0155191	0.00422738	0.00652078	0.0117693	0.00844776	0.00436182	3.320947
180	-14733.8	-14786.2	52.4123	0.170784	0.0945776	0.120503	0.088494	0.109331	0.0794508	0.11919	0.0925883	0.120455	0.163616	0.0942961	0.0804084	0.114593	0.119185	0.114968	0.138773	0.126414	0.133461	0.104011	0.0872549	0.135241	0.0856305	0.155141	0.0973795	0.0214697	0.0307813	0.0758719	0.056335	0.0290298	0.0222579	0.0557693	0.0496298	0.0385419	0.0452228	0.0579985	0.0404082	0.0292299	0.0450769	0.0152945	0.0280612	0.0251234	0.0213512	0.0130718	3.979833	0.277938	0.287069	0.102273	0.332719	0.049556	0.0274434	0.0349663	0.0256782	0.0317245	0.0230541	0.0345852	0.0268662	0.0349521	0.0474762	0.0273618	0.023332	0.0332513	0.0345837	0.0333601	0.0402677	0.0366815	0.0387262	0.0301808	0.0253186	0.0392427	0.0248473	0.0450171	0.0282565	0.00622982	0.00893176	0.0220157	0.0163467	0.00842354	0.00645853	0.0161825	0.014401	0.0111836	0.0131222	0.0168293	0.0117252	0.00848159	0.0130799	0.00443799	0.00814249	0.00729003	0.00619544	0.00379304	3.446272
190	-14717.5	-14770.3	52.7839	0.14905	0.102965	0.112224	0.0824138	0.115719	0.0923476	0.13373	0.089468	0.112178	0.176693	0.084566	0.0748837	0.105678	0.108064	0.107069	0.11613	0.132497	0.124291	0.127948	0.0812598	0.120545	0.079747	0.166811	0.0996647	0.0381836	0.0279588	0.0405337	0.0229484	0.0290433	0.0217896	0.0527786	0.0559695	0.0365114	0.0283254	0.0610979	0.0376319	0.0424661	0.0486234	0.019371	0.0323171	0.0233972	0.0254651	0.0128717	3.935204	0.278497	0.287646	0.100469	0.333388	0.0444496	0.0307061	0.0334674	0.0245774	0.0345097	0.0275399	0.0398811	0.0266812	0.0334539	0.0526934	0.0252193	0.0223318	0.0315154	0.0322268	0.0319301	0.0346324	0.0395133	0.0370662	0.0381566	0.0242333	0.035949	0.0237822	0.0497465	0.029722	0.0113871	0.00833787	0.012088	0.00684369	0.00866129	0.00649811	0.0157396	0.0166912	0.0108884	0.00844721	0.0182206	0.0112226	0.0126643	0.0145005	0.00577682	0.00963761	0.00697753	0.00759421	0.0038386	3.353228
