Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
100	-15339.7	-15396.7	56.9946	0.121337	0.10197	0.10868	0.0910698	0.117043	0.0909781	0.103849	0.0620525	0.0949492	0.164165	0.0665505	0.092055	0.0897182	0.0894262	0.0965529	0.1075	0.138843	0.10447	0.0998015	0.0667195	0.120466	0.0976764	0.171717	0.0411377	0.0231765	0.0218253	0.0394461	0.0405508	0.0191666	0.0406047	0.0202783	0.0485865	0.0289279	0.0222321	0.0301248	0.0399532	0.016575	0.102893	0.062098	0.0192133	0.0269964	0.0307668	0.0145291	0.207552	0.309397	0.105124	0.377927	0.0393101	0.0330355	0.0352094	0.0295042	0.0379188	0.0294745	0.0336443	0.0201034	0.030761	0.0531851	0.0215606	0.0298234	0.0290663	0.0289717	0.0312806	0.0348271	0.0449816	0.0338455	0.0323331	0.0216153	0.0390279	0.0316446	0.0556318	0.0133275	0.00750856	0.00707083	0.0127795	0.0131374	0.00620946	0.0131548	0.00656962	0.0157407	0.00937186	0.00720261	0.00975964	0.0129438	0.00536987	0.0333345	0.0201181	0.00622462	0.00874612	0.00996762	0.00470705	3.086672
110	-15337.4	-15394.1	56.7125	0.118203	0.0985064	0.0855853	0.0990944	0.127356	0.104454	0.113	0.0675203	0.103316	0.126604	0.0732522	0.100166	0.0976237	0.0848194	0.105061	0.116972	0.149367	0.111561	0.108596	0.0725985	0.0866384	0.0942059	0.15973	0.0655959	0.0316401	0.019818	0.0466155	0.0346137	0.0321807	0.0482365	0.0256539	0.0467318	0.0444082	0.0189948	0.0227099	0.0504732	0.0459057	0.0717247	0.0420243	0.0267781	0.0360446	0.0334778	0.0154695	0.202661	0.311306	0.105773	0.38026	0.0373667	0.0311401	0.0270555	0.031326	0.0402602	0.0330202	0.0357218	0.0213447	0.0326604	0.0400226	0.0231567	0.0316649	0.0308611	0.0268133	0.0332121	0.0369776	0.0472185	0.0352669	0.0343295	0.02295	0.0273884	0.0297807	0.0504942	0.0207364	0.0100022	0.00626491	0.0147362	0.0109422	0.0101731	0.0152487	0.00810977	0.014773	0.0140384	0.00600469	0.00717911	0.0159557	0.0145118	0.0226738	0.0132848	0.00846516	0.0113945	0.0105831	0.00489028	3.163326
120	-15343.1	-15400.2	57.1234	0.138056	0.0927955	0.0932958	0.108005	0.133455	0.0961385	0.120419	0.0666162	0.0923008	0.157695	0.0722714	0.0905963	0.0914786	0.0889644	0.105948	0.115406	0.109849	0.102133	0.108595	0.0716264	0.0854783	0.0929446	0.120665	0.0512438	0.0312165	0.0164896	0.0489429	0.0354404	0.0340369	0.0475907	0.0180098	0.036421	0.0207121	0.0302087	0.0335945	0.0561259	0.0272496	0.0675583	0.0293956	0.0145933	0.0327853	0.0482645	0.016995	0.206912	0.315032	0.0932456	0.384811	0.0452405	0.0304087	0.0305727	0.0353927	0.0437328	0.0315042	0.0394607	0.0218299	0.0302466	0.0516761	0.0236831	0.0296881	0.0299772	0.0291533	0.0347186	0.0378181	0.0359972	0.0334684	0.0355862	0.0234717	0.0280109	0.0304576	0.0395416	0.0167924	0.0102295	0.00540358	0.0160384	0.0116137	0.0111538	0.0155953	0.00590175	0.011935	0.00678726	0.00989928	0.0110088	0.0183922	0.00892959	0.0221386	0.00963281	0.00478218	0.0107436	0.0158161	0.0055692	3.051608
130	-15337.7	-15394.3	56.6218	0.149117	0.0922439	0.0927413	0.112692	0.110619	0.0855189	0.123671	0.0818757	0.0917522	0.169507	0.0805257	0.0840896	0.0909349	0.112478	0.118391	0.11472	0.144309	0.116466	0.10795	0.0709511	0.0845201	0.0866054	0.165118	0.057393	0.0201487	0.0200546	0.0273333	0.022552	0.0219049	0.0470844	0.0216032	0.0514156	0.0260681	0.020545	0.00749694	0.0557923	0.0451624	0.0715253	0.060358	0.0291093	0.0301964	0.0480872	0.0173059	0.207274	0.315583	0.0934087	0.383735	0.0467755	0.0289353	0.0290913	0.0353497	0.0346992	0.0268258	0.0387934	0.025683	0.0287811	0.0531715	0.0252595	0.0263774	0.0285247	0.0352825	0.0371371	0.0359857	0.0452673	0.0365335	0.033862	0.0222561	0.0265125	0.0271666	0.0517947	0.0180032	0.00632029	0.00629077	0.008574	0.00707417	0.00687119	0.0147696	0.00677655	0.0161282	0.00817713	0.00644463	0.00235166	0.0175011	0.0141667	0.0224363	0.0189333	0.00913109	0.0094721	0.0150841	0.00542857	3.187934
140	-15332.6	-15389.2	56.6218	0.141116	0.091805	0.106024	0.109139	0.107616	0.0840372	0.117035	0.0774827	0.0939078	0.160413	0.0832829	0.103016	0.0860558	0.097216	0.0993459	0.130681	0.136566	0.112537	0.129163	0.0671443	0.0799852	0.0678877	0.163672	0.0599755	0.0344843	0.0231361	0.0462099	0.0299471	0.0265978	0.0497105	0.0162652	0.0489907	0.0228483	0.0207935	0.0390677	0.045022	0.0353156	0.0676876	0.0571195	0.0298809	0.0232961	0.043982	0.0224732	0.21543	0.307362	0.100732	0.376475	0.0442658	0.0287976	0.033258	0.0342351	0.0337572	0.026361	0.036712	0.024305	0.0294573	0.0503187	0.0261244	0.0323145	0.0269942	0.030495	0.0311631	0.0409925	0.0428385	0.0353008	0.0405163	0.021062	0.02509	0.0212952	0.0513411	0.0188133	0.0108171	0.0072574	0.0144953	0.0093939	0.00834326	0.0155933	0.00510212	0.0153675	0.00716711	0.00652256	0.0122549	0.0141226	0.0110779	0.0212324	0.0179174	0.00937312	0.00730759	0.0137964	0.00704947	3.187934
150	-15331.5	-15388.2	56.6218	0.118088	0.109176	0.107833	0.111001	0.109452	0.0683146	0.116172	0.0788044	0.0955097	0.163149	0.0824014	0.0713873	0.121672	0.0921738	0.114588	0.132911	0.138896	0.11169	0.131367	0.082058	0.0813497	0.0777019	0.166464	0.039062	0.0600972	0.0193461	0.0412382	0.0328517	0.0237601	0.0567891	0.0261268	0.0409842	0.0352043	0.0255551	0.0170884	0.0462208	0.0410137	0.0684811	0.0335325	0.0181469	0.0373649	0.0308106	0.0121018	0.215851	0.307963	0.105159	0.371027	0.0370422	0.0342467	0.0338253	0.0348191	0.0343331	0.0214291	0.0364412	0.0247196	0.0299598	0.051177	0.0258479	0.022393	0.0381663	0.0289133	0.0359444	0.0416918	0.0435693	0.0350351	0.0412075	0.0257402	0.025518	0.0243738	0.0522169	0.0122531	0.0188514	0.00606855	0.0129357	0.010305	0.00745313	0.0178138	0.00819553	0.012856	0.011043	0.0080162	0.00536033	0.0144987	0.0128653	0.0214814	0.0105186	0.00569238	0.0117207	0.00966474	0.00379614	3.187934
160	-15332.3	-15388.9	56.6218	0.110702	0.110499	0.091133	0.103171	0.129241	0.0691425	0.155978	0.0800442	0.0966672	0.149347	0.0790572	0.0852287	0.0816975	0.0932908	0.130748	0.134521	0.140579	0.128276	0.124109	0.0742851	0.075457	0.0779161	0.167546	0.0533698	0.0218493	0.0132308	0.041738	0.04897	0.024048	0.0494765	0.0174643	0.037249	0.0399865	0.0175714	0.0232164	0.0616255	0.0276614	0.0701406	0.0456862	0.02441	0.0254994	0.0288012	0.0273027	0.215341	0.307235	0.107272	0.370151	0.0347252	0.0346617	0.0285869	0.032363	0.0405405	0.0216888	0.0489277	0.0251085	0.0303228	0.0468477	0.0247989	0.0267348	0.0256271	0.0292637	0.0410134	0.042197	0.0440973	0.0402379	0.038931	0.023302	0.0236695	0.0244409	0.0525562	0.0167412	0.00685376	0.00415026	0.0130925	0.0153611	0.00754345	0.0155199	0.00547823	0.0116844	0.0125431	0.00551185	0.0072826	0.0193309	0.00867691	0.0220019	0.014331	0.00765701	0.00799872	0.00903445	0.00856439	3.187934
170	-15334.8	-15391.4	56.6218	0.142172	0.0966973	0.0939318	0.101827	0.108499	0.0682417	0.153946	0.0841814	0.0939919	0.147402	0.0780272	0.0841183	0.0934277	0.0920754	0.102983	0.132769	0.112656	0.114955	0.11049	0.0795146	0.0810646	0.0763932	0.184728	0.0563008	0.0295469	0.0286608	0.0463253	0.0438139	0.0196834	0.0427833	0.00876532	0.0367637	0.0378083	0.0454283	0.0309605	0.0608226	0.0339213	0.0629609	0.045091	0.0380659	0.0326758	0.0265164	0.026947	0.215341	0.307235	0.107272	0.370151	0.0445968	0.0303323	0.0294648	0.0319414	0.0340343	0.0214063	0.0482903	0.0264062	0.0294836	0.0462373	0.0244758	0.0263865	0.0293067	0.0288825	0.0323041	0.0416473	0.0353383	0.0360595	0.0346589	0.0249424	0.0254286	0.0239632	0.057946	0.0176606	0.00926836	0.00899041	0.0145315	0.0137437	0.00617435	0.0134204	0.00274953	0.0115322	0.0118598	0.0142501	0.00971179	0.019079	0.0106405	0.0197498	0.0141443	0.0119406	0.0102498	0.00831774	0.00845281	3.187934
180	-15338.3	-15394.9	56.6218	0.129439	0.100672	0.0817334	0.106012	0.111083	0.0646765	0.127253	0.0876415	0.0985649	0.15346	0.0847091	0.0875758	0.132621	0.09586	0.0940294	0.138226	0.142472	0.11968	0.123457	0.0827829	0.0837663	0.0936408	0.18542	0.046452	0.0148225	0.0213781	0.0480914	0.0392628	0.0299824	0.0430132	0.0101361	0.023538	0.0326326	0.0472956	0.0327264	0.0350183	0.0353155	0.0655488	0.0416711	0.0318652	0.0285758	0.0178958	0.0179365	0.215438	0.307374	0.106871	0.370318	0.0406028	0.031579	0.0256384	0.0332542	0.0348449	0.0202879	0.0399169	0.0274916	0.0309181	0.0481378	0.0265718	0.027471	0.0416009	0.0300696	0.0294954	0.0433591	0.0446912	0.0375416	0.0387264	0.0259676	0.0262761	0.0293735	0.058163	0.0145712	0.00464955	0.00670594	0.0150854	0.0123161	0.00940497	0.0134925	0.00317952	0.00738347	0.0102363	0.0148358	0.0102657	0.0109846	0.0110779	0.0205615	0.0130715	0.00999555	0.00896373	0.00561359	0.00562636	3.187934
190	-15336.3	-15393.2	56.9496	0.118768	0.0910056	0.117534	0.0987301	0.0939481	0.100532	0.126839	0.0781397	0.0904392	0.173497	0.0725728	0.0693602	0.101946	0.0811745	0.106098	0.126831	0.1224	0.110957	0.13402	0.0572169	0.0768606	0.0844895	0.170134	0.0304693	0.0371775	0.0132602	0.0441267	0.0326634	0.0275106	0.0571771	0.0197067	0.0265078	0.039884	0.023237	0.0300284	0.0514428	0.0440451	0.0900258	0.0351229	0.0158557	0.0124311	0.0405106	0.0242364	0.219802	0.293343	0.109036	0.377819	0.0383257	0.029367	0.0379275	0.0318596	0.0303165	0.0324412	0.0409301	0.0252152	0.0291842	0.0559864	0.0234188	0.0223821	0.0328974	0.0261945	0.0342371	0.0409274	0.0394978	0.0358053	0.0432474	0.0184635	0.0248024	0.0272642	0.0549011	0.00983226	0.0119969	0.00427898	0.0142394	0.0105403	0.00887752	0.0184507	0.00635922	0.00855389	0.0128703	0.00749844	0.00968997	0.0166003	0.0142131	0.0290508	0.011334	0.00511654	0.00401145	0.0130725	0.00782094	3.098912
