Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
100	-15763.2	-15818.1	54.8542	0.126615	0.0959104	0.115312	0.108117	0.106409	0.0702249	0.150509	0.0920484	0.0857685	0.172849	0.0587829	0.0836738	0.0769442	0.109925	0.10448	0.126475	0.135254	0.113306	0.113462	0.0742755	0.0793246	0.0825641	0.167447	0.0217901	0.052332	0.0388247	0.0313422	0.0369544	0.038861	0.0529311	0.0414619	0.0296827	0.0190831	0.0869908	0.0295539	0.0215316	0.0234999	0.0238628	0.0463251	0.0600995	0.0150749	0.0290733	0.0324305	0.0397986	0.0301474	0.036246	0.0339842	0.0334474	0.0220737	0.0473093	0.0289335	0.0269595	0.0543315	0.0184772	0.0263011	0.0241858	0.0345526	0.0328409	0.0397547	0.0425143	0.0356154	0.0356644	0.0233469	0.024934	0.0259523	0.0526333	0.00684927	0.0164495	0.0122037	0.00985175	0.0116158	0.0122151	0.0166378	0.0130327	0.00933012	0.00599838	0.0273437	0.00928963	0.006768	0.00738669	0.00750076	0.0145613	0.018891	0.00473847	0.00913857	0.0101938	3.181383
110	-15760.8	-15815.8	54.9515	0.139057	0.0910396	0.110187	0.103311	0.10168	0.0689746	0.144256	0.0879572	0.116507	0.186295	0.0685104	0.0799549	0.102342	0.104284	0.0977645	0.120854	0.112597	0.114171	0.108419	0.0709743	0.0892158	0.0788945	0.160004	0.032926	0.0528115	0.0282956	0.0180993	0.0538089	0.047859	0.0461441	0.0269783	0.0236705	0.0189216	0.0804988	0.0265481	0.0106095	0.0268801	0.0228022	0.0519235	0.0452482	0.0359661	0.0277811	0.0199568	0.0440755	0.0288559	0.0349248	0.0327455	0.0322283	0.0218621	0.0457231	0.0278789	0.036928	0.059048	0.021715	0.0253425	0.0324382	0.0330537	0.0309874	0.0383057	0.0356887	0.0361874	0.0343645	0.022496	0.0282778	0.0250063	0.0507149	0.0104362	0.0167391	0.00896854	0.00573673	0.0170552	0.0151694	0.0146258	0.00855103	0.00750259	0.00599739	0.0255148	0.00841468	0.00336277	0.0085199	0.00722737	0.0164576	0.0143418	0.0113998	0.00880548	0.0063255	3.154979
120	-15764.1	-15819	54.9515	0.116871	0.0939774	0.1125	0.100537	0.104961	0.101374	0.118346	0.0789645	0.0822926	0.172498	0.086874	0.0806617	0.105644	0.091503	0.0982922	0.124396	0.11623	0.115352	0.0903532	0.082999	0.0780803	0.087989	0.165168	0.0198989	0.0545168	0.0293108	0.0125479	0.0463206	0.0494034	0.0374618	0.0299061	0.0474526	0.0217964	0.0830964	0.0407006	0.0160343	0.0294918	0.0145489	0.0524191	0.0478843	0.0403434	0.0286776	0.0473025	0.0370432	0.029787	0.0356581	0.0318663	0.0332683	0.0321316	0.037511	0.0250285	0.0260834	0.0546749	0.0275355	0.0255665	0.033485	0.0290027	0.0311546	0.0394285	0.0368403	0.0365618	0.0286383	0.0263073	0.0247483	0.0278889	0.0523514	0.00630714	0.0172796	0.00929032	0.00397716	0.0146818	0.0156589	0.0118739	0.00947903	0.0150406	0.00690857	0.0263382	0.0129004	0.00508221	0.00934772	0.0046114	0.0166147	0.0151774	0.0127872	0.00908962	0.014993	3.154979
130	-15768.1	-15823	54.9642	0.123984	0.11006	0.124584	0.110766	0.111349	0.069215	0.125549	0.0686254	0.0886537	0.15489	0.0888555	0.0855709	0.0913469	0.0970721	0.105937	0.113962	0.127987	0.125627	0.0928256	0.0862859	0.0828325	0.0813936	0.17522	0.017647	0.0399682	0.0206249	0.0179774	0.0372108	0.0377502	0.0451197	0.0454317	0.0360353	0.0246812	0.0881538	0.0215704	0.00661027	0.0232841	0.0290154	0.0383979	0.0652286	0.0391918	0.0430424	0.0319812	0.039341	0.0349229	0.0395313	0.0351469	0.0353319	0.0219625	0.0398378	0.0217754	0.0281305	0.0491478	0.0281945	0.0271523	0.0289851	0.0308017	0.0336148	0.0361609	0.0406113	0.0398624	0.0294543	0.0273792	0.0262834	0.0258268	0.0555987	0.00559953	0.0126822	0.00654445	0.00570438	0.0118073	0.0119784	0.0143168	0.0144158	0.0114343	0.00783153	0.0279719	0.00684444	0.00209749	0.00738822	0.00920682	0.012184	0.0206976	0.0124359	0.0136577	0.0101479	3.151514
140	-15757.7	-15812.6	54.9642	0.121927	0.0853187	0.122517	0.108928	0.117516	0.0717245	0.10913	0.0833942	0.0980535	0.1648	0.0722396	0.0781941	0.105541	0.0954618	0.096916	0.106278	0.13616	0.111722	0.113559	0.0668725	0.0814584	0.0800434	0.150349	0.0279637	0.027436	0.039406	0.0309578	0.0611761	0.0526839	0.0460562	0.0287838	0.0354375	0.031044	0.0866915	0.0306972	0.0224478	0.0269407	0.0285341	0.0478523	0.0478949	0.0399792	0.032619	0.0288086	0.0386884	0.0270723	0.0388756	0.0345638	0.0372889	0.0227588	0.0346277	0.0264616	0.0311131	0.0522924	0.0229222	0.0248116	0.0334889	0.0302908	0.0307522	0.0337227	0.0432047	0.0354502	0.0360332	0.0212192	0.0258474	0.0253984	0.0477068	0.00887309	0.00870567	0.0125038	0.00982315	0.0194117	0.016717	0.014614	0.00913333	0.0112446	0.0098505	0.0275079	0.00974046	0.00712288	0.00854849	0.00905409	0.0151839	0.0151974	0.0126857	0.0103503	0.00914118	3.151514
150	-15761.7	-15816.7	54.9642	0.117213	0.0907045	0.111326	0.111043	0.10652	0.0848539	0.125621	0.0801702	0.0932457	0.158429	0.0608807	0.0873388	0.0807431	0.0949268	0.104015	0.137174	0.130896	0.107403	0.109169	0.0689139	0.0780658	0.0773209	0.16407	0.0261534	0.0512695	0.0398774	0.0423225	0.0502907	0.0672334	0.0433113	0.0336415	0.0415112	0.0295919	0.08088	0.0246428	0.0175967	0.0211716	0.00529156	0.0460024	0.0460433	0.0449376	0.0281996	0.0315021	0.0371927	0.0287813	0.0353246	0.0352347	0.0337996	0.0269248	0.0398606	0.0254386	0.0295876	0.0502708	0.0193179	0.0277133	0.0256204	0.030121	0.0330047	0.0435262	0.0415344	0.0340798	0.0346402	0.0218669	0.0247709	0.0245345	0.0520607	0.00829869	0.0162682	0.0126534	0.0134293	0.0159576	0.0213337	0.013743	0.0106747	0.0131718	0.00938976	0.0256638	0.00781935	0.00558358	0.00671793	0.00167905	0.0145969	0.0146099	0.014259	0.00894795	0.00999587	3.151514
160	-15760.2	-15815.2	54.9642	0.124873	0.0973341	0.0826149	0.101221	0.113481	0.0805358	0.133831	0.0854095	0.083026	0.168783	0.0992219	0.0737958	0.0916451	0.10245	0.105937	0.115284	0.122569	0.114422	0.109964	0.0734175	0.0855221	0.0701333	0.177549	0.0278626	0.0298279	0.0231717	0.0450883	0.0589929	0.0716273	0.0338228	0.03584	0.0396424	0.0315258	0.0709076	0.0399906	0.0280728	0.0218363	0.0125482	0.0490087	0.0367206	0.0233353	0.031185	0.0274874	0.0396233	0.0308849	0.0262144	0.0321182	0.0360085	0.0255547	0.0424656	0.0271011	0.0263448	0.0535561	0.0314839	0.023416	0.0290797	0.0325083	0.0336145	0.0365804	0.038892	0.0363069	0.0348923	0.023296	0.0271368	0.0222539	0.0563378	0.00884103	0.00946462	0.00735255	0.0143069	0.0187189	0.0227279	0.0107323	0.0113723	0.0125788	0.0100034	0.0224995	0.0126893	0.00890773	0.00692884	0.00398164	0.0155509	0.0116517	0.00740446	0.00989524	0.00872197	3.151514
170	-15762.7	-15817	54.3344	0.140347	0.109509	0.0897333	0.0956667	0.127676	0.084438	0.130509	0.0950038	0.0995903	0.150718	0.0852376	0.0830264	0.103108	0.0786731	0.114469	0.129704	0.142758	0.128734	0.121172	0.0826008	0.102573	0.0647274	0.173559	0.0268606	0.041989	0.034039	0.0278759	0.0482254	0.0597614	0.0380535	0.0418834	0.044919	0.0133838	0.0815449	0.0426151	0.0249397	0.0208487	0.0198759	0.0456787	0.057144	0.0512289	0.034539	0.0332134	0.0422458	0.0329633	0.0270106	0.0287966	0.0384316	0.0254167	0.0392844	0.0285971	0.0299777	0.0453675	0.0256574	0.0249917	0.0310366	0.0236814	0.0344562	0.039042	0.0429715	0.0387502	0.036474	0.0248636	0.0308755	0.0194836	0.0522429	0.00808529	0.0126391	0.0102461	0.00839092	0.0145163	0.0179888	0.0114545	0.0126073	0.0135211	0.00402867	0.0245458	0.0128275	0.00750708	0.00627566	0.00598284	0.0137497	0.0172009	0.0154204	0.0103966	0.00999756	3.322152
180	-15762.4	-15816.7	54.3344	0.110293	0.112125	0.0918766	0.109309	0.115071	0.0887301	0.136862	0.0926532	0.0904578	0.147092	0.0872736	0.0776035	0.136717	0.102942	0.107367	0.133492	0.146168	0.112535	0.128716	0.076685	0.0883107	0.106892	0.177704	0.0322462	0.0413739	0.0276062	0.0232635	0.0493773	0.0421463	0.0501114	0.0429726	0.045992	0.0168722	0.0834927	0.0191903	0.0217647	0.0240532	0.0203507	0.0467697	0.0338462	0.0353792	0.0470259	0.0414415	0.0331992	0.0337506	0.0276558	0.0329031	0.0346375	0.0267086	0.0411969	0.0278895	0.0272287	0.0442762	0.0262702	0.0233594	0.0411533	0.0309866	0.0323186	0.0401824	0.0439979	0.0338742	0.0387446	0.0230829	0.0265824	0.0321756	0.0534907	0.00970641	0.0124539	0.00830974	0.00700254	0.014863	0.0126864	0.015084	0.0129352	0.013844	0.00507871	0.0251321	0.00577646	0.00655139	0.00724024	0.00612575	0.0140781	0.010188	0.0106495	0.0141552	0.0124743	3.322152
190	-15764.5	-15818.9	54.3344	0.110663	0.093242	0.0921851	0.0967332	0.115458	0.089028	0.132404	0.0726983	0.102155	0.147586	0.0810629	0.0865965	0.137177	0.103288	0.124834	0.13394	0.150681	0.139107	0.127983	0.0707868	0.095178	0.106531	0.163769	0.0201005	0.0531605	0.0245808	0.0236934	0.0573319	0.0436207	0.0527413	0.0363622	0.0292779	0.0174073	0.0868027	0.0440072	0.0209088	0.0254473	0.0153233	0.0463978	0.0438053	0.0282378	0.0489307	0.0309282	0.0333107	0.0280667	0.0277486	0.0291176	0.0347538	0.0267983	0.0398548	0.0218829	0.0307496	0.0444248	0.0244007	0.0260664	0.0412915	0.0310907	0.0375761	0.0403173	0.0453565	0.0418726	0.0385242	0.0213075	0.0286495	0.032067	0.0492962	0.00605044	0.0160018	0.00739905	0.00713196	0.0172574	0.0131302	0.0158756	0.0109454	0.00881292	0.00523977	0.0261285	0.0132466	0.00629376	0.00765989	0.00461246	0.0139662	0.0131858	0.00849984	0.0147286	0.00930969	3.322152
