Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	rel_branch_lengths[1]	rel_branch_lengths[2]	rel_branch_lengths[3]	rel_branch_lengths[4]	rel_branch_lengths[5]	rel_branch_lengths[6]	rel_branch_lengths[7]	rel_branch_lengths[8]	rel_branch_lengths[9]	rel_branch_lengths[10]	rel_branch_lengths[11]	rel_branch_lengths[12]	rel_branch_lengths[13]	rel_branch_lengths[14]	rel_branch_lengths[15]	rel_branch_lengths[16]	rel_branch_lengths[17]	rel_branch_lengths[18]	rel_branch_lengths[19]	rel_branch_lengths[20]	rel_branch_lengths[21]	rel_branch_lengths[22]	rel_branch_lengths[23]	rel_branch_lengths[24]	rel_branch_lengths[25]	rel_branch_lengths[26]	rel_branch_lengths[27]	rel_branch_lengths[28]	rel_branch_lengths[29]	rel_branch_lengths[30]	rel_branch_lengths[31]	rel_branch_lengths[32]	rel_branch_lengths[33]	rel_branch_lengths[34]	rel_branch_lengths[35]	rel_branch_lengths[36]	rel_branch_lengths[37]	rel_branch_lengths[38]	rel_branch_lengths[39]	rel_branch_lengths[40]	rel_branch_lengths[41]	rel_branch_lengths[42]	rel_branch_lengths[43]	TL
100	-14466.4	-14528.3	61.849	0.135004	0.102653	0.126255	0.0762269	0.0973747	0.0652479	0.117329	0.0695327	0.0961415	0.185485	0.103033	0.0607221	0.11752	0.0853338	0.111676	0.100084	0.138162	0.0853852	0.135808	0.0841644	0.090222	0.0887229	0.160379	0.0414122	0.0162347	0.025301	0.024448	0.0164871	0.0171791	0.0405489	0.012816	0.0397967	0.0209936	0.0458401	0.0270198	0.0161456	0.043005	0.0305589	0.0485774	0.0826214	0.0282869	0.0150468	0.0436698	0.207598	0.268113	0.0607786	0.0236667	0.428079	0.0117652	0.260573	0.224573	0.171265	0.343589	0.0439975	0.0334542	0.0411463	0.0248421	0.0317341	0.0212641	0.0382371	0.0226605	0.0313322	0.0604491	0.0335783	0.0197892	0.0382994	0.0278101	0.036395	0.0326172	0.0450267	0.0278268	0.0442593	0.027429	0.0294031	0.0289145	0.0522672	0.0134961	0.00529083	0.00824553	0.00796752	0.00537309	0.00559862	0.0132148	0.00417669	0.0129696	0.00684177	0.0149392	0.00880568	0.00526181	0.0140152	0.00995906	0.0158312	0.0269261	0.00921862	0.0049037	0.0142319	3.068453
110	-14472.1	-14534.2	62.0921	0.128563	0.100314	0.0857596	0.0751419	0.0800529	0.076461	0.115659	0.0664052	0.094773	0.182845	0.0729168	0.0692136	0.0985595	0.0841192	0.108296	0.110277	0.117859	0.122929	0.14285	0.0618183	0.0957035	0.0780926	0.156563	0.0596716	0.0190878	0.0250885	0.02164	0.0223481	0.0271093	0.0534203	0.0170208	0.0392302	0.0160837	0.0451877	0.0266352	0.023942	0.0325214	0.04218	0.0453878	0.0698677	0.0300328	0.00860679	0.0520016	0.208078	0.268733	0.0609192	0.0237215	0.429069	0.00947858	0.260573	0.224573	0.171265	0.343589	0.0428224	0.0334131	0.0285653	0.0250287	0.0266644	0.025468	0.0385242	0.0221186	0.0315675	0.060903	0.0242875	0.023054	0.0328287	0.0280189	0.0360717	0.0367315	0.0392569	0.0409458	0.0475812	0.0205908	0.0318774	0.0260115	0.0521489	0.0198757	0.00635786	0.00835659	0.00720797	0.00744383	0.0090297	0.0177935	0.00566938	0.013067	0.00535723	0.0150513	0.0088718	0.00797474	0.0108324	0.0140495	0.015118	0.0232719	0.0100035	0.0028668	0.017321	3.002234
120	-14460	-14522.1	62.0921	0.119893	0.105111	0.089861	0.0877369	0.0989889	0.0801177	0.12119	0.0561731	0.0993055	0.19159	0.0912482	0.0625287	0.0974748	0.0775955	0.110026	0.112937	0.127033	0.111909	0.116318	0.0795006	0.10028	0.0818273	0.16416	0.0304401	0.0147794	0.0270931	0.0390436	0.0190196	0.0233243	0.0509606	0.0141021	0.0387489	0.0164429	0.0359039	0.0319345	0.0135634	0.0335613	0.0298695	0.0475585	0.0735036	0.0276936	0.00717584	0.0447092	0.230138	0.246344	0.0611934	0.0238282	0.431001	0.00749572	0.24894	0.222635	0.163619	0.364806	0.0399347	0.0350111	0.0299314	0.0292239	0.0329717	0.026686	0.0403666	0.0187104	0.0330772	0.0638157	0.0303934	0.0208274	0.0324674	0.0258459	0.0366482	0.0376175	0.042313	0.0372753	0.0387437	0.0264805	0.0334019	0.0272555	0.0546793	0.0101392	0.00492281	0.00902431	0.0130048	0.00633515	0.00776898	0.0169742	0.00469719	0.0129067	0.0054769	0.0119591	0.0106369	0.00451778	0.0111788	0.00994907	0.015841	0.024483	0.00922433	0.00239017	0.014892	3.002234
130	-14460.5	-14522.6	62.0921	0.133669	0.101878	0.113641	0.0887862	0.100173	0.0616825	0.12264	0.0556823	0.083098	0.179952	0.0889133	0.0686989	0.0986406	0.0860547	0.111342	0.13064	0.118481	0.109005	0.138259	0.0804514	0.0791769	0.0884558	0.139889	0.0363866	0.00888292	0.0266569	0.041133	0.0260847	0.0236032	0.0515701	0.0106851	0.0339138	0.027795	0.0425786	0.0260018	0.0233732	0.0466404	0.014805	0.0253446	0.0743827	0.0342369	0.0117299	0.0372209	0.230334	0.246554	0.0542756	0.0238485	0.431368	0.0136205	0.24894	0.222635	0.163619	0.364806	0.0445231	0.033934	0.0378523	0.0295734	0.0333661	0.0205455	0.0408494	0.018547	0.0276787	0.0599395	0.0296157	0.0228826	0.0328557	0.0286635	0.0370865	0.0435143	0.0394644	0.0363078	0.0460519	0.0267972	0.0263727	0.0294633	0.0465948	0.0121198	0.00295877	0.00887901	0.0137008	0.00868843	0.00786189	0.0171772	0.00355904	0.0112962	0.00925811	0.0141823	0.00866083	0.00778526	0.0155352	0.00493133	0.00844191	0.0247758	0.0114038	0.00390705	0.0123977	3.002234
140	-14457.2	-14519.3	62.0921	0.130107	0.0965281	0.112528	0.113946	0.0991414	0.0607105	0.113678	0.0602948	0.0912646	0.19787	0.0707271	0.0774095	0.0971697	0.0903927	0.110196	0.127463	0.113317	0.107882	0.110931	0.0863227	0.0876244	0.0969061	0.140395	0.0324396	0.0171722	0.0294075	0.0446287	0.0148446	0.0146798	0.0421715	0.0138808	0.0337155	0.0307157	0.0416511	0.030408	0.00973031	0.0485459	0.0341584	0.0390362	0.0703743	0.0277178	0.00565046	0.0285017	0.226831	0.25009	0.0534503	0.0234859	0.432695	0.0134481	0.247264	0.221137	0.169249	0.36235	0.0433369	0.0321521	0.0374814	0.0379537	0.0330225	0.0202218	0.0378643	0.0200833	0.0303989	0.0659074	0.0235582	0.025784	0.0323658	0.0301085	0.0367047	0.0424561	0.0377443	0.035934	0.0369494	0.0287528	0.0291864	0.032278	0.0467634	0.0108051	0.00571979	0.00979521	0.0148652	0.00494453	0.00488963	0.0140467	0.0046235	0.0112301	0.0102309	0.0138734	0.0101284	0.00324102	0.0161699	0.0113777	0.0130024	0.0234406	0.00923239	0.00188208	0.00949351	3.002234
150	-14454.9	-14517	62.0921	0.121975	0.0898025	0.10203	0.0796418	0.10268	0.0794522	0.114254	0.0719294	0.0907213	0.183668	0.0739732	0.0658768	0.0912474	0.097241	0.104014	0.143667	0.126812	0.107107	0.124664	0.0666515	0.0869951	0.0866579	0.130375	0.0304067	0.0195224	0.0151646	0.0416728	0.0200975	0.0231789	0.0595926	0.0145085	0.0256553	0.0177336	0.0493371	0.0327	0.0195543	0.0359699	0.0310146	0.047849	0.0998968	0.0200285	0.0151074	0.0418063	0.226753	0.250004	0.0534319	0.0234778	0.432546	0.0137868	0.247264	0.221137	0.169249	0.36235	0.0406281	0.0299119	0.0339848	0.0265275	0.0342011	0.0264644	0.0380565	0.0239586	0.0302179	0.061177	0.0246394	0.0219426	0.0303932	0.0323895	0.0346456	0.0478535	0.0422393	0.0356759	0.0415237	0.0222006	0.0289768	0.0288645	0.0434259	0.010128	0.00650261	0.00505111	0.0138806	0.0066942	0.00772056	0.0198494	0.00483258	0.00854542	0.0059068	0.0164335	0.0108919	0.00651325	0.011981	0.0103305	0.0159378	0.0332742	0.00667119	0.00503205	0.0139251	3.002234
160	-14465.9	-14528	62.0921	0.133949	0.09266	0.102084	0.0924791	0.081427	0.0714948	0.121038	0.0556523	0.09019	0.187684	0.0716125	0.0798165	0.101037	0.0831876	0.111453	0.12287	0.108535	0.106214	0.128001	0.0660958	0.0721829	0.0881129	0.168156	0.0356686	0.0220918	0.0275113	0.0254712	0.0204045	0.0224241	0.041697	0.0185356	0.0397875	0.0316911	0.0489258	0.0252653	0.0340988	0.0300456	0.0239662	0.030042	0.10224	0.0184347	0.0208714	0.0471287	0.22206	0.2484	0.0523261	0.0342072	0.423594	0.0194132	0.254004	0.219157	0.167734	0.359105	0.0446165	0.0308637	0.0340028	0.0308034	0.0271221	0.0238139	0.0403159	0.018537	0.030041	0.0625148	0.0238531	0.0265857	0.0336539	0.0277086	0.0371232	0.0409261	0.0361515	0.0353784	0.0426354	0.0220155	0.0240431	0.0293491	0.0560103	0.0118807	0.00735846	0.0091636	0.0084841	0.00679643	0.00746914	0.0138887	0.00617395	0.0132526	0.0105559	0.0162964	0.00841549	0.0113578	0.0100077	0.00798277	0.0100065	0.0340546	0.00614033	0.00695195	0.0156979	3.002234
170	-14463.5	-14525.9	62.3486	0.124071	0.107644	0.0945564	0.0856593	0.0996742	0.0683606	0.108455	0.0612154	0.0835391	0.173844	0.0663315	0.0734751	0.0940245	0.103256	0.103234	0.11258	0.1365	0.0983816	0.135651	0.0680415	0.0785932	0.0816151	0.155755	0.0330382	0.0153753	0.0266892	0.0387449	0.0135898	0.00713552	0.0386221	0.00489557	0.0418727	0.0293541	0.0453178	0.0307487	0.0176555	0.0512167	0.019533	0.0392348	0.0861469	0.0171294	0.0203	0.0411285	0.22206	0.2484	0.0523261	0.0342072	0.423594	0.0194132	0.257492	0.222166	0.156304	0.364037	0.0423135	0.0367113	0.0322477	0.0292135	0.0339931	0.0233139	0.0369879	0.0208771	0.0284904	0.059288	0.0226219	0.0250581	0.0320663	0.0352145	0.0352071	0.0383946	0.0465522	0.0335523	0.0462627	0.023205	0.0268036	0.0278342	0.0531192	0.0112674	0.00524363	0.00910216	0.0132136	0.00463471	0.00243352	0.0131718	0.0016696	0.0142804	0.010011	0.0154553	0.0104866	0.00602128	0.0174671	0.00666157	0.0133807	0.0293798	0.00584186	0.00692315	0.0140265	2.932186
180	-14460.9	-14523.3	62.3486	0.122539	0.106315	0.107577	0.113751	0.0984431	0.0606572	0.120491	0.0784921	0.0825073	0.171696	0.0556515	0.0725676	0.0928632	0.0976268	0.102201	0.122749	0.12424	0.0971665	0.115636	0.0672024	0.0690448	0.0910057	0.153832	0.0269351	0.0130194	0.0289924	0.0325252	0.0159454	0.0245632	0.0381451	0.0129844	0.0413556	0.0289916	0.0384513	0.0404387	0.0145452	0.0322424	0.0220928	0.0387502	0.0850829	0.0229207	0.0125392	0.0374112	0.231859	0.24758	0.0521535	0.0373254	0.422197	0.00888533	0.257548	0.222149	0.156293	0.36401	0.0417909	0.0362579	0.0366882	0.0387939	0.0335733	0.0206867	0.0410924	0.0267691	0.0281385	0.0585558	0.0189795	0.0247486	0.0316703	0.0332949	0.0348548	0.0418627	0.042371	0.0331379	0.0394368	0.0229189	0.0235472	0.0310368	0.0524632	0.00918601	0.00444018	0.00988763	0.0110925	0.00543806	0.0083771	0.0130091	0.00442823	0.014104	0.00988736	0.0131135	0.0137913	0.00496053	0.010996	0.00753458	0.0132155	0.0290169	0.00781693	0.00427641	0.0127588	2.932186
190	-14465.3	-14527.5	62.1667	0.131988	0.100441	0.0884937	0.112424	0.0972948	0.0877782	0.119085	0.0848497	0.0815449	0.179515	0.082427	0.0717211	0.0896105	0.0804029	0.101009	0.121317	0.126758	0.0960332	0.108636	0.0785277	0.0944117	0.0916654	0.140295	0.028546	0.0191227	0.0232387	0.0409546	0.0203469	0.0284126	0.0410482	0.0126714	0.0558075	0.0322664	0.049327	0.0354655	0.0167571	0.0404238	0.0115167	0.0405195	0.0614026	0.0140523	0.00965595	0.03412	0.220445	0.253157	0.0533282	0.0322782	0.431706	0.00908546	0.257031	0.221704	0.157986	0.363279	0.0442634	0.0336838	0.0296771	0.0377023	0.0326286	0.0294372	0.0399362	0.028455	0.0273468	0.0602019	0.0276426	0.0240523	0.0300516	0.0269638	0.0338741	0.0406848	0.0425095	0.0322055	0.036432	0.0263349	0.0316617	0.0307408	0.047049	0.00957313	0.00641295	0.00779329	0.0137345	0.0068235	0.0095284	0.0137659	0.00424947	0.0187155	0.0108208	0.0165422	0.0118936	0.00561964	0.0135565	0.00386221	0.0135886	0.0205919	0.00471256	0.0032382	0.0114424	2.981886
