Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20056.5	-20039.5	-17.0033	0.0137537	0.188585	0.203451	0.224389	0.0134508	0.43626	0.39342	0.0269984	0.2601	0.0918693	0.0116752	0.193978	0.0624083	0.34997	0.0611356	0.0938678	0.181329	0.100884	0.00476976	0.0246156	0.235736	0.0946977	0.0270672	0.0689751	0.225874	0.0826088	0.104394	0.00173529	0.00826914	0.562589	0.138622	0.0308508	0.0205185	0.591033	0.0754386	0.0824985	0.150935	0.197451	0.00169784	0.114922	0.0704519	0.0440194	0.321939	6.189234
10	-17224.1	-17230.7	6.53177	0.047971	0.1019	0.203451	0.140486	0.0278445	0.132791	0.157986	0.109651	0.216139	0.101911	0.0791994	0.101842	0.0971942	0.11943	0.106112	0.178222	0.116096	0.113383	0.0353455	0.126028	0.0753862	0.158175	0.124824	0.0554257	0.059325	0.0531542	0.0775396	0.00478641	0.00758963	0.129125	0.0521535	0.0176778	0.0345992	0.271294	0.0354301	0.0281896	0.0360735	0.0616406	0.011828	0.0432858	0.0387436	0.0526571	0.0938474	3.835731
20	-16127.8	-16138.9	11.1531	0.14658	0.111786	0.0964588	0.0872154	0.0492147	0.107704	0.113499	0.0930717	0.129268	0.161277	0.101938	0.0955822	0.0971942	0.0885459	0.112202	0.129549	0.24205	0.116972	0.143465	0.0991928	0.0997382	0.0683046	0.174344	0.0368202	0.0692822	0.0295415	0.0515995	0.0158686	0.0114591	0.0649114	0.0939857	0.0124233	0.0364718	0.0813459	0.0278254	0.0306953	0.0230356	0.0322699	0.0195112	0.0296788	0.0111026	0.0170958	0.0135248	3.373599
30	-15846	-15859	13.008	0.12872	0.0833363	0.109531	0.111499	0.112684	0.11375	0.123221	0.0962719	0.0872181	0.15962	0.0775377	0.0798988	0.091428	0.0885459	0.101515	0.131042	0.142102	0.102006	0.127543	0.0773453	0.0886763	0.0864609	0.159616	0.0266458	0.0619696	0.0354852	0.0409579	0.0228817	0.0560868	0.0418851	0.0756103	0.012343	0.0241149	0.0579887	0.0319643	0.0114685	0.031815	0.0209945	0.0442416	0.0284516	0.0250024	0.038767	0.0198708	3.188113
40	-15802.4	-15815.3	12.8962	0.133383	0.0905288	0.0970407	0.108158	0.10073	0.0778963	0.121643	0.0715486	0.0950987	0.185913	0.0882616	0.0870278	0.0930966	0.0915469	0.120886	0.11806	0.131853	0.119568	0.127543	0.0697083	0.0941456	0.0857566	0.144257	0.0199056	0.0579601	0.0400683	0.0333326	0.0267796	0.0350365	0.0272274	0.0629617	0.0221949	0.0494375	0.0551207	0.044354	0.0443245	0.0426114	0.0224679	0.0379336	0.0166952	0.0328605	0.0416619	0.0327072	3.199291
50	-15799	-15811.8	12.7753	0.137461	0.0995911	0.0995612	0.0917711	0.122305	0.0878438	0.108043	0.0735705	0.105678	0.1688	0.0882616	0.0773213	0.0998145	0.104798	0.114687	0.134932	0.115449	0.110008	0.137394	0.0934666	0.0911828	0.0790636	0.192769	0.0202969	0.0470895	0.0330777	0.0288139	0.0226612	0.0395814	0.0344068	0.0942433	0.0105125	0.0179866	0.0428132	0.030809	0.0352521	0.0270056	0.0292829	0.0238996	0.0202499	0.025028	0.0490939	0.0455082	3.211382
60	-15800.8	-15813.1	12.2726	0.147077	0.106724	0.101856	0.107002	0.109718	0.0889921	0.105618	0.0653168	0.117538	0.178193	0.0927711	0.079373	0.103295	0.0858557	0.121925	0.151932	0.13987	0.0975575	0.125503	0.080683	0.0911828	0.0812352	0.173568	0.0193887	0.0509879	0.0484426	0.044481	0.0285442	0.0443159	0.0226073	0.061677	0.00642022	0.0287909	0.053516	0.0431267	0.0270334	0.0270056	0.0325312	0.0272973	0.0216225	0.0356415	0.0471047	0.0383243	3.261646
70	-15799.3	-15812.8	13.5124	0.133952	0.0939214	0.101856	0.118007	0.110367	0.0828794	0.14131	0.0764164	0.0813626	0.169198	0.0777008	0.068286	0.0901373	0.0882614	0.11249	0.136185	0.127063	0.091356	0.120873	0.0661031	0.0855278	0.0683715	0.193892	0.0281111	0.0516528	0.0474695	0.0282141	0.033599	0.0394688	0.0295591	0.0654502	0.0145986	0.0351917	0.0418964	0.040717	0.0261566	0.0241336	0.0327586	0.034309	0.0107274	0.0228429	0.0484585	0.0468356	3.137669
80	-15797.7	-15810.6	12.9405	0.133952	0.10344	0.0841363	0.115058	0.123305	0.0837907	0.124796	0.0957536	0.0920156	0.160619	0.0782371	0.110928	0.0961482	0.0851436	0.11249	0.112933	0.125311	0.130855	0.113881	0.0829529	0.0918698	0.0721356	0.171719	0.0316813	0.0505722	0.0288299	0.0322149	0.0216669	0.0536805	0.0279167	0.0702536	0.0207168	0.0312001	0.0453732	0.0383964	0.0243565	0.0226295	0.0167587	0.0231848	0.0190374	0.0350499	0.049382	0.0504821	3.194855
90	-15809.7	-15821.2	11.4263	0.118645	0.0962181	0.11811	0.108947	0.126964	0.0891106	0.114562	0.0740554	0.0897198	0.192506	0.0859551	0.0749162	0.103792	0.09346	0.11955	0.121572	0.125311	0.13148	0.125772	0.0915952	0.0889331	0.086163	0.202571	0.0233656	0.0431568	0.0377889	0.0557723	0.013319	0.0358295	0.0232542	0.104945	0.0151791	0.032622	0.0629838	0.0424544	0.0142694	0.0275081	0.0395419	0.0241164	0.0204592	0.0276931	0.0520103	0.0700989	3.346277
100	-15806.7	-15819.1	12.3632	0.140412	0.0930808	0.0939579	0.113952	0.149541	0.0970818	0.12328	0.0747482	0.088509	0.162105	0.0725103	0.0710489	0.09769	0.09346	0.103515	0.114176	0.150775	0.139356	0.108177	0.0912162	0.0787128	0.0874613	0.183563	0.0294884	0.0310963	0.0434888	0.0347893	0.018394	0.0551064	0.0330482	0.0643262	0.0141793	0.0337712	0.0584596	0.0453749	0.020175	0.0208869	0.0435332	0.0347462	0.0221275	0.0323561	0.0470483	0.0418594	3.252583
