Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15800.8	-15814.3	13.5007	0.129328	0.103033	0.10794	0.104477	0.0871136	0.084269	0.122579	0.072042	0.0926775	0.158352	0.0805863	0.0688674	0.0991959	0.104193	0.112246	0.1082	0.119268	0.102799	0.135638	0.0760524	0.0859751	0.0839122	0.17773	0.0354073	0.076438	0.0250201	0.0173926	0.0944572	0.0520437	0.0136115	0.0193824	0.0241343	0.026668	0.0449028	0.0318636	0.0216709	0.0387569	0.0404978	0.0241048	0.0443342	0.0360222	0.0257382	0.0299165	3.138838
110	-15811.4	-15824.8	13.3874	0.118911	0.10468	0.080414	0.125982	0.104786	0.0827376	0.106926	0.0946559	0.0822206	0.158352	0.0988428	0.0762948	0.090083	0.096358	0.116463	0.108445	0.111117	0.114894	0.135638	0.0830982	0.0769624	0.100216	0.154071	0.0373901	0.0550824	0.0318479	0.0141195	0.0576513	0.0520734	0.0283403	0.0214805	0.0223479	0.0263674	0.0516961	0.0272461	0.0466662	0.0376203	0.0413849	0.0277086	0.0443342	0.0461829	0.0224538	0.0360259	3.150167
120	-15809.3	-15823.3	13.9791	0.131514	0.10258	0.103737	0.0946972	0.120824	0.0622611	0.0947956	0.0777569	0.112414	0.137752	0.0845021	0.0683595	0.101577	0.0838479	0.0997027	0.112555	0.134267	0.0966523	0.107232	0.072384	0.0969172	0.0903088	0.13755	0.0396556	0.0662936	0.0318361	0.0168581	0.0766852	0.0494188	0.0200722	0.043077	0.0257121	0.0311354	0.0410634	0.0443707	0.028425	0.0306502	0.0284657	0.0310024	0.0383629	0.0571618	0.0229072	0.0436554	3.090997
130	-15800.4	-15813.4	13.0341	0.120659	0.0993303	0.097382	0.0901815	0.13294	0.0796449	0.111849	0.075162	0.0924183	0.159221	0.0835767	0.0855452	0.0875137	0.116073	0.106858	0.111731	0.116769	0.0895096	0.134791	0.0863214	0.0772392	0.0884121	0.179019	0.0425133	0.0659867	0.0293307	0.0274263	0.0732429	0.0722882	0.0184443	0.0154489	0.0259324	0.0219794	0.0574078	0.0306329	0.0319889	0.0347053	0.0245934	0.04089	0.0437314	0.0456291	0.0348134	0.0263617	3.185493
140	-15806.2	-15819.2	12.9942	0.156386	0.106242	0.101373	0.0837723	0.0918152	0.082185	0.107319	0.0719049	0.0955912	0.17627	0.0647001	0.0814877	0.0982233	0.0891209	0.109719	0.118465	0.106384	0.115409	0.141125	0.062866	0.0902564	0.0838608	0.201221	0.0292594	0.0689651	0.0285978	0.0343347	0.0793654	0.0576815	0.0270784	0.016458	0.0216331	0.0200109	0.0615572	0.0302392	0.0182169	0.0427025	0.0261499	0.02778	0.0438176	0.0484858	0.0332219	0.0382374	3.18949
150	-15801.4	-15814.7	13.3349	0.146126	0.0883873	0.101373	0.0882401	0.0982879	0.0688895	0.122442	0.0780454	0.0865804	0.149963	0.0642108	0.0890467	0.101676	0.0806127	0.118378	0.115478	0.120541	0.0996552	0.126967	0.0849331	0.0813015	0.0868029	0.156014	0.0467957	0.0614257	0.0181436	0.0239378	0.09109	0.0641332	0.0397365	0.0220031	0.0244648	0.0325611	0.0510435	0.0232016	0.0330955	0.0328668	0.0334217	0.0247694	0.0680624	0.0508095	0.0315053	0.0284027	3.155421
160	-15811	-15823.8	12.7934	0.138543	0.0933698	0.105997	0.0913435	0.0971768	0.0853298	0.134646	0.0724235	0.102932	0.149263	0.0660454	0.0793254	0.111471	0.0785684	0.119066	0.106024	0.104448	0.10335	0.126209	0.0717876	0.0923812	0.0745809	0.174752	0.0432617	0.0789214	0.0246691	0.0202649	0.101236	0.062933	0.0247726	0.0286684	0.0087012	0.0336205	0.032061	0.0419011	0.0503103	0.0363334	0.041007	0.0263853	0.0509082	0.057713	0.0262341	0.0406299	3.209564
170	-15803.6	-15816.2	12.6395	0.15456	0.107438	0.0875929	0.0918952	0.108606	0.0827683	0.119585	0.0717683	0.0951853	0.172734	0.095978	0.0817619	0.106554	0.0938588	0.12164	0.111773	0.134258	0.0988196	0.118275	0.0711551	0.107402	0.081741	0.163652	0.0377746	0.0569332	0.0191742	0.0408463	0.0981232	0.0688372	0.0183155	0.0243336	0.0103199	0.0324504	0.0536713	0.032815	0.0358948	0.0287869	0.0382331	0.0202431	0.0495502	0.033706	0.019705	0.0262445	3.224959
180	-15813.1	-15824.6	11.5855	0.147874	0.0950525	0.0951325	0.104163	0.0960672	0.09502	0.138226	0.0639568	0.0954221	0.174521	0.0890501	0.087636	0.10537	0.0888886	0.094835	0.111773	0.145921	0.117543	0.123266	0.0751035	0.106288	0.0818847	0.179756	0.0390581	0.0541552	0.0187142	0.0178729	0.0875248	0.0668363	0.0531259	0.0218233	0.0135441	0.0234122	0.0586931	0.0392286	0.0287874	0.0392352	0.0291696	0.0268388	0.0541598	0.039412	0.0488265	0.0571873	3.330354
190	-15815.2	-15827.3	12.1128	0.140813	0.0965347	0.124464	0.094166	0.0970704	0.100253	0.120334	0.0858903	0.0792601	0.181903	0.0588828	0.0790316	0.106202	0.0922893	0.115864	0.133997	0.128874	0.103208	0.133646	0.0721519	0.0898854	0.0882102	0.174485	0.0414031	0.0586412	0.0267912	0.0282179	0.0815651	0.055599	0.0462076	0.0106789	0.0308903	0.0186167	0.0564083	0.0254551	0.0289294	0.0301433	0.0287392	0.0504854	0.0495168	0.0435216	0.0303408	0.0380647	3.277632
