Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-15374	-15388.7	14.6585	0.139353	0.122328	0.101859	0.080551	0.0998713	0.0869095	0.110638	0.0849305	0.107401	0.175873	0.0788522	0.0779506	0.0763545	0.0892036	0.100402	0.127462	0.139303	0.102924	0.119063	0.0815168	0.0844535	0.0729252	0.189393	0.0263313	0.0250419	0.0392171	0.0584058	0.0348523	0.0531977	0.0350806	0.0158985	0.033114	0.0645298	0.0349208	0.0174624	0.0399983	0.0398053	0.0632358	0.024908	0.0415674	0.0359113	0.036702	0.0325373	0.220736	0.304442	0.10151	0.373313	3.202237
110	-15377.5	-15393	15.5946	0.11591	0.089028	0.107568	0.0901554	0.105792	0.0934166	0.123688	0.08321	0.110537	0.169307	0.0770341	0.0847001	0.0917518	0.0673805	0.107294	0.113558	0.105343	0.0851007	0.108446	0.0724882	0.0790821	0.0858991	0.189787	0.0232992	0.0220179	0.0316447	0.0463878	0.0270804	0.0600476	0.0357292	0.0212131	0.0373831	0.0646488	0.0299078	0.0256298	0.0546511	0.0352869	0.0663121	0.0281936	0.0310687	0.0528287	0.0318871	0.0269314	0.217823	0.300423	0.108154	0.3736	3.108627
120	-15371	-15386.2	15.1726	0.12058	0.107283	0.0897406	0.0949989	0.105792	0.109787	0.12077	0.0847976	0.0934474	0.154478	0.0770341	0.085299	0.0987643	0.0908323	0.118472	0.122685	0.129567	0.0981028	0.118619	0.0853399	0.0774426	0.0723694	0.208415	0.0295062	0.0122478	0.0316447	0.0401718	0.0283637	0.0422976	0.0379419	0.0150153	0.0293203	0.0572493	0.0161567	0.0327026	0.0516625	0.0339789	0.0810466	0.0213049	0.0274079	0.040008	0.0306061	0.0275776	0.217823	0.300423	0.108154	0.3736	3.150827
130	-15374.2	-15389	14.7701	0.139517	0.10265	0.0837075	0.103783	0.0939573	0.0866111	0.116539	0.0874225	0.0934474	0.165548	0.0944477	0.0849638	0.128288	0.0811367	0.107417	0.124852	0.143494	0.116169	0.110841	0.0754703	0.0858304	0.0836011	0.190354	0.0225108	0.0148877	0.0270776	0.0470032	0.0130098	0.0477742	0.0323431	0.0210574	0.0206938	0.0622955	0.00892405	0.0139786	0.0515933	0.0347243	0.0861462	0.0277916	0.0356054	0.0527133	0.032184	0.0387092	0.217823	0.300423	0.108154	0.3736	3.191073
140	-15374	-15389.6	15.5714	0.119191	0.100371	0.0837075	0.112768	0.0939573	0.0877484	0.116539	0.0709222	0.0920261	0.150961	0.0730976	0.0875688	0.109296	0.0896041	0.12075	0.122474	0.150223	0.0997786	0.127917	0.0708375	0.0858594	0.0836011	0.153998	0.0337767	0.0324177	0.0279872	0.047568	0.0100491	0.039578	0.036214	0.0102104	0.0295902	0.06546	0.0150984	0.0143179	0.05706	0.0372783	0.0672281	0.0288782	0.036664	0.0429116	0.0246541	0.0508053	0.209338	0.303682	0.109327	0.377653	3.110943
150	-15378.5	-15393	14.4652	0.111227	0.104031	0.112348	0.0896094	0.0950224	0.0777511	0.11617	0.082354	0.0923431	0.161488	0.09492	0.0600157	0.109444	0.100178	0.108174	0.124512	0.117888	0.110807	0.130367	0.0819897	0.0893036	0.110052	0.1743	0.0140987	0.0382691	0.0345989	0.054662	0.0358546	0.0555907	0.0414283	0.0320422	0.0396412	0.044084	0.0215652	0.0235743	0.0454245	0.0314722	0.0799075	0.0365859	0.0353955	0.0402773	0.0218125	0.0409828	0.212751	0.297175	0.106262	0.383812	3.221565
160	-15373.2	-15388.5	15.3584	0.111227	0.102445	0.104055	0.106782	0.100148	0.0916692	0.126504	0.082354	0.0957915	0.209672	0.0614407	0.095131	0.079359	0.0918229	0.112805	0.124512	0.129906	0.105818	0.114641	0.0542504	0.0724127	0.0669845	0.151666	0.0271407	0.0259412	0.0322318	0.0438061	0.023838	0.0535517	0.0486774	0.0200069	0.0214056	0.0436676	0.030403	0.0139559	0.042215	0.0443197	0.0931736	0.0236809	0.0378581	0.0362445	0.0377466	0.0409828	0.212751	0.297175	0.106262	0.383812	3.132244
170	-15361.8	-15376.9	15.105	0.126509	0.0919495	0.0934562	0.106782	0.119659	0.0866616	0.113495	0.0702967	0.09442	0.161152	0.0848353	0.085368	0.103698	0.093627	0.0985137	0.124356	0.129385	0.12092	0.11293	0.0808947	0.0911849	0.0754174	0.166193	0.0267742	0.0208183	0.0352801	0.0325163	0.0281799	0.0461995	0.0513261	0.0218878	0.0303669	0.0473758	0.0214044	0.0113567	0.0503992	0.0422668	0.0677168	0.0369704	0.0301786	0.0449009	0.0352366	0.044722	0.212751	0.297175	0.106262	0.383812	3.157581
180	-15378.6	-15393.8	15.1879	0.102254	0.0893964	0.111161	0.106782	0.0931205	0.0833907	0.0958002	0.0648869	0.0923638	0.180945	0.0707279	0.0930884	0.0886159	0.0946934	0.0975897	0.119054	0.12509	0.121594	0.127735	0.0809253	0.108188	0.0871435	0.166193	0.0209983	0.02554	0.0379353	0.0632007	0.0251322	0.0463756	0.0315138	0.0243311	0.0252858	0.0537597	0.0140565	0.0135932	0.0416378	0.045991	0.095375	0.0351389	0.0387768	0.0271052	0.0258934	0.0569186	0.204373	0.300974	0.105934	0.388718	3.149297
190	-15374.5	-15390.4	15.8702	0.122584	0.0801259	0.0969116	0.100624	0.127612	0.0808939	0.118704	0.0693864	0.0983301	0.146935	0.0667474	0.0761379	0.0939752	0.0946934	0.102076	0.111447	0.122874	0.121594	0.0993415	0.0733645	0.0814524	0.062997	0.158863	0.0332957	0.0367133	0.0329058	0.0445437	0.0213756	0.0533608	0.0426485	0.0285334	0.0350472	0.0635041	0.027442	0.0150734	0.0216439	0.037949	0.0920241	0.0256148	0.0358401	0.0389088	0.0359203	0.0510448	0.208854	0.307574	0.101828	0.381744	3.08106
