Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar
200	-14478.6	-14488.6	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0999135	0.360168	0.0612949	0.0177894	0.429208	0.0316264	0.32021	0.3345	0.0910447	0.254246	0.5066647
210	-14444.9	-14454.9	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.100164	0.365326	0.0516917	0.0211134	0.430286	0.0314184	0.32021	0.3345	0.0910447	0.254246	0.4819398
220	-14441	-14451	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0940961	0.346903	0.0601636	0.0255087	0.442122	0.0312064	0.32021	0.3345	0.0910447	0.254246	0.4819398
230	-14416.3	-14426.3	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0948452	0.349665	0.0606425	0.0226351	0.445642	0.02657	0.32021	0.3345	0.0910447	0.254246	0.4944751
240	-14416.5	-14426.6	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0938292	0.351448	0.0586908	0.0197225	0.440868	0.035441	0.323227	0.337651	0.0977156	0.241407	0.4944751
250	-14418.9	-14428.9	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0933338	0.349593	0.058381	0.0276379	0.446733	0.0243215	0.325371	0.339891	0.0917303	0.243008	0.4944751
260	-14417.4	-14427.4	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0902973	0.351874	0.0587619	0.0132922	0.449647	0.0361274	0.325371	0.339891	0.0917303	0.243008	0.4944751
270	-14414.7	-14424.7	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0893061	0.348011	0.0581168	0.0240947	0.444712	0.0357591	0.313686	0.34007	0.0941312	0.252113	0.4944751
280	-14415.2	-14425.2	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0906116	0.353099	0.0589664	0.0242894	0.451212	0.0218217	0.313294	0.340264	0.0941849	0.252257	0.5065582
290	-14389.6	-14399.6	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0912601	0.355626	0.0593884	0.0196597	0.454442	0.0196239	0.319684	0.331527	0.10301	0.24578	0.5065582
300	-14389.3	-14399.3	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.091061	0.362477	0.0605326	0.0244966	0.438324	0.0231078	0.315756	0.339741	0.101744	0.242759	0.4813944
310	-14391	-14401	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.091401	0.363831	0.0620759	0.02828	0.439961	0.0144516	0.315756	0.339741	0.101744	0.242759	0.4813944
320	-14389	-14399	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0969586	0.32055	0.0658504	0.0299996	0.466713	0.0199283	0.314142	0.338005	0.101224	0.246629	0.4813944
330	-14388.8	-14398.8	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0968073	0.32005	0.0657476	0.0172674	0.465984	0.0341433	0.318658	0.328487	0.10268	0.250175	0.4835087
340	-14389.7	-14399.7	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.101658	0.320181	0.0672176	0.0179602	0.467731	0.0252512	0.312315	0.321949	0.104332	0.261404	0.4835087
350	-14391.6	-14401.6	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0946678	0.353735	0.0682534	0.0208084	0.435568	0.0269678	0.312315	0.321949	0.104332	0.261404	0.4982476
360	-14389.7	-14399.7	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0938288	0.3506	0.0648104	0.0323245	0.431708	0.0267288	0.315539	0.325271	0.0950886	0.264101	0.4982476
370	-14392.3	-14402.3	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.095239	0.355869	0.0484591	0.033032	0.438196	0.0292045	0.312016	0.330656	0.0961743	0.261153	0.4982476
380	-14386.3	-14396.3	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.095125	0.355443	0.05919	0.0221709	0.437672	0.0303995	0.311338	0.329937	0.0981399	0.260585	0.4982476
390	-14386.5	-14396.5	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0967218	0.355546	0.0632635	0.0221773	0.431883	0.0304083	0.308176	0.344545	0.0893404	0.257939	0.4982476
400	-14388.9	-14398.9	10.0103	0.00623217	0.193852	0.166519	0.034251	0.0228524	0.0079948	0.0652002	0.168491	0.0375673	0.142283	0.0202592	0.469866	0.152384	0.0385172	0.0344721	0.00742203	0.0112103	0.0472076	0.0482184	0.0366679	0.114566	0.340972	0.116654	0.0343732	0.183218	0.066053	0.155635	0.022615	0.259813	0.00515355	0.130646	0.0954703	0.111246	0.020077	0.0613835	0.0109477	0.206207	0.0335623	0.167024	0.0201783	0.0620577	0.171812	0.0446722	0.0940741	0.374704	0.0552591	0.0323557	0.42006	0.023547	0.305287	0.346693	0.0898974	0.258122	0.5006956
