Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-22263.1	-22277.2	14.1082	0.00826455	0.00225734	0.05952	0.00122532	0.011641	0.135031	0.0629892	0.00495508	0.00924694	0.224029	0.00481926	0.0570725	0.07271	0.0457686	0.155049	0.0254216	0.0173491	0.0111807	0.12386	0.0484827	0.191695	0.0611031	0.0293918	0.0652993	0.197105	0.129476	0.0761344	0.130846	0.122629	0.0196829	0.00270017	0.0318649	0.0127823	0.0851386	0.0774727	0.375488	0.155043	0.101031	0.0694842	0.015426	0.105616	0.0970765	0.023908	0.312149	0.0365363	0.25199	0.399325	3.257268
10	-17259.7	-17275.1	15.4434	0.0250335	0.00626107	0.16551	0.000668027	0.0292804	0.0972602	0.10348	0.0154999	0.0422637	0.177127	0.0134399	0.122811	0.11531	0.0748473	0.165115	0.148151	0.0941247	0.053998	0.105146	0.0737285	0.117932	0.102807	0.0572555	0.0477257	0.150244	0.142008	0.0332862	0.101917	0.0447318	0.02767	0.00449543	0.0354532	0.00972714	0.0163023	0.0257997	0.0573887	0.142738	0.068403	0.0746937	0.114675	0.057561	0.0430677	0.0188093	0.204614	0.346804	0.173554	0.275028	3.123746
20	-15736	-15750.1	14.0622	0.0942217	0.0196993	0.123914	0.00226447	0.11599	0.08375	0.117878	0.0593759	0.0874332	0.182499	0.0411532	0.14527	0.125296	0.103983	0.119537	0.131723	0.141947	0.124099	0.133865	0.0804308	0.0997185	0.0911974	0.156442	0.0415698	0.0811842	0.100618	0.0317147	0.119204	0.0491708	0.0295504	0.0129109	0.0240575	0.0350442	0.0163704	0.0234161	0.0290431	0.035133	0.0215126	0.0926582	0.0454683	0.0319776	0.0262945	0.0332735	0.200944	0.340584	0.102161	0.35631	3.261859
30	-15497.6	-15512.1	14.4243	0.179418	0.0553603	0.0973537	0.00665778	0.105209	0.0648756	0.117999	0.0745725	0.105212	0.195779	0.0652258	0.128606	0.108179	0.0827489	0.110709	0.123402	0.136923	0.0980014	0.117115	0.0667858	0.0868284	0.118741	0.173846	0.0467473	0.0420287	0.0741517	0.0270735	0.0965209	0.0432063	0.0421762	0.0202832	0.0364136	0.0331061	0.0367069	0.0146937	0.0242433	0.0341236	0.0189725	0.0379552	0.0748735	0.0555859	0.0203456	0.0268992	0.234804	0.306259	0.102265	0.356672	3.225653
40	-15447.1	-15461.9	14.7899	0.154867	0.0844763	0.108152	0.0121812	0.114763	0.0911147	0.139614	0.0807653	0.111814	0.176657	0.0811334	0.0949905	0.111898	0.0908179	0.118093	0.114862	0.134526	0.127191	0.117115	0.0780547	0.0792322	0.0785684	0.161512	0.0561026	0.0346646	0.0586116	0.0229469	0.0985997	0.0376037	0.0508909	0.0236473	0.0233401	0.0305335	0.0154982	0.0181285	0.0257509	0.0228705	0.0139853	0.0487033	0.0356546	0.0449401	0.0294344	0.0347909	0.234804	0.306259	0.102265	0.356672	3.189096
50	-15431	-15445.6	14.6216	0.156803	0.0974523	0.101252	0.0259051	0.118197	0.0857041	0.120241	0.0730339	0.125695	0.167288	0.0811334	0.0851763	0.0782795	0.11479	0.103354	0.114295	0.109382	0.0907624	0.133969	0.0897668	0.0992037	0.0886678	0.161512	0.0530976	0.0448817	0.0493718	0.0210579	0.0751493	0.0295284	0.0567368	0.00904778	0.0216967	0.0454577	0.0153343	0.0199531	0.0201979	0.0403575	0.019142	0.0949399	0.0279919	0.0687848	0.0441308	0.0272068	0.235855	0.307629	0.0982473	0.358268	3.205927
60	-15376.3	-15390.8	14.5681	0.126831	0.0915018	0.106011	0.0707239	0.108188	0.0799282	0.130084	0.0945117	0.110776	0.18377	0.0787201	0.0834401	0.106916	0.0909043	0.101033	0.114295	0.117869	0.126517	0.115599	0.100622	0.108166	0.0753086	0.161512	0.0400797	0.042909	0.0369264	0.0195913	0.0831632	0.0411494	0.0473562	0.0144755	0.0263212	0.02923	0.0254686	0.028568	0.0315145	0.0341909	0.0273855	0.0565946	0.0237327	0.0586643	0.0287401	0.0319812	0.217281	0.311662	0.0995353	0.371521	3.21127
70	-15378	-15393.1	15.0828	0.138344	0.116639	0.101565	0.0937756	0.100011	0.0659264	0.108481	0.0736546	0.0959517	0.171251	0.0718619	0.0831231	0.0895905	0.0941282	0.100959	0.108947	0.117986	0.0942111	0.109463	0.0871334	0.107016	0.0755914	0.161987	0.0544392	0.0500816	0.0252741	0.045711	0.0936949	0.0360232	0.0473078	0.0162484	0.0370622	0.0410495	0.0254686	0.0371374	0.031757	0.0402553	0.0315123	0.047524	0.0187568	0.0521591	0.0307768	0.0299663	0.217281	0.311662	0.0995353	0.371521	3.159802
80	-15383.2	-15398.5	15.3276	0.121189	0.11022	0.117516	0.0885564	0.0986831	0.0989911	0.148799	0.0827862	0.0902344	0.153543	0.0837885	0.085774	0.0882345	0.0870716	0.0959807	0.102962	0.117473	0.111187	0.112172	0.0743358	0.0883594	0.0717843	0.164206	0.0431465	0.0376796	0.01635	0.0199402	0.0939831	0.0257973	0.0453762	0.0207624	0.0288878	0.0319542	0.0172644	0.0298832	0.0177873	0.0457189	0.026635	0.055316	0.0328801	0.0639792	0.0488568	0.0392806	0.2235	0.294937	0.1017	0.379862	3.135325
90	-15386.4	-15401.1	14.7166	0.133952	0.0984009	0.103465	0.0986573	0.124901	0.0989911	0.107539	0.106651	0.0880445	0.168849	0.07055	0.0837861	0.0976426	0.105302	0.11178	0.105543	0.165528	0.114696	0.106476	0.0822362	0.0796826	0.0841969	0.169645	0.0590645	0.0383798	0.0224258	0.0375346	0.0857857	0.0368938	0.0234576	0.0207037	0.0166954	0.0273635	0.0109999	0.0258157	0.0247426	0.025194	0.0230983	0.0736097	0.0280757	0.0474345	0.0377873	0.0248515	0.2235	0.294937	0.1017	0.379862	3.196429
