Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	sr[1]	sr[2]	sr[3]	sr[4]
1296	0	-13821.3	-13822.2	0.927319	0.8206219	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0435067	0.429783	0.0403817	0.0168856	0.40709	0.0623527	0.356115	0.366597	0.0621262	0.215161	0.468107	0.0999387	0.415306	0.962509	2.52225
1297	1	-13773.5	-13777.3	3.77608	0.9859311	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0515686	0.317177	0.0645699	0.0188116	0.518015	0.029858	0.325674	0.374821	0.084082	0.215423	0.4995647	0.134138	0.472482	0.997629	2.39575
1298	0	-13823.4	-13825.1	1.74502	1.010088	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0488564	0.422562	0.0576304	0.029582	0.404549	0.0368208	0.332481	0.375074	0.0649212	0.227524	0.4634324	0.138962	0.479763	1.00165	2.37962
1299	1	-13776.1	-13780	3.97873	1.042626	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0507979	0.351191	0.0696551	0.031759	0.4526	0.0439972	0.335276	0.365305	0.0837975	0.215621	0.4747901	0.14538	0.4892	1.00672	2.3587
1300	0	-13821.8	-13822.6	0.822263	0.8006922	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.049442	0.427626	0.0590248	0.0266933	0.409397	0.027816	0.330203	0.388485	0.0680122	0.2133	0.4547711	0.095706	0.407413	0.957147	2.53973
1301	1	-13771.9	-13775.8	3.93053	1.028618	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.057716	0.356238	0.0709892	0.0189017	0.471529	0.0246257	0.332346	0.371476	0.0814752	0.214703	0.4727044	0.142628	0.485188	1.00458	2.3676
1302	0	-13822.3	-13823.8	1.53225	0.9539114	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.046523	0.40681	0.0615704	0.0279182	0.417683	0.0394955	0.33962	0.372285	0.0685726	0.219522	0.506537	0.127669	0.462446	0.991923	2.41796
1303	1	-13772	-13775	3.04322	0.8198477	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0539595	0.346231	0.0641755	0.0137445	0.486691	0.0351989	0.322615	0.372947	0.0854481	0.21899	0.4479589	0.0997746	0.415004	0.962306	2.52292
1304	0	-13820.4	-13821.9	1.5216	0.9512432	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.040216	0.406912	0.0540587	0.0355842	0.430966	0.0322628	0.345518	0.376596	0.0659229	0.211964	0.4903619	0.127126	0.46159	0.991427	2.41986
1305	1	-13769.8	-13773.5	3.78096	0.9872306	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0544072	0.344744	0.0565297	0.0313223	0.480942	0.0320548	0.343068	0.362584	0.0820205	0.212327	0.4606767	0.134399	0.47288	0.997852	2.39487
1306	0	-13821.4	-13822.8	1.30318	0.8993128	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0472136	0.408512	0.0434569	0.0249637	0.44543	0.0304246	0.355179	0.358888	0.0673553	0.218578	0.4838486	0.116452	0.444246	0.981084	2.45822
1307	1	-13774.3	-13777.8	3.45005	0.9054536	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0539811	0.346485	0.0537557	0.0357311	0.456593	0.0534532	0.331036	0.374534	0.0756015	0.218828	0.4446323	0.117725	0.446365	0.982379	2.45353
1308	0	-13822.1	-13823.1	0.996051	0.8341173	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0504882	0.3946	0.0430038	0.0257024	0.446717	0.0394883	0.343821	0.377792	0.0707263	0.207661	0.4694184	0.102795	0.420516	0.965978	2.51071
1309	1	-13776.2	-13780.1	3.8705	1.011638	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0531926	0.338664	0.058563	0.0377338	0.480656	0.0311907	0.322144	0.379932	0.0736121	0.224312	0.4843824	0.13927	0.480222	1.0019	2.37861
1310	0	-13822.1	-13823.4	1.29165	0.8967084	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.050099	0.362857	0.0505171	0.0205384	0.473595	0.0423936	0.371609	0.351423	0.0759979	0.200971	0.4528771	0.115912	0.443341	0.980529	2.46022
1311	1	-13771.2	-13774.6	3.40193	0.8945453	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.049089	0.401401	0.0598848	0.0306874	0.428245	0.0306931	0.326418	0.384856	0.0679286	0.220798	0.4756551	0.115463	0.442587	0.980065	2.46189
1312	0	-13821.7	-13822.4	0.697761	0.778101	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.051491	0.393854	0.0541482	0.0128077	0.447273	0.0404269	0.342138	0.378636	0.0703211	0.208905	0.4461239	0.090891	0.398166	0.950697	2.56025
1313	1	-13776.1	-13778.4	2.28839	0.6928272	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0499354	0.388397	0.0468491	0.0179903	0.438838	0.05799	0.340232	0.374988	0.0744202	0.21036	0.4368488	0.0726569	0.360126	0.922181	2.64504
1314	0	-13819.7	-13820.2	0.429532	0.7328654	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0459193	0.401782	0.0560012	0.0182585	0.434651	0.0433879	0.34894	0.374945	0.0699269	0.206188	0.4487018	0.0812176	0.378633	0.936464	2.60369
1315	1	-13771.5	-13775.3	3.78379	0.9879869	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0507047	0.380762	0.0579839	0.0171847	0.446655	0.0467092	0.329409	0.377074	0.0735019	0.220015	0.4797719	0.134551	0.473111	0.997981	2.39436
1316	0	-13819.6	-13820.9	1.28055	0.8942148	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.048645	0.385908	0.0499762	0.0245148	0.446474	0.0444817	0.352062	0.366106	0.0704776	0.211354	0.4869249	0.115394	0.442472	0.979994	2.46214
1317	1	-13777.7	-13781	3.25541	0.8626833	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0472909	0.359605	0.0492328	0.0224036	0.464691	0.0567766	0.342789	0.365406	0.0710515	0.220753	0.4451328	0.10881	0.431198	0.972917	2.48707
1318	0	-13827.1	-13827.9	0.810454	0.7985027	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0444967	0.325942	0.0477448	0.0217242	0.492658	0.0674337	0.357908	0.365723	0.072728	0.203642	0.4762097	0.0952401	0.406531	0.956539	2.54169
1319	1	-13773.1	-13777.3	4.24163	1.125623	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0509041	0.399884	0.0618158	0.0246014	0.429055	0.0337397	0.343969	0.369399	0.0708359	0.215796	0.4930121	0.161316	0.511508	1.01805	2.30912
1320	0	-13822.3	-13823.6	1.22661	0.8822602	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0466076	0.351615	0.0469124	0.0214443	0.490508	0.0429132	0.366081	0.360576	0.0692936	0.204049	0.4927592	0.112905	0.438259	0.977379	2.47146
1321	1	-13773.6	-13776.7	3.17384	0.8457774	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0514606	0.370559	0.0621177	0.0234539	0.467814	0.0245951	0.330087	0.378919	0.0697301	0.221265	0.4666617	0.105256	0.424931	0.968874	2.50094
1322	0	-13821.6	-13823.3	1.75358	1.012471	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.053345	0.361157	0.0515129	0.020219	0.464679	0.0490874	0.358189	0.361583	0.0732956	0.206932	0.4787185	0.139435	0.480468	1.00204	2.37806
1323	1	-13773.1	-13777.1	4.00443	1.050239	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0491558	0.374722	0.0543582	0.0266145	0.464356	0.0307934	0.345941	0.371889	0.0728704	0.209299	0.4934324	0.146868	0.491348	1.00785	2.35393
1324	0	-13830.4	-13829.8	-0.576608	0.5959426	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0537967	0.387217	0.0639292	0.0173129	0.445491	0.0322529	0.326063	0.385831	0.0755199	0.212586	0.3887284	0.0522723	0.310009	0.879235	2.75848
1325	1	-13773.6	-13777.5	3.8395	1.003068	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0540779	0.375135	0.0620875	0.0370729	0.447327	0.0242998	0.328304	0.361885	0.0774894	0.232322	0.4721775	0.137566	0.477672	1.00051	2.38426
1326	0	-13822.1	-13822.8	0.665121	0.7723532	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0482883	0.38638	0.060283	0.0250741	0.460673	0.0193014	0.334037	0.377677	0.0752956	0.212991	0.4531277	0.0896637	0.39576	0.94899	2.56559
1327	1	-13770.2	-13773.6	3.40224	0.894616	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0526828	0.364944	0.0593917	0.0243981	0.469879	0.0287042	0.336254	0.366515	0.075838	0.221393	0.4901833	0.115477	0.442612	0.98008	2.46183
1328	0	-13823.3	-13825.1	1.76008	1.014289	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0526069	0.38717	0.0526793	0.0255609	0.461614	0.0203683	0.338028	0.372543	0.0742108	0.215218	0.5045346	0.139796	0.481005	1.00233	2.37687
1329	1	-13776.9	-13780.3	3.35456	0.8840268	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0528735	0.396138	0.0605489	0.0223727	0.442061	0.0260058	0.328631	0.359322	0.0792545	0.232792	0.4786852	0.113274	0.438886	0.97777	2.47007
1330	0	-13821.1	-13822.2	1.14352	0.8643756	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0510928	0.417315	0.0499278	0.0321629	0.426948	0.0225537	0.346795	0.363089	0.0699289	0.220187	0.4748148	0.109165	0.431816	0.973312	2.48571
1331	1	-13770.7	-13774.2	3.47684	0.9116286	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0462179	0.366907	0.0632179	0.0266311	0.462084	0.0349422	0.350101	0.361039	0.0749052	0.213955	0.455269	0.119002	0.448477	0.983661	2.44886
1332	0	-13830.8	-13832.4	1.58449	0.9671801	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0431335	0.419195	0.0528404	0.0315762	0.4232	0.0300554	0.338528	0.373635	0.0663887	0.221448	0.4816039	0.13036	0.46666	0.994342	2.40864
1333	1	-13772.2	-13776	3.83538	1.001937	0.072424	0.269781	0.000721316	0.143014	0.093709	0.0758662	0.0572668	0.0181	0.248655	0.290861	0.0901674	0.206658	0.0677594	0.0540487	0.555198	0.0337324	0.0313198	0.0162461	0.0152363	0.188853	0.182812	0.0908273	0.153622	0.00272323	0.035986	0.0258606	0.0327651	0.0730049	0.0931115	0.0210114	0.0597601	0.0759675	0.047785	0.20399	0.0184869	0.100803	0.0904877	0.0953175	0.00406289	0.048589	0.0160028	0.161044	0.186321	0.0487879	0.363052	0.0543115	0.0283806	0.471295	0.0341728	0.346142	0.362163	0.0692525	0.222443	0.4670369	0.13734	0.477333	1.00032	2.38501
1334	0	-13818.8	-13819.7	0.870858	0.8098089	0.0619674	0.0334819	0.0448166	0.395203	0.180442	0.118249	0.0241459	0.0174815	0.174071	0.201019	0.110518	0.0903619	0.0615665	0.0102137	0.134502	0.0828348	0.0160925	0.0126216	0.0140688	0.0312628	0.0668339	0.0591248	0.0367349	0.139613	0.273251	0.188668	0.0333816	0.042578	0.370929	0.115033	0.0139194	0.029811	0.217079	0.0868941	0.224104	0.0926543	0.311787	0.028077	0.125267	0.174191	0.0799594	0.0238525	0.0132877	0.0402283	0.454094	0.0517087	0.030362	0.382418	0.0411889	0.343338	0.376673	0.0613948	0.218594	0.4796213	0.0976442	0.411053	0.959636	2.53167
