Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	0	-15808	-15819.5	11.4611	0.153244	0.0910137	0.106328	0.100694	0.107181	0.10748	0.130502	0.0698419	0.102773	0.163088	0.0760359	0.079405	0.110088	0.102595	0.111746	0.120834	0.121836	0.118227	0.137491	0.0789972	0.0897042	0.0890143	0.179843	0.0347349	0.0534279	0.0399719	0.0367841	0.0893028	0.0397609	0.0271316	0.0111436	0.0323548	0.020159	0.0581441	0.036331	0.0358713	0.025897	0.0295567	0.0161529	0.0600995	0.0589783	0.0296961	0.0593397	3.342798
11	1	-15799	-15811.8	12.7753	0.137461	0.0995911	0.0995612	0.0917711	0.122305	0.0878438	0.108043	0.0735705	0.105678	0.1688	0.0882616	0.0773213	0.0998145	0.104798	0.114687	0.134932	0.115449	0.110008	0.137394	0.0934666	0.0911828	0.0790636	0.192769	0.0202969	0.0470895	0.0330777	0.0288139	0.0226612	0.0395814	0.0344068	0.0942433	0.0105125	0.0179866	0.0428132	0.030809	0.0352521	0.0270056	0.0292829	0.0238996	0.0202499	0.025028	0.0490939	0.0455082	3.211382
12	0	-15805.9	-15818.7	12.722	0.153872	0.0938987	0.0957999	0.0718634	0.107644	0.0712122	0.118662	0.0948706	0.094282	0.163743	0.0651287	0.0803054	0.120487	0.0867219	0.111656	0.14206	0.148473	0.121856	0.119922	0.0745266	0.0897042	0.0761561	0.159435	0.0323649	0.0461562	0.0394862	0.0301323	0.108965	0.0438184	0.0183388	0.0141358	0.0253124	0.0233734	0.0560342	0.0367217	0.028133	0.0304791	0.0244923	0.0359745	0.0431792	0.0488937	0.0314696	0.0369706	3.21671
13	1	-15800.8	-15813.1	12.2726	0.147077	0.106724	0.101856	0.107002	0.109718	0.0889921	0.105618	0.0653168	0.117538	0.178193	0.0927711	0.079373	0.103295	0.0858557	0.121925	0.151932	0.13987	0.0975575	0.125503	0.080683	0.0911828	0.0812352	0.173568	0.0193887	0.0509879	0.0484426	0.044481	0.0285442	0.0443159	0.0226073	0.061677	0.00642022	0.0287909	0.053516	0.0431267	0.0270334	0.0270056	0.0325312	0.0272973	0.0216225	0.0356415	0.0471047	0.0383243	3.261646
14	0	-15806.4	-15819.3	12.8941	0.167159	0.109307	0.101255	0.100464	0.108926	0.0637182	0.135962	0.0808647	0.0950263	0.15745	0.0900399	0.0804632	0.100189	0.0785421	0.0947338	0.104531	0.133076	0.121856	0.129449	0.0825396	0.105772	0.0868739	0.148061	0.0312717	0.0503598	0.0363906	0.0134163	0.0768619	0.063051	0.0150629	0.00963435	0.0244825	0.0312902	0.0573185	0.0219375	0.0415516	0.0352731	0.0240808	0.0295351	0.0412649	0.0519778	0.0374184	0.0310561	3.199493
15	1	-15799.3	-15812.8	13.5124	0.133952	0.0939214	0.101856	0.118007	0.110367	0.0828794	0.14131	0.0764164	0.0813626	0.169198	0.0777008	0.068286	0.0901373	0.0882614	0.11249	0.136185	0.127063	0.091356	0.120873	0.0661031	0.0855278	0.0683715	0.193892	0.0281111	0.0516528	0.0474695	0.0282141	0.033599	0.0394688	0.0295591	0.0654502	0.0145986	0.0351917	0.0418964	0.040717	0.0261566	0.0241336	0.0327586	0.034309	0.0107274	0.0228429	0.0484585	0.0468356	3.137669
16	0	-15798.9	-15812.7	13.8324	0.119406	0.0906401	0.0931763	0.106512	0.126247	0.0875158	0.111652	0.0723947	0.104231	0.151764	0.0708414	0.0803237	0.0882189	0.0871453	0.113773	0.110387	0.133076	0.112952	0.116711	0.0746622	0.0861382	0.0756712	0.141337	0.0455176	0.0710353	0.0291212	0.028515	0.0711893	0.0623063	0.019472	0.0370575	0.0189004	0.0276637	0.0490617	0.0359741	0.0303446	0.0382168	0.0273196	0.0281257	0.0419345	0.0365499	0.0270387	0.0255518	3.105671
17	1	-15797.7	-15810.6	12.9405	0.133952	0.10344	0.0841363	0.115058	0.123305	0.0837907	0.124796	0.0957536	0.0920156	0.160619	0.0782371	0.110928	0.0961482	0.0851436	0.11249	0.112933	0.125311	0.130855	0.113881	0.0829529	0.0918698	0.0721356	0.171719	0.0316813	0.0505722	0.0288299	0.0322149	0.0216669	0.0536805	0.0279167	0.0702536	0.0207168	0.0312001	0.0453732	0.0383964	0.0243565	0.0226295	0.0167587	0.0231848	0.0190374	0.0350499	0.049382	0.0504821	3.194855
18	0	-15801.2	-15814.5	13.3484	0.136832	0.0895795	0.108431	0.104228	0.108045	0.0634935	0.116259	0.0788374	0.0957569	0.144417	0.0732757	0.0963838	0.0846691	0.0873358	0.0982447	0.108828	0.134702	0.10159	0.126212	0.0853307	0.0861382	0.0833354	0.17773	0.0363017	0.0700532	0.0318974	0.0256239	0.0772695	0.0679717	0.0347996	0.0277641	0.0212579	0.0245231	0.0419188	0.0327961	0.0210579	0.0355769	0.0227004	0.0338712	0.0491311	0.0537175	0.0193809	0.0367993	3.154067
19	1	-15809.7	-15821.2	11.4263	0.118645	0.0962181	0.11811	0.108947	0.126964	0.0891106	0.114562	0.0740554	0.0897198	0.192506	0.0859551	0.0749162	0.103792	0.09346	0.11955	0.121572	0.125311	0.13148	0.125772	0.0915952	0.0889331	0.086163	0.202571	0.0233656	0.0431568	0.0377889	0.0557723	0.013319	0.0358295	0.0232542	0.104945	0.0151791	0.032622	0.0629838	0.0424544	0.0142694	0.0275081	0.0395419	0.0241164	0.0204592	0.0276931	0.0520103	0.0700989	3.346277
