Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-15377.4	-15392.5	15.0984	0.125678	0.089727	0.100019	0.106719	0.117443	0.0811847	0.124363	0.107451	0.0888886	0.169588	0.0929432	0.0691061	0.094532	0.0971296	0.116186	0.129102	0.130835	0.104334	0.109487	0.0802211	0.0721261	0.0802009	0.1723	0.0272432	0.0221476	0.0368975	0.036143	0.0302299	0.0390372	0.0323212	0.0233553	0.0346265	0.0680409	0.0267883	0.0178311	0.0571487	0.0415769	0.0629606	0.0100071	0.0233949	0.0461167	0.0244715	0.038338	0.213719	0.321691	0.0972062	0.367384	3.158242
11	1	-15431	-15445.6	14.6216	0.156803	0.0974523	0.101252	0.0259051	0.118197	0.0857041	0.120241	0.0730339	0.125695	0.167288	0.0811334	0.0851763	0.0782795	0.11479	0.103354	0.114295	0.109382	0.0907624	0.133969	0.0897668	0.0992037	0.0886678	0.161512	0.0530976	0.0448817	0.0493718	0.0210579	0.0751493	0.0295284	0.0567368	0.00904778	0.0216967	0.0454577	0.0153343	0.0199531	0.0201979	0.0403575	0.019142	0.0949399	0.0279919	0.0687848	0.0441308	0.0272068	0.235855	0.307629	0.0982473	0.358268	3.205927
12	0	-15381.4	-15395.6	14.2753	0.119824	0.107722	0.108736	0.0901955	0.116721	0.0987499	0.121413	0.0793896	0.116414	0.135746	0.0691601	0.0948201	0.0872414	0.099403	0.106276	0.139729	0.136955	0.118228	0.134346	0.0690541	0.0859011	0.0757405	0.179904	0.0283317	0.0435733	0.0544465	0.0381103	0.0215786	0.0558713	0.0436067	0.0129821	0.0303271	0.0450662	0.0193967	0.0262751	0.0397908	0.0435474	0.0687431	0.024121	0.0386788	0.0422112	0.02714	0.0450845	0.213516	0.315632	0.112018	0.358834	3.240552
13	1	-15376.3	-15390.8	14.5681	0.126831	0.0915018	0.106011	0.0707239	0.108188	0.0799282	0.130084	0.0945117	0.110776	0.18377	0.0787201	0.0834401	0.106916	0.0909043	0.101033	0.114295	0.117869	0.126517	0.115599	0.100622	0.108166	0.0753086	0.161512	0.0400797	0.042909	0.0369264	0.0195913	0.0831632	0.0411494	0.0473562	0.0144755	0.0263212	0.02923	0.0254686	0.028568	0.0315145	0.0341909	0.0273855	0.0565946	0.0237327	0.0586643	0.0287401	0.0319812	0.217281	0.311662	0.0995353	0.371521	3.21127
14	0	-15374.3	-15388.2	13.9307	0.128289	0.096173	0.113526	0.103763	0.116123	0.07834	0.121413	0.0805892	0.120002	0.195654	0.090386	0.075132	0.0899114	0.0958902	0.0910926	0.148062	0.125796	0.118228	0.121943	0.0797188	0.0939519	0.0765349	0.168582	0.0329896	0.0247186	0.0356379	0.0491497	0.0190596	0.0544364	0.0484573	0.0273557	0.0360275	0.0459795	0.0146097	0.022962	0.045645	0.0255998	0.0792226	0.0303148	0.0360966	0.0364525	0.0281855	0.053012	0.216661	0.320281	0.0989393	0.364119	3.275013
15	1	-15378	-15393.1	15.0828	0.138344	0.116639	0.101565	0.0937756	0.100011	0.0659264	0.108481	0.0736546	0.0959517	0.171251	0.0718619	0.0831231	0.0895905	0.0941282	0.100959	0.108947	0.117986	0.0942111	0.109463	0.0871334	0.107016	0.0755914	0.161987	0.0544392	0.0500816	0.0252741	0.045711	0.0936949	0.0360232	0.0473078	0.0162484	0.0370622	0.0410495	0.0254686	0.0371374	0.031757	0.0402553	0.0315123	0.047524	0.0187568	0.0521591	0.0307768	0.0299663	0.217281	0.311662	0.0995353	0.371521	3.159802
16	0	-15377.3	-15392	14.7427	0.118815	0.109915	0.087108	0.127981	0.115198	0.089875	0.128082	0.0750835	0.100448	0.176095	0.0664474	0.0822484	0.105127	0.0932763	0.107184	0.119139	0.131547	0.104376	0.121943	0.0844132	0.0867048	0.0716942	0.158356	0.0129765	0.0371762	0.0423396	0.0360974	0.0406083	0.0622927	0.0331226	0.0181774	0.0320837	0.0498356	0.0151707	0.010128	0.039946	0.02609	0.0901749	0.0292299	0.0308436	0.0588488	0.0245905	0.0430268	0.218696	0.323289	0.0998687	0.358146	3.193814
17	1	-15383.2	-15398.5	15.3276	0.121189	0.11022	0.117516	0.0885564	0.0986831	0.0989911	0.148799	0.0827862	0.0902344	0.153543	0.0837885	0.085774	0.0882345	0.0870716	0.0959807	0.102962	0.117473	0.111187	0.112172	0.0743358	0.0883594	0.0717843	0.164206	0.0431465	0.0376796	0.01635	0.0199402	0.0939831	0.0257973	0.0453762	0.0207624	0.0288878	0.0319542	0.0172644	0.0298832	0.0177873	0.0457189	0.026635	0.055316	0.0328801	0.0639792	0.0488568	0.0392806	0.2235	0.294937	0.1017	0.379862	3.135325
18	0	-15369.6	-15384.9	15.2959	0.112763	0.112756	0.102844	0.0890289	0.114369	0.0921041	0.112707	0.0712767	0.102517	0.189453	0.0788522	0.0769677	0.116703	0.10833	0.109654	0.116123	0.106096	0.107352	0.113923	0.0688838	0.0815625	0.0664037	0.170513	0.0267626	0.0316853	0.0257264	0.0380186	0.0233597	0.0403966	0.0381573	0.0236709	0.0352204	0.0445607	0.0220998	0.0187232	0.0424111	0.032638	0.0720919	0.0346656	0.0521461	0.0456701	0.0256247	0.0436816	0.220736	0.304442	0.10151	0.373313	3.138493
19	1	-15386.4	-15401.1	14.7166	0.133952	0.0984009	0.103465	0.0986573	0.124901	0.0989911	0.107539	0.106651	0.0880445	0.168849	0.07055	0.0837861	0.0976426	0.105302	0.11178	0.105543	0.165528	0.114696	0.106476	0.0822362	0.0796826	0.0841969	0.169645	0.0590645	0.0383798	0.0224258	0.0375346	0.0857857	0.0368938	0.0234576	0.0207037	0.0166954	0.0273635	0.0109999	0.0258157	0.0247426	0.025194	0.0230983	0.0736097	0.0280757	0.0474345	0.0377873	0.0248515	0.2235	0.294937	0.1017	0.379862	3.196429
