Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14766.1	-14775.9	9.73062	0.15048	0.0863461	0.0918474	0.0941027	0.101435	0.0881268	0.153517	0.0743585	0.0920424	0.182633	0.0763027	0.082028	0.110954	0.0968043	0.104933	0.150451	0.145433	0.10219	0.12805	0.0938405	0.103951	0.0936757	0.17049	0.0356655	0.0350453	0.035045	0.0453229	0.0309823	0.00824773	0.0512703	0.0591649	0.0226144	0.0396594	0.0214718	0.0932066	0.0257077	0.0365272	0.0353748	0.0242196	0.0652929	0.0240883	0.0465223	0.0549341	4.068274	0.281961	0.293059	0.0923664	0.332614	3.364355
110	-14780	-14790.1	10.081	0.137229	0.127273	0.108525	0.127548	0.102906	0.0955384	0.126319	0.0658255	0.0844978	0.181684	0.056074	0.093976	0.0965966	0.133286	0.118127	0.144836	0.115463	0.10082	0.0986973	0.0879848	0.0969969	0.0761934	0.189729	0.032172	0.0215532	0.0330146	0.0280291	0.0248205	0.0197073	0.0679719	0.0628222	0.0199877	0.0597699	0.0333149	0.0599407	0.0337098	0.0465566	0.0351679	0.0236323	0.050834	0.0143118	0.0420704	0.062541	3.921972	0.281911	0.293185	0.0923499	0.332555	3.338054
120	-14769.7	-14780	10.3499	0.141079	0.107234	0.118714	0.12089	0.0949364	0.090419	0.120438	0.0843861	0.106488	0.172576	0.0660372	0.08611	0.0965966	0.115267	0.0930522	0.134958	0.14411	0.115602	0.13215	0.0976404	0.105666	0.0755838	0.171341	0.0259234	0.0249789	0.0239165	0.0377404	0.0187863	0.0150064	0.0624922	0.0506436	0.0078561	0.0597459	0.0275578	0.0819266	0.0254894	0.043317	0.0368501	0.0190272	0.0449352	0.0129369	0.0520708	0.0468544	3.952391	0.281911	0.293185	0.0923499	0.332555	3.309329
130	-14772.9	-14783.3	10.4073	0.121576	0.0959368	0.104602	0.0775481	0.108937	0.0673312	0.145061	0.0666366	0.106488	0.166231	0.0743773	0.0732869	0.101316	0.127566	0.121971	0.124925	0.14411	0.122813	0.125607	0.0732244	0.0854891	0.0868202	0.1924	0.0288627	0.0278954	0.0394682	0.0430699	0.0275851	0.00937393	0.0623693	0.0393537	0.0121253	0.0342344	0.0393753	0.0844399	0.0399986	0.051771	0.0364896	0.0275738	0.0356577	0.0198652	0.0605647	0.0569682	4.16013	0.280861	0.292092	0.0920059	0.335041	3.291297
140	-14778.4	-14787.1	8.65267	0.1391	0.0851187	0.123303	0.0973005	0.133113	0.0933211	0.124295	0.0754868	0.104985	0.206243	0.0768979	0.0899858	0.0861421	0.107089	0.109015	0.175529	0.147288	0.108682	0.102671	0.067405	0.0932717	0.103182	0.186929	0.0349238	0.033416	0.0337393	0.0545287	0.0272258	0.0101425	0.0608177	0.0811809	0.0317186	0.0487262	0.0338119	0.0913333	0.0154969	0.0369657	0.022083	0.0335905	0.0603372	0.0232136	0.0405285	0.0560808	4.169481	0.281123	0.294667	0.0928167	0.331394	3.466214
150	-14772.2	-14781.6	9.36877	0.144788	0.109683	0.101573	0.080896	0.107451	0.0887953	0.113968	0.0729774	0.0959435	0.186729	0.0748355	0.0635222	0.109221	0.119223	0.113846	0.126635	0.127408	0.134886	0.129569	0.0757009	0.0917857	0.0776733	0.186929	0.030184	0.0487826	0.0310522	0.0441457	0.0382181	0.022775	0.066519	0.0667583	0.0262606	0.0528256	0.0399371	0.0842023	0.0141814	0.0440231	0.0175236	0.0243774	0.0672978	0.0409295	0.0504496	0.0562818	4.064478	0.276179	0.298128	0.0911843	0.334509	3.400765
160	-14765.5	-14775.3	9.81621	0.140514	0.0796109	0.112097	0.0983398	0.115099	0.0646486	0.119586	0.0897154	0.0958872	0.172981	0.0843533	0.0898519	0.103819	0.119223	0.119579	0.123972	0.115531	0.127718	0.128298	0.0821561	0.0868826	0.0765155	0.199116	0.030101	0.0362975	0.0495773	0.0422345	0.0284688	0.0296792	0.0647742	0.0493172	0.016818	0.045572	0.0348804	0.0844668	0.038765	0.0372034	0.0302597	0.0282789	0.0431274	0.0277298	0.0542378	0.0552326	3.790948	0.272254	0.293891	0.1041	0.329755	3.372514
170	-14761.6	-14772.1	10.5151	0.13778	0.0989261	0.104753	0.0863544	0.134736	0.0693483	0.135779	0.0934736	0.0935278	0.192419	0.0853401	0.0795503	0.123583	0.0922864	0.111519	0.123483	0.133519	0.101584	0.127811	0.0891416	0.0821769	0.0757128	0.185254	0.0378746	0.0268362	0.0222036	0.0433623	0.0263479	0.024969	0.0453514	0.0544811	0.0174077	0.0525668	0.0319575	0.0903054	0.0293553	0.0337149	0.0358077	0.023103	0.0424409	0.0180172	0.0418844	0.0491354	3.749506	0.262457	0.283316	0.100354	0.353873	3.305182
180	-14765.8	-14775.8	9.97587	0.154789	0.0856458	0.099017	0.0946084	0.117816	0.103147	0.114455	0.0925428	0.0832674	0.176482	0.0658035	0.085641	0.117509	0.121139	0.118348	0.119625	0.141584	0.112994	0.132362	0.0678002	0.0867491	0.0881506	0.174432	0.0268642	0.0435104	0.0340651	0.041231	0.0337869	0.0252887	0.0674291	0.0629449	0.0110267	0.0558033	0.0249057	0.0944843	0.0305031	0.0306424	0.0393795	0.0135597	0.049299	0.0234079	0.039819	0.0505787	3.858103	0.271587	0.293171	0.103845	0.331397	3.352437
190	-14778.6	-14787.8	9.13901	0.160281	0.105079	0.106985	0.0885416	0.139887	0.0734797	0.150322	0.0713807	0.11053	0.183027	0.0839933	0.0869625	0.124583	0.103345	0.120936	0.14622	0.110037	0.112123	0.133193	0.0667897	0.0719811	0.074525	0.176488	0.0306665	0.0498445	0.0576462	0.0349976	0.0264676	0.0173833	0.0600992	0.0760719	0.00846739	0.0585847	0.0308469	0.113069	0.0336392	0.0490038	0.0212646	0.0319603	0.051354	0.0127197	0.0371484	0.0341982	3.858103	0.277711	0.293342	0.0973579	0.33159	3.436123
