Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-13983.9	-13987.1	3.21518	1.897494	0.204739	0.115979	0.129495	0.137947	0.146552	0.0899152	0.172446	0.0949585	0.113355	0.233329	0.0750687	0.103457	0.116038	0.0975374	0.148306	0.178883	0.166202	0.149197	0.156248	0.0903715	0.123525	0.0926868	0.259439	0.0289736	0.0235584	0.0103705	0.0624824	0.0788515	0.157008	0.012418	0.0973942	0.0820179	0.0338914	0.0219609	0.0172001	0.0241397	0.0691509	0.0702276	0.0207285	0.0268359	0.0291222	0.00947902	0.0363016	0.280724	0.643651	1.0672	2.00843	0.21207	0.394633	0.0817512	0.311546	0.3817702	4.107785
110	-13988.6	-13990.8	2.26247	1.588473	0.229124	0.0963131	0.156172	0.104984	0.122259	0.0888626	0.171429	0.0856588	0.12422	0.233329	0.0842188	0.121639	0.123951	0.138116	0.161726	0.149297	0.191333	0.153917	0.169794	0.0975113	0.109899	0.117295	0.239201	0.0295091	0.0375841	0.0419262	0.0702839	0.0526161	0.127225	0.0242623	0.07605	0.0559954	0.0272278	0.029371	0.00950634	0.0327159	0.0775714	0.0437193	0.0216395	0.0282512	0.039212	0.0268457	0.0445762	0.238672	0.60265	1.05522	2.10346	0.223097	0.373344	0.0838844	0.319675	0.3817702	4.166338
120	-13996.4	-13999.4	3.0674	2.06012	0.199911	0.104594	0.10776	0.115546	0.14024	0.113559	0.186321	0.0646375	0.126103	0.224213	0.11576	0.0816623	0.100476	0.105421	0.152011	0.167623	0.180209	0.141684	0.169323	0.131171	0.134921	0.0772978	0.215684	0.032668	0.0413374	0.0360471	0.0809437	0.066932	0.105579	0.00957063	0.0802555	0.101249	0.0395068	0.016974	0.0196245	0.0460385	0.0473057	0.0670527	0.0332191	0.0531077	0.033922	0.0412196	0.0277726	0.300347	0.661258	1.07142	1.96697	0.224111	0.37504	0.0842655	0.316584	0.3817702	4.136452
130	-13985.8	-13988.6	2.77828	1.54031	0.187007	0.124802	0.111381	0.0957314	0.138715	0.141931	0.185403	0.0859293	0.118273	0.234154	0.0762676	0.101597	0.125012	0.0978411	0.179087	0.121709	0.183616	0.168809	0.164076	0.0759623	0.149392	0.0924628	0.238174	0.039983	0.042475	0.0320842	0.0523457	0.0442168	0.13023	0.012476	0.0946357	0.088829	0.0285563	0.0157407	0.014817	0.04416	0.0579466	0.0808979	0.0233194	0.0304141	0.0191414	0.0357843	0.0220811	0.231483	0.595131	1.0527	2.12068	0.209683	0.382014	0.0858325	0.322471	0.3817702	4.107466
140	-13975.6	-13979.1	3.48792	1.620171	0.184769	0.128968	0.124191	0.0979536	0.138715	0.0943541	0.189989	0.103834	0.124045	0.20896	0.078592	0.107584	0.116214	0.129801	0.120594	0.17535	0.212702	0.17149	0.16123	0.0970669	0.107213	0.10192	0.223383	0.0123238	0.0382435	0.0159114	0.0445101	0.0556455	0.127448	0.00915743	0.100222	0.0794825	0.0288146	0.0115771	0.0275247	0.0408592	0.0355784	0.0776193	0.0374996	0.0276006	0.0285073	0.022986	0.0278957	0.243304	0.607409	1.05676	2.09252	0.209683	0.382014	0.0858325	0.322471	0.3817702	4.048327
150	-13992.2	-13994.4	2.23554	1.53875	0.163087	0.130219	0.101889	0.14021	0.140786	0.103881	0.189989	0.0980669	0.12047	0.291229	0.125315	0.0994999	0.128585	0.132614	0.173806	0.127813	0.172005	0.169361	0.190204	0.104305	0.102009	0.0818604	0.256544	0.00697999	0.0510416	0.0366226	0.0389748	0.0582818	0.117304	0.00929868	0.0661486	0.0532511	0.0262073	0.00711601	0.02404	0.0490647	0.077225	0.0743135	0.0295207	0.0195399	0.0241766	0.017379	0.03126	0.231247	0.594882	1.05262	2.12125	0.208783	0.380375	0.0897545	0.321087	0.3817702	4.161496
160	-13984.3	-13986.5	2.23326	1.558036	0.183883	0.130668	0.138875	0.127465	0.120135	0.107545	0.169392	0.104443	0.0934748	0.270873	0.0964717	0.0765866	0.118224	0.0849769	0.151821	0.143273	0.211941	0.14752	0.169873	0.0946182	0.107616	0.104276	0.249381	0.014643	0.0467096	0.0626015	0.0533966	0.0766322	0.117304	0.0156281	0.0810192	0.103758	0.0465349	0.00253885	0.0274151	0.0501596	0.0470382	0.0698785	0.0240767	0.016449	0.0297707	0.0337616	0.0420626	0.23415	0.59794	1.05366	2.11425	0.208783	0.380375	0.0897545	0.321087	0.3817702	4.16471
170	-13987.6	-13989.8	2.12219	1.682881	0.18223	0.113626	0.105515	0.0751209	0.144761	0.103324	0.190647	0.121572	0.113978	0.283101	0.091327	0.118558	0.118224	0.115465	0.146156	0.158686	0.192658	0.158923	0.166992	0.0705059	0.12553	0.0770939	0.249381	0.0298641	0.0577996	0.0286065	0.0601507	0.0570631	0.123808	0.0144559	0.0870535	0.102958	0.0371044	0.00369245	0.0240932	0.052806	0.0409421	0.0734518	0.040214	0.0232642	0.0367615	0.0349483	0.0408841	0.252242	0.616414	1.05957	2.07177	0.205053	0.373579	0.0922835	0.329085	0.3817702	4.193296
180	-13989.6	-13992.5	2.86826	1.367431	0.19222	0.0862821	0.129236	0.109893	0.160072	0.106454	0.131877	0.100925	0.121851	0.260449	0.0863827	0.115123	0.0905597	0.120354	0.125798	0.138024	0.19877	0.166598	0.165771	0.0585976	0.101681	0.0885703	0.250514	0.0198595	0.0524142	0.0417963	0.0599164	0.0384936	0.0973747	0.0100059	0.0867671	0.0991156	0.0408867	0.00703823	0.0300626	0.0636901	0.0743065	0.0701612	0.0300418	0.0476603	0.0367164	0.0258061	0.029579	0.204098	0.564892	1.04159	2.18942	0.204919	0.373335	0.0928768	0.32887	0.3817702	4.067694
190	-13979.9	-13984.2	4.31822	1.506704	0.194776	0.09981	0.117597	0.118145	0.14446	0.0930047	0.16702	0.0833384	0.11081	0.190112	0.101752	0.101152	0.121128	0.0988321	0.146501	0.151917	0.157653	0.155204	0.168799	0.0667622	0.122421	0.0744341	0.245469	0.0242305	0.0322038	0.0451928	0.0290251	0.0761527	0.14105	0.0311406	0.0649184	0.0797716	0.0339236	0.0156488	0.034238	0.0613429	0.0318499	0.0618234	0.0111784	0.033521	0.0453151	0.0284866	0.0359691	0.226356	0.589669	1.05081	2.13316	0.210105	0.382783	0.0925555	0.314556	0.3651768	3.94808
