Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-13988.8	-13992.6	3.72041	1.556818	0.165432	0.146483	0.134767	0.136917	0.13051	0.0986323	0.166992	0.0809557	0.13148	0.2342	0.105595	0.103981	0.105395	0.111055	0.144999	0.118436	0.149284	0.122455	0.15894	0.10388	0.10391	0.112794	0.193419	0.0451247	0.0617092	0.0114794	0.0823298	0.0342166	0.0377859	0.124605	0.0633915	0.102837	0.0112946	0.0493612	0.0313286	0.0379673	0.0210987	0.015678	0.0611494	0.0616384	0.0297681	0.0560851	0.0164507	0.233968	0.597748	1.05359	2.11469	0.214009	0.377643	0.0896906	0.318658	0.3852639	4.015808
110	-13984.8	-13988.2	3.39959	1.814402	0.206794	0.12169	0.144498	0.143136	0.146615	0.0757761	0.173783	0.0830258	0.118365	0.260514	0.0956837	0.0936869	0.0951284	0.116171	0.13081	0.157477	0.164889	0.132766	0.161949	0.0897877	0.126752	0.102802	0.236291	0.0293303	0.0739926	0.0309118	0.0606041	0.0404661	0.0309849	0.121487	0.0839805	0.0781688	0.0163139	0.0191076	0.0243257	0.0255887	0.0344277	0.033044	0.0464616	0.0489081	0.0189498	0.0604565	0.0250576	0.270066	0.633705	1.06457	2.03166	0.214009	0.377643	0.0896906	0.318658	0.3852639	4.080959
120	-13986.4	-13988.4	2.02456	1.654417	0.15675	0.128404	0.153742	0.108329	0.14417	0.10969	0.173684	0.114563	0.130361	0.277928	0.080221	0.102449	0.124829	0.106039	0.142483	0.135405	0.160624	0.17047	0.161584	0.0846107	0.139023	0.106757	0.248349	0.0227215	0.0706876	0.0572818	0.101904	0.0292997	0.0542147	0.111156	0.0853486	0.0638795	0.0319657	0.0145282	0.0139381	0.0312644	0.0383233	0.0192792	0.0452936	0.0457955	0.0284322	0.0586993	0.0148614	0.248222	0.612392	1.05834	2.08105	0.210553	0.371544	0.0882422	0.329661	0.3852639	4.199339
130	-13984.5	-13990.6	6.16347	1.623913	0.179587	0.104797	0.129749	0.130061	0.13449	0.0887724	0.105821	0.0882527	0.104085	0.213265	0.080221	0.0892167	0.106115	0.114951	0.142483	0.145174	0.183223	0.159206	0.12914	0.0814453	0.108117	0.0824885	0.223331	0.0397959	0.0654803	0.030264	0.0874612	0.0665647	0.0229268	0.0998735	0.0633933	0.072745	0.0497336	0.0226319	0.0228502	0.0239724	0.0228303	0.0339788	0.0185666	0.0645671	0.0123103	0.0289996	0.00835879	0.243845	0.607962	1.05694	2.09125	0.215428	0.36925	0.0876973	0.327625	0.4016838	3.781294
140	-13985.5	-13991	5.51508	1.850893	0.131308	0.142619	0.119234	0.106462	0.1198	0.102263	0.132382	0.0719704	0.129696	0.264429	0.082844	0.0918233	0.131041	0.10582	0.162291	0.149584	0.151686	0.154686	0.153633	0.0987425	0.112968	0.0931066	0.213619	0.0428678	0.0545574	0.0341863	0.105401	0.0436443	0.027663	0.121317	0.0474958	0.0724399	0.0105042	0.0400661	0.0169664	0.0149272	0.0279428	0.0360777	0.0312454	0.0467423	0.012963	0.0452714	0.0189215	0.274802	0.63816	1.06577	2.02127	0.215428	0.36925	0.0876973	0.327625	0.4016838	3.873211
150	-13984.3	-13992.7	8.43524	1.633744	0.134447	0.124638	0.10541	0.101622	0.140627	0.0866974	0.133058	0.113111	0.0844234	0.198709	0.0803806	0.098729	0.100507	0.100471	0.110472	0.133127	0.151758	0.124142	0.144644	0.0958053	0.0902425	0.0777563	0.261852	0.0424327	0.0570728	0.0368853	0.0978857	0.0171469	0.0258155	0.123041	0.0364538	0.046418	0.0333356	0.0320316	0.0138833	0.0300652	0.0169919	0.0111513	0.0265379	0.0399252	0.028987	0.038486	0.00829859	0.245263	0.609403	1.0574	2.08794	0.220577	0.366827	0.0871218	0.325475	0.4016838	3.555475
160	-13985.2	-13992.3	7.12844	1.722658	0.144933	0.100776	0.0986483	0.128094	0.135038	0.0998054	0.133835	0.0876924	0.123178	0.230226	0.0619037	0.0829455	0.133892	0.0860779	0.12133	0.172453	0.160883	0.145415	0.128387	0.0864872	0.11002	0.112806	0.231624	0.031477	0.0817279	0.0356328	0.0856525	0.0258637	0.0429916	0.0792926	0.06509	0.0785766	0.0181362	0.0206255	0.0135545	0.0259509	0.0149353	0.00909283	0.00962429	0.0461152	0.0268451	0.0586079	0.0113859	0.257761	0.62186	1.0612	2.05918	0.220852	0.366697	0.087091	0.32536	0.4016838	3.697628
170	-13994.9	-13999.8	4.89299	1.439594	0.188342	0.121287	0.139629	0.0977328	0.137802	0.118495	0.164091	0.0780178	0.109432	0.200459	0.0707044	0.12645	0.130974	0.121608	0.120363	0.157382	0.166928	0.128193	0.162435	0.0864404	0.0831166	0.0814155	0.289591	0.0411042	0.0401212	0.0409482	0.0714345	0.0256931	0.0250535	0.132195	0.0743026	0.0725187	0.0247654	0.0154153	0.0315176	0.0279733	0.0304246	0.00338683	0.00705248	0.0369293	0.030666	0.0580515	0.00857507	0.215838	0.578183	1.04667	2.15931	0.221631	0.367989	0.0911781	0.319202	0.4016838	3.879019
180	-13986.6	-13991	4.44684	1.603088	0.192734	0.124294	0.127482	0.111606	0.129155	0.117523	0.174408	0.0987868	0.118723	0.194574	0.0672204	0.110073	0.124689	0.120351	0.148099	0.159284	0.171392	0.137249	0.118598	0.0864404	0.0999235	0.0901912	0.268731	0.0542016	0.0579596	0.0195927	0.0596825	0.0390206	0.0186103	0.120053	0.0785407	0.0814419	0.0243849	0.0185849	0.0189341	0.0506823	0.0152727	0.00874709	0.01095	0.065512	0.0429395	0.0583923	0.0149894	0.240817	0.604862	1.05594	2.09838	0.193595	0.381244	0.0944622	0.330699	0.4016838	3.950016
190	-13989.7	-13996.7	6.99265	1.87828	0.168531	0.103337	0.130473	0.11617	0.117032	0.0961608	0.127053	0.0822458	0.0891737	0.230192	0.0863559	0.102761	0.105491	0.0978825	0.126476	0.14286	0.209975	0.184795	0.145971	0.0913766	0.112678	0.0772331	0.207967	0.0348003	0.0734903	0.0328116	0.0828577	0.0485788	0.0273154	0.0781631	0.0516118	0.0539852	0.0113668	0.0315256	0.00971672	0.0324784	0.0260462	0.00788403	0.00872787	0.0670695	0.0392498	0.0392706	0.0190446	0.278299	0.641413	1.06662	2.01367	0.21005	0.387396	0.0852322	0.317323	0.4016838	3.728184
200	-13977.4	-13982	4.6433	1.612022	0.180924	0.142295	0.133093	0.12241	0.147676	0.0846511	0.1523	0.0907893	0.133334	0.234629	0.10388	0.101483	0.108883	0.0912309	0.133803	0.148523	0.168562	0.156399	0.136287	0.0924191	0.109874	0.0913969	0.248063	0.0414973	0.0566436	0.0460911	0.108031	0.0335952	0.0237732	0.087369	0.0416244	0.0860227	0.0245056	0.0181566	0.0124585	0.0241522	0.0407746	0.00447049	0.0223332	0.05751	0.0330658	0.0435048	0.0131582	0.24212	0.606199	1.05637	2.09531	0.21005	0.387396	0.0852322	0.317323	0.3861904	3.931643
210	-13994	-13996.4	2.30328	1.34733	0.174107	0.118854	0.118129	0.142301	0.13417	0.127835	0.130876	0.115732	0.115608	0.251898	0.0952556	0.122012	0.122468	0.142841	0.142592	0.12004	0.188847	0.174117	0.15836	0.0678968	0.106395	0.0890779	0.235687	0.0513341	0.0706145	0.0451439	0.103751	0.0406224	0.0250034	0.0791823	0.0854915	0.0848655	0.0163154	0.0258856	0.0138397	0.0493056	0.0126355	0.0125993	0.0464658	0.039963	0.0188098	0.0581606	0.0449911	0.200746	0.561001	1.04004	2.19821	0.214804	0.367183	0.0935071	0.324506	0.3687874	4.120077
220	-13991.7	-13998.3	6.5882	1.626243	0.130919	0.0954816	0.12118	0.100964	0.138253	0.116041	0.170241	0.0720437	0.119809	0.204206	0.0914854	0.104731	0.122082	0.108254	0.14316	0.156632	0.182658	0.15631	0.128701	0.0904505	0.106518	0.0918203	0.211958	0.0375733	0.0468003	0.0548173	0.0667982	0.0213095	0.0257204	0.0733256	0.0472993	0.0772373	0.023777	0.0301226	0.00151512	0.0343016	0.0280419	0.0374865	0.045446	0.04886	0.020229	0.0275085	0.0270757	0.244182	0.608304	1.05705	2.09046	0.203903	0.377847	0.0915964	0.326654	0.3665813	3.739144
230	-13986.5	-13989	2.47202	1.631762	0.209782	0.113296	0.140971	0.120381	0.132403	0.094349	0.172342	0.0850691	0.131877	0.210935	0.0951687	0.1176	0.114904	0.144695	0.152439	0.154861	0.198672	0.153935	0.145766	0.132012	0.114653	0.102284	0.251926	0.0403175	0.0914007	0.0167827	0.0827462	0.0283157	0.0190917	0.118203	0.0646328	0.0772373	0.0221255	0.0258053	0.012425	0.0456047	0.036105	0.0210086	0.0181825	0.0355447	0.0519091	0.0378356	0.0159324	0.244978	0.609114	1.05731	2.0886	0.22529	0.367696	0.0891357	0.317879	0.3665813	4.151525
240	-13986.8	-13990.6	3.8781	1.633442	0.133125	0.130645	0.140437	0.109388	0.146116	0.104008	0.146702	0.0920655	0.138553	0.256207	0.0779392	0.0998296	0.122429	0.116739	0.13763	0.146431	0.16659	0.161663	0.151703	0.126559	0.0932585	0.0740464	0.223667	0.0497416	0.0959218	0.0343491	0.0803599	0.0504934	0.0288106	0.113764	0.0563813	0.0852287	0.0103368	0.0384385	0.0210989	0.0228776	0.0292707	0.0197345	0.0429699	0.0692	0.0291939	0.0326881	0.00455774	0.24522	0.609359	1.05738	2.08804	0.216949	0.391107	0.0858355	0.306109	0.3594628	4.011147
250	-13998.8	-14000.6	1.76022	1.719846	0.143528	0.124996	0.139732	0.139433	0.173121	0.129835	0.163265	0.0990718	0.141396	0.225088	0.0870887	0.126245	0.139769	0.117094	0.13763	0.20725	0.192709	0.147556	0.177608	0.0890074	0.122505	0.0883365	0.252529	0.0514525	0.0832254	0.0325165	0.09933	0.0496117	0.0329976	0.0861335	0.0614994	0.0855992	0.0102371	0.0207322	0.0200237	0.0373508	0.00385566	0.047899	0.0281908	0.0542761	0.0135979	0.0470703	0.00371631	0.257375	0.621482	1.06109	2.06005	0.209394	0.388445	0.0828467	0.319314	0.4065991	4.234109
260	-13985.6	-13989.6	3.98714	1.705308	0.199932	0.112986	0.119051	0.131584	0.145852	0.0886195	0.156969	0.0883433	0.099099	0.219528	0.0860753	0.115574	0.111404	0.11451	0.158428	0.142225	0.192709	0.155645	0.14917	0.115886	0.132412	0.0974686	0.24882	0.044512	0.0748615	0.0201264	0.074009	0.0296617	0.0292049	0.110148	0.0665514	0.0661597	0.0100225	0.0236357	0.00497405	0.0524173	0.0354362	0.0278147	0.0427955	0.0540816	0.0134739	0.0394701	0.00798474	0.255368	0.619509	1.06051	2.06462	0.209394	0.388445	0.0828467	0.319314	0.3414131	4.00963
270	-13998	-13999.3	1.22113	1.359441	0.155346	0.134171	0.177609	0.117636	0.123632	0.146162	0.151584	0.103564	0.15277	0.210933	0.0797798	0.125825	0.125092	0.0965309	0.162409	0.183767	0.184506	0.201596	0.143287	0.105603	0.120586	0.0928809	0.293476	0.0225105	0.0695017	0.0589222	0.0974371	0.0419844	0.034788	0.0513444	0.0700999	0.0945561	0.0108204	0.0342546	0.0214977	0.0413671	0.0175721	0.019669	0.0241901	0.0415571	0.018396	0.0495203	0.0220513	0.20277	0.563356	1.04098	2.1929	0.208833	0.391811	0.082269	0.317088	0.3514706	4.230786
280	-13990.3	-13991	0.736859	1.534348	0.195838	0.163778	0.106791	0.149006	0.169601	0.0944368	0.167652	0.124945	0.134859	0.251399	0.0797798	0.140309	0.140403	0.109049	0.145928	0.128768	0.201403	0.160148	0.143287	0.107383	0.123974	0.0894846	0.255642	0.0355783	0.0730661	0.0507007	0.0958673	0.0399924	0.0363199	0.108092	0.0738423	0.0738115	0.0149653	0.0150412	0.0206064	0.0414438	0.0208256	0.0277475	0.0287762	0.0468934	0.0468166	0.0540877	0.0223319	0.23058	0.594176	1.05238	2.12287	0.197539	0.410151	0.08612	0.30619	0.3854646	4.310671
290	-13996.1	-13997.3	1.18861	1.570852	0.193878	0.12004	0.123815	0.0976714	0.159482	0.14039	0.192409	0.104306	0.108074	0.219967	0.0821053	0.116322	0.117217	0.112002	0.16002	0.172092	0.215641	0.129912	0.197741	0.0682581	0.110736	0.108841	0.255642	0.0305235	0.0816615	0.046383	0.0997533	0.0330855	0.0316531	0.0720272	0.096089	0.112185	0.0298529	0.0236202	0.0343821	0.0488359	0.0118362	0.0371639	0.0269539	0.0669853	0.0073318	0.0647524	0.00947748	0.236063	0.59994	1.05433	2.10967	0.200282	0.401961	0.0873158	0.310442	0.3854646	4.271114
300	-13987.4	-13991	3.55013	1.454016	0.180616	0.1133	0.123815	0.104568	0.143583	0.102574	0.155631	0.0918199	0.143484	0.197503	0.105208	0.107328	0.0970595	0.115816	0.149618	0.15479	0.188228	0.178204	0.148535	0.0947381	0.112469	0.0688848	0.255642	0.0609239	0.0570709	0.0260636	0.0783459	0.0177891	0.0207409	0.0931206	0.0771943	0.0913297	0.0285867	0.0305959	0.0328083	0.0368074	0.0285987	0.0287379	0.0358149	0.0670905	0.00725295	0.0399906	0.0236163	0.218131	0.580719	1.0476	2.15355	0.200995	0.403392	0.0840666	0.311547	0.3854646	4.015891
310	-13981.6	-13987.9	6.2429	1.560711	0.154367	0.127156	0.1112	0.0996165	0.153386	0.0831034	0.135535	0.0830064	0.103429	0.204163	0.0880272	0.101041	0.126652	0.111488	0.134195	0.11067	0.195753	0.162999	0.133713	0.0756871	0.124379	0.0553249	0.246193	0.053042	0.0591183	0.0311709	0.0858972	0.0447559	0.0308332	0.0838968	0.0618051	0.0668085	0.0157357	0.0394741	0.0196098	0.021834	0.0194225	0.00869043	0.0356421	0.0594472	0.0351825	0.0532255	0.0174776	0.234551	0.598359	1.0538	2.11329	0.206005	0.392644	0.0818267	0.319524	0.3854646	3.764153
320	-13989.2	-13993.2	3.98957	1.68792	0.180846	0.106478	0.146562	0.105822	0.122594	0.12091	0.161782	0.0839162	0.120065	0.221202	0.0961508	0.109919	0.14897	0.117466	0.151114	0.167979	0.159632	0.16391	0.116215	0.110963	0.136721	0.127948	0.253165	0.0232562	0.0818658	0.0147316	0.0677691	0.0252478	0.0380028	0.121495	0.0639448	0.0545916	0.0246718	0.0214984	0.0180734	0.0405055	0.0201104	0.031563	0.0143325	0.0282597	0.0175832	0.0487919	0.0205768	0.252948	0.617115	1.05979	2.07015	0.206005	0.392644	0.0818267	0.319524	0.3759602	4.007201
330	-13984.4	-13988.1	3.71361	1.645972	0.163085	0.110327	0.126067	0.149555	0.128045	0.111693	0.152261	0.104204	0.125814	0.215085	0.0922372	0.0982257	0.131457	0.127443	0.145598	0.153714	0.162749	0.179991	0.160378	0.0904921	0.11443	0.0968051	0.218608	0.0599464	0.0711952	0.0382204	0.0952025	0.0309212	0.0385843	0.108039	0.0901001	0.0507336	0.036132	0.0200846	0.0395159	0.0348279	0.0174465	0.00917222	0.00837359	0.0472925	0.0232216	0.0445301	0.00749633	0.247017	0.611178	1.05796	2.08385	0.206005	0.392644	0.0818267	0.319524	0.3759602	4.029302
340	-13990.8	-13995.2	4.42559	1.637943	0.213248	0.105901	0.135575	0.150282	0.142525	0.0989085	0.128881	0.11043	0.0835341	0.210341	0.0801488	0.101632	0.131147	0.0945972	0.191568	0.178498	0.169976	0.153019	0.145615	0.0966867	0.0981835	0.087973	0.247247	0.0420248	0.0808645	0.0328971	0.0638193	0.0420349	0.0248276	0.0723664	0.053487	0.095522	0.0284138	0.0265039	0.0364548	0.024938	0.031803	0.0149546	0.0135349	0.0568894	0.0292462	0.0254411	0.00507523	0.245867	0.610015	1.05759	2.08653	0.207154	0.379501	0.0919913	0.321354	0.3645187	3.957015
350	-13978.6	-13981.8	3.23595	1.632995	0.171183	0.142044	0.12708	0.106312	0.129035	0.106883	0.161204	0.106626	0.135197	0.220513	0.103565	0.0951887	0.113326	0.132591	0.15388	0.152629	0.161644	0.143121	0.160052	0.0967715	0.121606	0.0762721	0.231306	0.065518	0.0607054	0.0353046	0.0906293	0.0449766	0.0264289	0.0914404	0.0605826	0.085546	0.018624	0.0166962	0.01977	0.0427061	0.0236587	0.0230713	0.0509652	0.0559125	0.0291452	0.0539952	0.0315967	0.245156	0.609294	1.05736	2.08819	0.207154	0.379501	0.0919913	0.321354	0.3415004	4.075301
360	-13989	-13991.1	2.05672	1.223853	0.197214	0.137373	0.148555	0.119668	0.126482	0.131721	0.152663	0.102886	0.113043	0.209441	0.0951166	0.111112	0.0923054	0.116526	0.132972	0.167932	0.18824	0.154653	0.15046	0.102884	0.126988	0.106475	0.256254	0.0381377	0.0720627	0.0277184	0.121777	0.013635	0.0388209	0.129387	0.0793578	0.055474	0.0117691	0.031494	0.0275589	0.0248826	0.0315333	0.0122855	0.00864617	0.0572291	0.027126	0.040347	0.0262696	0.179349	0.535053	1.02905	2.25655	0.208177	0.381375	0.0875075	0.32294	0.3831512	4.116476
370	-13985.6	-13988.2	2.6092	1.50292	0.153519	0.136488	0.169522	0.154532	0.157271	0.0784263	0.170273	0.0934541	0.106842	0.238894	0.104857	0.0813869	0.102636	0.136544	0.160356	0.162232	0.163651	0.166185	0.148049	0.0781567	0.126988	0.104793	0.248009	0.0459779	0.0808419	0.0161723	0.0686121	0.0233308	0.0211168	0.10954	0.0484899	0.082395	0.032283	0.0340697	0.0124132	0.0335578	0.0342261	0.0166554	0.0358713	0.0631079	0.0390156	0.0550415	0.0225775	0.225773	0.589042	1.05059	2.13459	0.205514	0.389288	0.0863881	0.318809	0.3831512	4.118358
380	-13989.2	-13990.3	1.14018	1.502819	0.145789	0.147262	0.140627	0.152152	0.14797	0.12718	0.165364	0.0811119	0.114188	0.2878	0.0874554	0.139504	0.118168	0.115807	0.125382	0.169003	0.151111	0.142606	0.182242	0.0861155	0.129229	0.114044	0.264178	0.0396722	0.0660905	0.0350351	0.0925889	0.0399757	0.0237791	0.148259	0.0607847	0.0586986	0.0270874	0.0215451	0.027133	0.0336164	0.0570739	0.0280815	0.0248424	0.0394289	0.0440186	0.0436901	0.0195503	0.225758	0.589025	1.05059	2.13463	0.208664	0.373245	0.0867032	0.331388	0.3585052	4.265244
390	-13987.9	-13993.4	5.50899	1.5052	0.163197	0.128545	0.112055	0.0954039	0.153477	0.102891	0.143269	0.0737524	0.102258	0.211993	0.0792764	0.108824	0.112768	0.096475	0.143323	0.136217	0.169302	0.121913	0.158163	0.058025	0.0932212	0.0927243	0.268617	0.0703952	0.0854635	0.0206012	0.0721942	0.0227617	0.0177509	0.0927149	0.0757077	0.0846158	0.0116616	0.0348677	0.0139919	0.0560016	0.034516	0.0172965	0.0356707	0.0528877	0.0326506	0.0533233	0.0179922	0.226125	0.58942	1.05073	2.13373	0.208664	0.373245	0.0867032	0.331388	0.3585052	3.828756
400	-13981.5	-13983.3	1.81753	1.710659	0.172432	0.155419	0.113296	0.108895	0.137761	0.105502	0.169236	0.109681	0.102762	0.224391	0.0961391	0.113129	0.125444	0.112615	0.118623	0.169586	0.203184	0.18664	0.160964	0.103755	0.137366	0.101627	0.29067	0.0281002	0.0903546	0.0349889	0.107383	0.0145652	0.0410637	0.11756	0.0575701	0.0843042	0.0162067	0.0303411	0.0187415	0.039893	0.0330186	0.0133424	0.0332033	0.0565116	0.0263023	0.0436855	0.0210004	0.256108	0.620238	1.06072	2.06293	0.20265	0.391308	0.0842044	0.321837	0.3755967	4.227252
