Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
10	0	-13999.1	-14003.4	4.31512	1.660583	0.154207	0.130698	0.11131	0.117775	0.136055	0.0976437	0.148586	0.11175	0.135818	0.252213	0.0869402	0.148187	0.108586	0.117646	0.141182	0.195032	0.171984	0.154324	0.141106	0.0722085	0.096192	0.0909683	0.242825	0.0445719	0.0811439	0.033655	0.0984516	0.00619917	0.0392324	0.0922344	0.0811425	0.0199431	0.0265977	0.0230498	0.00708882	0.0396572	0.0328141	0.0297381	0.0129823	0.0272877	0.0302864	0.0643369	0.0174501	0.249098	0.613272	1.05861	2.07902	0.220848	0.36659	0.0894477	0.323114	0.3852639	3.971101
11	1	-14138.8	-14144	5.24144	1.549087	0.178625	0.100675	0.0945929	0.0978194	0.263922	0.100986	0.150383	0.0957443	0.123499	0.209094	0.0734273	0.118051	0.112814	0.0945281	0.152786	0.169534	0.20251	0.140199	0.115768	0.0765568	0.121446	0.0918429	0.27625	0.0283284	0.0124576	0.020263	0.0564299	0.040643	0.120121	0.00873615	0.0531021	0.0143425	0.025271	0.0110167	0.035013	0.0320103	0.0277791	0.0484785	0.00191218	0.0267207	0.048319	0.0364444	0.0540746	0.232807	0.596528	1.05318	2.11749	0.185705	0.404916	0.0818072	0.327571	0.4093423	3.862516
12	0	-13987.9	-13991.9	4.04686	1.773055	0.17173	0.140776	0.158749	0.11915	0.126476	0.0924713	0.144142	0.101797	0.108696	0.241805	0.078854	0.103564	0.140019	0.102824	0.143847	0.166004	0.193243	0.178678	0.143671	0.096976	0.0818015	0.0799794	0.227867	0.0245822	0.0646089	0.0203481	0.073904	0.0126142	0.0360416	0.137863	0.0810066	0.0567906	0.0447841	0.0196971	0.0343808	0.0284743	0.0208303	0.0133781	0.041467	0.0683048	0.0390287	0.0459607	0.00450137	0.264593	0.628486	1.06312	2.04381	0.203141	0.374921	0.0914805	0.330457	0.3852639	4.011687
13	1	-14104.4	-14108.2	3.73338	1.669861	0.171038	0.117822	0.102126	0.0947786	0.291145	0.109427	0.134365	0.0946943	0.140925	0.223514	0.0948833	0.0869254	0.130149	0.100641	0.15493	0.158433	0.159997	0.157412	0.137205	0.0977876	0.13131	0.0798818	0.273596	0.0147694	0.0397516	0.00365639	0.0408824	0.0675272	0.132517	0.0256445	0.0544141	0.00976066	0.0396095	0.00877703	0.0459525	0.0315768	0.0406611	0.0644778	0.00230723	0.0268343	0.08687	0.0194539	0.0320676	0.25041	0.614587	1.05901	2.07599	0.185705	0.404916	0.0818072	0.327571	0.3817702	4.030494
14	0	-13980.9	-13986	5.17517	1.440126	0.163026	0.155004	0.116216	0.105372	0.135715	0.102454	0.133989	0.0925733	0.130054	0.213142	0.0923118	0.0994597	0.125745	0.0916953	0.148377	0.159399	0.149301	0.147577	0.139241	0.0923713	0.0804828	0.0877105	0.228623	0.0423338	0.0548388	0.0361541	0.0797966	0.0128904	0.0347833	0.0874907	0.0600286	0.0794193	0.0353438	0.0157786	0.0343808	0.0441109	0.0409554	0.0286358	0.0241593	0.0519486	0.037674	0.0549243	0.0054104	0.215923	0.578277	1.0467	2.1591	0.203141	0.374921	0.0914805	0.330457	0.3852639	3.850898
15	1	-14015	-14017.1	2.13333	1.612437	0.195396	0.136559	0.139767	0.0959165	0.180661	0.0882167	0.142001	0.0746838	0.146612	0.228583	0.101016	0.0787018	0.118367	0.0940265	0.175488	0.194582	0.19208	0.189653	0.140003	0.0841027	0.0922652	0.083558	0.262395	0.0303576	0.0490521	0.00643613	0.0743566	0.108902	0.153372	0.038647	0.0934558	0.0116872	0.0351001	0.0380165	0.015472	0.0357577	0.0471735	0.0577743	0.00754242	0.0294269	0.0236292	0.0528703	0.0390326	0.242181	0.606261	1.05639	2.09516	0.215912	0.384988	0.0797532	0.319347	0.3817702	4.182699
16	0	-13981.6	-13984.6	2.96301	1.880858	0.174476	0.136864	0.136604	0.110405	0.148313	0.0930727	0.156538	0.105269	0.111846	0.201328	0.0991398	0.105756	0.141333	0.107507	0.139809	0.192388	0.16116	0.150582	0.184169	0.101411	0.106194	0.119607	0.244886	0.0373128	0.0780776	0.0447896	0.0857994	0.0441148	0.0397612	0.121313	0.0770235	0.0602662	0.027863	0.0174028	0.0308319	0.0235167	0.0319663	0.00957545	0.0159366	0.0578907	0.0379431	0.0484433	0.0129151	0.278625	0.641715	1.0667	2.01296	0.206418	0.373379	0.0911043	0.329098	0.3852639	4.1314
17	1	-13988.8	-13991	2.20441	1.559592	0.182412	0.0937512	0.119101	0.146943	0.133746	0.116867	0.168592	0.10938	0.107067	0.261804	0.101858	0.115528	0.116684	0.0896584	0.131968	0.202147	0.185642	0.13138	0.155987	0.112093	0.111786	0.107131	0.266389	0.0305147	0.0377404	0.0159374	0.0583187	0.0606854	0.1379	0.0264778	0.103022	0.0305163	0.0559489	0.0296551	0.0254505	0.0377374	0.0418857	0.0610933	0.0199107	0.039906	0.0288168	0.032799	0.0256033	0.234383	0.598184	1.05374	2.1137	0.21207	0.394633	0.0817512	0.311546	0.3817702	4.167832
18	0	-13983.9	-13986.9	2.97891	1.796078	0.182514	0.146483	0.113603	0.154511	0.129484	0.108512	0.138286	0.0900437	0.126084	0.221543	0.11621	0.108351	0.135578	0.128152	0.149752	0.14649	0.181348	0.163311	0.147008	0.0865198	0.114888	0.12532	0.217101	0.033766	0.0805423	0.0232191	0.0911826	0.0337818	0.0456157	0.0913081	0.0788554	0.0723295	0.0134116	0.0178233	0.0225978	0.0361878	0.0387832	0.0241991	0.0438223	0.0338384	0.0421288	0.0577767	0.00878266	0.267655	0.631415	1.06394	2.03699	0.216183	0.37132	0.0906018	0.321895	0.3852639	4.121045
19	1	-13983.5	-13986.8	3.29842	1.505692	0.209509	0.0991387	0.122845	0.0886295	0.144272	0.0908595	0.171177	0.0699902	0.11075	0.226247	0.121347	0.0911953	0.126942	0.129979	0.157003	0.139069	0.182231	0.189729	0.120431	0.0898893	0.115802	0.095972	0.244033	0.0348791	0.0301843	0.0210727	0.057936	0.0659257	0.129883	0.0141946	0.0771727	0.0874267	0.020267	0.0145455	0.0228808	0.0501348	0.0485688	0.0654015	0.0399321	0.0359606	0.0303771	0.0270529	0.0390547	0.2262	0.589501	1.05075	2.13354	0.21207	0.394633	0.0817512	0.311546	0.3817702	4.049894
