Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15808.8	-15821.9	13.0941	0.12193	0.0801125	0.0920803	0.0767298	0.115153	0.0832725	0.118229	0.0753991	0.117833	0.13549	0.0760141	0.0974295	0.107625	0.103292	0.0959874	0.0920418	0.114737	0.123359	0.117619	0.0733136	0.0874587	0.0756034	0.189871	0.0332722	0.0266057	0.0278304	0.0353441	0.0665816	0.0359531	0.0230613	0.0438714	0.0269398	0.0285901	0.0346869	0.0383143	0.0890201	0.0496482	0.0132509	0.0551143	0.0502854	0.0169675	0.035862	0.0777192	3.179499
110	-15800.3	-15813.2	12.9379	0.12193	0.0988211	0.0861629	0.0973491	0.116499	0.0803045	0.118264	0.072877	0.0918749	0.174066	0.0870845	0.0872508	0.110648	0.113656	0.118105	0.119485	0.111935	0.115681	0.117619	0.0958733	0.0866057	0.0812313	0.15592	0.0346169	0.0280449	0.0326103	0.0410685	0.04839	0.0197576	0.0173134	0.0431367	0.0256022	0.0339132	0.0333094	0.0320782	0.0890201	0.0475051	0.0220094	0.0374932	0.0413508	0.0166393	0.0299887	0.0620249	3.195115
120	-15800.4	-15812.1	11.6999	0.147247	0.104705	0.0963134	0.095814	0.112823	0.0771778	0.130583	0.0972088	0.0918749	0.174066	0.0764145	0.084142	0.0928035	0.0952053	0.123613	0.113453	0.136527	0.115586	0.1114	0.0949249	0.102641	0.0871444	0.164372	0.0344766	0.0262284	0.0379283	0.0379611	0.0671807	0.0358675	0.0220914	0.0358543	0.0206389	0.0335689	0.0300814	0.0195793	0.105162	0.0490183	0.0220245	0.0447488	0.0450676	0.031811	0.0279654	0.0656275	3.318921
130	-15806.2	-15818.2	11.9446	0.143771	0.104705	0.0945814	0.108378	0.104982	0.0969955	0.131098	0.0934618	0.101357	0.176795	0.0676455	0.0833047	0.0884253	0.106078	0.0916315	0.126726	0.115202	0.106867	0.125249	0.0975761	0.0927196	0.0897589	0.172656	0.0384117	0.0160977	0.0314989	0.0273744	0.0788629	0.0440248	0.0268712	0.0300059	0.0192847	0.0312279	0.0319127	0.0251443	0.0810388	0.0433903	0.0348027	0.0558637	0.0568831	0.0231883	0.0221095	0.0564924	3.29445
140	-15809.3	-15822.2	12.9139	0.123611	0.100953	0.157552	0.0895599	0.112899	0.0703485	0.138868	0.0708073	0.109025	0.174766	0.0800886	0.0860318	0.0884253	0.0871328	0.104539	0.115715	0.125939	0.112585	0.107602	0.0815444	0.102274	0.0661468	0.156569	0.0283621	0.0272997	0.0284501	0.0289874	0.052602	0.0361897	0.023634	0.0329081	0.0304778	0.0278188	0.0365413	0.0250862	0.0708652	0.0583614	0.0184521	0.0467483	0.0451814	0.023165	0.0331409	0.0602676	3.197521
150	-15805.3	-15817.3	11.9729	0.161773	0.099557	0.098496	0.0969249	0.122784	0.0982115	0.128679	0.0734788	0.109025	0.183177	0.0848835	0.0860318	0.0904844	0.0899502	0.109404	0.122247	0.123999	0.110408	0.123228	0.0703816	0.0985345	0.0722357	0.169084	0.0327792	0.0284581	0.015935	0.0440056	0.0476676	0.0404725	0.0334101	0.0370395	0.0399092	0.0327083	0.0301689	0.0215812	0.102692	0.0401373	0.0234821	0.0365586	0.0551061	0.0146018	0.0431891	0.048741	3.291621
160	-15808.6	-15822	13.3566	0.109039	0.102974	0.110054	0.0995535	0.116364	0.0755948	0.121621	0.0955015	0.100067	0.131931	0.0853129	0.0774524	0.111619	0.108235	0.117268	0.12791	0.12342	0.101417	0.0970871	0.0812393	0.0989183	0.090927	0.130326	0.0475398	0.0239355	0.023123	0.031306	0.0459198	0.0271594	0.0249448	0.0425229	0.0296066	0.0170206	0.0269035	0.0297828	0.0904811	0.0445336	0.0364297	0.0430835	0.0625298	0.025295	0.0214077	0.0458905	3.153248
170	-15799	-15811.4	12.4204	0.134142	0.0821578	0.0897323	0.0932179	0.101425	0.0813347	0.130179	0.0793272	0.0914593	0.180721	0.0840549	0.0801995	0.105006	0.107293	0.102604	0.122776	0.132646	0.101417	0.129445	0.0987183	0.105233	0.082586	0.176982	0.0477455	0.0318251	0.0353828	0.0234073	0.0439766	0.0387545	0.020199	0.034361	0.0282408	0.0315202	0.0230567	0.0372897	0.0921264	0.0467562	0.0224318	0.0354076	0.0614878	0.0262922	0.0271796	0.0467665	3.246863
180	-15805.2	-15818.6	13.3911	0.132805	0.0804149	0.0914364	0.0999657	0.126294	0.0877342	0.127286	0.0666671	0.0795767	0.192671	0.0742432	0.0936831	0.0770142	0.0997154	0.102386	0.134216	0.133697	0.11599	0.129445	0.0742623	0.0919308	0.0911968	0.152552	0.046612	0.0338432	0.0219234	0.0362579	0.0413635	0.0322378	0.0301912	0.0310415	0.0315711	0.0231167	0.0382633	0.0196801	0.0873661	0.0420852	0.00817656	0.0397355	0.0503781	0.0107456	0.0181268	0.0518967	3.149794
190	-15810.9	-15824	13.058	0.156199	0.0893437	0.103689	0.106485	0.099613	0.0840667	0.137235	0.0732815	0.0751101	0.174298	0.101841	0.0660117	0.0818712	0.0817697	0.12617	0.138961	0.126095	0.112917	0.129445	0.0742623	0.0919308	0.0670338	0.176638	0.0266372	0.0250489	0.014554	0.0284301	0.0346302	0.03164	0.0171779	0.0359792	0.0301301	0.0319021	0.0263692	0.0204842	0.0920314	0.0530764	0.0170649	0.0588622	0.0531937	0.0189793	0.0370629	0.0555882	3.18311
200	-15803.6	-15816	12.3747	0.125293	0.10278	0.0873862	0.101543	0.122503	0.0909897	0.127666	0.069614	0.0925858	0.174298	0.0656239	0.0874813	0.114174	0.0956593	0.107316	0.155541	0.132515	0.093851	0.115538	0.0651654	0.0928863	0.0880218	0.160307	0.0466487	0.0280891	0.0327118	0.0281837	0.0662943	0.0309809	0.02832	0.0408611	0.0291458	0.0406302	0.0318716	0.0310646	0.07983	0.0355444	0.0209019	0.0527815	0.0715513	0.0196812	0.0224138	0.0451937	3.251439
210	-15809.3	-15822.1	12.72	0.134631	0.10278	0.0741925	0.085984	0.136068	0.071704	0.133202	0.0586515	0.0914672	0.159025	0.0799932	0.0941485	0.0871822	0.100532	0.123906	0.133961	0.109716	0.106477	0.124106	0.0687835	0.0909609	0.0835283	0.179059	0.0553589	0.0367733	0.0244673	0.0142001	0.0542826	0.0348808	0.0162863	0.0372535	0.0265228	0.0331928	0.0249278	0.0393612	0.104363	0.0617373	0.0098804	0.0390862	0.0679915	0.0198472	0.0282862	0.0581504	3.216908
220	-15807	-15819.3	12.3223	0.131642	0.0766814	0.101983	0.0918518	0.109042	0.0918261	0.103736	0.0775797	0.10617	0.185411	0.0690002	0.0945491	0.109315	0.0848916	0.130756	0.12304	0.134985	0.0888894	0.124106	0.0776382	0.102755	0.0835319	0.1758	0.0447977	0.0384375	0.0284401	0.0170649	0.0503685	0.0346429	0.0139304	0.0435402	0.0227922	0.0455497	0.0383962	0.024051	0.103356	0.0447468	0.0129852	0.0476031	0.0540361	0.0333098	0.0262398	0.0572135	3.256682
230	-15805.8	-15819.1	13.2533	0.141512	0.0748523	0.0845075	0.120499	0.100682	0.0756906	0.115506	0.0775797	0.112476	0.161893	0.0690002	0.0964036	0.110219	0.0817711	0.0986761	0.122042	0.119575	0.134525	0.133113	0.0842761	0.0858178	0.0835319	0.157511	0.0359756	0.0336817	0.0271924	0.0359704	0.0518321	0.0297088	0.0219925	0.0324652	0.0189663	0.0437504	0.0375665	0.040929	0.0797397	0.0486672	0.0153148	0.0459658	0.0391343	0.0155977	0.026788	0.0406741	3.163574
240	-15798.6	-15811.3	12.6959	0.133712	0.0960527	0.102468	0.0923277	0.115485	0.0648985	0.112131	0.0974798	0.101761	0.163016	0.0894793	0.0770522	0.112132	0.102212	0.113682	0.142323	0.134179	0.0991783	0.121118	0.0776819	0.0858178	0.0878813	0.177243	0.0527991	0.0228807	0.0263604	0.0359704	0.0461763	0.0358918	0.0297292	0.044174	0.0266123	0.0241105	0.0389312	0.0311457	0.0873799	0.0367792	0.0158996	0.0304189	0.050531	0.0133722	0.0212298	0.0496156	3.219319
250	-15807.2	-15821.2	13.9899	0.1261	0.0834531	0.116345	0.0849581	0.102762	0.0872647	0.113424	0.0609065	0.107229	0.156729	0.066692	0.0721959	0.0943278	0.0958528	0.105885	0.140136	0.102275	0.11032	0.121219	0.0676443	0.100173	0.0796959	0.191919	0.0459482	0.0245966	0.0179979	0.0312974	0.0345276	0.0274575	0.0223791	0.0222103	0.026045	0.0275468	0.0502803	0.031269	0.0902679	0.0549285	0.0180782	0.0398388	0.0392148	0.0256181	0.0239741	0.0489323	3.089915
260	-15816	-15828	12.0638	0.131407	0.103306	0.107314	0.0941055	0.104874	0.0784699	0.136969	0.0720313	0.0973737	0.172572	0.0806241	0.0789009	0.0885212	0.0984314	0.105885	0.150184	0.120448	0.0989069	0.116754	0.0799048	0.132781	0.0990046	0.191919	0.0362814	0.033101	0.0210316	0.0274615	0.0338514	0.0431801	0.0204982	0.0291725	0.0291797	0.0486164	0.026376	0.0146512	0.0951707	0.0452596	0.0195857	0.0630185	0.0621802	0.0215121	0.0153749	0.0563423	3.282533
270	-15808.5	-15820.1	11.6336	0.145253	0.114062	0.111579	0.0918403	0.0967485	0.094865	0.145394	0.0706493	0.11206	0.172572	0.0828948	0.0765832	0.113477	0.0984314	0.105885	0.128275	0.143231	0.121454	0.140534	0.0760248	0.0917572	0.0806762	0.209872	0.0304619	0.030896	0.0257026	0.0246701	0.0391278	0.0379478	0.0137262	0.0264179	0.0275712	0.0386854	0.0346595	0.0289467	0.0706905	0.0484441	0.0306783	0.0383505	0.0559138	0.0206761	0.0311293	0.0467287	3.325544
280	-15815.5	-15827.8	12.2846	0.166472	0.0995281	0.125096	0.0896508	0.0818114	0.064505	0.118633	0.0784395	0.0799756	0.148248	0.0802347	0.0911143	0.0981657	0.0888246	0.104294	0.153967	0.115278	0.12549	0.138697	0.0691295	0.102341	0.083798	0.158082	0.0403819	0.036712	0.0327325	0.0158187	0.0469517	0.0405706	0.0273348	0.0442566	0.0282632	0.0368532	0.0387834	0.0242916	0.0964448	0.0593578	0.0193017	0.0487404	0.0644274	0.0188717	0.0290399	0.049537	3.260446
290	-15808.5	-15821.3	12.7214	0.122939	0.0951777	0.0917719	0.0919572	0.121599	0.0996318	0.130465	0.0848387	0.101368	0.138578	0.0758714	0.0850548	0.121759	0.10799	0.0962858	0.125911	0.117846	0.126099	0.142421	0.0807297	0.0905695	0.0994786	0.147579	0.0445867	0.0381312	0.03517	0.0270067	0.048943	0.0217229	0.0206326	0.0446981	0.0442954	0.0316988	0.0278514	0.0196925	0.0823563	0.0499491	0.0214398	0.0424099	0.0356821	0.01702	0.0164426	0.0511176	3.216768
300	-15803.6	-15815.6	11.9625	0.135514	0.105703	0.105343	0.100018	0.112743	0.0825388	0.110655	0.092141	0.0843624	0.183474	0.0758714	0.106284	0.0884601	0.0853017	0.114979	0.127637	0.146993	0.119693	0.111204	0.0829993	0.110038	0.0923598	0.177324	0.0319164	0.0334272	0.03517	0.0208962	0.0592573	0.0404761	0.0201715	0.0478539	0.0230897	0.0369921	0.0344144	0.0271486	0.0745254	0.0499585	0.0253934	0.0396675	0.0472568	0.0139379	0.0294782	0.0499895	3.292658
310	-15809.7	-15823.3	13.6061	0.12113	0.0942535	0.105343	0.0942526	0.107627	0.0799292	0.111591	0.100074	0.102538	0.144929	0.0773134	0.0709491	0.102703	0.0898523	0.118843	0.13172	0.124652	0.10509	0.127982	0.0946194	0.0916596	0.0649763	0.148606	0.0303999	0.0412696	0.0222679	0.0205369	0.072316	0.0367413	0.0216311	0.0382414	0.0204266	0.0170028	0.0312839	0.0162823	0.0833315	0.0637629	0.00997153	0.0513228	0.0495283	0.0130417	0.0242562	0.0540481	3.128297
320	-15802.2	-15814.6	12.3477	0.129142	0.122203	0.0955258	0.10646	0.111496	0.0843203	0.118748	0.0635192	0.101936	0.180067	0.0844499	0.092429	0.0952423	0.0943131	0.113033	0.13172	0.135519	0.114035	0.127485	0.0869399	0.0944852	0.0911185	0.139772	0.036969	0.0303754	0.0234492	0.0340236	0.0580563	0.0327443	0.0216311	0.0383246	0.0216442	0.0283483	0.0464935	0.0270081	0.0935717	0.0552282	0.00725668	0.0317279	0.0462073	0.0275871	0.0256515	0.0538798	3.254139
330	-15808.8	-15821.7	12.9267	0.111222	0.112492	0.0957765	0.0993356	0.0992752	0.0926538	0.107598	0.0864477	0.110758	0.147069	0.0892029	0.0786066	0.103656	0.090998	0.107444	0.113648	0.117087	0.133234	0.115638	0.0778819	0.107529	0.0777847	0.137012	0.0286568	0.0323257	0.0254365	0.0267526	0.0629774	0.0336067	0.0273304	0.040427	0.0194673	0.0302186	0.0379759	0.03948	0.11599	0.0538793	0.023781	0.0487328	0.048853	0.0239514	0.018065	0.0459762	3.196234
340	-15808.2	-15820.4	12.1978	0.143738	0.101745	0.116435	0.0795285	0.12295	0.0790212	0.117362	0.0792106	0.0950053	0.174971	0.0933987	0.0729002	0.101369	0.0841487	0.121404	0.156007	0.115776	0.0991285	0.123968	0.082095	0.0812638	0.104048	0.171032	0.0322794	0.0260558	0.0239878	0.0385459	0.0783744	0.0533624	0.0235975	0.038815	0.0300176	0.0388674	0.0265083	0.0176384	0.0779226	0.0609035	0.0176199	0.0519734	0.0357292	0.0108657	0.021197	0.0483575	3.269125
350	-15808.7	-15820.9	12.2083	0.156946	0.0969082	0.0902806	0.0822332	0.12085	0.0920867	0.14217	0.0726832	0.0998263	0.175667	0.0791194	0.0764481	0.115073	0.0887558	0.121404	0.115301	0.127917	0.120086	0.122078	0.0612062	0.0682229	0.0816673	0.16596	0.030962	0.0477868	0.0256887	0.0180059	0.0498757	0.0311194	0.0382987	0.033592	0.0401919	0.0347132	0.0301875	0.0367869	0.096528	0.052277	0.0175491	0.0394808	0.0735379	0.0129958	0.0357803	0.0498287	3.268076
360	-15805.2	-15817.9	12.6725	0.138546	0.0954048	0.100221	0.0993262	0.126675	0.0681314	0.130356	0.082455	0.0737276	0.171225	0.0691125	0.0695438	0.0991692	0.0830009	0.114066	0.137713	0.12179	0.127696	0.122078	0.0883609	0.0849427	0.094062	0.162028	0.0325608	0.0407133	0.0277306	0.0322265	0.0439552	0.0360294	0.0296143	0.0412128	0.0367578	0.0403823	0.0191572	0.0296831	0.0901523	0.061806	0.0220583	0.0358681	0.050814	0.0249369	0.0341972	0.0321699	3.221656
370	-15806	-15819.4	13.3906	0.136265	0.0948577	0.104492	0.0833874	0.107776	0.063212	0.117104	0.0864875	0.0810494	0.142866	0.0835534	0.0833985	0.103632	0.0843036	0.127051	0.119852	0.118998	0.113284	0.124451	0.066098	0.115539	0.0825162	0.161975	0.0440329	0.0243281	0.0279607	0.0397916	0.0475338	0.0393396	0.0188157	0.0242289	0.034027	0.0195959	0.0353746	0.0333484	0.0945318	0.0436167	0.0133391	0.0460683	0.0492077	0.0378456	0.0219978	0.0527108	3.149843
380	-15811.9	-15824.8	12.8848	0.163506	0.0873599	0.0996099	0.0888996	0.133467	0.0790261	0.118641	0.0884814	0.10723	0.136971	0.0626847	0.100044	0.0907245	0.092138	0.129495	0.118708	0.116716	0.118872	0.127982	0.0538181	0.0806621	0.0763615	0.177791	0.0537814	0.0425257	0.0176963	0.0271107	0.0529284	0.0267916	0.0121832	0.0451573	0.0388905	0.0431971	0.0326253	0.0289961	0.0786294	0.0503001	0.0122216	0.0532721	0.0472332	0.0180471	0.0184511	0.051196	3.200423
390	-15808.5	-15821.5	12.9325	0.130803	0.101198	0.0955981	0.0888996	0.128775	0.0801654	0.127473	0.0864642	0.090934	0.150295	0.0791697	0.0861753	0.108729	0.0857405	0.131436	0.150291	0.127289	0.122625	0.104224	0.071327	0.117733	0.0704013	0.151453	0.0298197	0.0307363	0.0238015	0.0199535	0.0485342	0.03493	0.0242518	0.040108	0.0304702	0.0306873	0.03399	0.0174818	0.0822727	0.0648631	0.0213661	0.0600571	0.0468186	0.011732	0.0270488	0.029538	3.195658
