Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-16854.8	-16857	2.14867	0.168001	0.218056	0.192443	0.144315	0.169368	0.215272	0.157772	0.226379	0.173519	0.17708	0.115364	0.104794	0.100229	0.140332	0.144633	0.148095	0.21763	0.159661	0.172402	0.139029	0.144024	0.16126	0.167772	0.0254476	0.0396528	0.00875003	0.0146718	0.0165245	0.0291963	0.00107687	0.0589723	0.00323258	0.0718418	0.00132699	0.000398766	0.0142163	0.0364796	0.0146259	0.000236881	0.0220247	0.0527852	0.0257053	0.0123013	2.778777	0.295296	0.301779	0.0856449	0.31728	4.206897
110	-16853.5	-16856.3	2.77174	0.181259	0.16749	0.182367	0.144315	0.187624	0.180953	0.155749	0.226379	0.158147	0.224372	0.12008	0.0948116	0.0958008	0.153469	0.144633	0.140169	0.155279	0.164599	0.164282	0.190337	0.144024	0.148684	0.194678	0.00691291	0.0405465	0.0250637	0.0114179	0.0192276	0.0178135	0.010406	0.03822	0.0146219	0.0678238	0.00206802	0.00106345	0.0146308	0.0325889	0.0213137	0.000288101	0.00838524	0.0521209	0.0353854	0.0080959	2.738995	0.294194	0.300653	0.0890568	0.316097	4.147495
120	-16855.2	-16857.1	1.90168	0.182014	0.176204	0.179933	0.157686	0.201686	0.164345	0.208334	0.226733	0.153469	0.196305	0.12144	0.122639	0.130503	0.131173	0.135004	0.142451	0.184571	0.15346	0.179436	0.141508	0.161268	0.110277	0.209856	0.00851951	0.0432038	0.0155736	0.0139778	0.0154805	0.0197623	0.00114642	0.0378579	0.0157711	0.0780382	0.00135527	0.00128123	0.0271932	0.0233234	0.015512	0.000572856	0.0142748	0.071974	0.0321208	0.0114093	2.959695	0.29433	0.300793	0.0890981	0.315779	4.218643
130	-16849.9	-16851.8	1.85385	0.176534	0.197217	0.163412	0.162971	0.187854	0.167453	0.17556	0.212863	0.160179	0.186476	0.137561	0.103273	0.0787603	0.144744	0.156827	0.141895	0.201768	0.185531	0.178298	0.138708	0.152224	0.151275	0.192235	0.0131452	0.0530689	0.0218496	0.0198982	0.0132721	0.0323866	0.000592029	0.0404581	0.0113033	0.0849122	0.000822886	0.00158135	0.027843	0.0286683	0.0107126	0.00111374	0.0212478	0.0693465	0.0131815	0.0192157	2.753311	0.269611	0.300008	0.0947105	0.33567	4.238236
140	-16845.7	-16848	2.28234	0.183938	0.206919	0.187602	0.158388	0.167564	0.167758	0.15362	0.264692	0.179688	0.208983	0.135017	0.105577	0.105208	0.126761	0.175564	0.131492	0.17892	0.159312	0.178687	0.146736	0.144379	0.143139	0.196093	0.0103317	0.0232012	0.0186517	0.0196562	0.00522776	0.0231213	0.000167644	0.0365912	0.0163166	0.0763065	0.000517371	0.00399798	0.0244617	0.0313933	0.0168021	0.000387674	0.0104422	0.0576934	0.022	0.0076254	2.544797	0.269611	0.300008	0.0947105	0.33567	4.210929
150	-16854.5	-16856.4	1.85624	0.162447	0.199011	0.159844	0.171188	0.206528	0.18123	0.15362	0.213383	0.162165	0.203149	0.113036	0.118557	0.0774696	0.15685	0.164961	0.153856	0.188762	0.167518	0.154536	0.152212	0.169224	0.132097	0.195354	0.0191672	0.0407871	0.0462625	0.0142516	0.00380437	0.0172414	6.00138e-05	0.0426928	0.0229701	0.0903293	0.00136253	0.00686615	0.0211075	0.0393549	0.0127639	0.000576678	0.00720506	0.0573225	0.0273319	0.0106368	2.73838	0.269611	0.300008	0.0947105	0.33567	4.23909
160	-16843.2	-16844.8	1.63019	0.211836	0.196576	0.176869	0.145792	0.168617	0.206294	0.183021	0.214853	0.163767	0.185819	0.127991	0.117073	0.11787	0.123713	0.149372	0.183122	0.1927	0.167518	0.172567	0.171117	0.137765	0.131006	0.203662	0.00941557	0.0468646	0.0152631	0.0112268	0.0136054	0.0280677	1.6142e-05	0.0276198	0.0144359	0.0677548	0.00187474	0.00951077	0.0187638	0.0324055	0.0240787	0.00229802	0.00586408	0.0418551	0.0331856	0.00751799	2.754092	0.269611	0.300008	0.0947105	0.33567	4.260545
170	-16848.4	-16849.7	1.35509	0.191046	0.221954	0.192555	0.149919	0.164882	0.196233	0.179484	0.226628	0.188542	0.214151	0.139558	0.101495	0.0980575	0.14387	0.149372	0.159698	0.17132	0.151803	0.180401	0.171117	0.130857	0.151618	0.210371	0.00739262	0.0412627	0.0183306	0.0102025	0.00844924	0.0152855	1.73791e-05	0.0620079	0.0162146	0.0690083	0.00648484	0.00594206	0.0207489	0.0233081	0.00989348	0.00122195	0.00443238	0.0410766	0.0348694	0.0164456	2.626026	0.269611	0.300008	0.0947105	0.33567	4.297527
180	-16849.3	-16851.1	1.82924	0.215268	0.187014	0.191021	0.142444	0.162691	0.204072	0.170925	0.226628	0.152971	0.175941	0.125615	0.108793	0.105642	0.14387	0.170656	0.147889	0.199042	0.175829	0.151904	0.142581	0.120886	0.165446	0.210371	0.0173854	0.0436542	0.0395895	0.0186787	0.0184141	0.0290134	6.597e-05	0.0457573	0.0227202	0.06113	0.00397733	0.00873924	0.0106989	0.0251418	0.0113892	0.00424886	0.00649258	0.0512062	0.0275582	0.0095771	2.588427	0.271298	0.301886	0.0890437	0.337772	4.252937
190	-16839.8	-16842.1	2.33161	0.20036	0.197597	0.187212	0.167091	0.167236	0.184415	0.163245	0.210368	0.152971	0.195593	0.120056	0.0907848	0.117087	0.136143	0.170797	0.136739	0.16879	0.154856	0.186984	0.147292	0.141258	0.150763	0.225085	0.0191875	0.0397129	0.0152583	0.0125977	0.00953385	0.026649	5.93826e-05	0.0353481	0.0100239	0.0851236	0.00253663	0.00674824	0.0156827	0.0328565	0.0110722	0.00523547	0.0117889	0.0520931	0.0318173	0.0066508	2.588427	0.271618	0.301754	0.0890046	0.337624	4.202699
200	-16840.9	-16842.7	1.77116	0.20126	0.222337	0.19293	0.148271	0.165785	0.207952	0.163245	0.188632	0.181525	0.173718	0.115935	0.100832	0.110346	0.168305	0.147236	0.164076	0.199286	0.157812	0.151709	0.155822	0.141258	0.135187	0.206344	0.00932637	0.0463975	0.036591	0.0101449	0.00971922	0.0266608	0.000217857	0.0453334	0.00612583	0.0779037	0.00337299	0.00352698	0.0239349	0.0363076	0.0112531	0.00714712	0.014529	0.0602373	0.0293225	0.00233838	2.569224	0.271618	0.301754	0.0890046	0.337624	4.260194
210	-16848.5	-16851.3	2.80096	0.177327	0.198363	0.19293	0.158937	0.182941	0.178737	0.165446	0.216979	0.169613	0.182946	0.127207	0.0861457	0.124715	0.145948	0.144077	0.140263	0.201226	0.132633	0.153553	0.155056	0.142292	0.15198	0.196953	0.00816371	0.0512287	0.0197167	0.013323	0.00557765	0.0301965	0.00048655	0.0358265	0.00297736	0.0747956	0.00139023	0.00736399	0.029389	0.023635	0.00436434	0.0167706	0.00833953	0.0530565	0.0334431	0.00268592	2.678954	0.271618	0.301754	0.0890046	0.337624	4.148998
220	-16835	-16836.9	1.86023	0.174957	0.198363	0.16854	0.147091	0.175026	0.186002	0.179724	0.222663	0.162492	0.172727	0.120259	0.118756	0.0999877	0.158524	0.164547	0.146511	0.190501	0.167838	0.174091	0.159222	0.154866	0.123493	0.211278	0.00759609	0.0505023	0.0197167	0.0185294	0.00442504	0.0250283	0.000689106	0.0504899	0.0151536	0.0723433	0.00437664	0.00262547	0.0219453	0.0335354	0.0209261	0.00384716	0.0176606	0.0660406	0.0266781	0.00350478	2.678954	0.271618	0.301754	0.0890046	0.337624	4.243071
230	-16852.8	-16854.9	2.11037	0.155308	0.196288	0.200748	0.196464	0.175087	0.190025	0.179724	0.198255	0.156431	0.187337	0.133478	0.10428	0.115028	0.159163	0.144731	0.152273	0.164002	0.165769	0.153071	0.15989	0.130622	0.148423	0.186978	0.0127588	0.0300609	0.0197657	0.0101908	0.0155327	0.0289034	0.00201457	0.0467555	0.0227578	0.067043	0.00130048	0.00825168	0.028446	0.0320961	0.0209261	0.00266349	0.0176606	0.0649666	0.011911	0.0234345	2.641904	0.281934	0.306965	0.0790217	0.33208	4.220812
240	-16856.3	-16857.3	0.965422	0.184902	0.189501	0.209251	0.192584	0.170264	0.170617	0.150486	0.217251	0.143697	0.181186	0.128481	0.110067	0.113222	0.152987	0.165329	0.157234	0.158922	0.183035	0.20492	0.166815	0.144895	0.1356	0.20395	0.00752134	0.0295401	0.0187809	0.0109614	0.0218738	0.0181936	0.00555476	0.04653	0.0137189	0.0703343	0.0126134	0.00523484	0.025507	0.0313651	0.0294278	0.000996856	0.0189281	0.100899	0.00825311	0.00733352	2.868249	0.277886	0.302558	0.0922438	0.327312	4.318763
250	-16846.5	-16848.4	1.93435	0.1787	0.185878	0.181806	0.162572	0.163714	0.20512	0.175919	0.221497	0.172166	0.167837	0.122778	0.106651	0.121946	0.145762	0.132203	0.157781	0.184875	0.155338	0.189406	0.138677	0.147125	0.1356	0.197385	0.0290568	0.0474808	0.0147717	0.0150045	0.0211781	0.0281532	0.00296019	0.0317251	0.00791534	0.0599102	0.016488	0.00506257	0.0209757	0.0347957	0.0136012	0.0040203	0.0190271	0.0879242	0.0224337	0.00683895	2.619915	0.275833	0.303418	0.0925061	0.328243	4.240059
260	-16847.1	-16849.6	2.50602	0.169123	0.175747	0.165936	0.162572	0.170447	0.198721	0.174562	0.21505	0.168508	0.179258	0.120615	0.102163	0.113172	0.16647	0.155888	0.146187	0.184875	0.12787	0.178734	0.139063	0.14747	0.134263	0.211991	0.0192707	0.0411933	0.0356938	0.0165195	0.0131297	0.0246881	0.00181856	0.046182	0.00958894	0.081635	0.00992164	0.00355855	0.00863748	0.0319937	0.0247988	0.0030589	0.0201934	0.0738236	0.014633	0.00624882	2.457212	0.271679	0.298848	0.0911129	0.33836	4.195273
