Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14366.2	-14261.7	-104.497	0.2459539	0.657866	0.675017	0.685093	0.602051	0.848913	0.746888	0.861155	0.952989	0.928822	0.560505	0.368767	0.409329	0.496286	0.386979	0.529208	0.52901	0.488967	0.325485	0.381591	0.280077	0.417869	0.136007	0.751702	0.146985	0.00706095	0.0297632	0.14295	0.0316471	0.00642828	0.0280121	0.0108985	0.0416567	0.0668792	0.00078712	0.0645478	0.0289689	0.0266151	0.0143083	0.0110593	0.018448	0.0042479	0.022314	0.0302713	0.0340772	0.118482	0.0655123	0.0130978	0.758708	0.010123	0.00192852	0.0637839	0.492875	3.44141	0.360461	0.347903	0.093684	0.197952	13.75443
110	-14367.3	-14270.9	-96.4189	0.2539634	0.659507	0.616218	0.682301	0.602051	0.715863	0.667917	0.792707	0.952989	0.604566	0.578726	0.368123	0.462105	0.44109	0.443143	0.443756	0.548414	0.369392	0.264452	0.403893	0.24317	0.327938	0.133696	0.89028	0.120862	0.0276841	0.0212686	0.14019	0.0316079	0.00621732	0.054172	0.0152113	0.0170202	0.0193763	0.00218144	0.0866309	0.0593064	0.0389899	0.011147	0.0174571	0.00861056	0.00913479	0.0290674	0.0182184	0.0334216	0.116202	0.0768457	0.0169033	0.744112	0.0125157	0.00230164	0.0695668	0.50977	3.41836	0.384325	0.334024	0.0915954	0.190055	12.94665
120	-14367.6	-14272.3	-95.2874	0.2670126	0.757195	0.550131	0.765193	0.554163	0.731611	0.681922	1.00725	0.753582	0.79968	0.459744	0.37712	0.389522	0.495811	0.365929	0.49851	0.401474	0.400594	0.254214	0.278115	0.227709	0.322808	0.162468	0.857211	0.0839841	0.0258118	0.0107993	0.163935	0.0655212	0.0035167	0.0668005	0.0326744	0.0328313	0.0129184	0.0012655	0.0819764	0.0251502	0.00674545	0.0143758	0.027103	0.00471757	0.0372226	0.0336883	0.0105155	0.0302037	0.118045	0.0770575	0.0155733	0.746163	0.0129576	0.0030012	0.0792223	0.536017	3.38176	0.384325	0.334024	0.0915954	0.190055	12.83351
130	-14357.4	-14259.4	-97.9902	0.2373544	0.71488	0.520157	0.784625	0.58117	0.788692	0.680279	0.778175	0.927306	0.852922	0.489891	0.413811	0.398768	0.476722	0.440298	0.44918	0.581773	0.407116	0.276136	0.317256	0.184532	0.29191	0.145352	0.800959	0.133542	0.0185679	0.0219111	0.195194	0.0441774	0.00420956	0.0409911	0.00735461	0.0297046	0.0189349	0.00236778	0.0993938	0.066678	0.0154938	0.00494597	0.0481761	0.0157269	0.0197836	0.0109137	0.00381209	0.0302542	0.118243	0.0771865	0.0121285	0.747412	0.0147765	0.00157386	0.0577219	0.474048	3.46666	0.384325	0.334024	0.0915954	0.190055	13.10379
140	-14374.2	-14269.5	-104.74	0.2379037	0.748798	0.719038	0.803447	0.58117	0.754171	0.632715	0.799082	0.984297	0.861485	0.59092	0.400503	0.455626	0.51782	0.369316	0.482953	0.503584	0.413965	0.368325	0.434015	0.208715	0.347082	0.162936	0.837915	0.085062	0.062119	0.0370352	0.195895	0.0476503	0.00428065	0.0245213	0.00473448	0.0434162	0.0586804	0.00146887	0.039133	0.0282789	0.0145422	0.00378323	0.0079491	0.0771028	0.0220781	0.0388668	0.00433294	0.0305392	0.119356	0.073696	0.011844	0.754451	0.0101131	0.00159513	0.0581042	0.475273	3.46503	0.384325	0.334024	0.0915954	0.190055	13.77881
150	-14369.4	-14258.3	-111.122	0.2389564	0.809054	0.653223	0.748462	0.693814	0.924782	0.879449	0.766527	1.02379	0.935269	0.60077	0.392117	0.497812	0.51782	0.371605	0.50504	0.532718	0.428939	0.29691	0.343619	0.22157	0.433612	0.137581	0.858174	0.100104	0.0326773	0.0633391	0.185928	0.0891012	0.0051283	0.101629	0.00375506	0.0255286	0.0440533	0.00286403	0.026835	0.027263	0.0262266	0.00374015	0.0255468	0.0248283	0.0264826	0.0247405	0.00455326	0.0308534	0.114888	0.0698615	0.0119658	0.762214	0.0102172	0.00163641	0.0588386	0.47761	3.46191	0.359333	0.347583	0.0953135	0.19777	14.41698
160	-14367.4	-14263	-104.379	0.2488069	0.858458	0.657508	0.904595	0.613539	0.824261	0.688631	1.02708	0.995905	0.799539	0.408804	0.36744	0.329616	0.506232	0.442069	0.494676	0.485184	0.418716	0.355645	0.292539	0.232504	0.431787	0.166111	0.754176	0.0526819	0.0277834	0.0204683	0.170938	0.0524519	0.00474174	0.0572397	0.00231843	0.0347093	0.0194645	0.00640758	0.0992982	0.018185	0.0251048	0.00123057	0.0168408	0.0302796	0.0126862	0.0200413	0.0147444	0.0349528	0.130152	0.0791436	0.0135557	0.730621	0.0115747	0.00205662	0.0658297	0.498963	3.43315	0.359067	0.347325	0.0956598	0.197948	13.74263
170	-14365	-14264.7	-100.26	0.2346094	0.777719	0.572844	0.74904	0.643153	0.689886	0.689403	0.984204	0.867866	0.724588	0.500986	0.423741	0.429465	0.390549	0.444593	0.445572	0.481435	0.518471	0.381341	0.291816	0.221771	0.299139	0.164145	0.887445	0.06617	0.0460334	0.0162293	0.170589	0.080652	0.00147555	0.0153324	0.00268512	0.053346	0.00971062	0.0114683	0.0624055	0.00878249	0.0529317	0.00497531	0.0560812	0.0104897	0.018901	0.0334479	0.0299312	0.0351659	0.130946	0.0796263	0.0136383	0.735077	0.00554613	0.00147038	0.0558228	0.467886	3.47482	0.359541	0.348007	0.0956272	0.196825	13.33081
180	-14366.3	-14265.4	-100.854	0.2461545	0.869897	0.665946	0.790349	0.66214	0.756097	0.621086	0.752213	0.925207	0.763061	0.490017	0.375509	0.511512	0.455291	0.399222	0.468946	0.600309	0.389613	0.312368	0.400069	0.292271	0.267598	0.155057	0.751131	0.06617	0.0146987	0.0162285	0.191763	0.0428454	0.00827014	0.0657513	0.0109347	0.0248858	0.0209851	0.010628	0.0753353	0.00577645	0.0288353	0.00899311	0.0338405	0.00213654	0.0305945	0.0346793	0.0219024	0.0334751	0.12465	0.0757977	0.0129826	0.742349	0.0107462	0.00193735	0.0639272	0.493306	3.44083	0.359326	0.351528	0.0903304	0.198816	13.39016
190	-14368.9	-14270.2	-98.6291	0.254577	0.828693	0.527158	0.774891	0.643549	0.786657	0.774566	0.720586	0.925207	0.668767	0.397697	0.430751	0.392631	0.450074	0.520132	0.533663	0.501834	0.468891	0.338529	0.339097	0.14468	0.383831	0.147652	0.756871	0.11784	0.00384896	0.0373641	0.192997	0.0619573	0.00349982	0.0320466	0.0171844	0.0122105	0.00840786	0.00500089	0.0865055	0.00478035	0.0190415	0.00636185	0.0179924	0.00170089	0.0214049	0.0281518	0.0329751	0.035687	0.153417	0.0707928	0.0152143	0.720878	0.0040109	0.00233197	0.0700147	0.511039	3.41661	0.359376	0.351577	0.0902027	0.198844	13.16768
