Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-14404.6	-14309.5	-95.0507	0.285977	0.563488	0.743501	0.775136	0.446234	0.68511	0.568142	0.698911	0.93065	0.859681	0.488622	0.132112	0.221194	0.384445	0.412978	0.454485	0.446803	0.439032	0.354333	0.513584	0.302284	0.336298	0.120665	0.722417	0.0408136	0.0212255	0.23243	0.08061	0.0310713	0.00693301	0.246261	0.0214629	0.0334789	0.0260685	0.00704474	0.0150575	0.0231004	0.124084	0.025156	0.0242542	0.0115962	0.210974	0.0261754	0.00193686	0.0372916	0.156593	0.0854017	0.0109329	0.70164	0.00814053	0.00422689	0.0936406	0.571484	3.33065	0.371611	0.336447	0.095294	0.196647	12.80984
11	1	-14435.3	-14326.9	-108.378	0.2656812	0.819801	0.727338	0.801318	0.683591	0.722963	0.818572	1.04927	0.989056	1.00998	0.610943	0.389656	0.439797	0.413304	0.406616	0.450287	0.484012	0.426069	0.377281	0.284084	0.171875	0.401893	0.105863	0.709805	0.193901	0.00875604	0.00221642	0.187054	0.0805648	0.00513425	0.0333819	0.00206	0.00856012	0.0433005	0.000738497	0.0409162	0.0762294	0.00921227	0.0201122	0.0478853	0.0109126	0.0530299	0.0102505	0.0150186	0.0304486	0.135179	0.0582881	0.00101855	0.67792	0.0971463	0.00292452	0.0782256	0.533409	3.38544	0.419456	0.298525	0.0903294	0.19169	14.14261
12	0	-14393.3	-14284.2	-109.057	0.2561862	0.879346	0.76551	0.866644	0.545505	0.833613	0.750093	0.785241	1.10012	0.967001	0.483071	0.138478	0.243614	0.454272	0.412857	0.54389	0.46921	0.521379	0.288714	0.656503	0.315348	0.367754	0.140705	0.717141	0.022542	0.0236588	0.289186	0.0581931	0.0136714	0.0046073	0.108645	0.0267778	0.0180557	0.0106131	0.00920358	0.00653212	0.0138796	0.0801089	0.102137	0.0243358	0.018111	0.105586	0.0257053	0.00292635	0.0330156	0.138637	0.0756092	0.0123032	0.722097	0.0183373	0.00241269	0.0711925	0.514351	3.41204	0.371611	0.336447	0.095294	0.196647	14.21048
13	1	-14370.9	-14267.1	-103.791	0.2646902	0.76031	0.653108	0.764245	0.595159	0.784492	0.771321	1.00174	1.09741	0.872369	0.551829	0.327516	0.369441	0.413304	0.414418	0.45615	0.549769	0.447614	0.356589	0.361266	0.223871	0.268305	0.127535	0.750209	0.0969283	0.011239	0.00153383	0.168683	0.0784702	0.0193864	0.0348952	0.00169428	0.0347521	0.00760565	0.00069626	0.0767431	0.0771231	0.0258067	0.0102791	0.0194406	0.0171481	0.0521992	0.0113219	0.019985	0.033246	0.13086	0.0640657	0.00469669	0.740203	0.0269289	0.00286824	0.0774853	0.531458	3.38819	0.381289	0.318151	0.0962679	0.204292	13.6839
14	0	-14393	-14286.6	-106.46	0.2524279	0.890158	0.731684	0.865101	0.586628	0.982604	0.411666	0.572279	1.00005	0.948598	0.602314	0.245307	0.200501	0.38155	0.450996	0.59023	0.428988	0.383989	0.372423	0.576495	0.276086	0.343879	0.156978	0.873907	0.00764939	0.0461507	0.274914	0.0277072	0.0146461	0.00518448	0.193351	0.0253018	0.040069	0.00474174	0.0218579	0.00407605	0.00637823	0.159705	0.0795556	0.0135624	0.0117792	0.134483	0.00392743	0.0032618	0.0332239	0.139512	0.0760864	0.0119	0.726655	0.0126224	0.00222685	0.0684489	0.506578	3.42275	0.371611	0.336447	0.095294	0.196647	13.95072
15	1	-14369.3	-14268.5	-100.802	0.2533873	0.997772	0.500536	0.759811	0.691151	0.647342	0.745367	0.913848	1.11966	0.840363	0.542834	0.256439	0.443522	0.406284	0.401994	0.501232	0.492676	0.420971	0.331439	0.297397	0.276555	0.318749	0.164121	0.714031	0.0530391	0.00630061	0.00452815	0.139237	0.125868	0.00704199	0.0190346	0.00667061	0.0177717	0.0162541	0.000701819	0.0802203	0.0224425	0.0114631	0.00378175	0.0205374	0.0137712	0.0257854	0.00808899	0.0183378	0.0338218	0.117594	0.0651752	0.0197887	0.753022	0.0105988	0.0022734	0.0691469	0.508575	3.42	0.37214	0.334511	0.093958	0.199391	13.38498
16	0	-14382.7	-14288.1	-94.5956	0.250677	0.669727	0.573061	0.684221	0.586628	0.871141	0.536575	0.68364	0.992123	0.771247	0.432764	0.193774	0.268466	0.461965	0.382427	0.520986	0.472687	0.455178	0.271976	0.438227	0.300659	0.368669	0.11381	0.709538	0.00689565	0.0258483	0.193774	0.0629789	0.0113518	0.0239306	0.170382	0.0227184	0.0421798	0.00268006	0.00850213	0.0135917	0.00265534	0.165641	0.0806263	0.0105754	0.00725159	0.126333	0.0247574	0.00216439	0.0342324	0.10859	0.0783958	0.0162042	0.75246	0.0101177	0.00214346	0.0671793	0.502911	3.42777	0.379833	0.343891	0.0974023	0.178873	12.76432
17	1	-14364	-14259.2	-104.789	0.2325568	0.84393	0.553395	0.809523	0.749624	0.700119	0.862153	0.806234	0.895698	0.876158	0.527419	0.307956	0.481241	0.445898	0.422705	0.486641	0.627411	0.450766	0.315592	0.288865	0.273585	0.348375	0.197647	0.772649	0.0946048	0.00266249	0.00749478	0.194944	0.0950086	0.0109528	0.0428718	0.0100825	0.0204098	0.0289303	0.000824896	0.0699719	0.0135614	0.00442724	0.0133736	0.0192937	0.0142803	0.0315916	0.0149655	0.0498011	0.0339383	0.117999	0.0653998	0.0151876	0.755617	0.0118584	0.001396	0.0544148	0.463229	3.48096	0.366309	0.344939	0.0924858	0.196266	13.78364
18	0	-14381.7	-14284	-97.7076	0.2373428	0.783812	0.75135	0.684221	0.487144	0.857404	0.536575	0.66596	1.06902	0.77158	0.52468	0.229482	0.261007	0.538238	0.476625	0.553733	0.455833	0.418122	0.280565	0.415888	0.247476	0.330574	0.145356	0.540615	0.00808159	0.010844	0.263645	0.0256994	0.012298	0.0171882	0.210656	0.0230657	0.0379211	0.00452873	0.00770852	0.0327621	0.000789387	0.123738	0.106828	0.0115482	0.0039944	0.137181	0.00796011	0.00382903	0.0341307	0.11192	0.0724457	0.0189723	0.750225	0.0123062	0.00157342	0.0577138	0.474023	3.46669	0.379833	0.343891	0.0974023	0.178873	13.07552
19	1	-14356.8	-14243.4	-113.411	0.236226	0.898476	0.558068	0.899439	0.731472	0.798626	0.862153	0.859774	0.904508	0.897432	0.542115	0.389691	0.515791	0.487529	0.437722	0.536676	0.539095	0.537864	0.375032	0.364762	0.292029	0.429042	0.13471	0.896807	0.131932	0.00759031	0.00375177	0.184182	0.0843267	0.0222443	0.0336695	0.0149926	0.0284949	0.0197903	0.00118459	0.089358	0.00918372	0.0179967	0.0179529	0.00966022	0.0130362	0.0227754	0.0109405	0.033946	0.0339862	0.118165	0.0654921	0.0130629	0.756683	0.0126103	0.00153076	0.056939	0.471524	3.47001	0.366162	0.344801	0.0928488	0.196188	14.64582
