Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-14408.1	-14333.3	-74.7729	0.7108263	0.408817	0.553552	0.382909	0.569248	0.6792	0.689485	0.758262	0.843848	0.576321	0.492407	0.228041	0.274285	0.314564	0.216266	0.326474	0.369817	0.355426	0.269676	0.30536	0.269846	0.263507	0.261027	0.574944	0.0911146	0.0035277	0.030617	0.0947102	0.0138814	0.0133108	0.00175267	0.0194421	0.0265544	0.0465875	0.0100955	0.359044	0.0046695	0.00330919	0.0220624	0.00259538	0.00238555	0.00436655	0.0152487	0.0334987	0.0762501	0.269786	0.040525	0.0310108	0.582424	3.31096e-06	0.0765021	0.368594	0.928815	2.62609	0.339962	0.343645	0.0750043	0.241389	0.4028285	10.78206
110	-14391.8	-14317.2	-74.6011	0.6790666	0.295738	0.596381	0.354415	0.540801	0.687149	0.659885	0.74569	0.667557	0.756961	0.450726	0.228862	0.23672	0.296017	0.278795	0.352225	0.383526	0.425627	0.311651	0.315686	0.256396	0.215548	0.22755	0.623784	0.0341811	0.00771975	0.0613587	0.101778	0.0118383	0.00830052	0.00249761	0.0230762	0.0618554	0.0699346	0.0130847	0.403416	0.00203814	0.00175151	0.0175346	0.00317078	0.00412433	0.0104254	0.00757955	0.0115174	0.0575062	0.278323	0.0589775	0.0513299	0.553856	7.0964e-06	0.0697237	0.353483	0.916857	2.65994	0.346668	0.350424	0.072846	0.230062	0.4028285	10.76487
120	-14396.5	-14307.5	-89.0454	0.5877511	0.49073	0.67054	0.334511	0.700463	0.633512	0.774146	0.773179	0.90393	0.718688	0.521069	0.27191	0.23672	0.471148	0.278795	0.371272	0.441405	0.350065	0.347248	0.342292	0.330674	0.233692	0.257256	0.706243	0.0146067	0.0130915	0.0686674	0.245882	0.0203656	0.0192121	0.000594187	0.0174524	0.0707343	0.0319861	0.00635993	0.473363	0.0066427	0.00304583	0.0159842	0.00265144	0.00406169	0.0209703	0.003315	0.0108244	0.0502735	0.309435	0.0553506	0.0478978	0.537042	1.12941e-06	0.0505919	0.305395	0.874939	2.76907	0.346668	0.350424	0.072846	0.230062	0.3841802	12.2093
130	-14406	-14312.5	-93.5023	0.6300867	0.365123	0.599835	0.268659	0.64344	0.911842	0.797647	0.805693	0.997435	1.08162	0.497528	0.258783	0.245954	0.395424	0.356743	0.389736	0.450108	0.380476	0.394288	0.328752	0.197976	0.26177	0.261971	0.686939	0.0626311	0.0135311	0.0677459	0.140508	0.023028	0.0178243	0.00172344	0.0103132	0.0389655	0.100473	0.00808469	0.472536	0.00982793	0.0214595	0.0213467	0.00262906	0.00292124	0.0473317	0.00377554	0.0105937	0.0515727	0.317432	0.0439387	0.035998	0.550921	0.000137816	0.0593668	0.328588	0.895925	2.71612	0.353085	0.34562	0.0718474	0.229448	0.3935647	12.65499
140	-14405.3	-14317.1	-88.1587	0.6383892	0.430344	0.642694	0.442789	0.624048	0.685638	0.783031	0.783964	0.806619	0.646974	0.499959	0.24603	0.308135	0.359165	0.381631	0.381083	0.484848	0.44651	0.347188	0.328752	0.327499	0.251595	0.241185	0.683214	0.0493802	0.0360786	0.0727106	0.0846118	0.00653412	0.0164084	0.00259911	0.00681327	0.126115	0.0343269	0.0131354	0.435839	0.00809174	0.035738	0.0119652	0.00295756	0.00127956	0.0115004	0.00196517	0.0296891	0.0529568	0.275103	0.0451179	0.0603207	0.565706	0.000795859	0.0611101	0.33295	0.899708	2.70623	0.353085	0.34562	0.0718474	0.229448	0.3935647	12.12063
150	-14409.4	-14328.1	-81.3518	0.5733145	0.518252	0.591163	0.362817	0.541659	0.590436	0.630798	0.750232	0.68926	0.930464	0.493341	0.385981	0.219383	0.361186	0.392419	0.396979	0.405378	0.31856	0.372327	0.247332	0.232885	0.233611	0.257511	0.680268	0.0301353	0.0158198	0.0427854	0.103943	0.0148867	0.022107	0.0043367	0.00516079	0.0849575	0.0352525	0.0112923	0.338896	0.0102496	0.0169478	0.0231431	0.0110304	0.00137518	0.0265803	0.00123816	0.0375601	0.0479252	0.325903	0.0412345	0.0551287	0.517014	0.0127941	0.047655	0.297109	0.867069	2.78817	0.353754	0.346275	0.0719835	0.227987	0.3982331	11.43994
160	-14398.5	-14309.2	-89.2543	0.5174987	0.331974	0.569172	0.357213	0.628547	0.834683	0.738209	0.918882	0.811669	0.769633	0.56134	0.306295	0.307685	0.471588	0.392419	0.396979	0.418399	0.41295	0.317033	0.449145	0.240179	0.231495	0.228721	0.559367	0.0394666	0.0207714	0.0674426	0.118625	0.00662334	0.0416556	0.0175796	0.00247753	0.0193818	0.0417011	0.00672353	0.491082	0.00219948	0.0244494	0.0183515	0.019951	0.00107344	0.0165613	0.000878394	0.0196236	0.0476876	0.329503	0.04103	0.0548553	0.51445	0.0124742	0.0366751	0.263186	0.832595	2.86754	0.353754	0.346275	0.0719835	0.227987	0.3982331	12.23019
170	-14396.8	-14295.9	-100.92	0.6141833	0.461874	0.691005	0.304978	0.617318	0.756488	0.813253	0.948076	0.894185	1.00971	0.612608	0.270578	0.296953	0.423726	0.395747	0.494838	0.541163	0.461161	0.278555	0.429921	0.355029	0.294333	0.27395	0.710611	0.0462458	0.0270606	0.0806333	0.0908328	0.00365592	0.0505011	0.0160563	0.00326038	0.0735198	0.0599676	0.00413853	0.524639	0.00166743	0.00611636	0.014413	0.00876122	0.00136435	0.0267573	0.000714918	0.0204339	0.0423269	0.276158	0.0351105	0.0343133	0.573072	0.0390194	0.0560459	0.320065	0.888386	2.7355	0.362033	0.354805	0.0736682	0.209494	0.3982331	13.3968
180	-14387.8	-14285.6	-102.208	0.5333553	0.509341	0.767816	0.368617	0.679337	0.754997	0.833442	0.837593	1.01108	1.03138	0.571003	0.30772	0.254646	0.589659	0.343315	0.442632	0.413144	0.356992	0.381924	0.357068	0.287168	0.228268	0.263181	0.815574	0.0352749	0.0263098	0.119414	0.163984	0.00359196	0.0151442	0.00299766	0.019412	0.0954513	0.039954	0.00156597	0.505447	0.000742414	0.00517845	0.0310047	0.00783986	0.00147006	0.0226845	0.00103385	0.0211709	0.0419159	0.230943	0.0454823	0.0349744	0.627734	0.018951	0.0397242	0.273134	0.843099	2.84404	0.362033	0.354805	0.0736682	0.209494	0.3982331	13.52557
190	-14390.9	-14290.2	-100.762	0.546723	0.460285	0.593319	0.430847	0.775882	0.874708	0.865712	0.80205	1.17512	0.649801	0.596916	0.339543	0.287122	0.387101	0.326563	0.407003	0.56691	0.4366	0.364086	0.379465	0.194618	0.257443	0.251411	0.799065	0.0750532	0.0146612	0.113474	0.180733	0.00124945	0.0212492	0.00516063	0.00281842	0.0910372	0.0577733	0.00658305	0.462024	0.000333895	0.0117679	0.0257469	0.00825182	0.0042333	0.0557548	0.000749213	0.0207297	0.031121	0.273242	0.0433044	0.0411434	0.587342	0.0238472	0.042341	0.281328	0.851499	2.82483	0.386998	0.344384	0.0652782	0.20334	0.3982331	13.38095
