Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-15718.2	-15732.2	13.9989	0.101869	0.111354	0.0867731	0.128045	0.105748	0.0874071	0.12492	0.0910806	0.0975179	0.152956	0.092962	0.0975032	0.0988692	0.0833411	0.124988	0.127694	0.117238	0.126556	0.122403	0.0646017	0.0842769	0.240411	0.00845017	0.0847485	0.029635	0.0287894	0.0404484	0.0307604	0.0359337	0.0156052	0.028615	0.0159065	0.0461122	0.038917	0.0651397	0.0141304	0.0313659	0.0306372	0.0427778	0.0518393	0.104711	0.0182046	0.0369547	0.220283	0.294884	0.100548	0.384286	3.268197
11	1	-15546.3	-15560.3	13.9999	0.126728	0.00282006	0.193627	0.120236	0.105494	0.0836455	0.117762	0.0769751	0.080993	0.166361	0.0700966	0.0927807	0.100266	0.092068	0.126565	0.107352	0.117288	0.10553	0.123685	0.0858765	0.0776422	0.0955005	0.156333	0.0835923	0.0595071	0.0234508	0.0472917	0.0563131	0.040953	0.0915644	0.028024	0.0340441	0.0413933	0.0234559	0.0569534	0.0378131	0.0516601	0.042148	0.0373973	0.01415	0.0283082	0.019885	0.0245692	0.222036	0.286395	0.0891132	0.402455	3.268098
12	0	-15495.4	-15511.4	16.0437	0.121727	0.114164	0.0935012	0.106685	0.112168	0.0750634	0.126437	0.0713376	0.0971065	0.148242	0.0745142	0.0996513	0.0891978	0.0995756	0.099277	0.128941	0.109351	0.103143	0.122403	0.0897511	0.119805	0.0865695	0.0251835	0.0610806	0.0240711	0.0217952	0.0375367	0.0505406	0.0217433	0.0238696	0.0360213	0.0253689	0.0360337	0.0314083	0.0781632	0.0214347	0.0315961	0.0339862	0.032522	0.0682929	0.0642143	0.0211515	0.0290927	0.220283	0.294884	0.100548	0.384286	3.063718
13	1	-15505.1	-15519.4	14.323	0.14182	0.00630847	0.179027	0.125947	0.108965	0.0836455	0.131979	0.0724537	0.10253	0.17096	0.0717344	0.0793604	0.081127	0.100997	0.100577	0.108537	0.143844	0.122096	0.107555	0.0858765	0.0864891	0.0666717	0.153442	0.0624251	0.0562202	0.0268485	0.0436673	0.0488738	0.0412374	0.0670084	0.0312368	0.0202875	0.0471935	0.0347061	0.0668311	0.0517921	0.0390176	0.0329879	0.0269838	0.0273651	0.0293275	0.0393696	0.0104666	0.222036	0.286395	0.0891132	0.402455	3.235789
14	0	-15398.3	-15413.8	15.4816	0.115492	0.102191	0.0944626	0.107753	0.11513	0.0832503	0.141618	0.0820243	0.0796851	0.178591	0.0825984	0.0875722	0.0891978	0.0798753	0.115731	0.115519	0.144124	0.121178	0.117	0.07761	0.0797021	0.0969195	0.0765219	0.0464062	0.018305	0.0283751	0.0460892	0.0393596	0.0253825	0.00904703	0.0380778	0.0286352	0.0391248	0.0430319	0.0787141	0.0260159	0.0348533	0.0313469	0.0312892	0.0491108	0.0459753	0.0333382	0.0436967	0.220812	0.295592	0.0983859	0.385209	3.119921
15	1	-15433.6	-15449.3	15.6562	0.146812	0.0217345	0.0634398	0.106328	0.118003	0.0902295	0.122759	0.076802	0.115968	0.179007	0.0709453	0.07831	0.0762966	0.082206	0.097037	0.100391	0.147974	0.110021	0.110798	0.077997	0.0662368	0.0747269	0.169253	0.0689533	0.0662094	0.0218916	0.0628332	0.0406716	0.0351025	0.0412474	0.0304032	0.0628009	0.0469062	0.0247663	0.05301	0.028078	0.0458252	0.033405	0.0426837	0.0235237	0.0284345	0.027747	0.0146979	0.212882	0.299253	0.102004	0.385862	3.102465
16	0	-15402	-15418.2	16.1785	0.11538	0.0967196	0.108092	0.11084	0.121166	0.0910781	0.11427	0.0788896	0.0909256	0.178509	0.0766821	0.0875722	0.0892233	0.0929741	0.0942145	0.0946971	0.124464	0.119782	0.122273	0.0702443	0.0735103	0.0764301	0.0811932	0.0614629	0.0372301	0.0315119	0.0406155	0.0255789	0.0377662	0.00674015	0.0382913	0.016064	0.0620595	0.0161834	0.0678883	0.0240994	0.0217468	0.0290545	0.0457534	0.0464384	0.0493026	0.0538661	0.0294506	0.212353	0.289659	0.101314	0.396675	3.050233
17	1	-15398	-15412.8	14.8179	0.126981	0.0422276	0.0935164	0.102421	0.118003	0.101111	0.144697	0.0907236	0.0992821	0.156119	0.0859172	0.0839007	0.0977147	0.10274	0.12079	0.116443	0.139137	0.101313	0.133994	0.0571401	0.0804062	0.0870553	0.169424	0.0786181	0.0452599	0.0223968	0.0495101	0.0374954	0.0336949	0.041299	0.0289181	0.0488479	0.040421	0.0181361	0.0763501	0.0413958	0.0322703	0.0340791	0.0335201	0.0126976	0.0235376	0.0246991	0.0120917	0.212882	0.299253	0.102004	0.385862	3.186295
18	0	-15384.7	-15399.2	14.4963	0.123278	0.121295	0.0964812	0.106929	0.110139	0.0836217	0.141714	0.0894764	0.105502	0.166319	0.0758841	0.100944	0.0842603	0.0982867	0.101571	0.1094	0.127524	0.121657	0.114225	0.0709	0.111721	0.0716792	0.131415	0.0482996	0.0391628	0.025221	0.0492271	0.0351935	0.0283896	0.0192762	0.033684	0.0211999	0.0471375	0.0338126	0.0838718	0.0349546	0.0359943	0.0385474	0.0265749	0.0520959	0.0422293	0.0294409	0.0299155	0.212353	0.289659	0.101314	0.396675	3.218451
19	1	-15379	-15394.2	15.2568	0.12461	0.127881	0.092512	0.110536	0.0940858	0.0691011	0.14045	0.0777708	0.0999156	0.17345	0.0805377	0.0961348	0.0754326	0.10278	0.0975947	0.107803	0.132979	0.09903	0.110987	0.0797396	0.0724236	0.0812812	0.160814	0.08582	0.0495364	0.0237651	0.0410768	0.0401987	0.0429523	0.0306356	0.0229316	0.0371709	0.0493624	0.0147527	0.0535818	0.0361512	0.0399669	0.0300497	0.0226542	0.0343104	0.02038	0.0375576	0.0217022	0.226568	0.294049	0.10023	0.379152	3.142406
20	0	-15376.8	-15391.2	14.4497	0.111094	0.121786	0.101007	0.0953672	0.1035	0.088836	0.122065	0.0764922	0.0941134	0.159585	0.0732513	0.0799096	0.0841969	0.072459	0.119453	0.119496	0.122195	0.117153	0.131718	0.0763168	0.0884771	0.108957	0.192262	0.0576805	0.0235102	0.0216789	0.0349063	0.0460632	0.0320739	0.0236835	0.0429341	0.0236742	0.0581638	0.0216072	0.0777439	0.0314651	0.0345007	0.0368339	0.0334739	0.0491505	0.0593297	0.0250337	0.0299155	0.212353	0.289659	0.101314	0.396675	3.223113
21	1	-15380.5	-15395.9	15.439	0.123287	0.082801	0.106805	0.0844465	0.100641	0.0814374	0.127809	0.0758642	0.085597	0.17028	0.0670272	0.0734944	0.106814	0.106755	0.0975947	0.108761	0.13658	0.115171	0.109411	0.0920482	0.100432	0.0842607	0.143629	0.0664057	0.037576	0.0315036	0.0419983	0.0370682	0.033245	0.0272036	0.037027	0.0286613	0.0403756	0.0108801	0.0628064	0.0299285	0.0522125	0.0353461	0.0346359	0.0290754	0.0385889	0.031541	0.0371597	0.23241	0.291828	0.0994734	0.376288	3.124185
22	0	-15377.2	-15392.4	15.112	0.135773	0.113476	0.100087	0.125842	0.0877047	0.092271	0.121232	0.0805574	0.0906558	0.169083	0.0732513	0.105436	0.085773	0.100077	0.0965952	0.121985	0.115544	0.117241	0.115687	0.0918026	0.0703204	0.0885706	0.152824	0.042587	0.0212723	0.0165959	0.0448052	0.0437664	0.0278625	0.00894013	0.0433519	0.0198798	0.0468215	0.0213165	0.0896865	0.026218	0.0336541	0.0313113	0.0252539	0.0458124	0.063306	0.0219151	0.030734	0.212353	0.289659	0.101314	0.396675	3.15688
