Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14498.4	-14519.4	20.9472	0.14138	0.111057	0.0933239	0.104212	0.10394	0.0793117	0.134663	0.068597	0.0742714	0.167282	0.0666309	0.0791362	0.0770805	0.0936091	0.102558	0.131764	0.140619	0.120068	0.123108	0.0911618	0.0898369	0.0925287	0.152816	0.0833299	0.0182026	0.0409308	0.0130142	0.0284316	0.0358819	0.0155492	0.0184032	0.0244509	0.0399151	0.0249944	0.0313488	0.0472326	0.04668	0.018648	0.0358248	0.0255967	0.0264353	0.0273655	0.0109211	0.206442	0.277404	0.0600701	0.0291734	0.412521	0.0143903	0.240253	0.23637	0.157066	0.366312	3.052111
110	-14500.3	-14521.1	20.8316	0.128465	0.111057	0.083252	0.0989462	0.0851083	0.0793117	0.116872	0.0757297	0.086863	0.174816	0.0766756	0.0737469	0.0979508	0.0884682	0.117228	0.128127	0.125733	0.120103	0.123108	0.0764088	0.0824065	0.0732977	0.185901	0.0765107	0.0247051	0.0434612	0.0271227	0.0326298	0.0332209	0.0079213	0.021794	0.0192542	0.031603	0.0334657	0.0497557	0.0410696	0.042267	0.0362248	0.0316409	0.0290332	0.0208845	0.0244936	0.0270333	0.232283	0.272489	0.0579961	0.0178859	0.405211	0.0141354	0.241635	0.231978	0.157969	0.368418	3.063668
120	-14498.5	-14520.3	21.8077	0.118706	0.0881389	0.0895542	0.100453	0.104319	0.0583972	0.116872	0.0825396	0.0881412	0.154325	0.0711243	0.0708962	0.0982723	0.10248	0.0981651	0.128127	0.130192	0.133549	0.11443	0.0735832	0.0900271	0.0870667	0.155215	0.065186	0.0342912	0.0416314	0.0166238	0.0348831	0.0339102	0.0158004	0.0275611	0.0141484	0.0299947	0.0277717	0.0349462	0.0583887	0.0319641	0.0198627	0.0389676	0.0168941	0.0357633	0.0196312	0.0132697	0.231013	0.270999	0.057679	0.0254404	0.402996	0.0118732	0.241635	0.231978	0.157969	0.368418	2.966064
130	-14504.4	-14524.5	20.0979	0.126525	0.113805	0.111475	0.103173	0.0978921	0.0755435	0.100071	0.0704406	0.115233	0.194646	0.0855059	0.0782559	0.106016	0.0962507	0.122359	0.117675	0.130192	0.128664	0.11443	0.0809112	0.0677364	0.0858239	0.18133	0.0808062	0.0151649	0.0532776	0.028938	0.024423	0.0420966	0.0151969	0.0188144	0.0186665	0.0389879	0.0276246	0.0346787	0.0552494	0.0418359	0.0183836	0.0371672	0.0156407	0.0306869	0.0145749	0.0208711	0.229171	0.268838	0.0644401	0.0259897	0.399783	0.0117786	0.240835	0.23121	0.160756	0.367199	3.137039
140	-14513.9	-14534.8	20.9664	0.106784	0.08789	0.0986012	0.105645	0.0964615	0.0676376	0.100071	0.061459	0.100416	0.2026	0.0730895	0.0781299	0.105782	0.0958349	0.114547	0.129678	0.146521	0.119656	0.129114	0.0948327	0.0731489	0.0747272	0.154727	0.0846098	0.0313108	0.0458702	0.0234972	0.0331189	0.0488479	0.0071571	0.0191897	0.0124036	0.042779	0.0183257	0.0424803	0.0340563	0.038654	0.00499411	0.046525	0.041293	0.0329761	0.00923535	0.0155208	0.229399	0.269105	0.0645042	0.0254446	0.40018	0.0113673	0.237518	0.22489	0.158542	0.37905	3.050197
150	-14503.9	-14524	20.0672	0.129276	0.0977662	0.0981133	0.0730777	0.109011	0.0646144	0.121551	0.0883009	0.0880628	0.188522	0.0773621	0.0981044	0.11003	0.102119	0.123134	0.134726	0.121433	0.12332	0.105384	0.069956	0.0958679	0.0867505	0.178871	0.069711	0.030648	0.0395035	0.0140152	0.0340421	0.0346198	0.00466891	0.030513	0.0178906	0.0481283	0.0336064	0.054935	0.0454289	0.0475223	0.0235735	0.0361691	0.0256724	0.0323896	0.0199624	0.0117556	0.230357	0.27023	0.0535088	0.0357584	0.401852	0.00829341	0.230814	0.236226	0.154067	0.378893	3.140109
160	-14505.8	-14525.8	19.9879	0.147015	0.110757	0.102413	0.0961977	0.115095	0.0662733	0.143826	0.0601119	0.100368	0.156032	0.0888821	0.0957329	0.100853	0.0974069	0.121571	0.134076	0.130454	0.100459	0.139438	0.0707842	0.0772311	0.0756221	0.168842	0.0884712	0.0235878	0.0464015	0.0161088	0.0345657	0.0387291	0.00607614	0.00705728	0.00938734	0.0508737	0.0271474	0.0419456	0.0451824	0.0487238	0.0204026	0.0399745	0.0322845	0.0285337	0.0246801	0.0184654	0.222928	0.298855	0.051783	0.0295169	0.388892	0.00802593	0.230814	0.236226	0.154067	0.378893	3.14804
170	-14500.1	-14521	20.8993	0.107869	0.110684	0.113525	0.0961977	0.0896795	0.0764484	0.146572	0.0644866	0.079737	0.172147	0.0731813	0.063245	0.114171	0.11423	0.121173	0.123479	0.11079	0.110881	0.120395	0.0722088	0.0937139	0.0825541	0.187386	0.0882886	0.0234694	0.0290451	0.0162393	0.0321358	0.0347419	0.0169374	0.0118911	0.00954191	0.0354122	0.0314635	0.0369211	0.0499709	0.0324839	0.0174383	0.04571	0.0280803	0.0399416	0.0130772	0.0193635	0.221009	0.296283	0.0563797	0.028856	0.385545	0.0119265	0.230814	0.236226	0.154067	0.378893	3.056905
180	-14510.6	-14530.5	19.899	0.124489	0.12403	0.0952768	0.0870879	0.116877	0.069549	0.146572	0.063625	0.0888157	0.1834	0.095797	0.0830674	0.0869596	0.10656	0.120414	0.136541	0.116809	0.12946	0.109933	0.0589183	0.0843761	0.0881684	0.171183	0.0838913	0.0455867	0.0401515	0.0171278	0.0283821	0.0418487	0.026139	0.0150578	0.00754736	0.0546435	0.0304464	0.0409088	0.0503737	0.032713	0.013955	0.0459474	0.0215083	0.0409046	0.0147521	0.0171376	0.21441	0.287436	0.0546962	0.0335154	0.398373	0.0115703	0.230814	0.236226	0.154067	0.378893	3.156932
190	-14508	-14529.4	21.4689	0.116178	0.118038	0.115916	0.0951823	0.0978271	0.0814206	0.106136	0.0770224	0.08256	0.165584	0.0690894	0.0991893	0.0924623	0.0796465	0.101355	0.132406	0.152378	0.10915	0.0970912	0.0717458	0.0675417	0.0755646	0.150471	0.0884121	0.0362498	0.0329793	0.0245318	0.0465237	0.0253927	0.0163343	0.0158745	0.0125712	0.038444	0.0190462	0.0502776	0.0474362	0.0417217	0.019723	0.0401598	0.0151596	0.0345128	0.0138217	0.0268111	0.227204	0.289697	0.0551264	0.0313713	0.38494	0.0116614	0.227624	0.237206	0.154706	0.380464	2.999939
