Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21397.9	-21393.4	-4.51128	0.035581	0.0593491	0.307146	0.051223	0.0264707	0.0837473	0.0522222	0.119345	0.0358777	0.121736	0.306395	0.0620227	0.0176904	0.244238	0.0188702	0.1442	0.0710502	0.0617967	0.164471	0.0640479	0.30611	0.099578	0.000373112	0.221791	0.0596184	0.176166	0.511557	0.0212307	0.0656612	0.0857733	0.0383904	0.044082	0.0442709	0.0157521	0.170597	0.204627	0.0844793	0.220574	0.262474	0.0161914	0.378593	0.0122659	0.0315783	0.0717275	0.391626	0.291638	0.245008	5.119212
10	-16457.7	-16465.9	8.19086	0.0950645	0.124875	0.187172	0.0853577	0.0714187	0.158164	0.163343	0.0820505	0.0952276	0.145233	0.146488	0.0654475	0.0962696	0.110603	0.0370602	0.157588	0.16472	0.0896364	0.122751	0.0934635	0.15334	0.227981	0.00055819	0.0638151	0.0120046	0.0545393	0.190681	0.0475599	0.0681027	0.0162343	0.0320208	0.0337865	0.0286307	0.0243983	0.106801	0.0747557	0.0335653	0.0736817	0.115687	0.00414143	0.163727	0.0150499	0.016003	0.189614	0.289921	0.11832	0.402145	3.848998
20	-15831.3	-15844.2	12.9278	0.138377	0.0914378	0.101578	0.0889344	0.106645	0.0784872	0.123342	0.0701723	0.0923704	0.166602	0.146488	0.073155	0.0759792	0.112084	0.071041	0.103724	0.114761	0.140118	0.110639	0.0848438	0.132036	0.288361	0.000937405	0.0725087	0.00648567	0.0187459	0.0559072	0.0321041	0.0358838	0.00735197	0.0349693	0.0276499	0.0384448	0.0236021	0.0960492	0.0592279	0.0281717	0.0224328	0.0628346	0.0460094	0.147395	0.0184017	0.0290152	0.219509	0.300598	0.0969568	0.382936	3.375304
30	-15757.9	-15771.4	13.5061	0.131357	0.107637	0.0908562	0.0975407	0.105688	0.0797055	0.13215	0.102842	0.0883596	0.181208	0.0708394	0.0874552	0.0988692	0.109228	0.110776	0.123643	0.133645	0.137152	0.105202	0.0745843	0.0664285	0.267562	0.00171068	0.0602331	0.0205769	0.031732	0.0423904	0.0427302	0.0366	0.0251615	0.0335748	0.0143868	0.0547728	0.0409766	0.0769584	0.0259042	0.0125424	0.0431439	0.0314074	0.046555	0.137595	0.0182596	0.0175369	0.219743	0.299851	0.0970603	0.383345	3.317477
40	-15749.7	-15763.4	13.6219	0.131357	0.0853731	0.0885583	0.105449	0.10535	0.0659969	0.12492	0.0849345	0.0949563	0.172679	0.0889502	0.0703848	0.0988692	0.0924573	0.0884459	0.134577	0.133645	0.111106	0.124732	0.0825248	0.11205	0.247479	0.00242579	0.0492258	0.0323487	0.0291385	0.0448923	0.0488937	0.0298346	0.0156617	0.0274125	0.0336061	0.0423553	0.042988	0.0873422	0.0353021	0.0106071	0.0275892	0.0400919	0.0648234	0.149848	0.0266895	0.0200168	0.221194	0.29523	0.0977009	0.385875	3.30589
50	-15718.2	-15732.2	13.9989	0.101869	0.111354	0.0867731	0.128045	0.105748	0.0874071	0.12492	0.0910806	0.0975179	0.152956	0.092962	0.0975032	0.0988692	0.0833411	0.124988	0.127694	0.117238	0.126556	0.122403	0.0646017	0.0842769	0.240411	0.00845017	0.0847485	0.029635	0.0287894	0.0404484	0.0307604	0.0359337	0.0156052	0.028615	0.0159065	0.0461122	0.038917	0.0651397	0.0141304	0.0313659	0.0306372	0.0427778	0.0518393	0.104711	0.0182046	0.0369547	0.220283	0.294884	0.100548	0.384286	3.268197
60	-15495.4	-15511.4	16.0437	0.121727	0.114164	0.0935012	0.106685	0.112168	0.0750634	0.126437	0.0713376	0.0971065	0.148242	0.0745142	0.0996513	0.0891978	0.0995756	0.099277	0.128941	0.109351	0.103143	0.122403	0.0897511	0.119805	0.0865695	0.0251835	0.0610806	0.0240711	0.0217952	0.0375367	0.0505406	0.0217433	0.0238696	0.0360213	0.0253689	0.0360337	0.0314083	0.0781632	0.0214347	0.0315961	0.0339862	0.032522	0.0682929	0.0642143	0.0211515	0.0290927	0.220283	0.294884	0.100548	0.384286	3.063718
70	-15398.3	-15413.8	15.4816	0.115492	0.102191	0.0944626	0.107753	0.11513	0.0832503	0.141618	0.0820243	0.0796851	0.178591	0.0825984	0.0875722	0.0891978	0.0798753	0.115731	0.115519	0.144124	0.121178	0.117	0.07761	0.0797021	0.0969195	0.0765219	0.0464062	0.018305	0.0283751	0.0460892	0.0393596	0.0253825	0.00904703	0.0380778	0.0286352	0.0391248	0.0430319	0.0787141	0.0260159	0.0348533	0.0313469	0.0312892	0.0491108	0.0459753	0.0333382	0.0436967	0.220812	0.295592	0.0983859	0.385209	3.119921
80	-15402	-15418.2	16.1785	0.11538	0.0967196	0.108092	0.11084	0.121166	0.0910781	0.11427	0.0788896	0.0909256	0.178509	0.0766821	0.0875722	0.0892233	0.0929741	0.0942145	0.0946971	0.124464	0.119782	0.122273	0.0702443	0.0735103	0.0764301	0.0811932	0.0614629	0.0372301	0.0315119	0.0406155	0.0255789	0.0377662	0.00674015	0.0382913	0.016064	0.0620595	0.0161834	0.0678883	0.0240994	0.0217468	0.0290545	0.0457534	0.0464384	0.0493026	0.0538661	0.0294506	0.212353	0.289659	0.101314	0.396675	3.050233
90	-15384.7	-15399.2	14.4963	0.123278	0.121295	0.0964812	0.106929	0.110139	0.0836217	0.141714	0.0894764	0.105502	0.166319	0.0758841	0.100944	0.0842603	0.0982867	0.101571	0.1094	0.127524	0.121657	0.114225	0.0709	0.111721	0.0716792	0.131415	0.0482996	0.0391628	0.025221	0.0492271	0.0351935	0.0283896	0.0192762	0.033684	0.0211999	0.0471375	0.0338126	0.0838718	0.0349546	0.0359943	0.0385474	0.0265749	0.0520959	0.0422293	0.0294409	0.0299155	0.212353	0.289659	0.101314	0.396675	3.218451
