Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15805.4	-15817.2	11.7922	0.127562	0.098167	0.102508	0.110441	0.110606	0.0673536	0.118428	0.0952513	0.105148	0.154161	0.0868928	0.0821398	0.101462	0.117241	0.101856	0.13846	0.117248	0.123465	0.15291	0.0772968	0.0756999	0.0952892	0.188874	0.06061	0.0368994	0.0306505	0.0391795	0.033533	0.0167307	0.0245327	0.0472975	0.0412006	0.0326882	0.0551284	0.0307823	0.0379109	0.0750026	0.0147915	0.042996	0.0247497	0.0624414	0.0203327	0.0337649	3.309685
110	-15803.2	-15815.6	12.4068	0.134154	0.115428	0.0894835	0.109978	0.125994	0.0859883	0.110668	0.0756265	0.0925112	0.165905	0.0797373	0.0781519	0.0867779	0.099791	0.13039	0.130786	0.133706	0.12003	0.11241	0.0970288	0.102431	0.0896624	0.15413	0.0421217	0.0413194	0.0378092	0.0427766	0.0348678	0.0236443	0.0240014	0.0489596	0.0408963	0.025979	0.0496147	0.0271672	0.0173604	0.0799874	0.0249196	0.0437824	0.0261375	0.0474097	0.0204115	0.0282942	3.248228
120	-15805.1	-15817.9	12.8077	0.130964	0.100704	0.108044	0.0912827	0.134026	0.0870621	0.139742	0.0790998	0.0980011	0.188695	0.0739823	0.0634449	0.103133	0.0855228	0.116454	0.130786	0.118795	0.10703	0.137086	0.0774466	0.101764	0.0677098	0.149542	0.048521	0.0251863	0.031477	0.0407701	0.0272332	0.0102304	0.0229878	0.054277	0.0326554	0.0233369	0.0405338	0.0373306	0.0402877	0.0709598	0.017166	0.0518257	0.0240364	0.0595678	0.0325779	0.0268657	3.208142
130	-15802.8	-15815.4	12.6549	0.141341	0.126743	0.0927191	0.113133	0.120144	0.085038	0.128339	0.0798543	0.0886512	0.167906	0.0868052	0.0812251	0.115723	0.102537	0.116454	0.119909	0.128324	0.121849	0.108543	0.086676	0.0946225	0.0857841	0.144949	0.0489846	0.0141493	0.0246551	0.0224249	0.0287874	0.0210657	0.0144842	0.0611132	0.0279827	0.0244701	0.053284	0.0343984	0.0277824	0.0708578	0.035971	0.0538137	0.0272723	0.0517299	0.0226235	0.0203007	3.22342
140	-15803.8	-15816.9	13.168	0.129582	0.0878103	0.0923599	0.0944399	0.111544	0.0681312	0.121106	0.0767911	0.0952646	0.157492	0.0623242	0.10163	0.106978	0.0940778	0.102663	0.119909	0.141928	0.106589	0.131565	0.0977395	0.0810972	0.0843811	0.158874	0.0387674	0.0255132	0.0172954	0.0238608	0.0250155	0.0223978	0.0216743	0.0396899	0.0272537	0.0316747	0.0634797	0.0419911	0.037123	0.0860609	0.0366349	0.0516693	0.0335912	0.0715493	0.028687	0.023903	3.172107
150	-15807.3	-15819.7	12.4119	0.140027	0.114851	0.0997741	0.130935	0.12059	0.0859015	0.129473	0.0771175	0.109651	0.148245	0.0788332	0.0892452	0.113211	0.0975872	0.102851	0.126898	0.122064	0.101689	0.126718	0.0696303	0.0736616	0.0832943	0.213352	0.0409115	0.0310699	0.0127321	0.0286675	0.0277741	0.0264481	0.020935	0.0465575	0.025532	0.0290092	0.0367424	0.0360783	0.0513197	0.0781356	0.0269161	0.0452754	0.0326106	0.0399196	0.0231714	0.0323124	3.247716
160	-15802.5	-15814.4	11.8848	0.113964	0.106813	0.0997741	0.100168	0.107869	0.0801569	0.151646	0.0811702	0.0975634	0.154805	0.0735491	0.0912763	0.105348	0.111965	0.114272	0.127473	0.120819	0.117343	0.115351	0.0818371	0.0912196	0.111496	0.171053	0.0399942	0.0282514	0.0440348	0.0265471	0.0310351	0.0200522	0.0254267	0.0468384	0.0462316	0.0367073	0.0549107	0.0534244	0.0349212	0.0750268	0.0150335	0.0535971	0.0251191	0.0649171	0.0277533	0.023679	3.300433
170	-15801.2	-15814.5	13.25	0.140194	0.116895	0.10602	0.10746	0.116826	0.0761666	0.11242	0.0756507	0.0994847	0.160647	0.0811675	0.0670271	0.113567	0.115825	0.089743	0.144901	0.126075	0.116784	0.101991	0.0715229	0.0862443	0.0739524	0.168511	0.0522461	0.0281936	0.018951	0.0221894	0.0250926	0.0196271	0.0179301	0.0372417	0.0363343	0.0404814	0.0472902	0.032574	0.037923	0.0883113	0.00775164	0.040995	0.037808	0.0513441	0.0246581	0.0278934	3.163911
180	-15802.6	-15815.5	12.9058	0.142489	0.0891593	0.0982461	0.0928325	0.0940333	0.0817312	0.13644	0.0700046	0.109526	0.153034	0.09748	0.0822969	0.0887776	0.0934543	0.131025	0.132265	0.151866	0.114885	0.122098	0.0867137	0.0871417	0.0837585	0.156105	0.0339601	0.0403164	0.0224014	0.0289884	0.0192432	0.0174165	0.0309946	0.0571627	0.0494854	0.0235857	0.046094	0.0357802	0.0385885	0.0637561	0.0144655	0.0390151	0.0241459	0.0684592	0.0188178	0.0302877	3.198328
190	-15805.9	-15818.5	12.6262	0.109552	0.111135	0.120074	0.0929569	0.112494	0.0817312	0.13644	0.0895318	0.0950775	0.15896	0.0734532	0.0778239	0.111076	0.106013	0.131025	0.143354	0.123722	0.106447	0.144629	0.0736012	0.0730449	0.0915517	0.168966	0.0622018	0.0285556	0.0343105	0.0380771	0.0106451	0.0136622	0.0250415	0.0592535	0.0308516	0.0259559	0.0467448	0.0279826	0.0346081	0.0740769	0.0182874	0.0360131	0.0278295	0.0399313	0.0268627	0.0327345	3.226285
200	-15804.3	-15816.8	12.4899	0.131465	0.107411	0.0943759	0.105047	0.130448	0.100116	0.113044	0.0912314	0.0917127	0.187461	0.0736933	0.0812304	0.0745794	0.0819779	0.0945269	0.115783	0.140569	0.128919	0.115878	0.106941	0.0840686	0.0900837	0.180348	0.0447807	0.0309846	0.0313668	0.0242463	0.0277042	0.0248832	0.0269574	0.0540461	0.0385932	0.0243773	0.051386	0.0360939	0.040221	0.0734694	0.0144993	0.0513153	0.0311859	0.0549696	0.0158627	0.0220611	3.239914
210	-15810.3	-15823	12.7077	0.108767	0.091332	0.116387	0.1187	0.11387	0.0801049	0.105192	0.067611	0.0914983	0.181613	0.0735284	0.101833	0.0922691	0.081472	0.115071	0.148679	0.127386	0.110268	0.119867	0.0737965	0.0806624	0.0670418	0.151201	0.0548001	0.0397312	0.0360493	0.0340434	0.0498647	0.0157637	0.0235581	0.0384749	0.054434	0.0532029	0.0410387	0.0425043	0.0482829	0.0780751	0.0177218	0.0379655	0.0408892	0.0451315	0.0277786	0.0206753	3.218134
220	-15800.7	-15813.4	12.7111	0.150519	0.0937692	0.0894849	0.10073	0.121033	0.0728741	0.103474	0.0896325	0.0929749	0.181613	0.0774328	0.101969	0.0944323	0.083155	0.10109	0.12309	0.131992	0.112649	0.119203	0.0765101	0.10883	0.0728598	0.189529	0.0501774	0.0253158	0.0279068	0.0301861	0.0231088	0.0238299	0.0370454	0.0508479	0.0421546	0.0283391	0.036042	0.0365459	0.0379486	0.0856213	0.0259564	0.0493028	0.0395456	0.0437177	0.020533	0.0148304	3.217802
230	-15801.7	-15814.2	12.487	0.158116	0.0835549	0.0947077	0.0996901	0.125717	0.0770297	0.141607	0.0797334	0.092028	0.152696	0.0870344	0.0926338	0.0917062	0.0976349	0.114312	0.126393	0.151215	0.107756	0.114505	0.0757438	0.0937896	0.0928462	0.177023	0.0434232	0.0336943	0.0255135	0.0301861	0.0206231	0.0296851	0.0255812	0.042753	0.0531828	0.0273032	0.0529818	0.0333895	0.0485778	0.0653986	0.014832	0.0534023	0.0285034	0.0509125	0.0107243	0.0220698	3.24021
