Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	0	-15816.1	-15827.8	11.723	0.139421	0.10932	0.0912186	0.0884777	0.156383	0.0601301	0.129541	0.0684653	0.112616	0.174606	0.0901608	0.0840198	0.0972756	0.108839	0.123462	0.121234	0.135749	0.110545	0.119319	0.0832604	0.0817291	0.0989816	0.151179	0.028853	0.0402244	0.0280446	0.0464701	0.0200225	0.0188131	0.014064	0.0273994	0.042643	0.0406336	0.0256651	0.0660778	0.0273453	0.0485481	0.0869707	0.0435711	0.0296193	0.0542806	0.0535059	0.0379203	3.316605
11	1	-15821.6	-15835.8	14.2542	0.135128	0.0989269	0.0878607	0.0968861	0.0981864	0.067847	0.133652	0.0715895	0.100858	0.107397	0.0619899	0.074739	0.105933	0.0817523	0.14665	0.131059	0.128377	0.117405	0.118338	0.0707016	0.101737	0.0932666	0.142128	0.0455916	0.0421333	0.0197843	0.0383516	0.028166	0.0119791	0.0188759	0.0390603	0.0358605	0.0370945	0.035676	0.0329114	0.0199632	0.0807286	0.0240241	0.0494903	0.0305969	0.0483997	0.0306234	0.0217688	3.063487
12	0	-15809.8	-15822.3	12.493	0.143393	0.0947009	0.0982227	0.106035	0.130435	0.0880327	0.108921	0.0694159	0.103447	0.149501	0.102715	0.0755925	0.102591	0.0880618	0.134059	0.114077	0.132805	0.112101	0.107286	0.0699095	0.0750787	0.0811866	0.195378	0.0234689	0.0266371	0.0280446	0.0365103	0.026171	0.0296375	0.0143384	0.0403779	0.0702453	0.0325133	0.017789	0.0714627	0.0183071	0.0319292	0.0938335	0.0413762	0.0252366	0.0640072	0.0318956	0.03288	3.239605
13	1	-15802.5	-15815.7	13.208	0.120299	0.108849	0.0918268	0.0868671	0.119805	0.0944092	0.133652	0.0842297	0.102107	0.185798	0.0820636	0.0919448	0.0973365	0.088992	0.098587	0.0995209	0.112263	0.0974942	0.114449	0.0758004	0.0848026	0.0929622	0.187582	0.0327865	0.0382327	0.0372613	0.0290502	0.034276	0.0130323	0.0180863	0.0465613	0.0347061	0.0260204	0.0460009	0.0395993	0.0213641	0.0778436	0.0191858	0.0427997	0.0325977	0.0735717	0.0242675	0.0292214	3.168105
14	0	-15811.3	-15823.8	12.4856	0.128423	0.0819923	0.11248	0.0792945	0.119248	0.0870804	0.0915896	0.0825886	0.0834282	0.193615	0.0769797	0.107788	0.104358	0.0947296	0.0891735	0.128773	0.129743	0.1347	0.120513	0.074438	0.0904656	0.0919335	0.171401	0.0310112	0.0427124	0.0340527	0.0314923	0.0319761	0.0357389	0.017482	0.0258265	0.0558531	0.0476248	0.0180439	0.0643169	0.0288039	0.0128798	0.0793597	0.0392628	0.042088	0.0626583	0.0431927	0.0212324	3.240344
15	1	-15799.8	-15812.7	12.9144	0.122803	0.110684	0.089468	0.0988499	0.139047	0.0838698	0.128225	0.0842297	0.0947407	0.155066	0.0818585	0.083382	0.0852654	0.0895682	0.118793	0.123698	0.148609	0.101928	0.107394	0.0775229	0.0835996	0.0936463	0.187451	0.040205	0.0358607	0.0203496	0.0429403	0.032823	0.0166929	0.0240336	0.043561	0.0398124	0.0369299	0.0497798	0.0368532	0.0263851	0.0628327	0.0260859	0.0399361	0.0303606	0.0490092	0.0303673	0.0229504	3.197468
16	0	-15808.7	-15822	13.3489	0.123057	0.0988432	0.105379	0.0721827	0.122402	0.071492	0.112131	0.0692407	0.0928963	0.169966	0.0778969	0.089219	0.0953074	0.0875972	0.111808	0.0954779	0.130602	0.103296	0.111528	0.0632386	0.0907039	0.0956983	0.198349	0.0305121	0.0304177	0.0299347	0.0240571	0.0290494	0.0420962	0.0165317	0.0340389	0.0521611	0.0490503	0.0139125	0.0766214	0.022265	0.0130682	0.0941497	0.0506936	0.029998	0.0523929	0.0312566	0.0434948	3.154013
17	1	-15798.3	-15811.6	13.3285	0.112655	0.0995259	0.113737	0.087506	0.105034	0.0645236	0.127415	0.0783885	0.0878073	0.157262	0.0787146	0.0798387	0.0885351	0.104316	0.115658	0.137411	0.142766	0.0960717	0.127958	0.0751088	0.0818874	0.082548	0.179703	0.0443341	0.0296271	0.026135	0.0405955	0.0210795	0.0128087	0.0203518	0.0502179	0.0399328	0.0351745	0.0520214	0.027617	0.0330098	0.0767535	0.0260214	0.0584972	0.0317091	0.0551243	0.0283816	0.0222904	3.156053
18	0	-15808.8	-15821.8	12.9751	0.120975	0.112507	0.0961623	0.0933976	0.12345	0.0667565	0.138528	0.0792888	0.102909	0.173061	0.0919549	0.0756801	0.107883	0.0928686	0.101717	0.121617	0.137775	0.108188	0.0988302	0.0632386	0.108728	0.0736115	0.17363	0.0237863	0.0484055	0.0193055	0.0323848	0.0252994	0.0417326	0.0252621	0.0338461	0.0644818	0.0582392	0.00770094	0.0508891	0.007732	0.0361672	0.073149	0.0364333	0.0285392	0.0353761	0.0489506	0.0309614	3.1914
19	1	-15803.2	-15816.2	13.035	0.112993	0.0957048	0.111796	0.0816787	0.105034	0.0727685	0.127415	0.0715489	0.110742	0.15287	0.0806863	0.0819119	0.108565	0.106513	0.109233	0.122973	0.132678	0.0923067	0.117089	0.0870934	0.084565	0.0852277	0.149724	0.0501019	0.0264567	0.0247162	0.0317482	0.0194743	0.0112609	0.0228104	0.0679017	0.0502894	0.0251341	0.0539452	0.027773	0.0427344	0.0800552	0.0300359	0.0519689	0.0456454	0.0627292	0.028623	0.0308882	3.185409
