Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14882.8	-14893.3	10.4872	0.146617	0.0948995	0.0970294	0.0889143	0.0910878	0.068691	0.108505	0.0897493	0.105787	0.029634	0.0759273	0.0915452	0.105761	0.117464	0.114569	0.145783	0.133264	0.117776	0.12747	0.0974346	0.101178	0.0876263	0.193088	0.0400875	0.0295207	0.0284781	0.0184397	0.0266843	0.109168	0.031441	0.0399657	0.0316724	0.0527053	0.0581546	0.0305749	0.0674865	0.0797708	0.0507253	0.0289999	0.0556371	0.033962	0.0327446	0.0280163	3.813343	0.276021	0.306303	0.0961303	0.321545	3.304036
110	-14799.1	-14809.6	10.5533	0.167659	0.098164	0.10158	0.0894108	0.0976113	0.0888888	0.108505	0.100126	0.0957351	0.088928	0.0710853	0.096707	0.10643	0.10355	0.115411	0.128961	0.143505	0.122209	0.132081	0.0743001	0.0854128	0.0655606	0.189281	0.0233221	0.0266592	0.0369149	0.0251958	0.0159676	0.130315	0.0299691	0.0423437	0.0336057	0.0332727	0.020732	0.0278439	0.0588138	0.0645327	0.0689298	0.0334561	0.0575287	0.0364375	0.0310447	0.0205602	3.959794	0.28418	0.289663	0.090908	0.335249	3.288548
120	-14767.4	-14776.7	9.27357	0.121201	0.097488	0.108603	0.0826396	0.112525	0.0957693	0.131635	0.0883575	0.0928094	0.169883	0.0729812	0.0867634	0.100407	0.10355	0.108608	0.152208	0.1527	0.12726	0.147323	0.0760277	0.0940237	0.0925283	0.209402	0.0263388	0.0339564	0.0286097	0.0438525	0.0143186	0.0827971	0.0322366	0.0375251	0.0285775	0.048065	0.0147093	0.0278764	0.0464359	0.0707882	0.0633671	0.0219209	0.0505337	0.0439682	0.0441319	0.0271041	4.038794	0.28418	0.289663	0.090908	0.335249	3.411805
130	-14765.8	-14776.2	10.4572	0.133378	0.0884063	0.087292	0.0954127	0.107313	0.0769782	0.133737	0.0749731	0.117499	0.17526	0.102576	0.0883048	0.0974277	0.115389	0.108608	0.127728	0.130217	0.10989	0.111243	0.0902235	0.0782408	0.0849159	0.19099	0.021603	0.0472095	0.022982	0.035155	0.0242808	0.10884	0.0327986	0.0360645	0.032633	0.0425644	0.0195052	0.0119422	0.0629962	0.0433259	0.0562475	0.0286232	0.0507648	0.0417235	0.0315374	0.0166391	4.038794	0.28418	0.289663	0.090908	0.335249	3.293439
140	-14779.7	-14790.3	10.6034	0.118335	0.0786771	0.105568	0.0992189	0.136089	0.0791472	0.138493	0.100502	0.0990829	0.166371	0.0680157	0.0671096	0.0961613	0.106638	0.108608	0.13498	0.153329	0.0919294	0.165125	0.0564754	0.0650632	0.0854471	0.177516	0.0273935	0.0367946	0.021827	0.0333347	0.0348256	0.10884	0.0283254	0.0295546	0.0252093	0.0505556	0.0159101	0.0301998	0.0639639	0.0447658	0.0431832	0.030359	0.0428046	0.0616307	0.0364965	0.0224961	3.913117	0.28418	0.289663	0.090908	0.335249	3.28635
150	-14771.2	-14781.8	10.6431	0.108294	0.0880909	0.112878	0.0964732	0.129858	0.0791472	0.117554	0.0936842	0.0960506	0.178735	0.0689099	0.0847038	0.0961613	0.102577	0.118538	0.141187	0.146377	0.118304	0.128542	0.0663796	0.0682399	0.0828711	0.167271	0.0310054	0.029252	0.0370615	0.0267858	0.0290667	0.0960768	0.0332276	0.0377337	0.0147492	0.0430152	0.0201357	0.0248229	0.0506379	0.0662395	0.0419603	0.0444424	0.0375548	0.038638	0.0232979	0.0326	4.486132	0.286127	0.288875	0.0906607	0.334337	3.24913
160	-14777.7	-14787.7	10.0634	0.141757	0.112201	0.105368	0.0858291	0.114931	0.0942707	0.141231	0.0770274	0.087169	0.207564	0.0765319	0.0961723	0.110718	0.14742	0.0934798	0.138686	0.127521	0.117633	0.125775	0.0765919	0.0928244	0.0809945	0.162568	0.0196664	0.0264167	0.0306054	0.0275094	0.0318934	0.0650731	0.0305067	0.0416695	0.016263	0.0274876	0.0348307	0.0324958	0.0588968	0.048745	0.055729	0.0386334	0.0671052	0.0324579	0.0367856	0.0170785	3.689005	0.284195	0.286925	0.0968015	0.332079	3.354114
170	-14768.1	-14778.5	10.4029	0.132607	0.112201	0.108134	0.101754	0.0973781	0.0854676	0.141231	0.0839395	0.0822057	0.174007	0.0817196	0.081519	0.0927214	0.113165	0.102535	0.166239	0.130481	0.121419	0.131638	0.0611206	0.102122	0.0897778	0.181159	0.0438767	0.0429811	0.0162025	0.0308966	0.0138137	0.103358	0.0426371	0.0454778	0.010029	0.0341961	0.0254388	0.0139335	0.0541789	0.0461827	0.0531525	0.0242022	0.0620191	0.0280259	0.026125	0.0288955	3.689005	0.275324	0.291697	0.0953756	0.337603	3.320164
180	-14766.9	-14776.2	9.37727	0.132607	0.10529	0.113085	0.0996683	0.131635	0.0716603	0.123536	0.0943695	0.111141	0.155522	0.0779549	0.0984388	0.101582	0.104777	0.0980522	0.134192	0.123914	0.113328	0.129369	0.0992478	0.102066	0.0847946	0.227021	0.0287827	0.0389844	0.0312949	0.0229545	0.0193819	0.0935622	0.0485469	0.043702	0.0138423	0.041194	0.0242505	0.0281152	0.0507924	0.0597563	0.0471212	0.0269921	0.0605097	0.0332387	0.0242599	0.0235719	4.163447	0.274862	0.292887	0.0952154	0.337036	3.394106
190	-14773.6	-14784.2	10.646	0.160948	0.0897864	0.112021	0.0990622	0.080705	0.115932	0.124816	0.0862469	0.0839646	0.164687	0.065511	0.0859082	0.106678	0.0803682	0.105732	0.121409	0.147475	0.122429	0.124027	0.0906429	0.0891896	0.0955514	0.167709	0.0347606	0.0311322	0.0234938	0.0128452	0.0252685	0.101463	0.0351655	0.0313858	0.0124396	0.0314955	0.0292764	0.0247474	0.0561807	0.0641433	0.0564375	0.03466	0.0494869	0.0477292	0.0166137	0.0310216	4.10687	0.274862	0.292887	0.0952154	0.337036	3.270544
