Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-14778.1	-14788.4	10.2508	0.133573	0.10091	0.111783	0.0994446	0.112901	0.0804971	0.142241	0.069518	0.0808808	0.185534	0.106862	0.0944807	0.122243	0.114833	0.122659	0.129997	0.128226	0.0923376	0.140822	0.0629863	0.106542	0.0916359	0.154269	0.0285787	0.0334147	0.0297384	0.0331985	0.0132205	0.0444665	0.0485734	0.0908263	0.0379873	0.0266422	0.0639485	0.0392129	0.0440901	0.0500777	0.0285078	0.0456825	0.0145615	0.030321	0.0348433	0.0208047	3.554496	0.266069	0.282535	0.100353	0.351042	3.343874
11	1	-15110.2	-15117.8	7.6134	0.166558	0.128327	0.0959729	0.0759291	0.123615	0.0795193	0.144197	0.0816172	0.117513	0.000140734	0.0855363	0.0828198	0.0997184	0.100011	0.0996894	0.151297	0.12083	0.170433	0.130715	0.0662336	0.0706916	0.294093	0.162259	0.0197157	0.0374683	0.0212547	0.0391623	0.0586881	0.0858264	0.0301112	0.0365366	0.0173425	0.0474149	0.0170447	0.0260246	0.0669882	0.207753	0.0591718	0.0485411	0.0606529	0.0233971	0.0175063	0.0266878	3.755152	0.271549	0.310146	0.10197	0.316335	3.595004
12	0	-14772.4	-14783.2	10.7922	0.136928	0.0957267	0.0985897	0.104546	0.117655	0.0742182	0.112043	0.0649145	0.090867	0.184238	0.0963262	0.0937553	0.103654	0.0929478	0.10635	0.123622	0.157833	0.113843	0.105702	0.0735665	0.0972598	0.103719	0.190541	0.0252432	0.0298068	0.0283552	0.0358327	0.0112176	0.0313259	0.0535493	0.104022	0.0290588	0.0337118	0.0492669	0.0306959	0.0401154	0.0653731	0.0254886	0.038506	0.025355	0.0274456	0.0275639	0.0220049	3.825748	0.266069	0.282535	0.100353	0.351042	3.272784
13	1	-15111.8	-15118.7	6.92018	0.157779	0.0784829	0.132118	0.0889335	0.123615	0.0683352	0.144488	0.078863	0.093777	0.000298176	0.0866739	0.0749147	0.114406	0.106883	0.117554	0.149114	0.149767	0.14758	0.131516	0.0866168	0.109561	0.267815	0.154175	0.0174854	0.0315427	0.0404154	0.0363073	0.0644083	0.0944101	0.039454	0.0353414	0.020396	0.0524958	0.0199253	0.0143847	0.0652449	0.1901	0.0894548	0.0298921	0.0490859	0.0358227	0.0300662	0.0341909	3.929358	0.271549	0.310146	0.10197	0.316335	3.653688
14	0	-14768.1	-14778.5	10.4566	0.139063	0.0823783	0.0985897	0.101296	0.113502	0.0904842	0.112586	0.0888457	0.104708	0.182291	0.0844394	0.089844	0.111152	0.0985306	0.124102	0.13113	0.120277	0.119714	0.116065	0.0981398	0.0892596	0.0748631	0.155321	0.0393385	0.0269828	0.0337184	0.0156396	0.0171803	0.0419052	0.0635841	0.104022	0.0427925	0.0387122	0.058206	0.0382555	0.0422567	0.0330769	0.0281464	0.0626487	0.015647	0.0251295	0.0327225	0.013047	3.936943	0.267578	0.282316	0.105907	0.344198	3.299591
15	1	-15100.6	-15108.9	8.31849	0.11062	0.095834	0.119829	0.110204	0.124069	0.0920117	0.117758	0.0922089	0.0915272	0.000688821	0.0853821	0.0811508	0.0967611	0.103032	0.102451	0.141281	0.140743	0.119213	0.131516	0.0742314	0.0982791	0.304418	0.155094	0.0465315	0.0465481	0.0405547	0.0203992	0.0468104	0.0859149	0.0380099	0.0363366	0.0250399	0.0466236	0.0228457	0.0247748	0.0777255	0.161529	0.0490474	0.0265899	0.055065	0.0290693	0.0230964	0.023042	3.929358	0.273961	0.304017	0.102876	0.319145	3.513857
16	0	-14767.6	-14777.8	10.2363	0.145278	0.0980478	0.0997052	0.0855514	0.113502	0.0870728	0.116826	0.0768382	0.110231	0.155698	0.0888792	0.0794489	0.125965	0.100881	0.0983123	0.169137	0.132059	0.119714	0.150476	0.0566954	0.0973272	0.0851501	0.177451	0.0256577	0.0334969	0.0413877	0.0242076	0.0177289	0.0539274	0.0587499	0.0920755	0.0280744	0.038131	0.0436965	0.0247553	0.0426779	0.0447068	0.0248104	0.0496866	0.0221159	0.0284307	0.0304398	0.0266113	3.936943	0.260799	0.28493	0.106888	0.347384	3.321615
17	1	-15094	-15102.3	8.28128	0.15999	0.0750377	0.115643	0.0889346	0.123885	0.106406	0.136286	0.085544	0.098484	0.00300856	0.102072	0.0901955	0.119944	0.0903191	0.114202	0.128308	0.139228	0.141371	0.156937	0.0730911	0.0882362	0.237212	0.198392	0.0289601	0.0506007	0.0278285	0.0294598	0.0516853	0.100827	0.0314877	0.0479146	0.0104017	0.043625	0.0241931	0.0292245	0.0492878	0.151357	0.0370474	0.0188761	0.0535427	0.0162996	0.0304378	0.0223877	3.755884	0.276021	0.306303	0.0961303	0.321545	3.528171
18	0	-14767.5	-14778.3	10.7341	0.145524	0.0756956	0.113797	0.098338	0.116815	0.0834792	0.147091	0.107443	0.106386	0.156464	0.0739035	0.0792097	0.111904	0.0901811	0.100424	0.133584	0.136062	0.111024	0.110448	0.0715052	0.0993653	0.0891452	0.166979	0.0323	0.0246741	0.0323103	0.0354998	0.019808	0.0451522	0.0599896	0.0697241	0.0394322	0.0377457	0.053196	0.0274746	0.0448184	0.0383205	0.0254201	0.0580175	0.0155915	0.0300366	0.0357816	0.020791	3.953373	0.28925	0.273963	0.102774	0.334013	3.270851
19	1	-14942.7	-14952.9	10.2148	0.139614	0.0959127	0.0992455	0.0929345	0.111751	0.094278	0.121397	0.0915432	0.104781	0.0185051	0.0720735	0.0822107	0.0928177	0.102687	0.12298	0.137112	0.147753	0.157423	0.120823	0.0611422	0.0914292	0.14735	0.180576	0.0401189	0.054298	0.0264016	0.0250093	0.0257347	0.100827	0.0392903	0.0411529	0.027804	0.0332213	0.0525019	0.0288018	0.0555412	0.0896215	0.0648295	0.0193969	0.0513336	0.0377398	0.0131143	0.018203	3.813343	0.276021	0.306303	0.0961303	0.321545	3.331281
20	0	-14768.3	-14779.3	11.0771	0.121417	0.0859081	0.109076	0.086822	0.128518	0.0610254	0.148763	0.0699829	0.106059	0.177481	0.0721017	0.0731578	0.0908944	0.118515	0.10541	0.133893	0.133258	0.110912	0.125517	0.0709898	0.0906704	0.0905896	0.171761	0.0183619	0.0393601	0.0254429	0.0275489	0.0145121	0.0532757	0.0660036	0.0805271	0.0416436	0.0415497	0.0807504	0.036861	0.0409643	0.0372994	0.0310149	0.040831	0.00723486	0.0259208	0.0237794	0.0232089	3.915815	0.281431	0.266558	0.0985242	0.353487	3.238812
