Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-15380.5	-15395.9	15.439	0.123287	0.082801	0.106805	0.0844465	0.100641	0.0814374	0.127809	0.0758642	0.085597	0.17028	0.0670272	0.0734944	0.106814	0.106755	0.0975947	0.108761	0.13658	0.115171	0.109411	0.0920482	0.100432	0.0842607	0.143629	0.0664057	0.037576	0.0315036	0.0419983	0.0370682	0.033245	0.0272036	0.037027	0.0286613	0.0403756	0.0108801	0.0628064	0.0299285	0.0522125	0.0353461	0.0346359	0.0290754	0.0385889	0.031541	0.0371597	0.23241	0.291828	0.0994734	0.376288	3.124185
110	-15382.9	-15398.7	15.7324	0.139753	0.122197	0.107953	0.0950678	0.0930973	0.0837467	0.125183	0.0716233	0.0975901	0.163215	0.0723578	0.0764885	0.0805603	0.0951246	0.115107	0.125977	0.111541	0.115171	0.117365	0.0605943	0.0858907	0.0953747	0.133885	0.0560688	0.0371285	0.0210557	0.0582652	0.0390837	0.0178201	0.0245713	0.0304816	0.0443266	0.0450253	0.0227792	0.0600553	0.0425171	0.0438206	0.0275674	0.0289792	0.0261303	0.0220374	0.0351901	0.0270818	0.23241	0.291828	0.0994734	0.376288	3.094848
120	-15374.8	-15389.8	15.0084	0.144799	0.0861171	0.0878828	0.0968492	0.103828	0.0888815	0.141152	0.0922884	0.0891907	0.163215	0.0723578	0.0923955	0.0875439	0.105748	0.0987104	0.128382	0.13839	0.100346	0.114964	0.0711041	0.124829	0.0834476	0.154047	0.0785094	0.043306	0.0157336	0.0538405	0.0453522	0.0443351	0.0220802	0.0223367	0.0338594	0.0371503	0.0125819	0.0511272	0.0306539	0.0444773	0.0250884	0.0285477	0.0252803	0.0319854	0.035336	0.0191955	0.231735	0.290979	0.102092	0.375194	3.167246
130	-15374	-15389.9	15.8632	0.132829	0.0933863	0.085808	0.0972867	0.104615	0.0717813	0.143611	0.0835534	0.0891907	0.168849	0.0800358	0.06612	0.103026	0.0817948	0.0975281	0.12587	0.127678	0.11502	0.113754	0.0944596	0.0860092	0.0797773	0.144293	0.093508	0.0570102	0.0127699	0.0475051	0.0271956	0.0441365	0.0247063	0.033909	0.0382312	0.0489589	0.0140137	0.0460634	0.0395366	0.0349454	0.0139479	0.0290943	0.0209494	0.0303048	0.0177318	0.0209732	0.229532	0.288214	0.109009	0.373246	3.081768
140	-15373.6	-15389.2	15.5756	0.126535	0.0938461	0.0934809	0.0990568	0.089731	0.0836925	0.117334	0.0835534	0.0932293	0.188737	0.0800358	0.0669741	0.111391	0.10598	0.107489	0.147325	0.10921	0.10947	0.100331	0.0890632	0.0706473	0.079223	0.162253	0.0974609	0.0461064	0.0162511	0.0485603	0.0323026	0.0270036	0.0237873	0.0471132	0.0228947	0.0497527	0.0267204	0.0342274	0.0375649	0.0370716	0.0225562	0.0242906	0.0267373	0.0444424	0.0205721	0.0165151	0.216877	0.294332	0.107621	0.38117	3.110519
150	-15374	-15388.9	14.9488	0.13103	0.0961205	0.103336	0.113649	0.0959928	0.0676364	0.126668	0.0778692	0.103142	0.156547	0.108954	0.0845393	0.0899521	0.102131	0.107511	0.137695	0.146296	0.0973533	0.107833	0.0890632	0.0704194	0.0887626	0.17936	0.0788028	0.033938	0.0248365	0.0492464	0.0472134	0.0376095	0.0257737	0.0428666	0.0347779	0.0427774	0.0145764	0.0386654	0.040859	0.0308159	0.0210599	0.0239915	0.0173306	0.0350052	0.0356556	0.0155373	0.216877	0.294332	0.107621	0.38117	3.1732
160	-15372.2	-15388.8	16.6344	0.103598	0.105436	0.103336	0.0833362	0.0959928	0.0814225	0.128581	0.0724273	0.0784221	0.151767	0.0761662	0.0793621	0.0974168	0.091466	0.121947	0.105241	0.117958	0.125426	0.0986702	0.0808336	0.0821043	0.0711696	0.164544	0.064882	0.0420228	0.0235241	0.0482629	0.0380774	0.0440768	0.0230514	0.0351194	0.0441308	0.0510764	0.0153849	0.0337199	0.0363179	0.0279035	0.0175842	0.021488	0.0273556	0.0322285	0.0380264	0.0237869	0.215474	0.292429	0.0979186	0.394178	3.004645
170	-15379	-15394.5	15.5151	0.130318	0.10798	0.0930958	0.0915974	0.0913533	0.0905325	0.145024	0.0835244	0.0849214	0.141692	0.0964221	0.0661554	0.0949089	0.0967641	0.118351	0.145116	0.136609	0.118493	0.113858	0.0839879	0.0947802	0.0621347	0.14972	0.0540523	0.0418281	0.0268622	0.035869	0.0361935	0.0287441	0.0193738	0.0328396	0.0479487	0.0482032	0.0205269	0.0547367	0.0523739	0.0483143	0.0176681	0.0235297	0.0189566	0.0348849	0.0240137	0.0123164	0.216147	0.293342	0.108833	0.381679	3.116575
180	-15362.1	-15376.8	14.7478	0.117496	0.111223	0.0971324	0.0964383	0.118854	0.0856615	0.125329	0.0850055	0.0957216	0.173561	0.0813552	0.0765636	0.0974372	0.0779994	0.107621	0.14913	0.137392	0.109772	0.111321	0.0931465	0.0969172	0.088888	0.17508	0.0813919	0.0459206	0.0242891	0.0565601	0.04724	0.0368715	0.020473	0.0287002	0.0299155	0.0358629	0.0199345	0.0469675	0.0329089	0.039128	0.0289607	0.0184713	0.0332204	0.0289452	0.0192794	0.00922279	0.218972	0.297176	0.0971834	0.386668	3.193307
190	-15369.2	-15383.7	14.5271	0.117496	0.11616	0.0800024	0.112506	0.113523	0.101535	0.129403	0.0844216	0.0937431	0.181957	0.0772887	0.0799446	0.0897527	0.092922	0.1021	0.145644	0.131599	0.123359	0.133481	0.0616953	0.0837794	0.0786898	0.17508	0.10427	0.0495363	0.0151384	0.0456632	0.0463974	0.039428	0.0194871	0.0230954	0.0333214	0.0314875	0.0198055	0.0474407	0.03451	0.044053	0.0182889	0.0238069	0.0295496	0.0409885	0.028225	0.0147986	0.215196	0.298771	0.0991294	0.386904	3.215373
