Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
10	0	-13171.1	-13138.6	-32.5134	0.8903495	0.316049	0.148127	0.159838	0.194844	0.243809	0.107854	0.249249	0.116665	0.142447	0.382766	0.127332	0.131786	0.211659	0.261304	0.183029	0.317799	0.213284	0.198209	0.188279	0.0987149	0.136994	0.128186	0.629299	0.0221766	0.0267033	0.0301021	0.172268	0.0734266	0.063584	0.0452206	0.0153017	0.136143	0.0241047	0.183445	0.0856015	0.0180175	0.186497	0.0942334	0.0768724	0.0762047	0.0520806	0.128996	0.1576	0.0309025	0.336016	0.0638246	0.0462162	0.523041	6.78659e-09	0.11459	0.441118	0.979157	2.46513	0.368148	0.353107	0.0738684	0.204876	0.3755559	6.556104
11	1	-13201.5	-13176.3	-25.1908	0.9172067	0.247681	0.161482	0.154046	0.171657	0.159815	0.119695	0.199156	0.120783	0.140878	0.323736	0.0974475	0.132873	0.142637	0.195434	0.175931	0.256359	0.218283	0.212762	0.266029	0.106014	0.140557	0.0850845	0.54598	0.0185161	0.0706837	0.0762946	0.0523178	0.0662768	0.0472434	0.133621	0.0477144	0.0488665	0.0487447	0.0134694	0.0587332	0.200201	0.063729	0.269564	0.0779868	0.000600166	0.0798672	0.0285857	0.0465123	0.0396507	0.538609	0.0378911	0.0150059	0.316913	0.0519305	0.120153	0.450369	0.984802	2.44468	0.271739	0.417689	0.0649123	0.24566	0.4363098	5.823848
12	0	-13166.5	-13131.9	-34.6178	0.9214168	0.336631	0.158387	0.178828	0.1187	0.252832	0.173031	0.285074	0.158266	0.172518	0.349319	0.0959778	0.169571	0.279703	0.244182	0.161502	0.279722	0.347455	0.20524	0.2399	0.0870388	0.174098	0.125177	0.454043	0.029808	0.0386233	0.0382129	0.168306	0.0696103	0.0811394	0.0600836	0.0105279	0.122946	0.0371007	0.152898	0.0395513	0.0390371	0.170962	0.0703361	0.171548	0.0658772	0.0542684	0.100168	0.198349	0.0251777	0.348626	0.0662199	0.0438925	0.516084	5.97632e-09	0.12102	0.451787	0.985652	2.44154	0.368148	0.353107	0.0738684	0.204876	0.3755559	6.766548
13	1	-13155.5	-13130	-25.4787	0.9834627	0.208526	0.132815	0.199287	0.135935	0.234295	0.10645	0.236975	0.139649	0.134278	0.293599	0.125373	0.133059	0.143629	0.174319	0.222653	0.237699	0.240787	0.178038	0.229031	0.0816942	0.100456	0.102268	0.504187	0.0264184	0.123532	0.083367	0.0295766	0.159014	0.0457309	0.118867	0.0963492	0.0762548	0.0620934	0.0267819	0.0407116	0.205747	0.0330946	0.141553	0.0956319	0.00396909	0.0838529	0.0301218	0.0749677	0.0518194	0.389788	0.0482618	0.0183334	0.428352	0.063446	0.133642	0.471724	0.997205	2.39743	0.311723	0.390585	0.0664997	0.231192	0.3524241	5.85264
14	0	-13173.9	-13132.8	-41.0848	0.7997133	0.344209	0.169693	0.214333	0.130991	0.284108	0.208137	0.323813	0.148708	0.124863	0.532524	0.0993441	0.156443	0.173554	0.216828	0.252658	0.282618	0.2668	0.262325	0.287812	0.107632	0.135144	0.124008	0.497564	0.0278883	0.0498374	0.0563084	0.241354	0.0655789	0.0540436	0.0933175	0.00590211	0.0986932	0.0638578	0.238603	0.0426522	0.0461471	0.290098	0.0681469	0.153019	0.100562	0.0410115	0.15675	0.175369	0.0272926	0.293913	0.0717821	0.0475793	0.559433	6.47831e-09	0.0954977	0.407019	0.956875	2.54061	0.370111	0.35499	0.0742623	0.200637	0.3755559	7.413249
15	1	-13163.9	-13130.1	-33.7335	0.8006304	0.260068	0.186676	0.149461	0.132981	0.235009	0.104681	0.290345	0.183674	0.138829	0.369621	0.108639	0.141837	0.229028	0.168428	0.22021	0.331602	0.345137	0.1818	0.259332	0.110334	0.155529	0.0955905	0.562198	0.0171928	0.146827	0.0467352	0.0695315	0.124406	0.0705404	0.216234	0.0913559	0.0791397	0.0454288	0.0302473	0.0325278	0.176548	0.0260272	0.188645	0.0861223	0.00843998	0.135518	0.0397671	0.0858733	0.042498	0.368925	0.0527655	0.0194387	0.454176	0.0621973	0.0956929	0.407388	0.957129	2.53979	0.311723	0.390585	0.0664997	0.231192	0.3524241	6.678115
16	0	-13166.9	-13128.8	-38.0727	0.8265961	0.266188	0.105414	0.152921	0.132947	0.268859	0.111954	0.273675	0.172795	0.152773	0.398759	0.126551	0.114621	0.199023	0.203137	0.277562	0.391998	0.340815	0.260659	0.197808	0.0991719	0.161925	0.127321	0.492664	0.0211143	0.0584806	0.0421187	0.191731	0.0471633	0.0754995	0.101687	0.00668234	0.0933845	0.0837119	0.178485	0.0731765	0.0524952	0.287156	0.117821	0.183104	0.0747603	0.076141	0.0599221	0.257854	0.0275441	0.292673	0.0645639	0.0480177	0.567202	2.53203e-08	0.101204	0.417625	0.96406	2.51711	0.364186	0.358329	0.0749608	0.202524	0.3755559	7.112031
17	1	-13154.7	-13121.2	-33.4678	0.8606585	0.264332	0.143552	0.18958	0.1741	0.127238	0.194494	0.264815	0.170682	0.149233	0.343278	0.0959714	0.164391	0.166722	0.20799	0.245575	0.353401	0.23272	0.206097	0.280761	0.116837	0.162531	0.0745624	0.568403	0.0044364	0.198067	0.0839565	0.049078	0.131208	0.0382723	0.187686	0.10385	0.0613098	0.0864123	0.0144094	0.0169064	0.212213	0.0176931	0.192709	0.072608	0.0300767	0.106325	0.0572217	0.0898419	0.0425576	0.369442	0.0528395	0.0185544	0.454812	0.0617939	0.108385	0.430456	0.972443	2.48872	0.313742	0.38944	0.0663046	0.230514	0.3524241	6.651545
18	0	-13163.9	-13122.1	-41.7903	0.8725438	0.350458	0.171952	0.16775	0.133158	0.259233	0.199299	0.302733	0.168847	0.152474	0.407188	0.140445	0.163528	0.304088	0.24039	0.265932	0.414632	0.233418	0.205865	0.28458	0.0941019	0.197516	0.115313	0.608172	0.0223286	0.0469334	0.0217706	0.248994	0.0737856	0.0461257	0.0912847	0.0141056	0.0784989	0.0581787	0.172082	0.141222	0.02561	0.188079	0.0843699	0.175667	0.0601019	0.0596634	0.0917381	0.202189	0.0273618	0.290736	0.0707545	0.0477	0.563448	4.97346e-08	0.110876	0.43478	0.975193	2.47915	0.365409	0.359532	0.071855	0.203204	0.3755559	7.483799
19	1	-13152.8	-13118.4	-34.3454	0.9234206	0.32408	0.128184	0.178432	0.134215	0.220559	0.147968	0.250899	0.188994	0.127006	0.297658	0.168975	0.147135	0.207097	0.260023	0.255514	0.291493	0.235304	0.24572	0.253657	0.0780497	0.170912	0.150952	0.50343	0.010012	0.193832	0.0414944	0.0592327	0.155318	0.102331	0.16071	0.0398419	0.0612335	0.0759845	0.00525157	0.0316417	0.318239	0.0292397	0.192709	0.0698883	0.0794987	0.0552938	0.020164	0.0711345	0.0425574	0.365163	0.0528393	0.022836	0.45481	0.0617937	0.121432	0.452459	0.986054	2.44006	0.313742	0.38944	0.0663046	0.230514	0.3670976	6.739307
20	0	-13162.4	-13124	-38.3465	0.9281858	0.30126	0.136264	0.182995	0.150761	0.237689	0.122445	0.256677	0.14177	0.178539	0.387218	0.15144	0.102378	0.211729	0.221716	0.245465	0.357971	0.307149	0.22178	0.269643	0.071788	0.197516	0.114706	0.643639	0.00877982	0.055764	0.0328709	0.214424	0.0347606	0.0298023	0.13075	0.0287511	0.077805	0.0566195	0.178321	0.0974811	0.017046	0.320452	0.0810115	0.155585	0.088814	0.0822093	0.0599446	0.175684	0.0282669	0.300353	0.0730951	0.0401345	0.55815	8.79892e-08	0.122412	0.454048	0.987001	2.43654	0.370372	0.356187	0.072831	0.20061	0.3755559	7.139414
21	1	-13150.7	-13118	-32.7411	0.9717043	0.373219	0.108122	0.166845	0.177821	0.217179	0.187495	0.266492	0.123297	0.171644	0.344422	0.11761	0.185419	0.168421	0.230415	0.239551	0.318743	0.247162	0.226225	0.212906	0.0893793	0.141741	0.0989477	0.499566	0.00858235	0.256756	0.0852372	0.02933	0.0919688	0.0621632	0.182103	0.0433693	0.0300562	0.0761672	0.0155723	0.0504925	0.178	0.0469694	0.182288	0.0612058	0.0844067	0.104414	0.0113087	0.0658595	0.0425574	0.365163	0.0528393	0.022836	0.45481	0.0617937	0.131274	0.468078	0.995149	2.4055	0.322885	0.371647	0.0682369	0.237232	0.3670976	6.578872
22	0	-13168.1	-13129.7	-38.4513	0.7582481	0.292387	0.208213	0.232958	0.159759	0.252023	0.144286	0.294429	0.122274	0.173201	0.371189	0.137532	0.119699	0.247499	0.235844	0.245465	0.387737	0.2761	0.220341	0.248814	0.114254	0.156005	0.0972459	0.5674	0.0215912	0.0289999	0.0284749	0.182996	0.0383579	0.0474887	0.0937513	0.031228	0.0403026	0.10022	0.124582	0.0579321	0.0138768	0.17275	0.0573574	0.148112	0.0931586	0.136019	0.137144	0.290899	0.0268008	0.301223	0.07316	0.0401701	0.558646	7.83533e-09	0.0866489	0.389765	0.944679	2.57891	0.370372	0.356187	0.072831	0.20061	0.3755559	7.149898
23	1	-13162.5	-13128.8	-33.7575	0.8596684	0.326321	0.162922	0.175268	0.144806	0.288404	0.162302	0.178186	0.16077	0.104743	0.344422	0.123797	0.142143	0.252446	0.228904	0.20345	0.293403	0.295802	0.22601	0.245646	0.155047	0.0952727	0.106084	0.434656	0.00564106	0.284482	0.105374	0.00612196	0.169359	0.0446333	0.210869	0.0602878	0.0872576	0.0548709	0.0458024	0.0451059	0.198298	0.020604	0.188486	0.045292	0.0586285	0.0997223	0.0220891	0.0767875	0.0403784	0.403245	0.0502295	0.0233865	0.425015	0.0577455	0.108178	0.430092	0.97221	2.48952	0.325445	0.374595	0.0608468	0.239113	0.3661307	6.680515
24	0	-13164	-13127.5	-36.5358	0.8877273	0.336151	0.168664	0.173561	0.16845	0.203575	0.141897	0.281777	0.157579	0.178735	0.371189	0.118238	0.211886	0.225136	0.227128	0.207674	0.338093	0.2761	0.243303	0.214623	0.0883962	0.142601	0.0981522	0.463814	0.0228413	0.0198998	0.0584158	0.180365	0.0632431	0.0915105	0.14695	0.0171751	0.109955	0.043308	0.205931	0.0974457	0.0160643	0.282473	0.0656648	0.135885	0.0959457	0.050555	0.0612371	0.156758	0.0295432	0.300374	0.0729539	0.0400569	0.557072	3.19146e-08	0.114045	0.440195	0.978585	2.46718	0.364785	0.350814	0.074348	0.210053	0.3493211	6.958344
25	1	-13148	-13115.6	-32.3418	0.9340554	0.355121	0.102655	0.18297	0.196547	0.199467	0.151541	0.199927	0.142903	0.131051	0.344422	0.147534	0.14364	0.194428	0.222703	0.208075	0.337142	0.261224	0.264362	0.164432	0.118574	0.191325	0.107151	0.434656	0.00364782	0.203166	0.0676103	0.0205313	0.115794	0.0556206	0.18698	0.0276931	0.0558474	0.0417237	0.0298416	0.0619241	0.251431	0.0317537	0.23792	0.0954988	0.052443	0.100803	0.0285444	0.0683185	0.0406247	0.405704	0.0505358	0.0299471	0.420306	0.0528818	0.123616	0.455992	0.988152	2.43224	0.331382	0.381428	0.0619568	0.225233	0.3661307	6.538943
26	0	-13173.1	-13133.3	-39.8226	0.97827	0.319627	0.15918	0.254305	0.129353	0.261417	0.106054	0.326383	0.179754	0.206107	0.389516	0.124166	0.163443	0.207452	0.308325	0.192119	0.287244	0.280128	0.206419	0.228306	0.131785	0.189502	0.0866025	0.447459	0.0390589	0.0241993	0.117701	0.130351	0.0754281	0.0765177	0.143439	0.0185789	0.128794	0.0625222	0.168956	0.0771669	0.0197013	0.302559	0.0636935	0.163695	0.0626638	0.0649109	0.0845083	0.277932	0.0289369	0.353266	0.0714568	0.0392349	0.507102	3.50802e-06	0.132598	0.470121	0.996304	2.40098	0.367145	0.353084	0.0748291	0.204942	0.3471503	7.287026
27	1	-13159.8	-13123.6	-36.1835	0.8865074	0.279377	0.135711	0.205304	0.203495	0.261894	0.197081	0.277937	0.118611	0.151044	0.317208	0.131153	0.167003	0.324715	0.157585	0.155241	0.337142	0.244958	0.220759	0.286956	0.0917391	0.188072	0.108984	0.514739	0.00599124	0.206239	0.100331	0.0310384	0.17973	0.0652996	0.205614	0.0341589	0.0352973	0.0474272	0.0123193	0.0618364	0.249584	0.037017	0.169283	0.0537318	0.0793073	0.121788	0.0329805	0.117436	0.0363157	0.465428	0.0522777	0.0267707	0.375726	0.043482	0.113791	0.439764	0.978317	2.46813	0.332656	0.382895	0.0583495	0.226099	0.3661307	6.923116
28	0	-13166.2	-13126.1	-40.1187	0.8443159	0.336476	0.146776	0.159997	0.18324	0.252747	0.159826	0.321449	0.200047	0.166537	0.375771	0.1048	0.145607	0.245565	0.229047	0.231195	0.2412	0.276196	0.24352	0.277612	0.100991	0.172568	0.112024	0.470123	0.00670037	0.0555509	0.125493	0.139862	0.0613565	0.0162859	0.112063	0.0100393	0.131494	0.0417504	0.213378	0.0996885	0.064563	0.311671	0.0600229	0.206272	0.0650636	0.074913	0.150873	0.216278	0.026691	0.325847	0.0664441	0.0468291	0.533954	0.000234648	0.104948	0.424382	0.968516	2.50215	0.368265	0.354161	0.0720073	0.205567	0.3471503	7.316631
29	1	-13157.8	-13124.1	-33.751	1.019442	0.279377	0.106592	0.216653	0.192528	0.16821	0.196778	0.267186	0.147568	0.143159	0.323707	0.147061	0.119869	0.229467	0.241421	0.221927	0.288472	0.225974	0.205033	0.169699	0.0970219	0.156762	0.127962	0.479608	0.00541518	0.320987	0.0922328	0.0456543	0.104773	0.0473383	0.154413	0.017024	0.0545541	0.0448035	0.0238888	0.0805462	0.177577	0.0284954	0.194584	0.109972	0.150039	0.138781	0.0213961	0.11536	0.0381885	0.434388	0.0549736	0.0179383	0.395102	0.0594101	0.140817	0.482519	1.00315	2.37352	0.332656	0.382895	0.0583495	0.226099	0.3661307	6.679869
