Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
375	1	-13153.2	-13105.4	-47.8035	0.6821628	0.332706	0.236197	0.256262	0.158337	0.283859	0.230485	0.296567	0.142865	0.18153	0.425439	0.117649	0.206674	0.267405	0.255405	0.249649	0.312772	0.338034	0.293736	0.325353	0.13839	0.162174	0.154896	0.699378	0.0307969	0.226527	0.0418059	0.0477919	0.223737	0.0515533	0.220849	0.0223165	0.117278	0.0698176	0.0475339	0.0626826	0.226796	0.0325487	0.230706	0.0682027	0.0690032	0.118579	0.0352391	0.0755851	0.0220968	0.340172	0.0490463	0.0346415	0.502499	0.0515447	0.070383	0.354991	0.918075	2.65655	0.367447	0.36098	0.0667098	0.204863	0.3531082	8.08511
376	0	-13146.8	-13102.7	-44.0646	0.8836762	0.32514	0.131565	0.190051	0.158423	0.28488	0.170688	0.216309	0.174325	0.172231	0.525973	0.149298	0.162237	0.297761	0.251167	0.215094	0.385816	0.273392	0.228189	0.231909	0.103194	0.205874	0.112923	0.577872	0.0367987	0.032361	0.0590574	0.242847	0.118584	0.0103967	0.135611	0.0497263	0.0793972	0.0836077	0.214024	0.108453	0.0591607	0.289841	0.077501	0.147749	0.0554224	0.0606367	0.105619	0.200118	0.030251	0.378107	0.0535186	0.0294358	0.462942	0.0457449	0.113201	0.438762	0.977693	2.47034	0.348722	0.371432	0.0663988	0.213447	0.392995	7.711225
377	1	-13147	-13109.6	-37.3783	0.7685086	0.36215	0.135091	0.164783	0.153848	0.253656	0.156838	0.226468	0.125067	0.137467	0.385772	0.0811191	0.185115	0.244404	0.30232	0.18862	0.404084	0.27755	0.200811	0.245635	0.115901	0.171588	0.132396	0.529139	0.0161791	0.214726	0.0633704	0.0489079	0.141286	0.0756774	0.233386	0.00349485	0.0500226	0.080513	0.0347198	0.0626826	0.219859	0.0420054	0.151676	0.0862124	0.104501	0.156494	0.0177652	0.0592933	0.0261789	0.349285	0.0455402	0.0309351	0.488047	0.0600141	0.0888423	0.394139	0.947832	2.56919	0.385804	0.34611	0.0639839	0.204103	0.3802032	7.042592
378	0	-13149.2	-13107.9	-41.3122	0.7797862	0.289343	0.132744	0.179419	0.16929	0.231399	0.176984	0.297201	0.204501	0.186453	0.405004	0.094762	0.158903	0.236193	0.292152	0.241484	0.323045	0.249955	0.215905	0.295645	0.0890006	0.180321	0.119004	0.571315	0.067098	0.0111988	0.0166415	0.192725	0.0565201	0.0704901	0.110164	0.0450975	0.1271	0.0795619	0.172794	0.108453	0.0482143	0.296574	0.0660157	0.185536	0.12844	0.102357	0.0455833	0.165403	0.0237083	0.404917	0.0472433	0.0223888	0.427885	0.0738572	0.0912507	0.398867	0.951193	2.55869	0.338786	0.389765	0.0610604	0.210389	0.3446207	7.435989
379	1	-13147.5	-13109.3	-38.2228	0.8551628	0.313095	0.20083	0.226269	0.16355	0.298414	0.109107	0.21699	0.162621	0.181768	0.268585	0.116877	0.18855	0.2206	0.217074	0.220389	0.322236	0.209257	0.21864	0.305946	0.0945864	0.144508	0.0929387	0.561323	0.0248638	0.212023	0.137909	0.0341333	0.131873	0.0833714	0.185049	0.106745	0.0557157	0.114693	0.00845356	0.0496399	0.288864	0.0149421	0.240396	0.0539461	0.104694	0.100685	0.0481439	0.0767515	0.0276913	0.337559	0.0588121	0.0255448	0.494493	0.0558994	0.107231	0.42843	0.971141	2.4932	0.367212	0.356492	0.071366	0.20493	0.365882	7.127048
380	0	-13155.7	-13112.4	-43.2896	0.7251692	0.335514	0.189656	0.29635	0.154759	0.230476	0.146419	0.217101	0.137309	0.186453	0.344	0.114798	0.154964	0.253418	0.3025	0.280472	0.337191	0.375001	0.228497	0.282716	0.108537	0.18034	0.185744	0.648671	0.0596876	0.0191923	0.0199247	0.140599	0.0842471	0.0761913	0.121678	0.0206426	0.0766758	0.0545097	0.13897	0.0957683	0.0358989	0.296813	0.0536006	0.20054	0.0580361	0.0818581	0.0391667	0.268839	0.0226668	0.401782	0.0439181	0.0354003	0.41768	0.0785522	0.0795705	0.375167	0.93385	2.61141	0.35673	0.366307	0.0573342	0.219629	0.3619598	7.633726
381	1	-13155	-13110.3	-44.6839	0.8769928	0.401858	0.211694	0.213684	0.147749	0.263975	0.127779	0.339603	0.196433	0.144793	0.439835	0.0807499	0.181314	0.217383	0.286545	0.214998	0.333079	0.249634	0.282981	0.238262	0.0939725	0.214068	0.168439	0.563155	0.043009	0.202035	0.0765054	0.0791989	0.205246	0.0801907	0.233325	0.100143	0.0471508	0.0796208	0.0211238	0.0426208	0.237233	0.0341114	0.292733	0.0584065	0.121618	0.101439	0.028713	0.0767515	0.0229266	0.32404	0.0573775	0.0224918	0.523605	0.0495593	0.111806	0.436379	0.976201	2.47561	0.358657	0.370475	0.0707132	0.200156	0.4017845	7.773157
382	0	-13150	-13104.2	-45.796	0.7798734	0.329732	0.171629	0.213883	0.129221	0.300138	0.195633	0.240259	0.194645	0.186453	0.470944	0.0963557	0.155018	0.240737	0.301262	0.218256	0.364199	0.353798	0.229491	0.277438	0.130015	0.239485	0.150447	0.532995	0.0644925	0.0205538	0.0184622	0.223743	0.0434017	0.00571229	0.0976199	0.0774812	0.0741333	0.0788464	0.172462	0.0555505	0.0316303	0.339625	0.0926488	0.190908	0.104246	0.089234	0.128507	0.253074	0.0249447	0.387783	0.049619	0.0258583	0.442434	0.0693606	0.0912693	0.398903	0.951218	2.55861	0.342843	0.388585	0.0579304	0.210641	0.3542483	7.884364
383	1	-13152.7	-13114.9	-37.8133	0.8416194	0.314394	0.179596	0.158248	0.144465	0.30358	0.133489	0.211873	0.165213	0.131464	0.394651	0.090245	0.145897	0.189642	0.332713	0.162402	0.413679	0.255652	0.245611	0.204726	0.081311	0.154438	0.129819	0.562085	0.00777258	0.194619	0.112666	0.0881735	0.137276	0.0632908	0.169072	0.0425044	0.0539375	0.088432	0.00759029	0.0839272	0.163077	0.0393812	0.24314	0.0705559	0.0886793	0.117757	0.128335	0.0807158	0.0321386	0.358772	0.0519785	0.0305819	0.476874	0.0496552	0.104379	0.423366	0.967852	2.5044	0.359216	0.366442	0.0695588	0.204783	0.3567222	7.086094
384	0	-13150.9	-13105.5	-45.4012	0.8044105	0.383781	0.134521	0.241609	0.162972	0.269243	0.182749	0.291101	0.187097	0.178853	0.383446	0.141184	0.155018	0.273933	0.234541	0.231224	0.285688	0.287517	0.234942	0.229701	0.128216	0.15243	0.160764	0.536068	0.0644925	0.022072	0.0551207	0.368968	0.0900378	0.0547708	0.129487	0.0747368	0.0901217	0.0416033	0.178604	0.0809514	0.0555122	0.319434	0.0650014	0.164832	0.12304	0.105466	0.130085	0.163959	0.0228419	0.374105	0.0548391	0.0303144	0.478705	0.0391949	0.0964969	0.408904	0.95817	2.53643	0.358398	0.362488	0.069531	0.209583	0.4072707	7.84489
385	1	-13152.7	-13106.9	-45.7715	0.7868287	0.361863	0.159292	0.206995	0.144411	0.251196	0.161057	0.275307	0.144934	0.139721	0.416249	0.104025	0.168523	0.26927	0.289454	0.289222	0.410918	0.264519	0.306002	0.302341	0.111824	0.173705	0.174293	0.608337	0.027566	0.215721	0.0917682	0.0662185	0.147676	0.0540574	0.159862	0.0336346	0.133	0.0920975	0.0265957	0.0401562	0.305882	0.102861	0.253914	0.0737607	0.0669626	0.110415	0.0930382	0.0532672	0.0241876	0.320272	0.0530422	0.0343544	0.507944	0.0602	0.0927531	0.401777	0.953237	2.55223	0.365159	0.361955	0.0648922	0.207994	0.3943743	7.881913
386	0	-13158.7	-13115.7	-43.0149	0.7283938	0.340609	0.144171	0.149395	0.123858	0.269243	0.169299	0.188158	0.15552	0.186708	0.516354	0.10357	0.182982	0.230475	0.26974	0.247226	0.441951	0.244114	0.299582	0.248159	0.130169	0.153717	0.161129	0.491489	0.0239348	0.0262984	0.0384535	0.2363	0.0768545	0.0583723	0.222478	0.0542314	0.110236	0.0705189	0.157031	0.0610978	0.0543987	0.183714	0.0583211	0.188746	0.103135	0.0595821	0.0897304	0.285203	0.0246634	0.32715	0.0565613	0.0281246	0.516878	0.0466227	0.0802605	0.376625	0.934952	2.60816	0.384933	0.353846	0.0693109	0.191911	0.3839091	7.606253
387	1	-13158	-13108.6	-49.4111	0.8188858	0.382266	0.142488	0.24573	0.173671	0.390405	0.229036	0.293766	0.182461	0.173106	0.459413	0.133521	0.182247	0.256986	0.259813	0.251612	0.315345	0.331593	0.246501	0.208307	0.147124	0.180308	0.174293	0.751727	0.028635	0.244103	0.0329382	0.0481415	0.165899	0.12124	0.198964	0.0287249	0.0767847	0.100381	0.0259739	0.0696059	0.306647	0.047158	0.207714	0.107103	0.137489	0.108173	0.0363016	0.0421797	0.0242989	0.381942	0.0509775	0.0241427	0.464742	0.0538964	0.0995707	0.414628	0.962054	2.52375	0.349537	0.388373	0.0580347	0.204055	0.3743451	8.245875
388	0	-13152.9	-13108.1	-44.8953	0.6820824	0.287138	0.162597	0.201427	0.148752	0.230253	0.17674	0.191588	0.206635	0.138598	0.478654	0.146895	0.15048	0.308893	0.30403	0.21753	0.459974	0.275382	0.223364	0.298783	0.146139	0.198836	0.146822	0.643513	0.00861384	0.00477161	0.0459046	0.214416	0.0454073	0.0202935	0.118073	0.0465763	0.0849462	0.0769039	0.164962	0.09379	0.0365189	0.338396	0.100419	0.224267	0.0609953	0.0772509	0.143896	0.144876	0.020577	0.324335	0.0513347	0.0310438	0.528705	0.0440046	0.0703659	0.354952	0.918043	2.65664	0.380632	0.355555	0.0661879	0.197625	0.3542473	7.794297
389	1	-13156.3	-13108.1	-48.2191	0.7720627	0.384016	0.169589	0.196699	0.16876	0.262794	0.152959	0.257771	0.188541	0.197053	0.43244	0.148068	0.113171	0.258959	0.253352	0.329455	0.455398	0.342146	0.255448	0.300633	0.130811	0.19734	0.104113	0.570518	0.065384	0.238456	0.0747519	0.0487306	0.274878	0.0985858	0.152142	0.0203274	0.0993155	0.0949504	0.0165965	0.0460211	0.286059	0.029503	0.228917	0.163619	0.130807	0.100313	0.0460738	0.0412144	0.027996	0.408175	0.054505	0.0234267	0.453242	0.0326561	0.0896016	0.395638	0.948903	2.56586	0.362635	0.359758	0.0681655	0.209442	0.3286862	8.126678
390	0	-13164.1	-13117	-47.0559	0.5766729	0.425558	0.160111	0.204463	0.236685	0.254221	0.169352	0.324906	0.182994	0.195305	0.346078	0.111427	0.144333	0.321166	0.247827	0.232912	0.448311	0.263022	0.294129	0.323613	0.116225	0.167478	0.112594	0.583186	0.0315959	0.00262348	0.023415	0.230614	0.0679665	0.0443353	0.12797	0.0610003	0.0928725	0.0693999	0.185214	0.0869762	0.053282	0.330037	0.0276718	0.207359	0.116012	0.0704625	0.175224	0.140429	0.0239386	0.322923	0.051381	0.0354349	0.514948	0.0513741	0.0483353	0.299054	0.868935	2.78368	0.390047	0.345127	0.0684941	0.196333	0.3290837	8.010357
391	1	-13149.4	-13105.6	-43.7746	0.671902	0.321259	0.143235	0.208524	0.185674	0.246337	0.132346	0.352713	0.143153	0.201595	0.377953	0.138363	0.144036	0.350865	0.310994	0.279517	0.336563	0.331528	0.215651	0.217223	0.0997822	0.194083	0.14303	0.596097	0.0352722	0.177603	0.0901183	0.0329495	0.175288	0.131987	0.261247	0.0702216	0.0461312	0.0717549	0.0101535	0.0333593	0.25599	0.0309577	0.179863	0.0961639	0.117898	0.0916371	0.0460738	0.0570383	0.0262126	0.343762	0.0611985	0.0153593	0.498539	0.0549288	0.0681995	0.349965	0.913994	2.66784	0.356434	0.370536	0.0662407	0.206789	0.3286862	7.682228
392	0	-13152.1	-13106.4	-45.6638	0.5454412	0.341367	0.211667	0.229746	0.195135	0.225767	0.195054	0.317926	0.184665	0.185022	0.422382	0.156944	0.188685	0.239017	0.269381	0.197039	0.334095	0.317059	0.238294	0.295204	0.0896641	0.133226	0.119509	0.583186	0.02895	0.0119135	0.0325601	0.283928	0.111454	0.0394939	0.118446	0.0715771	0.0901391	0.0784514	0.190432	0.100225	0.0178291	0.233148	0.0519438	0.27156	0.0827484	0.0645492	0.126487	0.195276	0.020752	0.36437	0.046619	0.027781	0.501774	0.038704	0.0420884	0.28055	0.85071	2.82665	0.365445	0.368077	0.0595057	0.206972	0.3409093	7.871145
393	1	-13139.6	-13103	-36.5651	0.7002799	0.29924	0.195086	0.190021	0.112602	0.21053	0.139945	0.220559	0.151777	0.174673	0.332112	0.128231	0.150239	0.264383	0.294303	0.197762	0.300562	0.336134	0.277393	0.225476	0.105298	0.200329	0.0884066	0.526235	0.0172442	0.20241	0.0719276	0.028918	0.136129	0.0990211	0.13945	0.0577517	0.0629235	0.0950652	0.0116519	0.0454277	0.182956	0.0358397	0.197934	0.0912276	0.101953	0.11216	0.0570112	0.0929783	0.025278	0.362115	0.062542	0.0265112	0.470224	0.0533302	0.0742481	0.363662	0.924972	2.63712	0.355948	0.366167	0.0674185	0.210466	0.3313967	6.961277
394	0	-13160.2	-13112.3	-47.9319	0.7882326	0.320011	0.195407	0.234746	0.169844	0.27422	0.143787	0.257453	0.164757	0.157799	0.380876	0.146158	0.168257	0.218593	0.307558	0.273814	0.50544	0.353385	0.239764	0.25147	0.0798072	0.234788	0.117184	0.665692	0.0388466	0.0396189	0.0813934	0.283218	0.0824504	0.00347842	0.131782	0.0303685	0.0777644	0.104463	0.178056	0.10565	0.0319757	0.261583	0.0459752	0.114988	0.166037	0.0900987	0.130225	0.23917	0.0218636	0.355268	0.0527184	0.0299169	0.45645	0.0837832	0.0930524	0.402353	0.95364	2.55095	0.351369	0.37297	0.0605569	0.215104	0.3532457	8.097952
395	1	-13143.4	-13106.4	-36.9835	0.7277374	0.317473	0.11067	0.212216	0.143632	0.197304	0.192343	0.240756	0.134268	0.166387	0.361905	0.116726	0.183389	0.207624	0.217001	0.189311	0.368412	0.274274	0.204982	0.253859	0.117271	0.188187	0.122991	0.559368	0.0307438	0.283721	0.0781289	0.0276114	0.0900653	0.0560542	0.20728	0.0676127	0.0621781	0.0718648	0.00511146	0.081699	0.187961	0.0200262	0.200459	0.098735	0.0908687	0.121017	0.0522718	0.0893581	0.0257909	0.300638	0.0727259	0.0176832	0.53651	0.0466516	0.0801201	0.376329	0.934729	2.60882	0.348929	0.380259	0.0709282	0.199884	0.3421379	7.003116
396	0	-13147.1	-13107	-40.0986	0.8881947	0.3281	0.175439	0.227493	0.144489	0.258242	0.139977	0.257453	0.121664	0.213201	0.395405	0.140217	0.138037	0.2466	0.194402	0.218917	0.419043	0.281348	0.279304	0.246503	0.104403	0.162112	0.086279	0.605657	0.0313529	0.00885469	0.00959029	0.190171	0.100012	0.0317815	0.110286	0.0386846	0.13736	0.0637456	0.165544	0.0914483	0.0190387	0.260157	0.0553761	0.115661	0.0933779	0.0945694	0.0974113	0.215913	0.0273085	0.339031	0.0507286	0.0164211	0.485461	0.0810493	0.114142	0.44036	0.978687	2.46681	0.363055	0.372506	0.0601186	0.20432	0.3929548	7.314621
397	1	-13158.7	-13116.1	-42.5511	0.7294759	0.394828	0.148121	0.239008	0.187916	0.226061	0.168523	0.25961	0.151271	0.190773	0.318902	0.121829	0.184446	0.265575	0.301852	0.211245	0.378881	0.356801	0.259799	0.246744	0.103894	0.150735	0.0852418	0.454363	0.00533578	0.258592	0.121895	0.02724	0.207726	0.100179	0.214675	0.0691948	0.055039	0.056317	0.0531905	0.0430145	0.179466	0.0490317	0.203038	0.136444	0.122698	0.0966352	0.0968154	0.0569264	0.0339177	0.275133	0.0727227	0.014605	0.552395	0.051227	0.0804921	0.377112	0.93532	2.60708	0.330535	0.390295	0.0811991	0.197972	0.3682317	7.559873
398	0	-13143.5	-13100.8	-42.6639	0.6562466	0.381334	0.13617	0.209251	0.121424	0.269529	0.185724	0.232422	0.181038	0.169582	0.39876	0.127431	0.140989	0.304658	0.235148	0.232805	0.389261	0.311288	0.286682	0.262446	0.087522	0.16541	0.146435	0.542955	0.0780807	0.00208513	0.0407587	0.255855	0.0665952	0.0296318	0.124602	0.023164	0.0652498	0.0471168	0.212184	0.075515	0.0545871	0.250983	0.0536355	0.247851	0.0957721	0.0540742	0.0732462	0.201899	0.0262184	0.380822	0.0419716	0.0273973	0.447506	0.0760847	0.0648786	0.342133	0.907509	2.68548	0.35505	0.374837	0.060473	0.20964	0.3456967	7.571151
399	1	-13157.2	-13114.9	-42.316	0.8570607	0.319137	0.209641	0.265127	0.11476	0.375235	0.162334	0.281167	0.209601	0.160904	0.404286	0.0954719	0.130418	0.276185	0.29895	0.215256	0.384474	0.307542	0.227395	0.284936	0.102475	0.205571	0.114014	0.49089	0.0222	0.238229	0.0749978	0.0882958	0.149818	0.0261873	0.127474	0.0278073	0.0711392	0.0578224	0.0219658	0.066939	0.205081	0.0210943	0.283845	0.111389	0.114966	0.12348	0.0223237	0.0455449	0.0297945	0.28943	0.0521942	0.0170486	0.547866	0.0636664	0.10763	0.429131	0.971593	2.49165	0.348594	0.372537	0.0716888	0.20718	0.3774638	7.536368
400	0	-13160.6	-13111.8	-48.8022	0.7669178	0.325522	0.168938	0.247939	0.178308	0.24529	0.21954	0.337981	0.178001	0.150293	0.427025	0.148937	0.170759	0.245111	0.320259	0.232805	0.287279	0.232373	0.258735	0.293852	0.0719941	0.299239	0.114019	0.622752	0.044839	0.0206504	0.0540923	0.290738	0.0958817	0.049557	0.111527	0.070442	0.0841979	0.0317958	0.266087	0.128959	0.0973397	0.249089	0.108992	0.127945	0.0447129	0.0592931	0.187015	0.284878	0.0257129	0.406092	0.0474194	0.0303713	0.45048	0.0399246	0.0885024	0.393466	0.947349	2.57068	0.351095	0.387967	0.054175	0.206763	0.3566836	8.184982
401	1	-13142.3	-13101.8	-40.4476	0.8644185	0.371379	0.150823	0.208331	0.140755	0.235101	0.144607	0.241365	0.172767	0.159455	0.29449	0.11725	0.130418	0.227528	0.273951	0.224098	0.439955	0.309123	0.201886	0.286439	0.0839474	0.197312	0.118125	0.64431	0.0209646	0.251937	0.106977	0.0784318	0.184357	0.0681776	0.18741	0.0783204	0.0802116	0.0549685	0.013822	0.0757735	0.189034	0.00641052	0.153879	0.0814597	0.0771559	0.0992325	0.0870763	0.0805085	0.0333852	0.343955	0.051273	0.022798	0.506896	0.0416923	0.109174	0.431832	0.973322	2.48567	0.34639	0.367961	0.0685925	0.217057	0.362353	7.349522
402	0	-13149.4	-13106.9	-42.4993	0.7262822	0.289577	0.171377	0.23386	0.153968	0.204089	0.193207	0.227595	0.19196	0.150293	0.430961	0.114602	0.193769	0.2656	0.216749	0.195435	0.375208	0.285562	0.249758	0.279893	0.0745892	0.15225	0.0910551	0.5959	0.0421423	0.0167041	0.0763714	0.335293	0.0746395	0.0102336	0.0874957	0.070442	0.0661151	0.122569	0.205874	0.0941428	0.0406197	0.182582	0.0798459	0.246348	0.0926389	0.0701443	0.126393	0.176839	0.0332995	0.39003	0.0458567	0.0292938	0.445583	0.0559372	0.0798087	0.375671	0.934232	2.61029	0.341349	0.378789	0.0641855	0.215677	0.3622629	7.554692
403	1	-13147.4	-13106.9	-40.5261	0.8675103	0.341963	0.174503	0.221182	0.13123	0.196993	0.18312	0.239048	0.234248	0.180223	0.326054	0.102664	0.123757	0.268194	0.239542	0.195694	0.36691	0.320978	0.212631	0.216389	0.136268	0.159199	0.100649	0.552233	0.0286526	0.375466	0.0755841	0.043992	0.213064	0.0715096	0.185576	0.055474	0.0796081	0.0994657	0.0308745	0.0564466	0.161504	0.0528637	0.1982	0.0945534	0.118288	0.0961149	0.0494754	0.0469882	0.0331351	0.370035	0.0509168	0.0197941	0.480179	0.0459399	0.109822	0.432958	0.974039	2.48318	0.370298	0.354759	0.0700199	0.204922	0.3498298	7.357375
404	0	-13152.5	-13108.3	-44.2716	0.8142224	0.351745	0.17165	0.244147	0.181851	0.194632	0.162411	0.292428	0.150197	0.119266	0.381693	0.1273	0.149053	0.254504	0.2155	0.274513	0.329627	0.391739	0.223956	0.301054	0.0961999	0.157637	0.121038	0.666876	0.0332139	0.0839944	0.00676887	0.192364	0.0640922	0.106222	0.0655189	0.0349671	0.0738733	0.0881514	0.231782	0.109456	0.014615	0.191766	0.0951953	0.185919	0.113301	0.0702255	0.139999	0.271483	0.0300641	0.367928	0.0506172	0.026381	0.465549	0.0594603	0.0985813	0.412798	0.960819	2.5278	0.345399	0.37599	0.063618	0.214993	0.3530501	7.731926
405	1	-13153.3	-13112.8	-40.4698	0.745493	0.253145	0.202914	0.253742	0.131053	0.172459	0.164516	0.239048	0.179975	0.168096	0.487363	0.118195	0.167617	0.192861	0.284726	0.202625	0.372061	0.326159	0.277799	0.236373	0.151987	0.203886	0.0993371	0.547391	0.0473126	0.256958	0.110968	0.0456122	0.161573	0.0641904	0.19642	0.0253839	0.0691734	0.0700808	0.0214961	0.0657582	0.260245	0.0249535	0.1982	0.0795443	0.118288	0.0408606	0.0135124	0.0478848	0.0287177	0.410579	0.0484031	0.0230488	0.423636	0.0656152	0.0839202	0.384227	0.940627	2.59123	0.367039	0.357317	0.0654821	0.210162	0.3476445	7.351742
406	0	-13161.4	-13121.1	-40.3298	0.7004123	0.366889	0.155995	0.194738	0.141445	0.298163	0.137893	0.292428	0.137989	0.178504	0.416449	0.118649	0.160632	0.263409	0.313154	0.254418	0.330714	0.221768	0.188406	0.250606	0.0793339	0.154078	0.122789	0.563846	0.0469734	0.0357776	0.0275576	0.208106	0.0823933	0.0718942	0.176908	0.0430765	0.0586115	0.0710104	0.166873	0.0374531	0.0188487	0.236154	0.0243668	0.211812	0.134583	0.0681176	0.0399415	0.234991	0.033292	0.374518	0.0422094	0.0255119	0.456378	0.0680902	0.0742763	0.363725	0.925021	2.63698	0.349804	0.370554	0.0618282	0.217814	0.3813594	7.337745
407	1	-13155.7	-13112.7	-42.9786	0.8533289	0.442696	0.179225	0.18245	0.125308	0.249554	0.205986	0.284445	0.145526	0.186728	0.383589	0.107644	0.153379	0.265655	0.282675	0.179367	0.459748	0.313211	0.258016	0.259791	0.0632183	0.217017	0.0957052	0.46954	0.046231	0.262266	0.072801	0.0419076	0.102501	0.0978487	0.160573	0.0343025	0.0947256	0.0896048	0.0224064	0.0495449	0.239341	0.111556	0.241108	0.0513462	0.0915743	0.203301	0.00146238	0.0777479	0.0237351	0.399711	0.0520253	0.0285916	0.443713	0.0522241	0.106845	0.42775	0.970703	2.4947	0.353529	0.384165	0.0616615	0.200644	0.3886703	7.602622
408	0	-13143.8	-13104.6	-39.2843	0.7455574	0.359632	0.135401	0.172403	0.175427	0.256178	0.192189	0.240808	0.142007	0.174327	0.383232	0.134404	0.123009	0.293857	0.250636	0.210713	0.337309	0.369518	0.170401	0.248208	0.100123	0.105196	0.127374	0.509178	0.0770964	0.0357776	0.0622702	0.232419	0.0626072	0.0483915	0.0937586	0.0432595	0.0714378	0.044287	0.200112	0.0715556	0.0208497	0.189221	0.039759	0.198023	0.118681	0.0849897	0.0755922	0.251572	0.0290482	0.358614	0.0451086	0.0399814	0.464918	0.0623303	0.0839339	0.384255	0.940648	2.59116	0.357031	0.373889	0.0634706	0.205609	0.3558619	7.233192
409	1	-13150.4	-13108.2	-42.1911	0.7741143	0.354526	0.206689	0.229888	0.158047	0.241718	0.129751	0.287909	0.192998	0.132	0.399124	0.130627	0.157775	0.210437	0.266045	0.326175	0.315217	0.280743	0.224331	0.206905	0.0868179	0.150881	0.102119	0.699872	0.0307398	0.210637	0.111373	0.0685656	0.145633	0.09159	0.186067	0.0771122	0.0573013	0.0278567	0.0377028	0.100412	0.188343	0.0307171	0.216309	0.0701655	0.123059	0.131067	0.0574417	0.0711834	0.0259497	0.395315	0.0568793	0.0341932	0.452187	0.0354749	0.0900398	0.3965	0.949516	2.56394	0.361079	0.364029	0.0634866	0.211405	0.3885369	7.52387
410	0	-13153.4	-13107.3	-46.1437	0.7024305	0.353469	0.135462	0.189369	0.137975	0.241175	0.157962	0.311998	0.228802	0.149484	0.385957	0.154906	0.120289	0.266647	0.228831	0.242167	0.410069	0.381538	0.296906	0.315856	0.112363	0.186642	0.0705558	0.678027	0.0773741	0.0426136	0.0636623	0.155955	0.107609	0.063992	0.17036	0.0299889	0.140231	0.0291471	0.178125	0.0812401	0.0132597	0.204804	0.0376394	0.197914	0.100231	0.0956339	0.117147	0.255756	0.0274555	0.42447	0.0419061	0.0306603	0.431339	0.0441691	0.0747075	0.364675	0.925766	2.63485	0.344985	0.379235	0.0589549	0.216826	0.3780224	7.919132
411	1	-13151.2	-13109.6	-41.6164	0.7872357	0.279222	0.116319	0.210727	0.173701	0.200024	0.162463	0.191724	0.178905	0.171325	0.330309	0.13217	0.121048	0.296641	0.258455	0.278149	0.378138	0.303038	0.224331	0.279481	0.114222	0.137684	0.131263	0.581166	0.00122872	0.192205	0.0618768	0.0286372	0.193957	0.144231	0.192993	0.0878087	0.0871479	0.110898	0.0133166	0.128231	0.26444	0.0415869	0.264247	0.0780472	0.119952	0.117853	0.0243092	0.0629273	0.0261425	0.425232	0.0456488	0.0323867	0.428298	0.0422915	0.0928398	0.401944	0.953354	2.55186	0.352258	0.373023	0.0626001	0.212119	0.3634951	7.466401
412	0	-13146.4	-13108.4	-38.0482	0.7937851	0.304497	0.18602	0.201775	0.129604	0.219433	0.133811	0.251915	0.207205	0.109918	0.396314	0.135929	0.146143	0.179823	0.320939	0.201053	0.389246	0.282288	0.223868	0.274743	0.113757	0.160724	0.117122	0.576445	0.028657	0.0546048	0.0355045	0.194173	0.0642645	0.0331639	0.122282	0.0153572	0.0787286	0.0807795	0.190105	0.0724291	0.0129141	0.200183	0.0415363	0.182222	0.0956685	0.0468673	0.0763892	0.221179	0.0272071	0.39046	0.0377261	0.0478884	0.436994	0.0597245	0.0942356	0.40462	0.955218	2.54593	0.364113	0.37021	0.0547036	0.210973	0.3502631	7.109582
413	1	-13144.4	-13103.7	-40.7375	0.7203386	0.386524	0.212553	0.18966	0.19645	0.244975	0.169693	0.263788	0.188111	0.165921	0.40413	0.144543	0.122387	0.211534	0.2733	0.20472	0.391088	0.339043	0.236512	0.279837	0.143185	0.174808	0.114882	0.486735	0.00272342	0.179354	0.0811324	0.0584716	0.15213	0.0892774	0.127209	0.0201548	0.0296717	0.0656607	0.0104043	0.0777068	0.299516	0.0172519	0.165645	0.0546197	0.141064	0.103277	0.0961081	0.0627607	0.0306331	0.372187	0.0451892	0.0307985	0.461991	0.0592017	0.0785368	0.37297	0.932178	2.61631	0.349041	0.366244	0.0630719	0.221643	0.351277	7.378516
414	0	-13153	-13115.2	-37.8067	0.6069965	0.259649	0.138382	0.220457	0.108811	0.191932	0.182445	0.247935	0.15381	0.141527	0.391566	0.146522	0.141491	0.296888	0.264171	0.274251	0.368874	0.261905	0.210379	0.272048	0.0734011	0.164918	0.0827288	0.536532	0.0116859	0.00815347	0.0715669	0.190129	0.142531	0.0181156	0.113825	0.0334757	0.103565	0.0624162	0.1973	0.0624659	0.0637448	0.298072	0.0384186	0.13166	0.0788086	0.0679907	0.082274	0.178615	0.0315766	0.382124	0.0501381	0.030742	0.441922	0.0634976	0.0545542	0.316139	0.884847	2.74446	0.358677	0.361463	0.0649348	0.214926	0.3317137	7.085435
