Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15807.5	-15820	12.432	0.116843	0.107334	0.118536	0.0817069	0.153209	0.075764	0.142425	0.0826036	0.0984202	0.175129	0.0817294	0.0763769	0.0961084	0.0911601	0.115433	0.124137	0.113472	0.121726	0.127716	0.0703339	0.0866251	0.0857357	0.18224	0.0487987	0.0246295	0.0319611	0.0343804	0.0374085	0.0433626	0.0463278	0.00950219	0.017904	0.0561526	0.0210816	0.0223203	0.0426767	0.0235301	0.0331502	0.0804192	0.028817	0.0361115	0.0679405	0.0144636	3.245704
110	-15803.3	-15816.1	12.8108	0.138394	0.0925144	0.0888968	0.0884288	0.0982297	0.0885616	0.122781	0.0574408	0.091847	0.185231	0.0809298	0.08814	0.0935734	0.089116	0.118881	0.11491	0.125306	0.111823	0.128241	0.0849181	0.0963173	0.103641	0.161994	0.0349611	0.0284142	0.0317628	0.0436423	0.054506	0.0428939	0.0464434	0.0174182	0.0182762	0.0561305	0.0266617	0.0284685	0.0415835	0.0364092	0.0470397	0.081807	0.017974	0.0226494	0.0632629	0.0174038	3.207824
120	-15806.2	-15819.5	13.3	0.142709	0.0848061	0.0847582	0.0984306	0.0918137	0.0885616	0.134894	0.077117	0.110489	0.185231	0.0849455	0.0768843	0.097292	0.0823557	0.106078	0.11491	0.118783	0.142832	0.119961	0.0783677	0.0901422	0.0835826	0.164596	0.0347668	0.0297217	0.0366272	0.027564	0.0398052	0.0399452	0.0675982	0.0158904	0.0310028	0.0309746	0.0347745	0.0309973	0.0345989	0.0245338	0.0277255	0.0831872	0.0193721	0.0226494	0.0426292	0.0250068	3.158911
130	-15805	-15817.7	12.6791	0.136043	0.0843951	0.109021	0.109097	0.124668	0.0502904	0.123695	0.085446	0.0922888	0.164685	0.0719071	0.0808897	0.0806494	0.104556	0.10945	0.11491	0.106478	0.12581	0.105673	0.0837545	0.0942578	0.0878201	0.179526	0.0338625	0.029405	0.0311326	0.0434659	0.0386592	0.0564187	0.0624621	0.0238254	0.0251516	0.062545	0.0225964	0.0201577	0.028586	0.0357827	0.0364979	0.086605	0.0325518	0.0416874	0.0632115	0.0210853	3.221001
140	-15814	-15826.7	12.6986	0.138328	0.100624	0.0796166	0.107721	0.107173	0.0502904	0.130257	0.103084	0.0922888	0.169725	0.0865051	0.0919414	0.109971	0.100266	0.126159	0.11491	0.117952	0.0895012	0.123269	0.0696476	0.0958527	0.0781624	0.171158	0.0372266	0.0254206	0.017804	0.0341281	0.0433281	0.0536466	0.0692224	0.0278652	0.0249213	0.044602	0.0242436	0.0212094	0.0210734	0.0277275	0.045461	0.0862574	0.0309	0.0354502	0.0691186	0.0250369	3.219049
150	-15810.4	-15822.1	11.647	0.1405	0.0951994	0.129841	0.0910625	0.116142	0.0688982	0.124881	0.0788561	0.0812468	0.152071	0.0825468	0.101803	0.112518	0.11418	0.117801	0.133336	0.143289	0.107386	0.122509	0.0627943	0.0919522	0.0863041	0.188711	0.0283746	0.033644	0.0250312	0.0333578	0.0420202	0.0586627	0.0570408	0.0186215	0.0260744	0.0571374	0.0232282	0.0233515	0.022525	0.027827	0.0349618	0.102113	0.014941	0.0572557	0.070302	0.0239057	3.324204
160	-15806.4	-15817.3	10.8943	0.128582	0.0996013	0.103117	0.0881076	0.132011	0.0968472	0.132558	0.0926575	0.0887563	0.175957	0.078643	0.0859804	0.103771	0.116754	0.107921	0.119774	0.124572	0.115451	0.141623	0.0685649	0.0966915	0.0922214	0.17981	0.0275007	0.0343839	0.0436307	0.0246884	0.0494792	0.0467458	0.0514353	0.0233474	0.0305452	0.0560893	0.0218132	0.0240669	0.0344362	0.0353591	0.0456283	0.110392	0.0341351	0.0443357	0.0547594	0.0367347	3.399478
170	-15800	-15813.1	13.076	0.136159	0.0967899	0.116655	0.0849476	0.10521	0.0761691	0.11363	0.0798272	0.119678	0.1653	0.0852464	0.105918	0.10862	0.0885121	0.107544	0.102659	0.13228	0.107431	0.119998	0.0828268	0.0798809	0.0780453	0.17417	0.0395167	0.0284767	0.0265928	0.0320112	0.0397347	0.0431685	0.0549767	0.0167301	0.0341476	0.0521011	0.0184011	0.0144286	0.0285821	0.0333642	0.0457822	0.0856618	0.0243311	0.0349784	0.0479763	0.0128522	3.181311
180	-15808.7	-15820.8	12.1206	0.153365	0.0951256	0.106969	0.111608	0.111449	0.085579	0.0881459	0.0711534	0.10972	0.181851	0.0868862	0.0675685	0.119091	0.0890298	0.11548	0.102476	0.131416	0.117341	0.103241	0.0865505	0.0945999	0.0851276	0.178276	0.0414102	0.021937	0.039594	0.0365517	0.0351988	0.0548471	0.0651937	0.0189567	0.0332846	0.0530068	0.0174774	0.0348696	0.0339443	0.0378171	0.0419637	0.0723843	0.0175404	0.0393132	0.0637122	0.0257978	3.276849
190	-15806.4	-15818	11.6196	0.145539	0.0901386	0.102557	0.108145	0.134858	0.0737414	0.137894	0.0754689	0.0935288	0.175634	0.0694646	0.0975709	0.0938823	0.0970383	0.123615	0.111626	0.152076	0.0945944	0.124402	0.0810357	0.0942768	0.0860579	0.190128	0.0383504	0.0330659	0.0426494	0.0276376	0.0382281	0.0459771	0.0553439	0.026483	0.0411619	0.0640489	0.0241162	0.0191194	0.0255218	0.039783	0.0417827	0.0995722	0.00876737	0.0438891	0.0446907	0.0134865	3.32695
200	-15806.9	-15819.7	12.7194	0.146129	0.111996	0.103777	0.108145	0.108349	0.0758543	0.13153	0.0669647	0.0798208	0.179665	0.0753581	0.0760564	0.0913157	0.106807	0.124437	0.104177	0.147101	0.09727	0.112033	0.0784143	0.0779484	0.0895731	0.185562	0.0284821	0.0251072	0.0376668	0.0249588	0.0484545	0.0628767	0.0360844	0.0146032	0.0234823	0.0604391	0.0168215	0.030228	0.0304799	0.0416519	0.0256923	0.0866019	0.0282854	0.0445604	0.0553175	0.016889	3.216966
