Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-15369.4	-15384	14.6375	0.112133	0.0882303	0.0991554	0.0879503	0.102096	0.0927432	0.145435	0.0925131	0.0974947	0.190041	0.0757178	0.0919272	0.0964328	0.0972323	0.104339	0.110955	0.145677	0.113381	0.116214	0.0633435	0.0880898	0.096099	0.178228	0.0294947	0.0170506	0.0438874	0.0383388	0.0171395	0.0798778	0.0336029	0.0394201	0.0242349	0.055429	0.0318795	0.0265104	0.0219607	0.0360278	0.0256675	0.0304235	0.0472346	0.053889	0.0227779	0.0440561	0.215844	0.308649	0.104535	0.370972	3.204331
110	-15366	-15382.4	16.3643	0.120876	0.0995379	0.101098	0.0890773	0.0994821	0.0867824	0.1153	0.0719374	0.103334	0.166852	0.0671496	0.0798861	0.0956841	0.0907429	0.103274	0.147551	0.108607	0.0974282	0.11159	0.071605	0.0865333	0.0754624	0.156824	0.0308148	0.0194269	0.0527276	0.0306119	0.0213505	0.0697275	0.0296589	0.0370458	0.0262779	0.0350258	0.025184	0.0288797	0.0155604	0.0393235	0.0316814	0.0278681	0.0314929	0.0443313	0.0377028	0.0503485	0.215858	0.308669	0.104477	0.370996	3.031657
120	-15374.1	-15388.6	14.5888	0.1256	0.0998518	0.0967482	0.107874	0.109488	0.0921068	0.143779	0.070199	0.10634	0.176035	0.0886384	0.0922236	0.10901	0.0976534	0.104538	0.101788	0.118812	0.0974858	0.123329	0.0766895	0.0865333	0.0795105	0.174846	0.0251074	0.0263074	0.0481904	0.0334477	0.0217515	0.0775012	0.025194	0.04484	0.0277176	0.0485612	0.0250625	0.0292604	0.0295167	0.0346479	0.0499585	0.031391	0.0461417	0.0417178	0.0208046	0.0430064	0.221525	0.290518	0.10722	0.380737	3.209205
130	-15374.8	-15389.2	14.4008	0.127877	0.0946957	0.129791	0.0916651	0.114012	0.0814069	0.134774	0.0693939	0.102421	0.163767	0.0869853	0.0751552	0.11989	0.108803	0.128192	0.135335	0.124888	0.0977005	0.126485	0.0780506	0.0862479	0.0927128	0.186987	0.0256848	0.0146392	0.0575644	0.0259638	0.0289374	0.0956304	0.0294422	0.0314944	0.0129964	0.0347337	0.038357	0.0162355	0.0192765	0.0334382	0.0336893	0.0252628	0.040783	0.0318721	0.0238364	0.0509319	0.213459	0.294006	0.107228	0.385308	3.228003
140	-15373.9	-15389.3	15.3561	0.121303	0.0905561	0.103014	0.116523	0.100295	0.0634606	0.125976	0.0756749	0.100733	0.163343	0.077916	0.0731457	0.0916754	0.0858847	0.106249	0.1611	0.123601	0.109828	0.130508	0.0934305	0.0988697	0.0927128	0.167286	0.0363	0.0131051	0.0380424	0.027792	0.027009	0.0660263	0.0423215	0.0322985	0.0137174	0.0344138	0.0566423	0.0271484	0.0195656	0.022851	0.0161546	0.029106	0.0478807	0.0317351	0.0228471	0.0544275	0.213459	0.294006	0.107228	0.385308	3.13247
150	-15370.1	-15385.8	15.7729	0.130045	0.0976208	0.0873672	0.0941666	0.0931146	0.0791536	0.117335	0.09593	0.0882283	0.166509	0.0693638	0.0858711	0.0990485	0.0903314	0.0939652	0.138202	0.122349	0.106769	0.109682	0.0892593	0.0869059	0.108963	0.165489	0.0244005	0.0149581	0.0524189	0.0216429	0.0274391	0.0732146	0.0395341	0.0351752	0.0251993	0.0485854	0.0343206	0.0283577	0.0178982	0.0309795	0.0284276	0.0197939	0.0459565	0.0449298	0.0177109	0.0441853	0.202992	0.300205	0.103371	0.393432	3.090798
160	-15368	-15383.2	15.2553	0.125219	0.0940714	0.0989692	0.102687	0.122769	0.0758601	0.121781	0.0845622	0.0888814	0.171212	0.0878774	0.079263	0.0863901	0.0895061	0.129871	0.131466	0.122349	0.105838	0.118016	0.0769875	0.0880767	0.0896957	0.166417	0.0317067	0.0110964	0.0489825	0.0314836	0.0153049	0.104218	0.0300076	0.0496491	0.0267643	0.0375574	0.0283814	0.0262062	0.0197484	0.0362697	0.0172588	0.0306752	0.0605736	0.0296308	0.0167199	0.0325548	0.22138	0.288333	0.108913	0.381374	3.142553
170	-15373.2	-15388.2	14.9911	0.133293	0.0918656	0.11313	0.102687	0.112969	0.0905061	0.125033	0.0673931	0.0846434	0.175818	0.0795081	0.0845573	0.0869137	0.0980468	0.128672	0.136157	0.134249	0.0974874	0.118016	0.0726146	0.0880767	0.0955043	0.135001	0.0401665	0.0156	0.0496614	0.040797	0.0254279	0.11046	0.0419171	0.0315813	0.0284448	0.0389674	0.0296579	0.0225549	0.0246764	0.0365129	0.0106593	0.0328557	0.0411252	0.0298411	0.0298432	0.0360768	0.218866	0.296414	0.107676	0.377044	3.168969
180	-15375.7	-15391.2	15.4881	0.135494	0.0999932	0.0852176	0.0957617	0.123583	0.0733305	0.125033	0.063691	0.0901227	0.157903	0.0898835	0.0826359	0.096325	0.0728877	0.0972055	0.130147	0.119361	0.101333	0.11394	0.0947475	0.0953602	0.0765332	0.184393	0.0353492	0.00681207	0.0426803	0.0439449	0.0198908	0.092503	0.0450655	0.0355055	0.0291824	0.0330432	0.023831	0.0313076	0.0151857	0.0439745	0.0234502	0.0246186	0.0481251	0.0429524	0.0304388	0.0465253	0.217646	0.300335	0.107076	0.374943	3.119269
190	-15374.4	-15389.5	15.1107	0.103922	0.0970814	0.100451	0.103737	0.130875	0.0783669	0.117691	0.0721727	0.0944992	0.142279	0.0696229	0.0864429	0.0975874	0.069449	0.119772	0.136076	0.144407	0.112538	0.110411	0.097786	0.0773959	0.0917016	0.17689	0.026245	0.0314406	0.0436262	0.0432554	0.0356643	0.0772042	0.0388294	0.0406988	0.0198953	0.0468792	0.0356459	0.0227094	0.0166786	0.0324405	0.015334	0.0304694	0.0444444	0.0406911	0.0271128	0.0565914	0.217646	0.300335	0.107076	0.374943	3.157012
