Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14783.1	-14792.8	9.69399	0.131372	0.089458	0.0972748	0.0773417	0.101073	0.0940959	0.12142	0.0743233	0.10227	0.187296	0.0833504	0.0742447	0.0924244	0.104856	0.11774	0.136343	0.137177	0.133915	0.134615	0.0806074	0.0804863	0.098639	0.200459	0.0561714	0.0380184	0.0589736	0.0331281	0.0404328	0.0327088	0.0394618	0.0279982	0.0371847	0.0438105	0.106817	0.063669	0.0135759	0.0543691	0.0440756	0.016401	0.020222	0.0144621	0.0504098	0.037932	3.858441	0.273638	0.295832	0.104384	0.326147	3.380604
110	-14782.9	-14792.6	9.67526	0.141303	0.0961242	0.0830693	0.0915698	0.117099	0.0714784	0.124358	0.0916279	0.0873045	0.184735	0.0832146	0.0777674	0.0987991	0.0923672	0.102451	0.136343	0.126175	0.141441	0.146644	0.0986498	0.0867581	0.0919168	0.169051	0.0529073	0.0232802	0.066352	0.029764	0.0346225	0.0256854	0.0438388	0.0336327	0.0301576	0.031087	0.122213	0.0712148	0.0206789	0.0468704	0.0345179	0.027259	0.0279938	0.0108425	0.0480621	0.0489647	4.063159	0.273638	0.295832	0.104384	0.326147	3.370194
120	-14786.5	-14796.2	9.70092	0.150147	0.0872137	0.125892	0.0911152	0.119957	0.0839267	0.125213	0.0672208	0.11008	0.220573	0.0774443	0.0882087	0.0859619	0.115312	0.127493	0.120824	0.156819	0.110463	0.141603	0.0825843	0.076799	0.0713502	0.169051	0.0375812	0.0219676	0.0462261	0.0421123	0.0580128	0.0232965	0.0255242	0.0279857	0.0317013	0.0277363	0.0908878	0.0606776	0.0175941	0.0438747	0.0385052	0.0250442	0.0465174	0.0158136	0.0424811	0.0439256	3.977615	0.294565	0.2857	0.09201	0.327725	3.372716
130	-14784.2	-14793.8	9.63683	0.171032	0.0989253	0.134918	0.0790346	0.0993917	0.0933452	0.157675	0.0709856	0.101116	0.160435	0.071294	0.0851078	0.100989	0.0949492	0.124517	0.154245	0.136879	0.112802	0.145606	0.0650683	0.0808252	0.0906495	0.204599	0.0499231	0.00659952	0.0835187	0.0451864	0.0245378	0.0282766	0.027615	0.0348102	0.0320531	0.0215351	0.0972521	0.036463	0.0166602	0.0591642	0.0229814	0.0162702	0.0239011	0.0214804	0.0458122	0.0496377	3.995299	0.288506	0.288154	0.0928003	0.33054	3.378068
140	-14774.1	-14783.5	9.38222	0.162872	0.10469	0.101516	0.0888969	0.118196	0.0748328	0.147643	0.0870994	0.0821323	0.166682	0.100928	0.0822468	0.0834628	0.12102	0.114681	0.161149	0.164299	0.112802	0.13042	0.0782554	0.107938	0.0710223	0.191101	0.0416983	0.00649964	0.0534112	0.0510787	0.0367031	0.0266354	0.0262198	0.0340314	0.0444062	0.0199358	0.099284	0.0471341	0.0228034	0.04834	0.0284292	0.0226619	0.0149358	0.0229297	0.0444473	0.0580563	3.995299	0.285245	0.284897	0.103054	0.326804	3.403528
150	-14760.4	-14770.9	10.4983	0.129765	0.0982087	0.108784	0.0930034	0.114172	0.0776887	0.138177	0.0709102	0.0945216	0.184461	0.0810271	0.0831838	0.109789	0.0967652	0.126723	0.136685	0.125683	0.121397	0.138942	0.0793849	0.0778663	0.0953533	0.169824	0.0459244	0.0110566	0.0424153	0.0499993	0.0334729	0.042128	0.0236258	0.0282066	0.0362746	0.0221722	0.0981035	0.0423657	0.0125546	0.0631436	0.0245859	0.0196573	0.02218	0.0257393	0.0413697	0.0546324	3.995299	0.285245	0.284897	0.103054	0.326804	3.291923
160	-14774.9	-14786.2	11.3268	0.160379	0.0982087	0.0961956	0.0789468	0.109554	0.0773148	0.124907	0.0917061	0.0922843	0.184461	0.0763215	0.0728603	0.112034	0.0996247	0.112125	0.120643	0.132933	0.0929186	0.119732	0.0692654	0.105757	0.0918627	0.148593	0.0294262	0.0158357	0.03737	0.0446346	0.0437848	0.0187307	0.0368582	0.0259354	0.025083	0.0199785	0.106829	0.0463168	0.0233091	0.0426676	0.0266958	0.0353643	0.043097	0.0462488	0.0374939	0.0347876	3.995299	0.288837	0.288451	0.0917934	0.330919	3.209075
170	-14767.8	-14778.6	10.8137	0.144193	0.0915474	0.106606	0.093248	0.0902469	0.0872662	0.140222	0.0747698	0.0890448	0.19703	0.0558111	0.0854502	0.111124	0.106536	0.10435	0.127179	0.139434	0.139712	0.136744	0.0717628	0.0876339	0.0710696	0.145984	0.0418178	0.0152768	0.0617324	0.0672843	0.0303654	0.0185104	0.0300123	0.0280998	0.0307353	0.0242041	0.0845015	0.0478761	0.016558	0.0592802	0.0211931	0.0320147	0.0312338	0.0181833	0.0394848	0.060195	4.077224	0.286669	0.286285	0.0911043	0.335942	3.255522
180	-14765.2	-14775.5	10.2582	0.144193	0.0942386	0.116084	0.0894909	0.104226	0.0896613	0.130492	0.069986	0.0888136	0.19423	0.0862427	0.0898033	0.0946944	0.0907004	0.10435	0.123461	0.132091	0.117457	0.125389	0.0849156	0.0874451	0.0986685	0.169081	0.045258	0.0185863	0.0716045	0.0566655	0.0474457	0.0268319	0.0245624	0.0254177	0.0229456	0.0225527	0.103435	0.0580042	0.0169536	0.0545686	0.0270163	0.0155021	0.02148	0.0341359	0.0456698	0.0407478	4.17912	0.286669	0.286285	0.0911043	0.335942	3.3051
190	-14790	-14799.8	9.78657	0.129571	0.101388	0.0918787	0.112587	0.138063	0.0813953	0.125565	0.0974207	0.0842774	0.180486	0.0934339	0.105281	0.114659	0.0887915	0.10435	0.128888	0.133739	0.123338	0.134204	0.0754643	0.0596136	0.0775964	0.158698	0.0545973	0.0164329	0.0602744	0.042938	0.0458792	0.0433966	0.0246401	0.0149315	0.0154464	0.0372986	0.108483	0.0511681	0.0348408	0.0539949	0.032067	0.0144013	0.0268798	0.0388999	0.0482366	0.0628742	3.907496	0.277926	0.308051	0.088326	0.325697	3.368369
200	-14780.7	-14790.3	9.61016	0.16633	0.0783155	0.115257	0.0788029	0.112244	0.102134	0.1305	0.0747561	0.115055	0.176291	0.0888684	0.0829873	0.0768013	0.109906	0.0899812	0.124083	0.128831	0.130757	0.14196	0.0597239	0.0897165	0.077375	0.190203	0.0386202	0.0228163	0.047986	0.0471606	0.0500402	0.0199927	0.0306782	0.0423818	0.0241037	0.0209541	0.122556	0.0512492	0.015966	0.0685438	0.0231482	0.0219238	0.0375089	0.036029	0.0476182	0.0465738	4.409332	0.271218	0.306819	0.104127	0.317836	3.35673
210	-14769.4	-14778.6	9.11573	0.154488	0.110452	0.107166	0.111146	0.108606	0.0676791	0.1305	0.0856145	0.111898	0.170407	0.0900822	0.0876291	0.104427	0.124526	0.101662	0.133483	0.137659	0.11141	0.153266	0.0709608	0.106806	0.0875653	0.172991	0.0503465	0.0115552	0.061584	0.0565464	0.0359631	0.030305	0.0318916	0.0380858	0.0381556	0.0387188	0.10505	0.0610215	0.0138013	0.0505104	0.02845	0.0245316	0.0165622	0.0277224	0.0308126	0.0443577	3.891906	0.271218	0.306819	0.104127	0.317836	3.436397
220	-14770.8	-14780	9.26937	0.135194	0.104789	0.113839	0.0845111	0.107965	0.0809046	0.131643	0.086883	0.0912552	0.15948	0.0814254	0.0854408	0.13025	0.116251	0.125383	0.137226	0.132347	0.123798	0.140337	0.103213	0.0720472	0.0663441	0.19002	0.053054	0.0240502	0.0462718	0.0565464	0.0379505	0.0256321	0.0300865	0.0409446	0.0336273	0.0296764	0.0740987	0.0574341	0.020895	0.0573206	0.0334387	0.022844	0.035788	0.0308791	0.0419671	0.0513855	4.171324	0.259184	0.293205	0.0995067	0.348104	3.404437
230	-14782.3	-14790.9	8.62174	0.14676	0.111323	0.088918	0.104886	0.112889	0.100542	0.144927	0.102531	0.103192	0.183372	0.0918492	0.0843182	0.109553	0.134853	0.116688	0.146887	0.127178	0.112963	0.112674	0.106757	0.09314	0.100773	0.182678	0.0272207	0.0259482	0.0541004	0.0433366	0.0538845	0.0349484	0.0414942	0.0428383	0.0209614	0.0181211	0.0833456	0.0816063	0.0154948	0.0567916	0.0146048	0.0149132	0.0206994	0.0208964	0.0296577	0.0605896	3.969711	0.259184	0.293205	0.0995067	0.348104	3.481107
240	-14770.6	-14781.5	10.889	0.137224	0.0859108	0.116452	0.0939673	0.0983374	0.0786677	0.116585	0.0696743	0.109814	0.171655	0.0696755	0.0943138	0.0994232	0.0844353	0.111867	0.118943	0.12893	0.106704	0.126668	0.0625271	0.102832	0.0895628	0.205922	0.0550087	0.0224446	0.0471613	0.0491852	0.0486758	0.0456799	0.0175476	0.0375657	0.0226969	0.0171766	0.0912912	0.0529068	0.0184507	0.0518966	0.0128329	0.0305956	0.0217842	0.0327916	0.0428494	0.0507684	4.053256	0.282189	0.278492	0.0976633	0.341655	3.2494
250	-14771.6	-14781.3	9.77338	0.137224	0.111271	0.0994775	0.0738435	0.122267	0.0780624	0.122158	0.077829	0.110808	0.21991	0.0940523	0.0745155	0.110934	0.102774	0.0964707	0.13192	0.139449	0.110365	0.132931	0.0819024	0.0948239	0.106851	0.173099	0.0570536	0.0151605	0.0464092	0.0492958	0.0369245	0.0249817	0.0375045	0.0362779	0.0239025	0.018625	0.0773724	0.0564124	0.022317	0.0565453	0.0248692	0.0341921	0.0136277	0.0500655	0.0215801	0.0452229	4.21889	0.276266	0.293638	0.0956132	0.334483	3.351276
260	-14769	-14778.4	9.35774	0.148274	0.0912079	0.112732	0.12661	0.112765	0.0977545	0.125909	0.0848942	0.0964091	0.195251	0.0980288	0.0890958	0.0951853	0.105856	0.11681	0.130739	0.11145	0.129906	0.125238	0.0795441	0.0838146	0.0727388	0.20436	0.0604667	0.0141593	0.0521733	0.0443576	0.0396385	0.0174344	0.0293862	0.0306467	0.0248259	0.0308896	0.0972941	0.0579028	0.0141621	0.0664025	0.0241745	0.035582	0.033036	0.0270496	0.0258939	0.0548237	3.847874	0.276687	0.294086	0.0942336	0.334994	3.414873
