Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24518	-24531.1	13.0169	0.257056	0.00605433	0.0491341	0.0251852	0.0747376	0.0536655	0.0507484	0.0842693	0.0092532	0.137052	0.106842	0.130518	0.079479	0.0421578	0.00379783	0.0571356	0.035834	0.0591522	0.038386	0.0797222	0.0953604	0.0813134	0.0214633	0.0420316	0.0543429	0.103612	0.0404272	0.0255736	0.0251693	0.0237466	0.0255175	0.17494	0.00935745	0.121601	0.332874	0.243139	0.134661	0.0240534	0.00188278	0.0700996	0.0521422	0.247134	0.0357713	0.0685575	0.0679606	0.631837	0.231645	3.366395
10	-17413.6	-17429.6	15.9504	0.21773	0.00973936	0.10942	0.0582923	0.128191	0.177414	0.0736662	0.108224	0.024052	0.176161	0.0608949	0.0865091	0.0691754	0.0823179	0.0112875	0.117646	0.129774	0.143099	0.0452131	0.083891	0.107752	0.122365	0.0379429	0.0254875	0.0148861	0.031139	0.00638875	0.0073766	0.0503577	0.0196477	0.0420213	0.0510874	0.00387017	0.0280859	0.0746718	0.131744	0.060685	0.028208	0.00680102	0.18825	0.0277496	0.0731404	0.0206933	0.213637	0.347962	0.11317	0.325231	3.073048
20	-16125.5	-16139.2	13.6762	0.137936	0.0528882	0.125925	0.109846	0.147124	0.1613	0.120287	0.0675696	0.0658038	0.189584	0.0738301	0.0783799	0.137504	0.0996244	0.0405077	0.154702	0.136991	0.131041	0.112883	0.0950755	0.0905724	0.115176	0.164499	0.0161743	0.0196553	0.0557661	0.0121887	0.00916201	0.0664926	0.0317911	0.0114919	0.022773	0.00656649	0.0281803	0.0761241	0.0487947	0.0488233	0.0473372	0.0113288	0.0905457	0.023129	0.0430038	0.0220905	0.210167	0.326717	0.10626	0.356856	3.300469
30	-15555.5	-15569.7	14.1292	0.147839	0.0704481	0.114954	0.102385	0.133186	0.109998	0.171509	0.0855308	0.1153	0.139826	0.0748038	0.0887407	0.107297	0.128288	0.0440115	0.134626	0.141564	0.128973	0.125835	0.0692574	0.0791699	0.0855446	0.173498	0.0293894	0.042834	0.0436016	0.0344274	0.0153607	0.0178976	0.0561404	0.0582687	0.0324684	0.0167587	0.043888	0.0432989	0.0436302	0.0456003	0.034584	0.0289972	0.0327664	0.0258743	0.0191175	0.0176754	0.210167	0.326717	0.10626	0.356856	3.255162
40	-15388	-15404.1	16.0924	0.106403	0.114239	0.0886069	0.119925	0.0861857	0.0801454	0.099248	0.0747593	0.0874333	0.144374	0.0952646	0.0672596	0.0886864	0.0867525	0.0831626	0.125411	0.128417	0.0963783	0.108926	0.0764572	0.0964719	0.0810721	0.173498	0.0438005	0.0222804	0.0737522	0.023121	0.0200587	0.0655164	0.0286145	0.0680209	0.0240865	0.0405476	0.0358959	0.0230017	0.0268873	0.0407288	0.0363107	0.0320302	0.0334497	0.0170255	0.0358556	0.0587806	0.200553	0.297612	0.1014	0.400435	3.058842
50	-15377.7	-15392.5	14.8729	0.143255	0.114239	0.102023	0.105136	0.11295	0.0789661	0.124153	0.0836307	0.0847461	0.152849	0.0581717	0.0849002	0.0938993	0.102388	0.111503	0.101383	0.113499	0.119678	0.118642	0.0722991	0.102974	0.0899752	0.171739	0.0309904	0.0162503	0.040414	0.0325897	0.0272975	0.0451844	0.0291165	0.0772961	0.0197449	0.0558934	0.0316566	0.0427399	0.029803	0.0643111	0.0317395	0.0431808	0.0221907	0.00984168	0.0436093	0.0439421	0.223861	0.288935	0.0984434	0.388761	3.180793
60	-15383.1	-15397.9	14.8101	0.135919	0.103814	0.11328	0.0847758	0.122783	0.0742513	0.135275	0.0837855	0.09417	0.151509	0.0838031	0.0890637	0.0955176	0.10907	0.10873	0.101785	0.124118	0.126296	0.100975	0.0879901	0.0919384	0.07887	0.200381	0.0299069	0.0364563	0.0507694	0.0181164	0.0126896	0.0425061	0.0217049	0.0713783	0.0148	0.0586419	0.0452128	0.0242842	0.0254857	0.0352069	0.0392982	0.0515195	0.0187569	0.00890502	0.0321781	0.0511529	0.21948	0.283281	0.112277	0.384962	3.18707
70	-15383	-15400.3	17.3224	0.107693	0.112213	0.0824478	0.0873961	0.0953383	0.0738568	0.13599	0.0837855	0.0881383	0.147853	0.0726498	0.0820991	0.0949536	0.105186	0.106094	0.107301	0.117669	0.104551	0.121247	0.0716266	0.065827	0.0675097	0.143726	0.0303619	0.0221387	0.0447458	0.0359653	0.0085491	0.0413243	0.0248718	0.0596825	0.0100421	0.0553086	0.0312082	0.0211347	0.0262102	0.0487252	0.0301526	0.0458987	0.0149451	0.0187199	0.0243418	0.066368	0.22167	0.286107	0.10342	0.388802	2.935846
80	-15378	-15393.5	15.5254	0.124753	0.0916871	0.109569	0.120169	0.0981236	0.0767119	0.130955	0.0789243	0.0832211	0.16469	0.0915992	0.0883352	0.0965851	0.0867721	0.0729378	0.136492	0.117669	0.108194	0.110945	0.0846784	0.0906716	0.0899403	0.164098	0.0242496	0.0192286	0.0394516	0.028108	0.0158388	0.0440287	0.0349779	0.0895977	0.0158931	0.0640092	0.0403878	0.0118069	0.0294385	0.0409514	0.0303088	0.047706	0.0228269	0.0156139	0.0402229	0.0431791	0.209725	0.302584	0.0978475	0.389844	3.115547
90	-15377.2	-15392.5	15.301	0.135774	0.0858411	0.102244	0.0824241	0.124124	0.0732382	0.131352	0.0770079	0.100612	0.155407	0.0915992	0.0682443	0.0891097	0.0910477	0.0957628	0.108536	0.126903	0.0962781	0.124624	0.0982822	0.0911521	0.0861442	0.179348	0.041404	0.0250964	0.0571062	0.0218676	0.0200042	0.0544752	0.0298992	0.0727621	0.0146559	0.0511887	0.0409962	0.0277899	0.0201064	0.0368145	0.0255061	0.0566431	0.0142232	0.0205043	0.0410725	0.0508122	0.209725	0.302584	0.0978475	0.389844	3.137984
