Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20624.1	-20625.3	1.22828	0.127728	0.13551	0.0472067	0.200825	0.029818	0.0136593	0.0600455	0.405048	0.267624	0.00796059	0.0858167	0.208334	0.284616	0.0220574	0.0452914	0.0870984	0.0944572	0.145374	0.0532169	0.0814598	0.0697924	0.0238784	0.0887029	0.0158249	0.0902544	0.0668255	0.135677	0.220068	0.0292151	0.145814	0.0658387	0.00255573	0.0894867	0.154777	0.165264	0.00705422	0.0315631	0.107722	0.0806674	0.134743	0.107151	0.242073	0.0142882	0.5877456	0.153353	0.152954	0.322875	0.370817	4.492386
10	-16418.8	-16428.2	9.40601	0.147266	0.115724	0.122206	0.214533	0.114242	0.0349151	0.181164	0.142454	0.245087	0.0169984	0.158305	0.122607	0.102651	0.101033	0.0715234	0.0859065	0.129733	0.132987	0.128004	0.0756127	0.0772863	0.053262	0.171643	0.0362859	0.0113009	0.0220814	0.0260753	0.045719	0.0147585	0.0662821	0.0369618	0.0147215	0.0269034	0.150241	0.0383708	0.00943066	0.0235273	0.0641571	0.0463903	0.0335678	0.0508358	0.103232	0.00623029	1.658346	0.229449	0.304202	0.111782	0.354567	3.572214
20	-15465.6	-15473.8	8.26845	0.150303	0.146426	0.11512	0.166597	0.17522	0.0913389	0.169662	0.129704	0.159966	0.0870262	0.210871	0.111703	0.100161	0.0948549	0.12662	0.147343	0.129733	0.11764	0.141331	0.0563457	0.083924	0.081583	0.171939	0.022337	0.0127984	0.0408651	0.0252879	0.0223269	0.0260196	0.032165	0.0359618	0.0379676	0.026433	0.0645785	0.0270425	0.0143436	0.0121043	0.01631	0.0230083	0.0327951	0.0516604	0.0524157	0.0156357	3.31827	0.279429	0.303217	0.111421	0.305933	3.557468
30	-14940.5	-14949.7	9.22176	0.150303	0.1027	0.11572	0.155903	0.140809	0.0810958	0.134354	0.113204	0.114101	0.187778	0.0794211	0.0961585	0.108093	0.114529	0.10243	0.139637	0.136103	0.115901	0.142875	0.0721697	0.0957462	0.0905243	0.156929	0.0302197	0.0778237	0.0293618	0.0227457	0.0448972	0.0224479	0.0412593	0.0159025	0.0243101	0.088798	0.0380802	0.034531	0.0334246	0.0297057	0.0205861	0.0168609	0.0256072	0.0454927	0.029314	0.0442829	3.31827	0.275298	0.298735	0.0913355	0.334632	3.462136
40	-14805.5	-14814.7	9.20845	0.141711	0.112982	0.111323	0.10777	0.129115	0.0740609	0.126001	0.0629637	0.118336	0.163885	0.0794211	0.0897086	0.0949671	0.118828	0.111757	0.143983	0.126717	0.105438	0.113487	0.0764306	0.0722804	0.0843925	0.168808	0.0418802	0.020328	0.0240537	0.0288314	0.0425425	0.0293001	0.0215345	0.034906	0.0553323	0.0764723	0.059479	0.0317333	0.0444791	0.0936011	0.0624823	0.0260626	0.037527	0.0462995	0.0429986	0.0542546	4.206899	0.275503	0.298957	0.0906587	0.334881	3.408464
50	-14782	-14793.3	11.3333	0.160002	0.0884207	0.101468	0.100824	0.0978626	0.0742113	0.143639	0.0757224	0.118336	0.201837	0.0509978	0.0857744	0.0955608	0.0865772	0.103173	0.106609	0.123057	0.134856	0.109954	0.0759376	0.0999655	0.0843061	0.148732	0.0366505	0.0258127	0.019323	0.0164489	0.0260741	0.0412966	0.0285413	0.0279105	0.0210237	0.0674509	0.0440154	0.0222728	0.0294381	0.0415537	0.0624314	0.0732835	0.0292034	0.0361578	0.0378319	0.059517	3.901437	0.277066	0.300653	0.0962	0.326081	3.214059
60	-14774.1	-14783.7	9.58695	0.159135	0.110572	0.103566	0.0750139	0.102428	0.099766	0.135296	0.0633756	0.104405	0.176472	0.0707106	0.0764266	0.124059	0.10082	0.114222	0.145496	0.153028	0.145886	0.137902	0.0757401	0.0817937	0.0861036	0.158262	0.0266282	0.0314452	0.0355028	0.0341345	0.0257121	0.0273986	0.0538246	0.0209687	0.0200932	0.0505249	0.0330623	0.0468224	0.0352396	0.0464265	0.0637773	0.0980759	0.0335573	0.0480412	0.0276773	0.0473117	3.610425	0.277066	0.300653	0.0962	0.326081	3.406702
70	-14778.3	-14787.6	9.33824	0.135769	0.10329	0.100009	0.107789	0.119869	0.0839631	0.134949	0.0974111	0.0998845	0.194201	0.0773864	0.0863711	0.103467	0.101405	0.116428	0.137489	0.122351	0.132241	0.0974864	0.0948493	0.0876088	0.0693568	0.205463	0.0304017	0.0347732	0.0370859	0.0347243	0.0262216	0.0298031	0.0427173	0.0211816	0.0275489	0.0509514	0.0472418	0.045848	0.0402239	0.0658958	0.0383374	0.0870565	0.0404265	0.0453308	0.0240529	0.0549462	3.575201	0.272056	0.299491	0.0976061	0.330847	3.433807
80	-14769.6	-14778.3	8.66536	0.155993	0.112924	0.109269	0.107617	0.113676	0.0772881	0.134949	0.085459	0.0707611	0.178819	0.0733053	0.0922511	0.111504	0.101405	0.130106	0.149913	0.134448	0.135693	0.120841	0.0867924	0.102425	0.103304	0.203942	0.0380299	0.0221663	0.0124457	0.0304723	0.0508669	0.0275248	0.0363485	0.0176962	0.0345728	0.0529728	0.0473196	0.0308916	0.0282178	0.0664988	0.0499825	0.0762274	0.0191505	0.0383547	0.0379207	0.0488591	4.268758	0.272056	0.299491	0.0976061	0.330847	3.459205
90	-14776.8	-14787	10.1945	0.164525	0.113998	0.113451	0.110639	0.114621	0.0809179	0.134949	0.080067	0.117507	0.16268	0.0617087	0.0835244	0.108438	0.0819803	0.0946585	0.140817	0.126784	0.117888	0.125704	0.0622956	0.0768096	0.0834476	0.145445	0.0347218	0.021494	0.0375998	0.0275115	0.0333738	0.0278531	0.0247362	0.0172037	0.0382473	0.0552374	0.0512114	0.0438274	0.0158872	0.0643543	0.0808525	0.0837126	0.0299996	0.0375102	0.0311193	0.0473881	4.261719	0.272141	0.297674	0.0992345	0.330951	3.306696
