Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-13162.4	-13124	-38.3465	0.9281858	0.30126	0.136264	0.182995	0.150761	0.237689	0.122445	0.256677	0.14177	0.178539	0.387218	0.15144	0.102378	0.211729	0.221716	0.245465	0.357971	0.307149	0.22178	0.269643	0.071788	0.197516	0.114706	0.643639	0.00877982	0.055764	0.0328709	0.214424	0.0347606	0.0298023	0.13075	0.0287511	0.077805	0.0566195	0.178321	0.0974811	0.017046	0.320452	0.0810115	0.155585	0.088814	0.0822093	0.0599446	0.175684	0.0282669	0.300353	0.0730951	0.0401345	0.55815	8.79892e-08	0.122412	0.454048	0.987001	2.43654	0.370372	0.356187	0.072831	0.20061	0.3755559	7.139414
110	-13168.1	-13129.7	-38.4513	0.7582481	0.292387	0.208213	0.232958	0.159759	0.252023	0.144286	0.294429	0.122274	0.173201	0.371189	0.137532	0.119699	0.247499	0.235844	0.245465	0.387737	0.2761	0.220341	0.248814	0.114254	0.156005	0.0972459	0.5674	0.0215912	0.0289999	0.0284749	0.182996	0.0383579	0.0474887	0.0937513	0.031228	0.0403026	0.10022	0.124582	0.0579321	0.0138768	0.17275	0.0573574	0.148112	0.0931586	0.136019	0.137144	0.290899	0.0268008	0.301223	0.07316	0.0401701	0.558646	7.83533e-09	0.0866489	0.389765	0.944679	2.57891	0.370372	0.356187	0.072831	0.20061	0.3755559	7.149898
120	-13164	-13127.5	-36.5358	0.8877273	0.336151	0.168664	0.173561	0.16845	0.203575	0.141897	0.281777	0.157579	0.178735	0.371189	0.118238	0.211886	0.225136	0.227128	0.207674	0.338093	0.2761	0.243303	0.214623	0.0883962	0.142601	0.0981522	0.463814	0.0228413	0.0198998	0.0584158	0.180365	0.0632431	0.0915105	0.14695	0.0171751	0.109955	0.043308	0.205931	0.0974457	0.0160643	0.282473	0.0656648	0.135885	0.0959457	0.050555	0.0612371	0.156758	0.0295432	0.300374	0.0729539	0.0400569	0.557072	3.19146e-08	0.114045	0.440195	0.978585	2.46718	0.364785	0.350814	0.074348	0.210053	0.3493211	6.958344
130	-13173.1	-13133.3	-39.8226	0.97827	0.319627	0.15918	0.254305	0.129353	0.261417	0.106054	0.326383	0.179754	0.206107	0.389516	0.124166	0.163443	0.207452	0.308325	0.192119	0.287244	0.280128	0.206419	0.228306	0.131785	0.189502	0.0866025	0.447459	0.0390589	0.0241993	0.117701	0.130351	0.0754281	0.0765177	0.143439	0.0185789	0.128794	0.0625222	0.168956	0.0771669	0.0197013	0.302559	0.0636935	0.163695	0.0626638	0.0649109	0.0845083	0.277932	0.0289369	0.353266	0.0714568	0.0392349	0.507102	3.50802e-06	0.132598	0.470121	0.996304	2.40098	0.367145	0.353084	0.0748291	0.204942	0.3471503	7.287026
140	-13166.2	-13126.1	-40.1187	0.8443159	0.336476	0.146776	0.159997	0.18324	0.252747	0.159826	0.321449	0.200047	0.166537	0.375771	0.1048	0.145607	0.245565	0.229047	0.231195	0.2412	0.276196	0.24352	0.277612	0.100991	0.172568	0.112024	0.470123	0.00670037	0.0555509	0.125493	0.139862	0.0613565	0.0162859	0.112063	0.0100393	0.131494	0.0417504	0.213378	0.0996885	0.064563	0.311671	0.0600229	0.206272	0.0650636	0.074913	0.150873	0.216278	0.026691	0.325847	0.0664441	0.0468291	0.533954	0.000234648	0.104948	0.424382	0.968516	2.50215	0.368265	0.354161	0.0720073	0.205567	0.3471503	7.316631
150	-13165.9	-13132.6	-33.3354	0.6731843	0.268568	0.14448	0.159211	0.162837	0.25511	0.124879	0.268615	0.148128	0.149501	0.326363	0.127247	0.209188	0.277435	0.229606	0.174886	0.233387	0.276196	0.197558	0.261354	0.0682775	0.145293	0.0944852	0.520566	0.00293776	0.0278811	0.0649361	0.284146	0.0404538	0.016483	0.0837082	0.0307646	0.0446445	0.0258119	0.237499	0.101344	0.0271965	0.217265	0.0270837	0.186812	0.0502205	0.0658857	0.112532	0.167532	0.0279997	0.316029	0.066598	0.0486356	0.53908	0.00165769	0.0684722	0.350598	0.914511	2.66642	0.368265	0.354161	0.0720073	0.205567	0.3471503	6.638306
160	-13155.2	-13115.5	-39.6565	0.9484301	0.263383	0.0964103	0.247087	0.153591	0.287083	0.139499	0.268615	0.177825	0.140522	0.398596	0.153628	0.160599	0.311494	0.27147	0.214261	0.270744	0.324559	0.268501	0.243248	0.121501	0.138544	0.0802126	0.509651	0.00519036	0.0423005	0.0318366	0.217441	0.0764382	0.0482595	0.106727	0.0241087	0.0855573	0.0552927	0.136439	0.11588	0.0403743	0.265688	0.0301296	0.236093	0.138847	0.0873257	0.0708619	0.214605	0.0360923	0.29997	0.0632139	0.014391	0.511687	0.0746453	0.126553	0.460683	0.9909	2.42186	0.347076	0.366039	0.0744225	0.212462	0.3471503	7.270419
170	-13155.8	-13119.8	-35.9753	0.9360763	0.334976	0.214036	0.197713	0.11451	0.229176	0.120759	0.20414	0.136645	0.123983	0.382987	0.144693	0.12504	0.224513	0.209018	0.260303	0.263951	0.257648	0.268501	0.243248	0.146204	0.193345	0.0924077	0.518534	0.027477	0.0506963	0.0561393	0.14503	0.0440408	0.0278706	0.0966548	0.0465147	0.0698568	0.063839	0.192653	0.0705917	0.0393472	0.301648	0.062845	0.136196	0.0273864	0.133837	0.0625548	0.240787	0.0355231	0.349066	0.0582165	0.0172145	0.471235	0.0687441	0.124029	0.456657	0.988544	2.43077	0.347683	0.36668	0.0728036	0.212833	0.3914741	6.902298
180	-13142.5	-13113.8	-28.6776	1.040447	0.278288	0.150467	0.130314	0.144304	0.200405	0.104377	0.215578	0.161609	0.187864	0.37671	0.136738	0.122651	0.224513	0.167786	0.187911	0.256751	0.25644	0.175432	0.225071	0.099905	0.159091	0.0932661	0.539378	0.0250252	0.03891	0.0302825	0.204051	0.0679068	0.0190552	0.0758299	0.0138204	0.0591871	0.048788	0.143925	0.0669229	0.0182981	0.229501	0.0672986	0.135505	0.0692598	0.0512624	0.0727453	0.140102	0.0347433	0.341404	0.0569386	0.0168366	0.469523	0.0805541	0.144953	0.488581	1.00639	2.36008	0.347683	0.36668	0.0728036	0.212833	0.3914741	6.172525
190	-13145.1	-13112.5	-32.5914	0.9355964	0.298299	0.120201	0.182838	0.138874	0.226827	0.174712	0.284372	0.146009	0.133754	0.327233	0.0691598	0.181459	0.269203	0.231663	0.198862	0.312009	0.261226	0.192599	0.239262	0.0831637	0.160046	0.0835112	0.444039	0.029594	0.0529504	0.0557055	0.204985	0.0685363	0.00264707	0.0716212	0.0314904	0.0865318	0.0330203	0.202538	0.0467262	0.0378482	0.219276	0.0553455	0.14303	0.099495	0.0575792	0.16642	0.139241	0.0336448	0.348692	0.058154	0.0272388	0.479545	0.0527251	0.123931	0.456499	0.988451	2.43112	0.350733	0.369896	0.0734422	0.205929	0.3914741	6.563901
