Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	0	-15801.4	-15814.5	13.0598	0.138515	0.0895107	0.10139	0.108376	0.117414	0.0796785	0.119004	0.0753244	0.0930626	0.157011	0.0833645	0.0866556	0.102462	0.0854797	0.129844	0.117491	0.10629	0.114704	0.129876	0.0833154	0.0899294	0.0762627	0.168639	0.0143072	0.0172368	0.0337664	0.0215937	0.0389094	0.0284502	0.103908	0.0272775	0.0493777	0.0132262	0.0406435	0.0285645	0.040967	0.0188813	0.0679035	0.0271297	0.0338853	0.0268681	0.0461979	0.0502357	3.182928
11	1	-15811.3	-15824	12.6894	0.139975	0.0998202	0.108356	0.097553	0.098702	0.0787944	0.126787	0.0693663	0.104498	0.157893	0.0843803	0.0991464	0.11493	0.112664	0.0994346	0.130604	0.136151	0.0896647	0.123015	0.0942041	0.0755296	0.0881165	0.190303	0.0300654	0.031672	0.0374191	0.0351494	0.0347136	0.0341934	0.0685072	0.0136985	0.0249555	0.0434202	0.0285419	0.0149384	0.014416	0.034758	0.0378172	0.082699	0.0330009	0.0302771	0.059331	0.0105091	3.219972
12	0	-15804.6	-15817.3	12.6827	0.128076	0.0810442	0.10139	0.0875247	0.137091	0.0739549	0.12187	0.0721619	0.0985824	0.163045	0.0802976	0.0904988	0.10295	0.107446	0.0963896	0.152702	0.121883	0.101902	0.137027	0.0723436	0.09943	0.0839044	0.169483	0.0135611	0.0242242	0.0363621	0.040398	0.0482311	0.036464	0.108804	0.0253723	0.0532332	0.00590646	0.0293243	0.0345279	0.0421942	0.0263814	0.0627854	0.0203696	0.0262337	0.029542	0.041517	0.0342106	3.220639
13	1	-15812.9	-15825	12.1075	0.140147	0.0757118	0.0901133	0.104863	0.128016	0.0829257	0.124439	0.0808875	0.141764	0.163218	0.0738546	0.0724541	0.126454	0.10494	0.110787	0.116413	0.131052	0.117986	0.119461	0.0794585	0.109584	0.100302	0.157752	0.0365304	0.0287776	0.0193214	0.030475	0.0440668	0.0382701	0.0567691	0.0209138	0.0281698	0.0516465	0.0152678	0.0259014	0.0288461	0.0412936	0.0398822	0.0709695	0.0247114	0.0382344	0.0554624	0.0300659	3.278158
14	0	-15800	-15812.3	12.3024	0.150967	0.0933001	0.0967432	0.10248	0.110879	0.0915203	0.125277	0.0771462	0.0985824	0.177995	0.0690819	0.0954633	0.0941528	0.104335	0.102513	0.13835	0.132417	0.102882	0.142253	0.0809574	0.0890886	0.0730765	0.162353	0.0287897	0.0299801	0.0237403	0.0281165	0.0489862	0.0298481	0.0997809	0.0349192	0.0451994	0.0190372	0.0405092	0.0204911	0.0501292	0.0258133	0.0647663	0.016636	0.0238398	0.0493888	0.0356513	0.0312352	3.258671
15	1	-15819	-15830.4	11.3222	0.122425	0.110629	0.125506	0.0937477	0.145827	0.0738193	0.135554	0.0869233	0.0897184	0.168497	0.0781011	0.0904588	0.10333	0.0865209	0.108042	0.113254	0.117957	0.108696	0.145728	0.0818826	0.110794	0.076146	0.184459	0.0320634	0.0206335	0.0230202	0.027232	0.0501664	0.0612129	0.0716015	0.0156125	0.0258725	0.0439422	0.0488597	0.015695	0.033997	0.037197	0.0459063	0.0814428	0.0387455	0.0401808	0.0701675	0.0151215	3.356688
16	0	-15804.8	-15818.4	13.5378	0.130475	0.089654	0.0996886	0.0844041	0.121754	0.0831902	0.113889	0.0679663	0.0864223	0.188249	0.0787008	0.0695351	0.118653	0.111392	0.0913743	0.13835	0.134116	0.0954392	0.127666	0.0793834	0.093413	0.0968358	0.162353	0.0283264	0.0301139	0.0291917	0.0440834	0.051299	0.0327781	0.084666	0.0249659	0.0429459	0.00995774	0.0346889	0.0209726	0.0344096	0.0174416	0.055606	0.014524	0.0188739	0.0244498	0.0430067	0.0299255	3.13513
17	1	-15812.6	-15824.9	12.283	0.152246	0.0918585	0.0728516	0.0830689	0.115445	0.085595	0.135934	0.0697717	0.107092	0.166278	0.0809035	0.0980483	0.0768265	0.106363	0.130447	0.0931513	0.118807	0.108696	0.127553	0.0832932	0.0763596	0.077866	0.186775	0.033848	0.0269575	0.0370317	0.0323219	0.0467305	0.0617351	0.0657414	0.0208504	0.0212742	0.0349844	0.0291379	0.0292706	0.0284426	0.0444393	0.0570265	0.0814428	0.0232766	0.0411115	0.0654885	0.0342626	3.260605
18	0	-15804.7	-15817.1	12.3313	0.115359	0.101413	0.0973875	0.124159	0.12183	0.0860929	0.138316	0.0713375	0.0897999	0.177222	0.0776231	0.0900523	0.0973491	0.121204	0.110539	0.120541	0.127622	0.106893	0.119821	0.0786419	0.093413	0.0726093	0.153158	0.0249937	0.0276636	0.0287148	0.0415648	0.0514552	0.0198271	0.103171	0.0177526	0.0668116	0.013804	0.0348395	0.0292053	0.0449234	0.019924	0.049024	0.0441979	0.034727	0.0347241	0.0429402	0.0331338	3.255781
19	1	-15816.7	-15828.5	11.762	0.152246	0.103143	0.114178	0.0904706	0.10986	0.0632527	0.152417	0.084862	0.107092	0.155088	0.0895493	0.103007	0.104542	0.0911652	0.117269	0.118921	0.105105	0.121392	0.108235	0.107309	0.0895596	0.0712261	0.176584	0.0352736	0.0332212	0.0213957	0.0389989	0.0585896	0.0436021	0.0561417	0.0156992	0.0279354	0.0423866	0.0242625	0.0282639	0.0281601	0.0465933	0.0364867	0.0747126	0.0291012	0.0441261	0.0723167	0.0189685	3.312708
