Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-14787	-14798.2	11.1739	0.141541	0.0861178	0.0940163	0.084921	0.0984388	0.10055	0.134325	0.0745972	0.080295	0.174509	0.090853	0.065555	0.0992426	0.0880072	0.129514	0.143333	0.143004	0.102542	0.139509	0.078315	0.0779631	0.101788	0.172619	0.0341495	0.0172229	0.0805861	0.0425945	0.029134	0.0249483	0.0216711	0.0278871	0.0329194	0.0254908	0.0866574	0.0573472	0.0192307	0.052954	0.0298914	0.0220509	0.00122461	0.0320664	0.0521779	0.0425898	3.829968	0.269738	0.291616	0.109316	0.329329	3.234348
11	1	-14782	-14793.3	11.3333	0.160002	0.0884207	0.101468	0.100824	0.0978626	0.0742113	0.143639	0.0757224	0.118336	0.201837	0.0509978	0.0857744	0.0955608	0.0865772	0.103173	0.106609	0.123057	0.134856	0.109954	0.0759376	0.0999655	0.0843061	0.148732	0.0366505	0.0258127	0.019323	0.0164489	0.0260741	0.0412966	0.0285413	0.0279105	0.0210237	0.0674509	0.0440154	0.0222728	0.0294381	0.0415537	0.0624314	0.0732835	0.0292034	0.0361578	0.0378319	0.059517	3.901437	0.277066	0.300653	0.0962	0.326081	3.214059
12	0	-14778.4	-14787.8	9.43982	0.166257	0.0951499	0.0859686	0.0938185	0.116682	0.0777696	0.12971	0.0722622	0.100929	0.174509	0.0768168	0.0726153	0.11741	0.105516	0.129514	0.141393	0.136782	0.104577	0.116628	0.0961178	0.0949963	0.0960275	0.191327	0.0223852	0.0173882	0.0504007	0.0407401	0.0464066	0.0344275	0.0349406	0.0422718	0.0402113	0.0293459	0.0885661	0.0604876	0.0247169	0.0620845	0.0287057	0.0254607	0.0023791	0.0309943	0.0570175	0.0581714	4.128752	0.273174	0.29533	0.0979716	0.333524	3.389878
13	1	-14774.1	-14783.7	9.58695	0.159135	0.110572	0.103566	0.0750139	0.102428	0.099766	0.135296	0.0633756	0.104405	0.176472	0.0707106	0.0764266	0.124059	0.10082	0.114222	0.145496	0.153028	0.145886	0.137902	0.0757401	0.0817937	0.0861036	0.158262	0.0266282	0.0314452	0.0355028	0.0341345	0.0257121	0.0273986	0.0538246	0.0209687	0.0200932	0.0505249	0.0330623	0.0468224	0.0352396	0.0464265	0.0637773	0.0980759	0.0335573	0.0480412	0.0276773	0.0473117	3.610425	0.277066	0.300653	0.0962	0.326081	3.406702
14	0	-14782.3	-14792	9.74465	0.14099	0.106175	0.119168	0.0862291	0.120424	0.0729821	0.14062	0.0867877	0.0970854	0.187278	0.0887909	0.0726153	0.103693	0.118741	0.0956438	0.152364	0.173502	0.130695	0.110762	0.0766687	0.081293	0.0869303	0.199396	0.0224917	0.0111556	0.0591803	0.0410539	0.0404961	0.0336795	0.041441	0.0297299	0.0243531	0.0248236	0.0797571	0.0695286	0.0202757	0.0607818	0.019781	0.0244832	0.00478717	0.024878	0.0339417	0.056469	3.918045	0.273174	0.29533	0.0979716	0.333524	3.371924
15	1	-14778.3	-14787.6	9.33824	0.135769	0.10329	0.100009	0.107789	0.119869	0.0839631	0.134949	0.0974111	0.0998845	0.194201	0.0773864	0.0863711	0.103467	0.101405	0.116428	0.137489	0.122351	0.132241	0.0974864	0.0948493	0.0876088	0.0693568	0.205463	0.0304017	0.0347732	0.0370859	0.0347243	0.0262216	0.0298031	0.0427173	0.0211816	0.0275489	0.0509514	0.0472418	0.045848	0.0402239	0.0658958	0.0383374	0.0870565	0.0404265	0.0453308	0.0240529	0.0549462	3.575201	0.272056	0.299491	0.0976061	0.330847	3.433807
16	0	-14772.8	-14782.7	9.88448	0.135743	0.108105	0.0911417	0.08965	0.114595	0.0744048	0.14062	0.0821877	0.0954865	0.197357	0.077016	0.0801566	0.109475	0.0896543	0.120462	0.147407	0.128076	0.131569	0.119608	0.0866805	0.0972278	0.0945288	0.16709	0.0314775	0.0135753	0.0613052	0.0487	0.042521	0.0413964	0.0171395	0.0369548	0.0360142	0.0240846	0.0731906	0.0585331	0.0143191	0.0545885	0.0327407	0.0214689	0.0267556	0.0277316	0.0453265	0.0500843	4.288716	0.275358	0.297691	0.0987547	0.328197	3.336148
17	1	-14769.6	-14778.3	8.66536	0.155993	0.112924	0.109269	0.107617	0.113676	0.0772881	0.134949	0.085459	0.0707611	0.178819	0.0733053	0.0922511	0.111504	0.101405	0.130106	0.149913	0.134448	0.135693	0.120841	0.0867924	0.102425	0.103304	0.203942	0.0380299	0.0221663	0.0124457	0.0304723	0.0508669	0.0275248	0.0363485	0.0176962	0.0345728	0.0529728	0.0473196	0.0308916	0.0282178	0.0664988	0.0499825	0.0762274	0.0191505	0.0383547	0.0379207	0.0488591	4.268758	0.272056	0.299491	0.0976061	0.330847	3.459205
18	0	-14780.5	-14789.9	9.37211	0.155734	0.0950816	0.109499	0.0993273	0.0979194	0.0861211	0.155221	0.0821877	0.096282	0.201005	0.0761027	0.107552	0.096103	0.118144	0.110021	0.143275	0.108512	0.132562	0.114632	0.0914425	0.0828228	0.08296	0.180791	0.0344522	0.0262934	0.0730073	0.0383281	0.0336336	0.0330322	0.015328	0.0303851	0.0216728	0.0295898	0.103448	0.0474224	0.015668	0.0675798	0.0305482	0.0291869	0.037935	0.0179951	0.0378189	0.0561702	4.024602	0.273638	0.295832	0.104384	0.326147	3.402793
19	1	-14776.8	-14787	10.1945	0.164525	0.113998	0.113451	0.110639	0.114621	0.0809179	0.134949	0.080067	0.117507	0.16268	0.0617087	0.0835244	0.108438	0.0819803	0.0946585	0.140817	0.126784	0.117888	0.125704	0.0622956	0.0768096	0.0834476	0.145445	0.0347218	0.021494	0.0375998	0.0275115	0.0333738	0.0278531	0.0247362	0.0172037	0.0382473	0.0552374	0.0512114	0.0438274	0.0158872	0.0643543	0.0808525	0.0837126	0.0299996	0.0375102	0.0311193	0.0473881	4.261719	0.272141	0.297674	0.0992345	0.330951	3.306696
