Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
513	1	-14770.6	-14780.9	10.2922	0.158653	0.113678	0.105377	0.0748897	0.0990121	0.0664959	0.140979	0.0881278	0.102252	0.179215	0.0827553	0.0899715	0.106723	0.105644	0.0904519	0.127767	0.118095	0.108356	0.111801	0.0760452	0.0795605	0.0750733	0.222207	0.0259285	0.0300937	0.0160969	0.0236015	0.0275131	0.0255171	0.0560261	0.016157	0.0394641	0.0519346	0.0303387	0.0415601	0.0335947	0.065226	0.0447506	0.079367	0.0375352	0.0493819	0.0325667	0.0638615	3.976664	0.286078	0.286673	0.0976949	0.329554	3.313644
514	0	-14773.8	-14784.7	10.9165	0.127714	0.12091	0.101319	0.107156	0.124418	0.096615	0.112756	0.0640317	0.0968177	0.173041	0.0724049	0.078546	0.0952416	0.0917098	0.122577	0.148788	0.123774	0.124095	0.117975	0.0702894	0.0836204	0.0632256	0.164326	0.0384121	0.0172272	0.0532917	0.0478437	0.0344459	0.0161626	0.0329451	0.0277827	0.0413039	0.0348536	0.101906	0.0494174	0.0259196	0.0452689	0.0133725	0.0411319	0.0427044	0.0250176	0.0398598	0.0510474	3.810842	0.284559	0.289025	0.0967343	0.329681	3.261266
515	1	-14776	-14786.3	10.2524	0.155785	0.107304	0.0832462	0.089363	0.1093	0.0701717	0.151468	0.0672829	0.0817481	0.203528	0.059506	0.0893543	0.0986135	0.102692	0.110643	0.137485	0.122715	0.119179	0.133686	0.0849531	0.0856116	0.0775155	0.204818	0.0217757	0.035596	0.0205536	0.0100266	0.0457099	0.0366324	0.0416148	0.0171428	0.0194289	0.053886	0.0288384	0.0563869	0.0129606	0.0610495	0.0492896	0.104671	0.0224665	0.0368497	0.0469509	0.0431261	4.089444	0.264748	0.280322	0.107924	0.347005	3.310923
516	0	-14767	-14776.5	9.57469	0.133698	0.098389	0.0969249	0.10225	0.112814	0.0889478	0.129191	0.0841452	0.0975485	0.167126	0.0798406	0.0866424	0.119612	0.106548	0.115548	0.150235	0.138944	0.116315	0.124986	0.0880942	0.122458	0.0756655	0.196923	0.0457905	0.0181599	0.0397598	0.0511058	0.0409132	0.0335009	0.0337544	0.0304544	0.0236302	0.00961817	0.0889381	0.0677117	0.027318	0.0545822	0.0223868	0.0260387	0.0131181	0.0407237	0.0369973	0.0410438	4.094674	0.275496	0.303236	0.0919819	0.329286	3.378391
517	1	-14775.2	-14786.7	11.5388	0.133359	0.101408	0.0747903	0.0980859	0.103153	0.0778872	0.125134	0.0955168	0.0828437	0.165741	0.070712	0.0693553	0.102853	0.11021	0.0890931	0.116516	0.136287	0.129791	0.13559	0.0687985	0.0915451	0.0735829	0.195172	0.0289431	0.0370624	0.0349949	0.00484932	0.0303775	0.0228137	0.0675128	0.0115925	0.0194289	0.0327427	0.0452167	0.0423742	0.0285241	0.053794	0.0508788	0.0746888	0.0263573	0.0360963	0.0329899	0.0687269	3.837732	0.276733	0.28162	0.10152	0.340128	3.197389
518	0	-14765.9	-14775.9	10.002	0.135065	0.0926282	0.106152	0.105322	0.110241	0.0731301	0.146549	0.0925565	0.0961909	0.154427	0.0818482	0.0787366	0.106832	0.108189	0.113355	0.126471	0.151194	0.12543	0.121848	0.0964412	0.0760942	0.0827507	0.176661	0.054676	0.0208125	0.0413679	0.0498107	0.0327412	0.0327725	0.0212305	0.0378515	0.0262324	0.0247195	0.104605	0.0710401	0.0198381	0.0344208	0.0358121	0.0327707	0.0356878	0.0230182	0.0453456	0.0478689	3.843226	0.278554	0.285853	0.102844	0.332748	3.350734
519	1	-14769.8	-14781.1	11.2843	0.149561	0.0906405	0.0861364	0.0630779	0.109092	0.0927658	0.11952	0.0834594	0.0937309	0.166854	0.0763375	0.0878223	0.102591	0.0900805	0.10266	0.142653	0.140472	0.106503	0.116447	0.07902	0.08253	0.0853967	0.207969	0.0159047	0.0220279	0.0197085	0.0134726	0.0437754	0.0405725	0.0404545	0.020634	0.0325519	0.0449021	0.0300082	0.0473714	0.024368	0.0509984	0.0481931	0.0911988	0.028952	0.0419665	0.035582	0.0536508	3.857754	0.280729	0.28842	0.090496	0.340355	3.221614
520	0	-14777.7	-14786.1	8.36377	0.154504	0.0939993	0.115611	0.107538	0.110241	0.0782173	0.139514	0.0977543	0.105301	0.172411	0.0890312	0.0769149	0.0941227	0.111647	0.108909	0.125945	0.143724	0.118227	0.123983	0.0734844	0.0935106	0.0761609	0.228584	0.0389184	0.00652627	0.0478719	0.0418466	0.0295782	0.0411952	0.0354567	0.0322813	0.0598816	0.0283057	0.110256	0.0593347	0.027473	0.0482437	0.0325208	0.0257892	0.0291287	0.0418547	0.0454829	0.0692801	4.248	0.261484	0.294767	0.0977951	0.345954	3.490558
521	1	-14763.7	-14774.9	11.186	0.1297	0.0987046	0.112546	0.0837833	0.10354	0.0801129	0.141068	0.0812863	0.089277	0.157699	0.0690066	0.0921066	0.099023	0.114616	0.11557	0.140861	0.145102	0.106167	0.113979	0.0697025	0.0773079	0.0833699	0.167979	0.0276156	0.032076	0.0226021	0.0179613	0.0287211	0.0336041	0.0253016	0.0115804	0.0224812	0.0632854	0.0510296	0.0571089	0.0214524	0.0500639	0.0490514	0.0946068	0.0283167	0.0431351	0.0386036	0.0470915	3.747883	0.273292	0.279925	0.106462	0.340321	3.238197
522	0	-14777.4	-14788.2	10.7951	0.140778	0.11444	0.113763	0.0888928	0.116151	0.0782173	0.120793	0.0692824	0.0840598	0.187654	0.0728114	0.0812729	0.117473	0.102387	0.11033	0.117356	0.162255	0.128403	0.129046	0.0806396	0.0848198	0.057306	0.211424	0.0451475	0.00675157	0.0328488	0.0552619	0.0262466	0.0184764	0.0195297	0.0297314	0.03342	0.0157581	0.0764651	0.0691351	0.0146731	0.0530511	0.0261598	0.0298373	0.0142184	0.0203513	0.0465759	0.0426841	4.274897	0.280344	0.27151	0.100921	0.347224	3.245878
523	1	-14769.6	-14778.7	9.13141	0.153757	0.108865	0.114767	0.0965167	0.106557	0.0870035	0.164407	0.0715669	0.0988165	0.219938	0.0740032	0.071764	0.111797	0.108648	0.113686	0.120535	0.141415	0.118375	0.127011	0.0795551	0.0952558	0.0913437	0.17226	0.0163551	0.0245856	0.0380037	0.023071	0.0347591	0.0187729	0.0350649	0.0341039	0.035153	0.0442381	0.0507943	0.031	0.0248675	0.0506144	0.0466679	0.111342	0.0283755	0.0432724	0.0345617	0.0605567	3.905558	0.266458	0.290683	0.104117	0.338743	3.434002
524	0	-14769.6	-14780	10.3972	0.140778	0.0945719	0.121511	0.0702931	0.10138	0.0823172	0.147281	0.0920595	0.0934151	0.167999	0.065355	0.0882349	0.0940643	0.090331	0.101576	0.115211	0.15384	0.124204	0.12845	0.0736653	0.0885641	0.101333	0.180869	0.0385356	0.0259576	0.0665801	0.0399052	0.0272118	0.0288885	0.0375822	0.034436	0.0423997	0.0216243	0.0709566	0.0644863	0.0263356	0.0464232	0.0351083	0.0227215	0.0320999	0.0264218	0.0356408	0.0529957	4.137771	0.284717	0.292045	0.100496	0.322742	3.293615
525	1	-14770.4	-14780.8	10.4437	0.157824	0.0927979	0.0969837	0.0889544	0.122951	0.0817525	0.128822	0.0831007	0.0973387	0.177676	0.0826697	0.075119	0.119598	0.0931495	0.125089	0.130398	0.108455	0.128531	0.144424	0.0806168	0.0991978	0.0685662	0.203191	0.0311552	0.0183996	0.0245247	0.0170576	0.0424136	0.0280264	0.0216997	0.0157071	0.0296617	0.0537655	0.0535929	0.0296707	0.0228003	0.0558648	0.0450277	0.0900023	0.0170733	0.0542937	0.0369042	0.033106	3.820406	0.261651	0.289785	0.0994992	0.349065	3.307953
526	0	-14767.4	-14778.3	10.8945	0.129124	0.0953813	0.120247	0.0987837	0.117287	0.0816912	0.108578	0.0795306	0.116992	0.177063	0.0624313	0.0842957	0.0843858	0.105531	0.115165	0.120652	0.124738	0.10967	0.120288	0.0892638	0.0838336	0.0861814	0.19138	0.0443836	0.02267	0.0389103	0.0515159	0.0487373	0.0292118	0.0309349	0.018174	0.0253607	0.0276292	0.0853656	0.0493463	0.00850679	0.0704801	0.0210738	0.0211127	0.0306837	0.0264218	0.0293672	0.0630481	4.111349	0.274788	0.280392	0.102355	0.342465	3.245428
527	1	-14770.7	-14782.1	11.3395	0.138693	0.094004	0.0868669	0.116701	0.111907	0.0849922	0.127704	0.0852117	0.0870184	0.170622	0.0623816	0.0775749	0.103949	0.101523	0.108938	0.152645	0.131898	0.106386	0.138236	0.0981697	0.0692473	0.0715908	0.180837	0.0224511	0.0239323	0.0265546	0.0210293	0.0460081	0.0194439	0.0347723	0.0104678	0.0279177	0.0535107	0.0282248	0.0258042	0.0231676	0.0622308	0.047369	0.0936313	0.0216298	0.0371421	0.0312877	0.0419932	4.031095	0.266735	0.291928	0.108353	0.332983	3.205665
528	0	-14775	-14785.6	10.5989	0.154768	0.0850802	0.133511	0.10804	0.0920647	0.0816049	0.119246	0.0857867	0.0869206	0.177063	0.0780898	0.0675827	0.0850711	0.0985857	0.102266	0.120874	0.143155	0.118532	0.128768	0.074713	0.0624199	0.0861365	0.22272	0.0503437	0.0115322	0.0599474	0.0469199	0.0295775	0.0162229	0.032131	0.0288238	0.0279044	0.0263405	0.106302	0.0399711	0.0118857	0.0480532	0.0344973	0.032994	0.0346595	0.0214841	0.041916	0.0630481	4.067826	0.28235	0.297459	0.0985515	0.32164	3.277554
529	1	-14769.7	-14779.8	10.1712	0.133159	0.0826142	0.0959545	0.104279	0.106675	0.0836463	0.127744	0.0790237	0.104079	0.17785	0.0822925	0.0721695	0.111751	0.0941048	0.132286	0.145265	0.133787	0.121261	0.114793	0.0821816	0.0752321	0.0874046	0.184657	0.0361849	0.0323528	0.0368229	0.0169785	0.0538897	0.0379605	0.0366412	0.0213592	0.0279177	0.0393029	0.0333186	0.028491	0.0292578	0.0651177	0.0622667	0.105045	0.0284149	0.0277156	0.0296188	0.0340183	4.160489	0.26614	0.302382	0.099643	0.331835	3.314885
530	0	-14769.8	-14780	10.1783	0.138406	0.0819055	0.095294	0.094481	0.135254	0.0825496	0.110036	0.0676801	0.103761	0.157763	0.066445	0.0997752	0.121121	0.0866798	0.131677	0.152034	0.120499	0.117874	0.122089	0.0901529	0.101408	0.0905248	0.166086	0.0373601	0.0221172	0.0571199	0.0453584	0.0407435	0.0273051	0.0271461	0.0296664	0.03495	0.0341842	0.0824033	0.0504777	0.0220235	0.0543793	0.0394488	0.0368666	0.00853002	0.0339889	0.0394163	0.0595888	4.119556	0.274062	0.29287	0.097216	0.335852	3.316569
531	1	-14769.3	-14780.1	10.7661	0.131572	0.103127	0.106229	0.0846566	0.0960846	0.0698166	0.124665	0.103935	0.0814991	0.183351	0.072261	0.0737438	0.122639	0.10993	0.107598	0.141069	0.135359	0.0983104	0.124555	0.0565698	0.10115	0.0747353	0.170218	0.0254969	0.0326706	0.0264466	0.0191186	0.0317051	0.0255073	0.0364394	0.0171216	0.0233202	0.058609	0.0577203	0.0349656	0.0346431	0.049845	0.0642393	0.0842648	0.0375261	0.0500171	0.0307127	0.0655391	3.767264	0.278514	0.276778	0.0983457	0.346362	3.278982
532	0	-14770.7	-14781.1	10.3673	0.154741	0.106171	0.117376	0.10845	0.118847	0.075817	0.128988	0.0732817	0.0815118	0.174308	0.0703385	0.0747546	0.0999747	0.101152	0.0989324	0.140321	0.135996	0.101167	0.111957	0.0709708	0.0854644	0.0804496	0.187573	0.0244607	0.0325658	0.0617251	0.0543307	0.0461765	0.0142982	0.0423187	0.0275806	0.0471013	0.0341842	0.0806448	0.0508432	0.0299983	0.0495122	0.0240442	0.019831	0.0336591	0.033182	0.0497569	0.0582194	3.863324	0.276286	0.277538	0.099979	0.346197	3.312977
533	1	-14775.8	-14785.9	10.116	0.171886	0.102768	0.114175	0.0808535	0.0888051	0.0699338	0.122051	0.102944	0.0912001	0.172852	0.094991	0.0846846	0.106789	0.141124	0.0973726	0.117369	0.118167	0.0932965	0.141755	0.0880559	0.0948827	0.0925769	0.184592	0.0228516	0.0326706	0.0206515	0.0245643	0.017436	0.0352256	0.0412788	0.0246658	0.0326111	0.0657717	0.0356028	0.0283638	0.0337716	0.0548556	0.0471985	0.089955	0.0236678	0.0340944	0.0426012	0.0533935	3.925264	0.276385	0.292171	0.0953186	0.336126	3.334356
534	0	-14769.3	-14778.9	9.57787	0.130995	0.0876019	0.112936	0.0876981	0.0956249	0.111991	0.104459	0.0742903	0.0862097	0.181746	0.075364	0.0747546	0.117799	0.100412	0.10968	0.124943	0.155093	0.129799	0.138069	0.0841121	0.0760796	0.0766628	0.193354	0.0455924	0.0212593	0.053602	0.0535703	0.0375747	0.0400046	0.0439458	0.0328972	0.0434202	0.0405287	0.11158	0.0565881	0.0194609	0.0574361	0.0327233	0.0191265	0.0223173	0.0348214	0.0398388	0.0530964	3.910496	0.267014	0.301814	0.0986209	0.332551	3.389058
535	1	-14776.4	-14786.3	9.89689	0.17512	0.0846977	0.103304	0.082764	0.124551	0.0723035	0.140462	0.0784837	0.0961951	0.173793	0.0738595	0.0659128	0.123201	0.1286	0.0875897	0.1136	0.142315	0.102004	0.135638	0.0881502	0.0803402	0.0905468	0.204074	0.0312043	0.038669	0.0178394	0.0168228	0.0307316	0.0233201	0.0259176	0.0113588	0.0326111	0.0524115	0.0477095	0.0317806	0.0225242	0.07664	0.0548136	0.123141	0.0247402	0.0411529	0.0372789	0.0490157	3.909951	0.271657	0.298248	0.0961757	0.333919	3.357189
536	0	-14776.8	-14786.4	9.59599	0.113022	0.0901251	0.110547	0.0986715	0.142417	0.0730213	0.138677	0.0861715	0.0870367	0.181397	0.0705595	0.0778931	0.1314	0.112221	0.121771	0.124176	0.120096	0.134578	0.153991	0.0651059	0.0888438	0.0836083	0.189058	0.049155	0.0282657	0.0688284	0.0503314	0.044269	0.035095	0.0210322	0.0376366	0.0278495	0.0288514	0.10858	0.057266	0.0198886	0.0499335	0.0355882	0.0127426	0.0296716	0.0184755	0.0360066	0.0530191	3.593448	0.261511	0.295643	0.108185	0.334661	3.406873
537	1	-14776.6	-14786.1	9.45673	0.147241	0.0934173	0.126835	0.0784771	0.124166	0.0886739	0.170538	0.0847245	0.0802322	0.202277	0.0726975	0.0693395	0.109653	0.0875536	0.113747	0.128542	0.12078	0.098652	0.144619	0.0737152	0.0780542	0.127907	0.206242	0.0358096	0.0262021	0.0282222	0.00963047	0.0252584	0.0307857	0.0433569	0.0204203	0.0253215	0.0399105	0.0466946	0.0440021	0.0134357	0.0440163	0.0660475	0.098761	0.0279938	0.0478932	0.0385731	0.0593317	3.934047	0.268495	0.287221	0.104889	0.339395	3.39975
538	0	-14772.8	-14783	10.1973	0.164358	0.117911	0.0979092	0.0943489	0.103781	0.0843129	0.122378	0.0665616	0.0804284	0.158218	0.0601494	0.0986947	0.121219	0.118936	0.147476	0.124269	0.142321	0.133944	0.119969	0.07594	0.0801055	0.0843208	0.177751	0.049155	0.0202239	0.0553847	0.0428056	0.0474979	0.0305507	0.0189664	0.0268408	0.0391334	0.0336687	0.0905542	0.0566863	0.0154675	0.0413468	0.023271	0.0164187	0.0308048	0.0145221	0.0360066	0.056145	4.01653	0.272973	0.298261	0.0934781	0.335287	3.320752
539	1	-14771.4	-14781.3	9.91594	0.149731	0.101233	0.119779	0.098998	0.101609	0.105492	0.117276	0.0837339	0.0793876	0.211087	0.088622	0.0863917	0.10688	0.0989363	0.112627	0.124238	0.153355	0.125795	0.129525	0.0649422	0.076686	0.0803442	0.197794	0.0186637	0.0257166	0.0210501	0.0129803	0.0368497	0.0256165	0.0343706	0.0166282	0.0238951	0.0507667	0.0454251	0.0286265	0.0332629	0.0427405	0.0692692	0.0948636	0.0187218	0.0415303	0.0350543	0.0608026	3.976241	0.25675	0.27716	0.108614	0.357476	3.351296
540	0	-14773.5	-14783.6	10.1399	0.169105	0.115123	0.116484	0.0809499	0.103895	0.0918491	0.106653	0.0833506	0.080362	0.187987	0.0601494	0.0870445	0.098851	0.111659	0.0951009	0.141682	0.152148	0.123622	0.13118	0.0596305	0.0767695	0.102892	0.18895	0.0474037	0.015347	0.0370355	0.0415059	0.0254068	0.0473651	0.0261186	0.0236612	0.0291917	0.0279994	0.088957	0.0687029	0.0229759	0.069206	0.0342439	0.0245627	0.0254611	0.0249294	0.0407382	0.0413171	3.998536	0.269325	0.293185	0.106833	0.330657	3.327568
541	1	-14769.9	-14781.1	11.1884	0.13822	0.0932156	0.0911893	0.0983762	0.0978053	0.0672733	0.110778	0.0686643	0.0992349	0.173195	0.0748645	0.0840987	0.0940047	0.119685	0.101514	0.143997	0.134883	0.112705	0.11632	0.0768494	0.0862034	0.0675952	0.190193	0.0235362	0.0402141	0.0273834	0.0326924	0.0279697	0.032136	0.0329442	0.0137575	0.0252033	0.0316665	0.0326081	0.0375171	0.0306484	0.0487243	0.0623671	0.0997695	0.05355	0.0397122	0.0343885	0.0608026	3.903034	0.279704	0.287211	0.0965055	0.336579	3.228456
542	0	-14763.5	-14773.4	9.92028	0.160675	0.0987465	0.093659	0.0827812	0.1031	0.0780914	0.139924	0.0845045	0.109303	0.171144	0.0876271	0.0744594	0.093179	0.1045	0.0957834	0.13101	0.132759	0.110675	0.139581	0.0779233	0.0948536	0.0846044	0.216781	0.0314709	0.0292853	0.0539917	0.0398979	0.0384364	0.0310846	0.031573	0.035564	0.0295091	0.039922	0.0969611	0.0626981	0.0211718	0.0580991	0.031501	0.0193067	0.0141785	0.0228985	0.0460832	0.0472461	4.048748	0.284032	0.291656	0.098163	0.326148	3.346544
543	1	-14764.9	-14774.1	9.17788	0.13822	0.0861621	0.113831	0.0978419	0.118553	0.0808725	0.138743	0.0837959	0.0954698	0.18271	0.0811095	0.0658945	0.103069	0.11536	0.097157	0.138187	0.130676	0.128331	0.135323	0.0745078	0.102528	0.094832	0.197738	0.021166	0.0293733	0.0230553	0.0207222	0.0318509	0.0260821	0.0511108	0.0255489	0.028092	0.0526251	0.0483524	0.0243939	0.0224788	0.0592431	0.0672683	0.122843	0.0355352	0.0602981	0.0286652	0.0500568	3.900293	0.273813	0.291658	0.094029	0.340501	3.429674
544	0	-14766.4	-14776.5	10.0494	0.158068	0.0743047	0.0927889	0.0880731	0.110347	0.0987247	0.121057	0.0826858	0.0901474	0.172586	0.083491	0.0714483	0.101912	0.10918	0.119035	0.137833	0.122541	0.13119	0.115871	0.0771819	0.0821362	0.089246	0.201852	0.0330878	0.0236489	0.0763987	0.0445789	0.0338803	0.0353281	0.0404096	0.0359572	0.0211278	0.0377497	0.0848816	0.051553	0.0138415	0.0644295	0.0263027	0.0126135	0.0328271	0.0273319	0.0336018	0.0600837	4.259476	0.274838	0.297687	0.0952616	0.332213	3.321334
545	1	-14766.7	-14777	10.2439	0.148549	0.107978	0.108652	0.0976727	0.0805309	0.0798519	0.137321	0.069877	0.109214	0.202703	0.0873608	0.0773283	0.0987238	0.111445	0.113419	0.12084	0.153699	0.120541	0.115599	0.072242	0.0827326	0.086848	0.180511	0.0356448	0.0167225	0.0210415	0.0147572	0.0365334	0.0184629	0.0569568	0.0159235	0.0136782	0.0613257	0.0387626	0.035972	0.0364125	0.0594109	0.0507539	0.083118	0.024695	0.0384181	0.0304269	0.0681596	3.937635	0.273478	0.279865	0.098351	0.348307	3.320814
546	0	-14773.9	-14784.1	10.1556	0.126124	0.0823969	0.116102	0.100019	0.0958433	0.0838396	0.127681	0.0915396	0.0961202	0.182227	0.0807531	0.0665196	0.100648	0.125704	0.123334	0.123376	0.117653	0.115411	0.137799	0.0771819	0.102053	0.0704671	0.171171	0.0425439	0.0171953	0.0714479	0.0358697	0.0372743	0.0283194	0.0309147	0.0436629	0.0247332	0.0251267	0.0711104	0.0513788	0.0285525	0.0489629	0.0235094	0.0392348	0.0344121	0.0365891	0.0506189	0.0589443	4.196264	0.276878	0.291785	0.108987	0.32235	3.314363
547	1	-14770.3	-14781	10.7171	0.134145	0.096562	0.115192	0.08058	0.109386	0.0879898	0.108418	0.0831407	0.0807843	0.184302	0.0783413	0.0734098	0.108923	0.0941111	0.125098	0.13605	0.141128	0.116096	0.121865	0.0783642	0.104045	0.104411	0.179196	0.0227462	0.0416076	0.0210415	0.0231759	0.0282391	0.0284021	0.0500007	0.013954	0.0110762	0.0665172	0.0230714	0.0356028	0.0337799	0.0588167	0.0514752	0.0855295	0.0159211	0.0475083	0.0280007	0.0519906	3.830567	0.279723	0.278821	0.101843	0.339613	3.279995
548	0	-14776	-14785.7	9.72091	0.121733	0.112724	0.122366	0.0855045	0.141385	0.0838396	0.110977	0.0657725	0.0963865	0.161926	0.0819641	0.0753566	0.105257	0.109697	0.132495	0.12739	0.130959	0.114609	0.142505	0.0664438	0.0946719	0.0743181	0.21654	0.0535819	0.0237701	0.0635423	0.0454145	0.0411909	0.0347142	0.017378	0.0250523	0.0207421	0.0397773	0.0668192	0.0529965	0.0196583	0.0595331	0.0363471	0.0181599	0.0222624	0.0231732	0.0506189	0.0750638	4.08031	0.275632	0.297377	0.0929128	0.334078	3.364615
549	1	-14769.4	-14779.2	9.73662	0.121746	0.118123	0.101827	0.0998739	0.117754	0.073868	0.114411	0.0897621	0.0937583	0.175053	0.0712458	0.0828891	0.111044	0.105981	0.116366	0.118194	0.141128	0.126218	0.122482	0.0924428	0.0920306	0.0972961	0.135789	0.0350351	0.0265588	0.0306819	0.027006	0.0427466	0.0284021	0.0407219	0.0167955	0.0330357	0.0559801	0.0380727	0.0445149	0.0406788	0.0697746	0.0568462	0.112115	0.0345406	0.0445648	0.027423	0.0523949	3.84481	0.261007	0.295826	0.103745	0.339423	3.377172
550	0	-14782.6	-14792.7	10.1232	0.147134	0.0887613	0.116271	0.102025	0.114676	0.0888453	0.126211	0.0767931	0.112196	0.158234	0.0910733	0.097876	0.085346	0.111951	0.100411	0.150547	0.107256	0.11363	0.100226	0.114107	0.0744667	0.116047	0.18133	0.037366	0.0365161	0.0456854	0.0443973	0.039569	0.022123	0.0351776	0.0345108	0.0294319	0.0331402	0.0811035	0.0635583	0.0123307	0.0556021	0.0336664	0.0275727	0.0227495	0.0188887	0.0468815	0.0536436	3.669874	0.257316	0.309537	0.0923611	0.340786	3.349329
551	1	-14758.1	-14768.2	10.0748	0.147621	0.100749	0.0978458	0.0981373	0.101186	0.0756363	0.127495	0.0907811	0.0913317	0.205254	0.0729468	0.0836755	0.115208	0.108019	0.113868	0.12726	0.129292	0.134067	0.11933	0.0778791	0.0855096	0.0768675	0.208531	0.035632	0.0242775	0.0379148	0.0256287	0.0260031	0.0275249	0.0372998	0.0144397	0.0182567	0.0406738	0.0379314	0.0350398	0.0240568	0.0511767	0.0577292	0.0851	0.0316158	0.0499653	0.0312612	0.0523518	4.027184	0.269119	0.294061	0.0998145	0.337005	3.33237
552	0	-14768.8	-14778.5	9.71191	0.13341	0.120032	0.112578	0.113431	0.103211	0.0838868	0.123285	0.0851666	0.0926149	0.188934	0.0890868	0.0834985	0.0970412	0.113574	0.0991421	0.129895	0.124693	0.109858	0.130101	0.089646	0.0706553	0.0784386	0.216262	0.049325	0.015565	0.0375167	0.047279	0.0375912	0.0222863	0.0351315	0.023309	0.0271008	0.0316097	0.0917523	0.0497355	0.021151	0.0577319	0.0420012	0.0496905	0.0227283	0.0275147	0.043209	0.0572141	3.873706	0.277024	0.275871	0.103117	0.343988	3.377883
553	1	-14773.3	-14783.6	10.3057	0.130787	0.107758	0.109344	0.112351	0.102439	0.0693272	0.141398	0.0932853	0.0907951	0.199065	0.0860751	0.0740034	0.111895	0.113511	0.120532	0.157798	0.130039	0.12576	0.128177	0.0700033	0.075576	0.0734681	0.172877	0.0384492	0.0281684	0.00680766	0.0278979	0.0296845	0.026462	0.0273309	0.00869525	0.0173699	0.0785815	0.0321835	0.0421035	0.0227234	0.055901	0.0485733	0.0855811	0.0325867	0.0427429	0.0302	0.0526379	3.672142	0.275072	0.289562	0.0994825	0.335884	3.330945
554	0	-14775.7	-14786.5	10.8094	0.136584	0.0821173	0.113583	0.095506	0.105486	0.0798676	0.124512	0.0877164	0.11527	0.162215	0.0555612	0.0721047	0.131639	0.0944281	0.0921017	0.138407	0.147627	0.132257	0.0993719	0.0675795	0.098978	0.0798809	0.153993	0.0319147	0.0148078	0.0439768	0.0376264	0.0419501	0.0339583	0.0318053	0.031628	0.041841	0.015352	0.0976642	0.0726863	0.0163432	0.0487035	0.0262831	0.0339155	0.0301261	0.0275147	0.0411798	0.0724951	4.033184	0.2838	0.290166	0.0892863	0.336748	3.258559
555	1	-14770.8	-14781	10.152	0.159851	0.0975293	0.0950837	0.0917629	0.117403	0.0767647	0.157848	0.121619	0.100207	0.156893	0.0639109	0.0841175	0.118929	0.114651	0.115417	0.136695	0.1408	0.115591	0.134751	0.0726773	0.0875033	0.0865097	0.185482	0.0224411	0.0303426	0.0241059	0.0247791	0.0349844	0.0169354	0.0384519	0.0186812	0.0108493	0.0514178	0.0490897	0.0378547	0.0153226	0.0411608	0.0440841	0.0985127	0.0288451	0.0364865	0.0264109	0.0465838	3.948847	0.286322	0.27269	0.105643	0.335345	3.329336
556	0	-14768	-14778.7	10.7304	0.134473	0.097708	0.112432	0.0829232	0.114905	0.102866	0.110731	0.081758	0.101592	0.194072	0.0747375	0.0796585	0.0904005	0.123004	0.105146	0.146259	0.13975	0.12149	0.108516	0.081634	0.0761788	0.0681199	0.176344	0.030673	0.0191924	0.0404337	0.0359747	0.0360628	0.0404795	0.0239381	0.0346495	0.023408	0.025756	0.0970825	0.0385774	0.027223	0.0621301	0.0207077	0.0298165	0.0409466	0.0238591	0.0385059	0.0538186	4.008247	0.283	0.280197	0.0955225	0.34128	3.267934
557	1	-14768.7	-14778.5	9.79416	0.158919	0.112591	0.106563	0.0928637	0.106412	0.0767647	0.141371	0.0766619	0.102412	0.167605	0.0879756	0.0804581	0.0896761	0.109256	0.113549	0.149816	0.12888	0.130237	0.107141	0.0882902	0.0808695	0.0713052	0.189428	0.0238347	0.0338118	0.0178253	0.0111119	0.0248446	0.0383131	0.0503795	0.0162218	0.00718251	0.0514178	0.0508399	0.0338199	0.0295567	0.0879894	0.0546091	0.0954035	0.0358386	0.0583429	0.0279482	0.0467788	3.948847	0.269261	0.286505	0.100629	0.343606	3.365117
558	0	-14769.3	-14779.8	10.4781	0.136363	0.0857828	0.112432	0.0840305	0.108476	0.0838234	0.113726	0.077187	0.089212	0.184609	0.0794127	0.0713264	0.0889772	0.110127	0.13334	0.145062	0.147891	0.123215	0.115892	0.0812631	0.0909103	0.0976562	0.199152	0.0406209	0.0114291	0.0630402	0.0366334	0.0271408	0.0379583	0.0211523	0.0346495	0.0270308	0.0254751	0.11946	0.048133	0.0209023	0.0499183	0.0323809	0.0171554	0.0116054	0.0404442	0.0353344	0.0414094	3.865834	0.28114	0.283342	0.0880829	0.347436	3.301741
