Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-18297.3	-18298.1	0.805302	7.548734	0.0775615	0.0204501	0.0588921	0.171214	0.0589336	0.177209	0.0883831	0.257165	0.0429993	0.196231	0.074874	0.0209507	0.0927435	0.0257851	0.0456286	0.0959305	0.0683636	0.0204181	0.0228576	0.129549	0.0652641	0.0425177	0.0538361	8.59994e-05	0.0148978	0.0462745	0.166187	0.0245928	0.0533564	0.335434	0.109628	0.0933634	0.0363383	0.0567994	0.131396	0.0142855	0.0712481	0.385875	0.0337779	0.254565	0.325776	0.114934	0.0726003	0.582552	0.847281	1.07768	1.49249	0.8091914	0.515056	0.198864	0.165292	0.120788	0.3491467	4.249172
10	-14914	-14915.3	1.30949	1.290554	0.167328	0.0308209	0.117845	0.171214	0.101449	0.208822	0.187621	0.201976	0.084929	0.192096	0.0679907	0.074545	0.141816	0.082897	0.121014	0.158152	0.114465	0.0355956	0.0457129	0.121329	0.0676599	0.0477755	0.166187	0.000329816	0.0560744	0.0352554	0.0671725	0.0115442	0.065048	0.155543	0.054353	0.0271461	0.0709448	0.0223504	0.0943935	0.0115201	0.00917139	0.163052	0.00720214	0.0987599	0.250282	0.130521	0.0591026	0.191081	0.549526	1.03532	2.22407	1.162923	0.242556	0.385669	0.0479438	0.323831	0.4695543	4.099003
20	-13739.3	-13742.3	3.05691	1.93311	0.169289	0.148858	0.144755	0.146046	0.180182	0.057613	0.16385	0.121014	0.084555	0.221979	0.0928873	0.0700072	0.0941947	0.113381	0.126777	0.213774	0.135498	0.109745	0.173883	0.0997263	0.0824093	0.0791564	0.252062	0.000185117	0.0435713	0.0230345	0.0542811	0.0218386	0.0495745	0.0594606	0.0547379	0.0366115	0.0556866	0.0489923	0.0662818	0.0198938	0.0195241	0.0322421	0.00370604	0.0922586	0.0988171	0.059449	0.0271874	0.285157	0.647707	1.06822	1.99891	1.914748	0.220171	0.392291	0.059588	0.327949	0.431328	3.948975
30	-13187.6	-13178	-9.55638	1.000383	0.222226	0.121319	0.142939	0.100803	0.161722	0.115809	0.195767	0.141968	0.103248	0.269227	0.0815092	0.134856	0.118164	0.13488	0.144249	0.233017	0.216485	0.167124	0.162824	0.0774983	0.100054	0.119076	0.335173	0.000149352	0.10419	0.0432121	0.0555886	0.0262118	0.0269343	0.0353642	0.0345378	0.0835464	0.0285189	0.0288734	0.0466982	0.0238083	0.0357023	0.0389324	0.00392091	0.152632	0.168062	0.026858	0.142012	0.13703	0.476867	1.00006	2.38604	7.694469	0.309564	0.377312	0.0844156	0.228708	0.4236256	4.705691
40	-13183.4	-13167.4	-15.9626	1.271639	0.271216	0.114676	0.142939	0.113883	0.196124	0.148821	0.246303	0.127744	0.153831	0.249659	0.101562	0.130938	0.157497	0.168259	0.144249	0.264206	0.225645	0.171954	0.171218	0.0806586	0.137481	0.148323	0.372902	0.00035056	0.0826039	0.0417979	0.06136	0.0457317	0.026007	0.0555976	0.0473252	0.216533	0.0171477	0.0470347	0.0514623	0.0210461	0.0765578	0.0407284	0.00419823	0.113273	0.175264	0.0362067	0.216305	0.187796	0.545536	1.03363	2.23304	7.930762	0.31796	0.374192	0.0837176	0.22413	0.4118889	5.416616
50	-13159.3	-13134.1	-25.2225	0.8883553	0.232313	0.178456	0.126315	0.109744	0.160633	0.163727	0.231812	0.121307	0.131086	0.381827	0.119924	0.129456	0.21625	0.242204	0.197814	0.332455	0.251318	0.180137	0.158335	0.11778	0.174599	0.135897	0.501462	0.00110895	0.12265	0.0892812	0.0570799	0.0213181	0.0173486	0.0590731	0.0284755	0.187792	0.0455902	0.0756981	0.067475	0.0447022	0.10024	0.0203716	0.0128074	0.173536	0.155331	0.0539426	0.202243	0.114175	0.440416	0.978722	2.46669	10.39031	0.336787	0.37958	0.0562759	0.227357	0.3722288	6.130913
60	-13150.3	-13117.7	-32.6079	1.007207	0.307776	0.161083	0.220913	0.138416	0.23679	0.174091	0.30102	0.147071	0.17241	0.369586	0.082704	0.123772	0.230615	0.290997	0.238078	0.23635	0.280067	0.247394	0.243918	0.0952935	0.174599	0.153296	0.533313	0.00113181	0.189521	0.0359439	0.138316	0.014571	0.0313538	0.0225779	0.0640582	0.246979	0.0353956	0.0818017	0.0581325	0.0559851	0.102005	0.0315063	0.0252418	0.169284	0.200524	0.0368447	0.222674	0.13839	0.478907	1.00118	2.38152	10.20765	0.340532	0.377437	0.0559581	0.226073	0.3722288	6.923396
70	-13146.2	-13116	-30.2182	0.88954	0.268609	0.160454	0.218329	0.115382	0.188539	0.162816	0.250224	0.140811	0.15245	0.332846	0.102598	0.16173	0.227138	0.230833	0.206507	0.287808	0.280067	0.193728	0.237994	0.0991581	0.180493	0.086485	0.46432	0.00170074	0.148789	0.0613231	0.0850243	0.00951336	0.022957	0.0238206	0.0389404	0.248207	0.0711196	0.0723207	0.0761277	0.0797994	0.122752	0.035385	0.0363201	0.263161	0.237937	0.0563106	0.196097	0.114422	0.440833	0.978981	2.46576	10.20765	0.342048	0.363675	0.0644685	0.229809	0.3722288	6.636924
80	-13150.2	-13120.8	-29.346	1.018919	0.291161	0.0835373	0.188696	0.128152	0.184282	0.176884	0.278245	0.162075	0.148084	0.386044	0.115818	0.15262	0.195222	0.262158	0.165009	0.373159	0.283814	0.251124	0.241036	0.110215	0.15738	0.0893775	0.370985	0.00250238	0.228045	0.0755166	0.0885518	0.0135046	0.0442745	0.0329288	0.0561123	0.275951	0.0316165	0.0259105	0.0699057	0.033717	0.0927676	0.0250212	0.0737152	0.145966	0.158463	0.0508909	0.28096	0.140713	0.482365	1.00307	2.37386	10.20765	0.342048	0.363675	0.0644685	0.229809	0.3709727	6.601399
90	-13143.8	-13113.4	-30.4074	0.9901016	0.325035	0.165723	0.196218	0.114971	0.189081	0.164105	0.296245	0.161677	0.160469	0.351636	0.105636	0.137635	0.182904	0.176513	0.19152	0.250562	0.301587	0.247069	0.208837	0.102707	0.141558	0.0864769	0.468447	0.00200675	0.166021	0.0641498	0.102767	0.0538862	0.032871	0.0499614	0.0329644	0.243378	0.0388517	0.105902	0.0845332	0.0894023	0.0917983	0.00605456	0.10059	0.194894	0.194043	0.0560422	0.260334	0.134975	0.473756	0.99834	2.39293	10.20765	0.344386	0.36616	0.0580747	0.231379	0.3804348	6.697062
