Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-13141.3	-13114.5	-26.8128	0.8857053	0.264318	0.11511	0.187562	0.129447	0.238305	0.143176	0.262204	0.108767	0.164028	0.348713	0.103101	0.13681	0.197881	0.216502	0.186165	0.307094	0.253642	0.210591	0.226698	0.0869629	0.149709	0.0806977	0.466137	0.0105317	0.110993	0.0712543	0.0142613	0.0127342	0.191799	0.0610146	0.0689798	0.0673362	0.103155	0.0550735	0.0515909	0.220678	0.0158553	0.067608	0.0533744	0.16657	0.0660106	0.109238	0.169228	0.113624	0.439481	0.978141	2.46876	10.95549	0.342218	0.377003	0.0593261	0.221453	0.3427443	6.270905
110	-13150.1	-13119.3	-30.7565	0.9458194	0.3098	0.228767	0.166744	0.100225	0.231976	0.166871	0.271868	0.154835	0.133983	0.331447	0.103961	0.134757	0.216038	0.194031	0.228114	0.327682	0.291885	0.238166	0.215686	0.114066	0.145845	0.0797247	0.536714	0.0292075	0.0720765	0.0724442	0.0191886	0.0297827	0.148494	0.127275	0.0798939	0.068789	0.123461	0.0536757	0.0577342	0.114304	0.0215341	0.0518309	0.0592046	0.260439	0.0734827	0.109312	0.199532	0.126021	0.459838	0.990408	2.42373	10.83249	0.348159	0.366188	0.060356	0.225297	0.3427443	6.694847
120	-13151	-13121.3	-29.64	0.8884188	0.253258	0.17444	0.174836	0.07931	0.229229	0.0886723	0.24166	0.146284	0.143433	0.304637	0.145345	0.135311	0.240824	0.18357	0.187135	0.299487	0.293666	0.25644	0.197158	0.14314	0.140027	0.0711562	0.497239	0.0860903	0.0836172	0.0528804	0.0427884	0.0285071	0.162054	0.0735263	0.0294394	0.0867323	0.108806	0.124691	0.0503723	0.158782	0.0270797	0.0860501	0.0875194	0.270839	0.0656128	0.107506	0.199532	0.114189	0.440439	0.978736	2.46664	10.83249	0.349261	0.367348	0.0605472	0.222843	0.3410323	6.558681
130	-13140.7	-13108	-32.742	0.771505	0.295634	0.176488	0.168237	0.105593	0.239854	0.189741	0.253075	0.150104	0.177205	0.304824	0.118117	0.139052	0.240824	0.236065	0.222669	0.287042	0.289726	0.171976	0.2625	0.123131	0.158693	0.127027	0.477281	0.0314261	0.132981	0.0439989	0.0377818	0.0352716	0.22553	0.0698555	0.096265	0.0578864	0.119471	0.0515395	0.0811775	0.239287	0.00830123	0.0495942	0.0573332	0.234559	0.0470149	0.103694	0.171629	0.0894825	0.395404	0.948735	2.56638	10.83249	0.349261	0.367348	0.0605472	0.222843	0.3410323	6.809454
140	-13147	-13115.3	-31.707	0.9623104	0.335246	0.11537	0.193543	0.14252	0.226024	0.152536	0.253075	0.184837	0.119473	0.321789	0.124229	0.134037	0.240824	0.206905	0.289179	0.289733	0.307688	0.186716	0.235876	0.128446	0.164635	0.111957	0.509691	0.0476204	0.0795401	0.110186	0.0202297	0.0262411	0.145487	0.0591064	0.0486516	0.0394981	0.138702	0.0812165	0.0973577	0.214898	0.0233449	0.0297408	0.0355468	0.204133	0.074345	0.105343	0.240949	0.129374	0.465123	0.993463	2.41204	10.83249	0.349261	0.367348	0.0605472	0.222843	0.3410323	6.796468
150	-13137.3	-13106.9	-30.4669	0.8032461	0.296754	0.151272	0.160944	0.114647	0.184119	0.188336	0.227083	0.114029	0.163376	0.321789	0.116707	0.196058	0.207909	0.246943	0.197018	0.332743	0.314425	0.200781	0.236462	0.105085	0.129426	0.12205	0.434915	0.0378697	0.0990527	0.0430235	0.04345	0.0221517	0.146949	0.0878832	0.0441452	0.0802352	0.159705	0.0731948	0.0599342	0.208225	0.0251789	0.0259223	0.0627987	0.147905	0.0832699	0.142982	0.237493	0.0962493	0.408438	0.95785	2.53746	11.0023	0.349261	0.367348	0.0605472	0.222843	0.3410323	6.59424
160	-13143.2	-13112.5	-30.6871	0.8359422	0.252458	0.11301	0.204408	0.183089	0.17641	0.163427	0.295912	0.135296	0.13122	0.342207	0.0777307	0.167212	0.209103	0.256504	0.198235	0.35079	0.264763	0.195573	0.224576	0.0885334	0.158881	0.0995481	0.513142	0.0335666	0.146295	0.0910004	0.057601	0.010396	0.112941	0.0800267	0.0702995	0.0747017	0.116009	0.0497034	0.0727879	0.21334	0.0518898	0.0302432	0.0558181	0.216554	0.116686	0.0982463	0.176463	0.103181	0.421212	0.966437	2.50917	9.658513	0.349261	0.367348	0.0605472	0.222843	0.3410323	6.676597
170	-13142	-13109.7	-32.3381	0.9151108	0.274016	0.114313	0.19909	0.122569	0.19929	0.18949	0.28616	0.122599	0.197496	0.318304	0.131222	0.147598	0.234939	0.256504	0.230122	0.357845	0.268097	0.227995	0.197937	0.137921	0.158881	0.0723539	0.5121	0.0245432	0.128593	0.0532006	0.0349186	0.00587383	0.137792	0.10625	0.0605324	0.0948524	0.154188	0.0530505	0.0343283	0.223462	0.0598318	0.0310096	0.0457304	0.223201	0.0473945	0.123347	0.2341	0.11972	0.44966	0.984375	2.44624	11.06404	0.358404	0.362187	0.0596965	0.219712	0.3410323	6.833044
180	-13159.7	-13129.9	-29.7909	0.7282439	0.321537	0.107592	0.175111	0.145418	0.162924	0.126781	0.232429	0.189914	0.142293	0.310808	0.121043	0.112628	0.206767	0.236376	0.220821	0.344016	0.179285	0.130846	0.222071	0.121675	0.134295	0.123162	0.410821	0.0600491	0.0686126	0.0954455	0.0957679	0.00286017	0.191687	0.120035	0.0477207	0.0903406	0.150952	0.0521183	0.0881553	0.222874	0.0537577	0.0672846	0.0397463	0.193871	0.0136388	0.0921381	0.27349	0.0802285	0.376557	0.934901	2.60831	10.49078	0.358404	0.362187	0.0596965	0.219712	0.3737771	6.499159
190	-13143.7	-13110.8	-32.9496	0.8207832	0.263151	0.188365	0.162771	0.175517	0.181513	0.178802	0.253671	0.173066	0.128219	0.289691	0.137684	0.124091	0.212211	0.252921	0.27993	0.336744	0.285244	0.166811	0.293472	0.119905	0.146499	0.143874	0.520739	0.0264229	0.122957	0.0432354	0.0455101	0.00378474	0.186766	0.0663601	0.0597762	0.0553151	0.190796	0.063347	0.0557991	0.204468	0.0312819	0.0320032	0.0833282	0.172657	0.0332498	0.133618	0.19531	0.0999729	0.415369	0.962551	2.52211	12.03372	0.360774	0.364582	0.0565169	0.218127	0.3678621	6.820877
