Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
130	0	-13149.8	-13117.8	-31.9374	0.8003344	0.300006	0.135063	0.19698	0.138855	0.195889	0.120427	0.313799	0.199843	0.145068	0.320045	0.100883	0.137553	0.231884	0.250476	0.152172	0.279327	0.242002	0.235817	0.203359	0.101285	0.136729	0.0645196	0.488276	0.0526577	0.0611198	0.0619038	0.0100169	0.0735365	0.204372	0.132618	0.0691435	0.102411	0.158267	0.0511562	0.0463471	0.228845	0.0696181	0.0109243	0.0791312	0.304155	0.0110174	0.0688329	0.239146	0.0956299	0.407269	0.957048	2.54005	11.47033	0.356902	0.371768	0.063063	0.208267	0.3735047	6.725479
131	1	-13154	-13118	-35.9805	0.8344696	0.3438	0.124745	0.16133	0.123483	0.258114	0.135224	0.294552	0.133264	0.168745	0.426005	0.141851	0.118902	0.206431	0.275301	0.173899	0.372456	0.245378	0.173711	0.247643	0.0959569	0.226957	0.141862	0.47373	0.0677461	0.192785	0.0783465	0.147216	0.076701	0.0217938	0.0474228	0.108042	0.259647	0.0193376	0.0143974	0.0850398	0.0442519	0.0915893	0.00787493	0.0998387	0.198478	0.198203	0.0771366	0.252242	0.10287	0.42065	0.966067	2.51041	11.34113	0.35309	0.378873	0.0623033	0.205734	0.3706963	7.151428
132	0	-13146.5	-13111.6	-34.9027	0.8574954	0.300954	0.149724	0.142621	0.161667	0.250159	0.159144	0.320719	0.155291	0.139809	0.31941	0.10443	0.127275	0.253264	0.199641	0.162416	0.360518	0.32899	0.253581	0.217447	0.112478	0.131889	0.154883	0.568822	0.0593072	0.114765	0.0744228	0.0460723	0.0407529	0.216062	0.0646754	0.0612873	0.0429562	0.145873	0.0897095	0.0516479	0.227269	0.0649754	0.0636467	0.0853533	0.234541	0.0240612	0.100656	0.184139	0.107721	0.429292	0.971696	2.49129	10.93743	0.357744	0.361864	0.0630849	0.217307	0.3665899	7.067305
133	1	-13164.9	-13122.4	-42.4458	0.6865705	0.265683	0.212152	0.188363	0.121848	0.234936	0.159229	0.246035	0.133264	0.207133	0.421225	0.123045	0.154353	0.196062	0.252501	0.254417	0.350196	0.334135	0.297513	0.324485	0.146508	0.134744	0.12938	0.673732	0.0235473	0.243375	0.0355795	0.0914505	0.0129944	0.0423783	0.028099	0.0852032	0.18643	0.0882125	0.108213	0.0801948	0.0867081	0.1522	0.0342989	0.0824787	0.18719	0.23712	0.0778257	0.252242	0.0713223	0.357124	0.919788	2.65177	11.81253	0.35309	0.378873	0.0623033	0.205734	0.358274	7.696681
134	0	-13145.6	-13112.9	-32.6539	0.8464311	0.322008	0.242336	0.201945	0.108942	0.237951	0.162498	0.280439	0.13136	0.121441	0.356191	0.103649	0.129272	0.250126	0.21255	0.200991	0.328291	0.336847	0.218618	0.243426	0.0951628	0.162505	0.109313	0.514384	0.0167747	0.0541607	0.0713418	0.0372618	0.0588533	0.150825	0.0368873	0.0619066	0.0594991	0.16977	0.0529288	0.0613286	0.234731	0.0146528	0.0657858	0.0682339	0.235332	0.0294738	0.121091	0.180562	0.105393	0.425177	0.969034	2.5004	10.47418	0.356063	0.364863	0.0627884	0.216286	0.347935	6.851646
135	1	-13156.2	-13116.9	-39.3063	0.6559842	0.321237	0.15424	0.224429	0.141319	0.27117	0.17885	0.246035	0.121973	0.177204	0.417376	0.123045	0.188606	0.215757	0.240901	0.28616	0.282376	0.249296	0.228715	0.247991	0.108236	0.219563	0.0747213	0.569093	0.0180473	0.150352	0.00736347	0.106868	0.0275419	0.0598102	0.113456	0.0905114	0.231243	0.0531053	0.0932423	0.100785	0.0687582	0.143126	0.000869828	0.0912904	0.189505	0.192617	0.0855763	0.263225	0.064823	0.342	0.907398	2.68578	11.31532	0.345815	0.371067	0.0610197	0.222098	0.3696328	7.375588
136	0	-13154.5	-13127.5	-26.9196	0.9829279	0.255839	0.217223	0.246353	0.147708	0.247805	0.127206	0.193886	0.103837	0.158409	0.34959	0.0964579	0.102414	0.232495	0.263341	0.247008	0.27447	0.260649	0.207914	0.198656	0.095034	0.151145	0.109313	0.426706	0.0262011	0.0417152	0.0692007	0.00297655	0.0158554	0.118194	0.0724785	0.0919945	0.0248075	0.155989	0.096321	0.0490522	0.2233	0.0183931	0.0460608	0.101691	0.192763	0.0419184	0.0822995	0.165842	0.133535	0.47156	0.997113	2.39779	10.05707	0.351363	0.360047	0.0619597	0.22663	0.3650133	6.350513
137	1	-13153.4	-13118.4	-35.0095	0.7395763	0.280418	0.168842	0.217147	0.145739	0.235772	0.119501	0.234263	0.128519	0.148179	0.304974	0.125413	0.163867	0.298978	0.209379	0.25033	0.38884	0.245079	0.224842	0.277606	0.0696107	0.134989	0.129605	0.561494	0.118654	0.144836	0.0570158	0.108091	0.0439067	0.0448602	0.0809902	0.039798	0.191767	0.0285904	0.0711378	0.0846058	0.0209497	0.0905106	0.000391096	0.0999845	0.116572	0.206666	0.040281	0.341881	0.0826539	0.38162	0.938696	2.59703	11.56685	0.345815	0.371067	0.0610197	0.222098	0.4033349	6.994878
138	0	-13139.8	-13112.2	-27.5774	0.9933199	0.306993	0.131081	0.234792	0.123518	0.211386	0.109528	0.219076	0.167001	0.135345	0.360497	0.122046	0.146147	0.211714	0.18887	0.251462	0.338222	0.301827	0.20603	0.188577	0.105936	0.132511	0.109313	0.438111	0.0292143	0.10745	0.0443295	0.00974874	0.0329312	0.130157	0.0746268	0.073107	0.0429659	0.147568	0.076407	0.0284587	0.184325	0.0132743	0.0674305	0.0889909	0.194387	0.0578186	0.100342	0.174181	0.135619	0.474735	0.998884	2.39076	10.133	0.366356	0.352567	0.0606724	0.220405	0.3845058	6.417697
139	1	-13148.8	-13114.6	-34.2079	0.6641866	0.319249	0.192282	0.244163	0.143363	0.186947	0.133606	0.24741	0.168352	0.159984	0.285876	0.122983	0.137836	0.239751	0.231638	0.169349	0.379948	0.28695	0.200331	0.317762	0.0742333	0.1556	0.123005	0.460753	0.101946	0.182417	0.068928	0.0978777	0.0650872	0.0630939	0.0344039	0.0673125	0.212387	0.0295313	0.0636484	0.0758591	0.0127625	0.089741	0.0065054	0.0520798	0.177333	0.184884	0.0378568	0.270036	0.0665611	0.346131	0.910838	2.67647	11.20799	0.358875	0.371097	0.0581984	0.211829	0.3738	6.875063
140	0	-13142.8	-13112.5	-30.2569	0.9425317	0.289571	0.154628	0.187836	0.145549	0.211386	0.159888	0.185111	0.166258	0.140885	0.408923	0.141487	0.11747	0.178988	0.245528	0.197342	0.291792	0.313604	0.240789	0.2391	0.105936	0.118248	0.0989302	0.438111	0.0403355	0.0562206	0.0406049	0.0332911	0.0351604	0.130157	0.0660607	0.0700824	0.0957861	0.18364	0.0272252	0.0318904	0.234148	0.0304333	0.0895751	0.0619418	0.250489	0.0491114	0.122221	0.200788	0.12535	0.45877	0.989784	2.4261	11.38786	0.366356	0.352567	0.0606724	0.220405	0.3991707	6.626524
141	1	-13146.2	-13112	-34.2348	0.8339503	0.301369	0.139285	0.191834	0.182442	0.182842	0.185716	0.289801	0.146685	0.158274	0.358229	0.130415	0.0941751	0.17612	0.237121	0.230857	0.388226	0.347134	0.237666	0.250024	0.115593	0.138681	0.154021	0.455826	0.0455755	0.163534	0.112042	0.118991	0.0754089	0.0536544	0.0603281	0.0962407	0.186474	0.00657408	0.0542251	0.0499993	0.0355471	0.108206	0.0184085	0.0248874	0.120318	0.182421	0.0877213	0.290331	0.10276	0.420452	0.965936	2.51085	11.12356	0.357247	0.366039	0.0658463	0.210868	0.3605554	6.983222
142	0	-13147.2	-13112.1	-35.1326	0.9571106	0.35526	0.11839	0.259728	0.170597	0.260207	0.187601	0.315399	0.156337	0.149677	0.32866	0.14595	0.18228	0.1965	0.278745	0.176519	0.338298	0.33083	0.19175	0.263916	0.103778	0.127267	0.158497	0.51177	0.0403355	0.0949339	0.057998	0.0231184	0.0609573	0.152598	0.0861768	0.0487539	0.0523956	0.151703	0.0974645	0.0513018	0.248464	0.0341855	0.0808978	0.0456789	0.184662	0.0388486	0.0805195	0.204913	0.128319	0.46347	0.992513	2.4157	10.61382	0.366537	0.352741	0.0602072	0.220514	0.3768566	7.143861
143	1	-13155.7	-13117.2	-38.4564	0.8966779	0.348616	0.14149	0.22003	0.121094	0.264546	0.166014	0.274632	0.196802	0.156226	0.346156	0.134063	0.160657	0.229516	0.227421	0.185741	0.359375	0.283341	0.296008	0.248911	0.105371	0.185326	0.0988661	0.518106	0.0273666	0.151702	0.0662505	0.146992	0.0744928	0.0540074	0.0408328	0.0267511	0.295805	0.0597754	0.119087	0.0973908	0.0965262	0.103147	0.0520131	0.108129	0.160332	0.243627	0.0714038	0.157515	0.115905	0.44333	0.980522	2.46024	11.57216	0.351096	0.359737	0.0713606	0.217807	0.3806166	7.421455
144	0	-13148.3	-13111.4	-36.9136	0.9066218	0.35232	0.151476	0.209978	0.143656	0.241873	0.154667	0.298551	0.105741	0.153562	0.316307	0.112685	0.124369	0.25312	0.310259	0.186058	0.374189	0.266238	0.203353	0.290293	0.100105	0.168851	0.113364	0.620797	0.0285496	0.11697	0.0628283	0.0502928	0.0361806	0.0907617	0.0893132	0.0472176	0.082946	0.119716	0.0829016	0.0438684	0.312138	0.0977891	0.0205064	0.0570429	0.251826	0.078798	0.155946	0.200657	0.117966	0.446766	0.982623	2.45264	11.35512	0.35421	0.37451	0.0581823	0.213098	0.3566841	7.278059
145	1	-13137.7	-13106.9	-30.8164	0.9952472	0.260549	0.132517	0.202271	0.138342	0.242607	0.126461	0.251928	0.185718	0.0829283	0.348139	0.121169	0.132659	0.22688	0.220541	0.195065	0.329954	0.274772	0.219912	0.255428	0.099501	0.159358	0.139353	0.503808	0.0565502	0.121558	0.0624258	0.112869	0.0469424	0.0132779	0.0707433	0.0726492	0.233274	0.0180115	0.0620519	0.0665174	0.0352508	0.106046	0.0705756	0.111013	0.175603	0.164351	0.0908039	0.181183	0.136004	0.475319	0.999208	2.38947	10.78109	0.354583	0.363309	0.0621375	0.21997	0.3837305	6.721559
146	0	-13152.8	-13116.4	-36.3705	0.6717542	0.31461	0.236708	0.204773	0.192304	0.196927	0.129273	0.276013	0.138828	0.13772	0.392997	0.133929	0.0968167	0.204913	0.222448	0.28938	0.294919	0.292446	0.221058	0.310047	0.129397	0.139016	0.117313	0.451292	0.00793815	0.0661858	0.0436204	0.00666356	0.0719754	0.184146	0.0893132	0.0769109	0.0556058	0.23155	0.0571198	0.0442859	0.300814	0.0452375	0.059738	0.0741152	0.238258	0.0474683	0.132729	0.161595	0.0681681	0.349892	0.913934	2.66801	10.515	0.342023	0.369143	0.0593468	0.229487	0.3466242	7.118399
147	1	-13163.5	-13129.4	-34.0991	0.9982741	0.287879	0.14107	0.229186	0.089934	0.219853	0.144444	0.298314	0.115687	0.113583	0.39656	0.091402	0.105092	0.26733	0.222531	0.190105	0.410416	0.342981	0.189956	0.315003	0.0771352	0.179426	0.122012	0.51059	0.00784742	0.17586	0.0938384	0.0633996	0.0567349	0.0226464	0.112384	0.0578264	0.24893	0.0346767	0.0938632	0.0731395	0.0624208	0.0959924	0.0557476	0.131589	0.0990281	0.199903	0.0657423	0.237037	0.136609	0.476232	0.999713	2.38744	10.8402	0.347538	0.356091	0.0609028	0.235469	0.3573591	7.049099
148	0	-13138.4	-13104.2	-34.1962	0.8725648	0.298995	0.140137	0.176027	0.133441	0.231921	0.145151	0.258644	0.147055	0.139852	0.366174	0.142244	0.162755	0.206783	0.273157	0.177527	0.305543	0.278125	0.231756	0.279341	0.0835038	0.169894	0.126809	0.629818	0.0276804	0.119117	0.0505715	0.036996	0.0399976	0.154729	0.0991054	0.0357165	0.0963723	0.131735	0.102357	0.029574	0.24278	0.0389913	0.0170233	0.0524911	0.248832	0.0927729	0.120072	0.161595	0.11088	0.434788	0.975198	2.47913	10.957	0.3474	0.374946	0.0592556	0.218398	0.3535108	7.003163
149	1	-13150.6	-13118.9	-31.6506	0.7690575	0.293751	0.159635	0.175859	0.137404	0.219415	0.124153	0.282267	0.138692	0.101885	0.3401	0.130249	0.141544	0.247029	0.207312	0.17646	0.409713	0.221509	0.230444	0.248657	0.113483	0.172813	0.0819307	0.516991	0.0119979	0.0955687	0.0677613	0.0971097	0.102271	0.0165114	0.08476	0.0973939	0.221995	0.0857908	0.0433064	0.0909907	0.0232362	0.0748299	0.0342388	0.0911875	0.117617	0.218324	0.0889716	0.154818	0.0889596	0.394371	0.947998	2.56867	11.12117	0.334862	0.373461	0.0599379	0.231739	0.3723732	6.689976
150	0	-13142.6	-13113.4	-29.124	0.9857562	0.261326	0.154405	0.223062	0.133441	0.198259	0.153838	0.250891	0.11883	0.14072	0.318032	0.104119	0.150744	0.238838	0.201799	0.191765	0.303594	0.252459	0.197857	0.25326	0.135351	0.187372	0.0932365	0.593006	0.0342646	0.140291	0.0416409	0.00170066	0.0307668	0.121421	0.0590213	0.0379549	0.0405553	0.188498	0.0613512	0.0198601	0.216381	0.0546927	0.0174281	0.106129	0.250301	0.0566327	0.0966954	0.148327	0.134103	0.472428	0.997599	2.39587	9.813134	0.341907	0.377215	0.0611573	0.21972	0.3403127	6.580119
151	1	-13139.8	-13104.7	-35.1071	0.9509936	0.38422	0.172843	0.206903	0.134576	0.199615	0.187639	0.299499	0.195948	0.155807	0.407312	0.120124	0.121148	0.193252	0.268414	0.184107	0.353716	0.32597	0.228625	0.227967	0.0877785	0.137909	0.105283	0.516991	0.0332314	0.200871	0.0656966	0.0928463	0.0596073	0.0333818	0.0335319	0.0903431	0.160081	0.0263003	0.0807629	0.05043	0.0574933	0.0834033	0.0636467	0.0898556	0.151446	0.176635	0.0629377	0.318557	0.127075	0.461509	0.99138	2.42004	10.3686	0.335191	0.373828	0.0590158	0.231966	0.3723732	7.146704
152	0	-13143.2	-13113.8	-29.4054	0.9060345	0.269413	0.229656	0.240307	0.108633	0.204075	0.0990227	0.247483	0.163435	0.113883	0.358777	0.103756	0.144498	0.246846	0.211065	0.205266	0.340602	0.234338	0.223753	0.256895	0.0849241	0.144946	0.11734	0.497516	0.0286363	0.102896	0.0823851	0.0169161	0.0258003	0.179233	0.0639061	0.0494209	0.038735	0.199484	0.0743729	0.00635357	0.18756	0.0613948	0.0236134	0.061744	0.181735	0.0713787	0.081331	0.19555	0.117845	0.446565	0.982501	2.45309	9.726419	0.3324	0.384479	0.0594568	0.223664	0.340028	6.578878
153	1	-13149.8	-13112.3	-37.5194	0.9109996	0.276023	0.172372	0.244703	0.125955	0.209579	0.160732	0.242346	0.128255	0.198326	0.320185	0.150711	0.150985	0.199902	0.33488	0.163074	0.389952	0.333944	0.242299	0.248553	0.07836	0.179299	0.121464	0.578463	0.061954	0.135352	0.0703138	0.120375	0.0706851	0.0159831	0.0713277	0.095422	0.244725	0.0159455	0.0804624	0.0526108	0.0830187	0.175961	0.0668424	0.103763	0.128305	0.227516	0.0797358	0.219389	0.118872	0.448263	0.983531	2.44933	10.40729	0.333639	0.372098	0.063371	0.230892	0.3736637	7.370048
154	0	-13150	-13115.2	-34.7308	0.8084742	0.292095	0.146702	0.258761	0.16846	0.23269	0.140995	0.231511	0.147702	0.159458	0.322782	0.144101	0.11798	0.17682	0.289935	0.200516	0.314169	0.274931	0.238909	0.276814	0.0888604	0.186412	0.0708661	0.600338	0.0529781	0.0815046	0.0690041	0.0249096	0.0347199	0.204625	0.0905161	0.0271985	0.0481445	0.141999	0.0541894	0.0532183	0.218011	0.0602644	0.0239036	0.0887902	0.21257	0.0396981	0.134166	0.245714	0.0973607	0.410524	0.959276	2.53284	12.19397	0.350625	0.364358	0.062515	0.222502	0.3432321	6.987933
155	1	-13151.7	-13112.6	-39.1332	0.7766319	0.248657	0.141231	0.189239	0.185843	0.288697	0.153361	0.29764	0.203204	0.198182	0.355627	0.133724	0.142377	0.207798	0.240579	0.21929	0.365304	0.291923	0.200753	0.362932	0.055073	0.181511	0.136929	0.578463	0.0456034	0.200895	0.0483423	0.152827	0.0518055	0.0362418	0.030771	0.0827851	0.17134	0.00909973	0.0822002	0.0796671	0.0424252	0.148636	0.0394512	0.0875883	0.142393	0.272783	0.0924382	0.213446	0.0905774	0.397553	0.950263	2.56161	12.25211	0.339798	0.379957	0.0647095	0.215536	0.393179	7.409077
156	0	-13155.5	-13123.2	-32.2919	0.8730426	0.369861	0.116558	0.162534	0.103165	0.23269	0.161186	0.260195	0.157395	0.130198	0.454222	0.129447	0.10735	0.270881	0.2634	0.266041	0.334855	0.190625	0.247728	0.232537	0.084689	0.149906	0.0481229	0.516256	0.014	0.122816	0.0506947	0.0246032	0.0504749	0.15324	0.124885	0.0595205	0.0864613	0.116814	0.0749712	0.0327579	0.17616	0.0239764	0.0568594	0.0685716	0.224982	0.0508845	0.0761109	0.216455	0.11098	0.43496	0.975307	2.47875	11.5449	0.339861	0.382396	0.0620717	0.215671	0.4118193	6.795082
157	1	-13141	-13112.9	-28.1888	0.9315388	0.251534	0.141408	0.216972	0.12484	0.205061	0.126776	0.193587	0.178289	0.105783	0.330586	0.101654	0.170858	0.166691	0.203139	0.220787	0.267739	0.254479	0.252351	0.275583	0.085924	0.140007	0.121698	0.438296	0.00527612	0.178315	0.0571901	0.0951748	0.0577978	0.0171871	0.0667095	0.0480698	0.250792	0.0212366	0.0910452	0.0860102	0.0409204	0.0815936	0.0480716	0.0878249	0.179534	0.238056	0.079154	0.155292	0.1231	0.455161	0.98766	2.43408	9.989724	0.341852	0.382253	0.058225	0.217671	0.3818273	6.45929
158	0	-13149	-13114.2	-34.7746	0.8427908	0.28651	0.137763	0.171464	0.156012	0.170514	0.178772	0.213362	0.128464	0.13293	0.364838	0.147735	0.191442	0.257396	0.250595	0.20896	0.357369	0.294671	0.238647	0.281414	0.108815	0.191636	0.121872	0.567659	0.0193428	0.173755	0.033127	0.0248687	0.0574147	0.226269	0.0803382	0.0522476	0.0849722	0.146056	0.0615905	0.03785	0.243578	0.0427128	0.0199656	0.0382542	0.214283	0.0588647	0.10724	0.181405	0.104626	0.423808	0.968141	2.50342	10.44142	0.339861	0.382396	0.0620717	0.215671	0.362091	7.062977
159	1	-13146.4	-13113.3	-33.1712	0.9551898	0.269902	0.115605	0.183875	0.126941	0.180111	0.153922	0.259981	0.176183	0.113498	0.318394	0.12905	0.164106	0.27029	0.227069	0.163797	0.364365	0.269077	0.209258	0.290199	0.120613	0.140007	0.133882	0.55546	0.00487202	0.131665	0.0617765	0.15662	0.0839265	0.0486811	0.0545822	0.0861198	0.316888	0.0534227	0.0640078	0.0755651	0.0452205	0.115064	0.0548456	0.0767893	0.136187	0.218479	0.057491	0.176193	0.127929	0.462856	0.992159	2.41706	10.39361	0.33225	0.371516	0.06575	0.230484	0.3776218	6.953981
160	0	-13146.2	-13110.2	-35.9591	0.7122444	0.314354	0.13764	0.180686	0.118726	0.194127	0.110851	0.297489	0.152924	0.178214	0.37263	0.0907114	0.159492	0.216507	0.36428	0.195791	0.417779	0.320002	0.220854	0.258287	0.114306	0.160293	0.0984385	0.509426	0.0199393	0.102077	0.0454211	0.0278698	0.0574147	0.190218	0.0752228	0.0830874	0.0553582	0.172653	0.0484126	0.0386865	0.194886	0.087735	0.0431204	0.0438427	0.189694	0.0556834	0.111115	0.222843	0.0768054	0.369251	0.929323	2.62462	12.37256	0.346854	0.368035	0.0646062	0.220504	0.3421854	7.04909
161	1	-13152.4	-13111.5	-40.9681	0.8088173	0.268639	0.1727	0.195056	0.178519	0.275052	0.161229	0.33349	0.167653	0.185969	0.397846	0.151682	0.217994	0.291033	0.241973	0.296901	0.366055	0.276279	0.299195	0.247817	0.107125	0.188393	0.116546	0.569893	0.0714946	0.210601	0.0709924	0.106825	0.0407957	0.017274	0.039584	0.0420496	0.20961	0.0304119	0.0277718	0.0509791	0.0634184	0.157272	0.0524458	0.114443	0.141277	0.128104	0.0811291	0.278404	0.0974336	0.41066	0.959368	2.53254	11.17805	0.35525	0.363811	0.0643863	0.216553	0.3373134	7.641919
162	0	-13162.5	-13123.4	-39.1402	0.8373655	0.295635	0.184041	0.300472	0.218901	0.2627	0.124374	0.278494	0.143658	0.134764	0.369854	0.0863273	0.159492	0.295209	0.243502	0.277772	0.278381	0.274743	0.304199	0.251762	0.109856	0.140489	0.106963	0.685555	0.0417908	0.1346	0.0610659	0.0312373	0.0203379	0.173564	0.0642059	0.046689	0.040799	0.244278	0.0686518	0.0636765	0.202123	0.0143442	0.0297698	0.0486425	0.2993	0.0472195	0.0993708	0.222843	0.103481	0.421754	0.966794	2.50797	10.92315	0.348787	0.370086	0.0593933	0.221733	0.3223377	7.48165
163	1	-13150.6	-13113.6	-36.945	0.8342241	0.344737	0.0953701	0.190705	0.119203	0.225045	0.137445	0.186566	0.151761	0.118508	0.374623	0.106977	0.149187	0.196835	0.298625	0.260051	0.397846	0.287971	0.197351	0.255066	0.0743948	0.168907	0.114111	0.506759	0.0336524	0.187315	0.0522465	0.106409	0.094409	0.00896581	0.0873824	0.107947	0.291395	0.0693198	0.0810484	0.108538	0.0637456	0.0797803	0.0572823	0.0919506	0.168356	0.217986	0.115704	0.21166	0.102818	0.420556	0.966005	2.51062	13.25294	0.360623	0.369314	0.0594359	0.210627	0.36543	7.193137
164	0	-13161.3	-13122.1	-39.2178	0.7839096	0.251075	0.156376	0.239328	0.12259	0.269333	0.142496	0.319164	0.255862	0.0824496	0.47939	0.118084	0.0907796	0.245518	0.243941	0.182519	0.370108	0.367953	0.294905	0.272393	0.0983742	0.150444	0.0707789	0.586189	0.0242257	0.101345	0.0658649	0.0275971	0.0462475	0.165361	0.106301	0.0785346	0.0860829	0.128028	0.0929663	0.0779984	0.214132	0.0344521	0.0110449	0.0714782	0.241147	0.0644297	0.15226	0.261666	0.0921305	0.400574	0.952395	2.5549	10.92315	0.338131	0.376595	0.0627676	0.222506	0.3436935	7.461212
165	1	-13149.6	-13110.3	-39.2911	0.8034457	0.28047	0.13192	0.204727	0.174074	0.246153	0.157739	0.254009	0.136259	0.123959	0.39941	0.132581	0.133604	0.283055	0.212097	0.23995	0.353467	0.324185	0.21943	0.34704	0.072897	0.150599	0.136585	0.588357	0.0207477	0.16369	0.0599879	0.077201	0.0713213	0.0426688	0.0782484	0.0557457	0.217428	0.00505611	0.0797172	0.0933765	0.0327745	0.109279	0.0755724	0.130097	0.111112	0.239567	0.106395	0.34203	0.0962918	0.408518	0.957905	2.53729	13.15	0.360676	0.369368	0.0592989	0.210658	0.3777973	7.414582
166	0	-13148	-13113.3	-34.7049	0.8000458	0.345142	0.136998	0.156994	0.125832	0.204823	0.199865	0.27748	0.168349	0.171646	0.358189	0.0983028	0.168914	0.223229	0.21016	0.204238	0.473748	0.295541	0.223166	0.256056	0.066351	0.179486	0.0930485	0.570566	0.0346406	0.104471	0.0428012	0.0256644	0.0448811	0.119818	0.0614438	0.0622758	0.0622565	0.193953	0.0594702	0.069707	0.265051	0.0134933	0.0355921	0.121835	0.188215	0.0337319	0.121292	0.17261	0.0955685	0.407152	0.956968	2.54031	10.21331	0.346743	0.365259	0.0598243	0.228173	0.3433804	7.041328
167	1	-13159.2	-13114	-45.1141	0.7848321	0.353636	0.146372	0.242477	0.143053	0.282237	0.167577	0.338891	0.157126	0.237097	0.405753	0.098775	0.197128	0.232628	0.351022	0.23327	0.349164	0.380287	0.213169	0.25968	0.081862	0.155006	0.137357	0.448078	0.0210137	0.240094	0.0735938	0.116873	0.0288301	0.0149126	0.119684	0.0644161	0.211781	0.0229612	0.0671566	0.0492713	0.0397402	0.234015	0.0411137	0.0880578	0.214538	0.336011	0.0797033	0.319652	0.0923273	0.400955	0.952662	2.55406	12.8459	0.339079	0.37912	0.0615611	0.220239	0.359726	7.995065
168	0	-13138.7	-13111	-27.6537	0.7869567	0.233227	0.125962	0.154502	0.143183	0.166261	0.153342	0.226395	0.132599	0.113827	0.361114	0.103125	0.146324	0.234182	0.200483	0.226275	0.32149	0.269653	0.187709	0.271665	0.0938433	0.0909883	0.132786	0.404645	0.043012	0.0895408	0.0781706	0.0221463	0.0535665	0.139427	0.103698	0.0584711	0.0703924	0.126527	0.0809123	0.0557688	0.24687	0.0583247	0.0495468	0.0553134	0.158393	0.087755	0.0784984	0.163606	0.0927803	0.401829	0.953274	2.55212	10.69857	0.337243	0.37819	0.062645	0.221922	0.3651634	6.313518
169	1	-13149.2	-13105.9	-43.2312	0.879729	0.381446	0.1389	0.237949	0.145766	0.313946	0.148581	0.248989	0.202306	0.129292	0.349113	0.136318	0.20053	0.2448	0.25109	0.193092	0.360703	0.311677	0.265553	0.305708	0.109189	0.178386	0.109991	0.573269	0.0212009	0.160355	0.0614704	0.11397	0.0527736	0.00967289	0.110279	0.130181	0.28037	0.0362078	0.0818936	0.0830211	0.0853255	0.114665	0.0831847	0.0941122	0.223405	0.266261	0.113987	0.2517	0.112377	0.437358	0.976815	2.47345	10.93583	0.334848	0.383837	0.061455	0.21986	0.3518707	7.91063
170	0	-13144.1	-13116.1	-28.0056	0.9543217	0.268252	0.135991	0.188767	0.149109	0.252943	0.102681	0.255164	0.15651	0.13841	0.278479	0.109015	0.122639	0.217893	0.24146	0.272504	0.345961	0.269284	0.165283	0.254506	0.0682765	0.135122	0.142131	0.374659	0.0290327	0.0728933	0.0744488	0.0229398	0.0392845	0.230722	0.0832143	0.091126	0.0990873	0.132099	0.0302334	0.0252966	0.177558	0.032669	0.0605655	0.0623753	0.195409	0.0734725	0.104244	0.168847	0.127752	0.462578	0.991999	2.41767	9.98014	0.335958	0.376877	0.0624063	0.224759	0.3651634	6.450558
171	1	-13157.2	-13117.6	-39.6161	0.7413882	0.306328	0.138774	0.189413	0.129292	0.169125	0.141487	0.300784	0.200014	0.185778	0.407742	0.156532	0.136137	0.216951	0.213696	0.230041	0.34191	0.332725	0.281771	0.26093	0.128342	0.200987	0.108313	0.541811	0.0137145	0.221242	0.0430825	0.109225	0.0760741	0.0379788	0.0279538	0.157089	0.263396	0.0646438	0.0951495	0.086082	0.0173867	0.0621876	0.0176528	0.0995781	0.15773	0.296086	0.11247	0.202814	0.0830417	0.382421	0.93929	2.59525	10.78868	0.351024	0.375916	0.0577382	0.215322	0.336758	7.480416
172	0	-13147.4	-13110.1	-37.2532	0.7863088	0.315683	0.185183	0.271803	0.195451	0.233909	0.140023	0.259133	0.147299	0.154344	0.363804	0.158202	0.0952154	0.224915	0.242292	0.190421	0.395624	0.242227	0.209775	0.300231	0.0945344	0.146686	0.151213	0.508089	0.00691627	0.0549717	0.0885278	0.0469397	0.0461922	0.148885	0.0879789	0.0609532	0.0990873	0.0940015	0.0827592	0.0625866	0.289975	0.0751358	0.0708482	0.0631423	0.226543	0.0734725	0.147344	0.18176	0.0926422	0.401563	0.953088	2.55271	11.98943	0.356453	0.365245	0.0604803	0.217822	0.3703282	7.234077
