Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-16555.9	-16567.5	11.6049	0.198381	0.185107	0.210247	0.199402	0.18809	0.189949	0.186141	0.144442	0.197409	0.17648	0.133151	0.163922	0.103854	0.117779	0.140291	0.118476	0.160185	0.137588	0.160154	0.137943	0.115567	0.121928	0.1902	0.00794508	0.0055272	0.0184574	0.00733772	0.0115139	0.0394495	0.00417414	0.00858778	0.00221829	0.038711	0.00501691	0.0283793	0.0461945	0.00502609	0.0192014	0.00118123	0.0315685	0.0118938	0.0158858	0.00139032	0.293584	0.314771	0.0673102	0.0495563	0.270781	0.00399821	0.192012	0.245431	0.122463	0.440095	3.986346
110	-16551.7	-16563.7	11.9607	0.198381	0.18561	0.190369	0.183013	0.188738	0.148764	0.179514	0.17761	0.17933	0.172115	0.131706	0.166316	0.0921795	0.0961895	0.153284	0.114063	0.18625	0.166611	0.165053	0.143321	0.123544	0.128102	0.187671	0.00515735	0.00345709	0.0261205	0.00956457	0.00348539	0.0308151	0.00815962	0.00573247	0.00558227	0.0246471	0.0098082	0.0213417	0.0587784	0.00215864	0.0249217	0.000119661	0.0222508	0.0126714	0.0119132	0.00633998	0.284839	0.311061	0.0669693	0.0483312	0.282477	0.00632323	0.192012	0.245431	0.122463	0.440095	3.95076
120	-16544.7	-16557	12.2354	0.165258	0.20522	0.212949	0.19549	0.16325	0.148764	0.179514	0.146949	0.192557	0.161299	0.146144	0.17125	0.0895777	0.0976152	0.147915	0.10994	0.179338	0.145431	0.1777	0.163723	0.123128	0.128102	0.172709	0.0101001	0.00429417	0.0358726	0.00294389	0.00104205	0.0389179	0.00650276	0.0114033	0.00810746	0.0444313	0.00629765	0.0338384	0.0388739	0.00198449	0.022573	0.000125742	0.00790052	0.01173	0.00957141	0.00295564	0.293759	0.285915	0.0690664	0.0498447	0.291322	0.010093	0.193689	0.247575	0.130088	0.428648	3.923291
130	-16543.1	-16556.6	13.5417	0.1721	0.174709	0.18506	0.174373	0.186691	0.146126	0.164792	0.139148	0.184365	0.160464	0.124725	0.143804	0.105403	0.127645	0.148308	0.104805	0.169402	0.14897	0.154756	0.14355	0.111329	0.133088	0.173161	0.0110121	0.00709901	0.0405784	0.00654708	0.0043576	0.031889	0.00931094	0.00639568	0.00556469	0.0373538	0.00203458	0.0323607	0.0464685	0.00461014	0.0273341	0.00017304	0.0166856	0.00677936	0.0143355	0.00499953	0.297793	0.288466	0.0696825	0.042936	0.293921	0.00720211	0.193689	0.247575	0.130088	0.428648	3.79266
140	-16547.1	-16560.1	13.0331	0.167985	0.168669	0.198126	0.18271	0.157857	0.172539	0.175796	0.158839	0.18523	0.189952	0.133893	0.135615	0.0964282	0.0995632	0.153853	0.113108	0.159305	0.15692	0.185122	0.128697	0.130875	0.128649	0.156139	0.00672841	0.00341927	0.0406119	0.0140182	0.00295521	0.0269656	0.00523918	0.00237361	0.00468876	0.0527566	0.00388848	0.0194035	0.037268	0.00588725	0.0204555	0.00127	0.0218088	0.010329	0.019485	0.00809827	0.293273	0.297967	0.0686248	0.0422843	0.28946	0.00839218	0.193689	0.247575	0.130088	0.428648	3.843521
150	-16547.4	-16560.1	12.6425	0.175594	0.153934	0.200494	0.185332	0.184677	0.142699	0.191452	0.141304	0.191035	0.20006	0.121038	0.152407	0.103538	0.108424	0.155255	0.113321	0.164707	0.161246	0.170826	0.13625	0.150755	0.128279	0.168696	0.00157611	0.00230161	0.0369824	0.00752438	0.00503549	0.0304354	0.00242047	0.00289138	0.00789185	0.0328087	0.00337295	0.020367	0.052764	0.0038475	0.0229024	0.00158914	0.0167849	0.00731455	0.0177297	0.00472074	0.301131	0.280919	0.0704636	0.0473614	0.297216	0.00290932	0.193689	0.247575	0.130088	0.428648	3.882583
160	-16548.4	-16561	12.6121	0.159747	0.174674	0.181365	0.189396	0.169541	0.186247	0.169318	0.141539	0.216635	0.19166	0.135731	0.168132	0.131581	0.124646	0.119419	0.108485	0.167592	0.142032	0.167318	0.13625	0.121007	0.143399	0.157001	0.00267004	0.00119113	0.0325162	0.00462248	0.00297883	0.0420268	0.00103588	0.0050115	0.0160905	0.0424992	0.00292735	0.0157621	0.0403229	0.004903	0.0281707	0.00452455	0.012515	0.00633208	0.0130974	0.00371181	0.296064	0.276192	0.0761289	0.0473489	0.292214	0.0120518	0.205117	0.244066	0.128244	0.422572	3.885624
170	-16547.5	-16560.4	12.9227	0.181487	0.168987	0.162773	0.18844	0.151074	0.164862	0.201107	0.160528	0.202524	0.165258	0.135731	0.140979	0.11509	0.118767	0.151093	0.111471	0.167557	0.153815	0.16456	0.122513	0.116617	0.108589	0.171503	0.0103878	0.0010888	0.0214982	0.00978579	0.00499226	0.045619	0.00112341	0.00669265	0.00473335	0.0412539	0.00686288	0.0232474	0.056341	0.00694484	0.0336731	0.00171944	0.00896904	0.0206994	0.0116803	0.0119238	0.298624	0.278581	0.074397	0.0477585	0.294742	0.00589751	0.205117	0.244066	0.128244	0.422572	3.854562
180	-16542.9	-16554.9	12.0018	0.175127	0.167551	0.216336	0.187153	0.193818	0.180914	0.182365	0.146062	0.180929	0.178604	0.135731	0.158432	0.119679	0.116321	0.142885	0.100168	0.160675	0.167535	0.198621	0.117081	0.130099	0.126318	0.171503	0.00669529	0.0012612	0.0280288	0.00229772	0.00240447	0.0409173	0.00118048	0.0112202	0.00611613	0.037199	0.00209365	0.0181206	0.0645221	0.00643542	0.0182111	0.00114009	0.014288	0.00919398	0.015601	0.00582146	0.296889	0.276962	0.0739647	0.047481	0.293029	0.0116737	0.205117	0.244066	0.128244	0.422572	3.946655
190	-16546.7	-16560.2	13.4993	0.175127	0.160987	0.216336	0.186784	0.151231	0.173161	0.172437	0.117893	0.209744	0.140759	0.15669	0.139267	0.131451	0.103688	0.137235	0.0976288	0.162148	0.136447	0.153325	0.135531	0.128611	0.125604	0.170526	0.00683946	0.00181501	0.0280166	0.00188029	0.00894329	0.0385317	0.0012177	0.0140944	0.00321644	0.0489249	0.00420347	0.0253391	0.0646161	0.00421534	0.021432	0.00299375	0.00891996	0.00869924	0.0129441	0.00745121	0.296721	0.279644	0.0746808	0.0479406	0.295866	0.00514838	0.205275	0.243486	0.128343	0.422897	3.796904
