Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-14532.2	-14553	20.786	0.120981	0.0957083	0.0876082	0.0854448	0.0923854	0.0657203	0.126444	0.0748612	0.0907461	0.180461	0.100305	0.0845389	0.0864855	0.0869918	0.109416	0.127608	0.134144	0.10598	0.12052	0.0915069	0.0726107	0.0780784	0.149476	0.00983037	0.0289954	0.0297966	0.0441831	0.058775	0.035682	0.0167518	0.0334184	0.0452342	0.0362565	0.0211727	0.0313238	0.0546098	0.0224004	0.0514029	0.0162138	0.038351	0.0846614	0.027384	0.0137694	0.203908	0.249488	0.0846667	0.0223636	0.433913	0.00566151	0.231642	0.257927	0.185531	0.3249	3.068235
11	1	-14536.3	-14556.8	20.4886	0.126728	0.102849	0.0991907	0.121228	0.102917	0.0648008	0.121456	0.0666352	0.0853601	0.177447	0.0703799	0.0832249	0.0982623	0.0971489	0.111163	0.131277	0.123322	0.0950455	0.137905	0.0823124	0.108617	0.0773518	0.132588	0.0123649	0.0463467	0.0333073	0.0276487	0.00833748	0.0589323	0.0620786	0.0163061	0.0155998	0.0780638	0.0154444	0.0543342	0.0422863	0.0280146	0.0224461	0.023716	0.0240529	0.0359359	0.027928	0.0476147	0.176242	0.357586	0.06279	0.0269443	0.369203	0.00723427	0.232124	0.252649	0.116448	0.398779	3.09797
12	0	-14526.1	-14545.4	19.2291	0.122827	0.0944512	0.104	0.09311	0.127294	0.0768667	0.113844	0.0781438	0.104477	0.193908	0.0855634	0.0679731	0.109668	0.103051	0.11695	0.141194	0.128483	0.0969672	0.12693	0.0845015	0.0875404	0.0916501	0.173446	0.0147898	0.0202068	0.0196501	0.0383164	0.0561532	0.0349647	0.0293542	0.0505696	0.0205583	0.0454428	0.0195163	0.0299726	0.0599411	0.0170439	0.0480103	0.00921396	0.0441313	0.081776	0.0459883	0.0154806	0.19546	0.251415	0.0832864	0.021999	0.426839	0.0210012	0.238525	0.265591	0.161331	0.334553	3.22392
13	1	-14526.6	-14546.3	19.699	0.149188	0.0843486	0.0980932	0.10856	0.101473	0.0539683	0.100135	0.0799436	0.0853601	0.176031	0.0675921	0.0851949	0.101889	0.102294	0.116893	0.148609	0.143082	0.11008	0.123919	0.0780007	0.080508	0.114124	0.182886	0.0166243	0.0488856	0.0204382	0.0286746	0.0215371	0.0515766	0.0555065	0.0236025	0.0129182	0.0918002	0.0158964	0.0557723	0.0326323	0.0313744	0.0246905	0.033379	0.0269116	0.0220477	0.0484288	0.0220662	0.187254	0.349816	0.0614255	0.0278968	0.36118	0.0124278	0.232124	0.252649	0.116448	0.398779	3.176935
14	0	-14516.1	-14535.3	19.1952	0.144859	0.0864861	0.104	0.104462	0.111449	0.0767278	0.119027	0.088222	0.0880573	0.193908	0.0758853	0.0913783	0.0760647	0.113629	0.111597	0.157299	0.11677	0.109041	0.118535	0.08892	0.0980634	0.0888354	0.165468	0.0170638	0.0251399	0.0230586	0.0404225	0.0585494	0.0279235	0.0163915	0.0413164	0.0286964	0.0600042	0.0367852	0.0158877	0.0397505	0.00778514	0.0545524	0.0195263	0.0457849	0.0848972	0.0461124	0.00897989	0.200618	0.25805	0.0745395	0.0225796	0.438102	0.00611131	0.240911	0.250314	0.162945	0.345829	3.227311
15	1	-14512.3	-14531.8	19.4743	0.149188	0.11612	0.114497	0.108566	0.105861	0.060789	0.117572	0.0963161	0.0912734	0.171201	0.0866731	0.0851949	0.106886	0.0839436	0.11136	0.152357	0.128018	0.117588	0.128322	0.0945017	0.0834386	0.0915114	0.162385	0.0129362	0.0482104	0.0242093	0.0306504	0.0181896	0.0505161	0.0291185	0.0278784	0.0180031	0.0749999	0.0293861	0.0392049	0.0467074	0.0215194	0.0191406	0.0171258	0.0316525	0.0269698	0.0414885	0.0279306	0.19801	0.335581	0.0568553	0.025703	0.370741	0.0131095	0.227992	0.244978	0.14036	0.386671	3.199398
16	0	-14518.9	-14538.4	19.4729	0.153465	0.103331	0.0967009	0.10022	0.0982997	0.0798291	0.143029	0.0578045	0.0965958	0.2271	0.073084	0.0798179	0.0767185	0.117842	0.141125	0.121505	0.125356	0.104502	0.135775	0.0812409	0.0827113	0.0813279	0.173352	0.0211801	0.0258894	0.0149	0.0255655	0.0410072	0.024988	0.0229319	0.0429926	0.0326925	0.0322879	0.0289962	0.00844823	0.0488933	0.0227926	0.0531325	0.0176111	0.035069	0.0775416	0.0533483	0.0185416	0.204831	0.26347	0.0761051	0.0247214	0.416966	0.0139062	0.242103	0.23114	0.163751	0.363006	3.199543
17	1	-14513.3	-14534	20.7363	0.119156	0.108105	0.1148	0.104612	0.123199	0.069403	0.10628	0.0963161	0.0778081	0.170903	0.0720161	0.0769254	0.0777027	0.0792157	0.107277	0.13303	0.118571	0.117598	0.141372	0.0819211	0.0834386	0.0802121	0.156523	0.0135105	0.045455	0.0138449	0.0536092	0.0192518	0.0395145	0.0379269	0.0214609	0.00863817	0.101031	0.0321014	0.0335086	0.0339141	0.020511	0.0406255	0.0187187	0.0307331	0.00875243	0.0527904	0.0309241	0.207783	0.286028	0.0595939	0.0346074	0.398246	0.0137409	0.227992	0.244978	0.14036	0.386671	3.073206
18	0	-14502.8	-14522.8	20.0091	0.148604	0.0916379	0.121505	0.104034	0.0936311	0.0770566	0.152694	0.0901917	0.0916971	0.181563	0.0698079	0.0763911	0.0977016	0.108038	0.112542	0.118484	0.114533	0.119165	0.0995531	0.0854448	0.0895511	0.0875841	0.170203	0.0144477	0.0176327	0.0269531	0.0415949	0.0396616	0.0164382	0.0207029	0.0396122	0.035476	0.0389005	0.0275917	0.0158621	0.0510047	0.00841912	0.048296	0.0184248	0.037832	0.0866123	0.0321024	0.026748	0.209826	0.269894	0.0574751	0.0214245	0.427134	0.0142453	0.241894	0.230941	0.16361	0.363556	3.145926
19	1	-14508.7	-14529.2	20.5171	0.128483	0.0871224	0.116585	0.0874108	0.0939402	0.0858994	0.110647	0.0713122	0.0918669	0.167325	0.0735005	0.0716846	0.074203	0.0993285	0.112729	0.157943	0.117742	0.141642	0.127369	0.0644351	0.0791788	0.0822752	0.153494	0.0212745	0.0421579	0.0322981	0.0449217	0.0171669	0.035798	0.0404571	0.0291377	0.019212	0.0731878	0.0283019	0.064162	0.0311478	0.0338226	0.0447674	0.0240182	0.0374749	0.0108815	0.0409908	0.0278243	0.208456	0.286954	0.0597869	0.0347194	0.399536	0.0105474	0.236231	0.243198	0.138639	0.381931	3.095118
20	0	-14503.3	-14524.4	21.0261	0.144476	0.108178	0.0891151	0.0861016	0.0874887	0.0882916	0.12425	0.0703298	0.0938066	0.17445	0.068608	0.0774721	0.0946412	0.0860287	0.106244	0.113308	0.140852	0.120108	0.136418	0.062051	0.0788341	0.0882784	0.139915	0.0139027	0.0267136	0.0183052	0.045046	0.0353196	0.0168754	0.0323865	0.0404301	0.0173118	0.0386797	0.0280953	0.0306002	0.0530631	0.0206184	0.0522508	0.0170328	0.033299	0.0808792	0.0467151	0.0174488	0.208519	0.268213	0.0571171	0.0275198	0.424474	0.0141566	0.267706	0.228768	0.156273	0.347253	3.04422
21	1	-14508.7	-14528.6	19.9529	0.115834	0.120639	0.0983639	0.108245	0.0957995	0.0803216	0.114155	0.0701913	0.0803294	0.173597	0.0895676	0.0748748	0.0972442	0.0993285	0.117047	0.13654	0.13761	0.104532	0.120324	0.0660784	0.0803238	0.0790772	0.189128	0.0193786	0.0490982	0.030671	0.0473026	0.0123176	0.0388705	0.0415049	0.0229786	0.0307421	0.0837118	0.0276451	0.0488196	0.0243198	0.0197215	0.0653004	0.036553	0.014393	0.00767771	0.0516002	0.0297881	0.208224	0.286635	0.0575112	0.0258364	0.411258	0.0105356	0.232766	0.239631	0.15153	0.376073	3.151546
22	0	-14509.8	-14529.7	19.9644	0.105902	0.0990192	0.115109	0.10965	0.101137	0.0651083	0.131053	0.0798894	0.0850581	0.165289	0.079602	0.0792902	0.11437	0.0973057	0.120804	0.153069	0.130888	0.110724	0.152273	0.0689171	0.073963	0.0880434	0.157592	0.014632	0.0253257	0.0275069	0.0424596	0.0480731	0.0377208	0.0102577	0.0457638	0.0303481	0.0509026	0.0248849	0.0141206	0.0314776	0.0179085	0.0526837	0.0144695	0.035605	0.0816069	0.0394387	0.0211483	0.210836	0.271193	0.0528057	0.0216633	0.429189	0.0143139	0.267706	0.228768	0.156273	0.347253	3.150391
23	1	-14495.6	-14516.4	20.7698	0.129048	0.101044	0.0928277	0.0858021	0.099556	0.0782846	0.124225	0.0650831	0.0883833	0.173597	0.0899311	0.0715969	0.0925436	0.113216	0.110946	0.123979	0.131801	0.118444	0.107108	0.0672777	0.0803238	0.0994221	0.173263	0.0194501	0.0377499	0.0286884	0.033563	0.00897196	0.0530997	0.036872	0.0195641	0.0199616	0.0905229	0.0299513	0.0414481	0.0437535	0.0269616	0.0381994	0.0197724	0.0177785	0.00919456	0.0509747	0.0256746	0.206992	0.284939	0.057171	0.0304883	0.408826	0.0115829	0.232766	0.239631	0.15153	0.376073	3.069854
24	0	-14516.2	-14537.3	21.1527	0.119343	0.0880477	0.103402	0.0931457	0.101137	0.0643767	0.119723	0.0601108	0.0804993	0.190547	0.0927148	0.0656544	0.0776881	0.0973057	0.104395	0.124315	0.11969	0.124157	0.14683	0.0794122	0.0868642	0.0817194	0.157592	0.0213742	0.0313992	0.0209028	0.0321129	0.0298379	0.0348239	0.0135074	0.0435813	0.0369279	0.0518178	0.027903	0.00934374	0.0466206	0.0143877	0.0267088	0.025588	0.0394342	0.0762721	0.0547658	0.015584	0.21617	0.278055	0.0541418	0.0368229	0.399931	0.0148789	0.263947	0.225556	0.154079	0.356419	3.031561
25	1	-14505.8	-14527.1	21.2581	0.136172	0.0958279	0.092553	0.0868522	0.101329	0.0863597	0.124225	0.0882675	0.0786034	0.173597	0.0520541	0.0789309	0.0904113	0.099748	0.102018	0.122465	0.0944265	0.106957	0.125862	0.0671826	0.0874796	0.110595	0.149386	0.0149376	0.0530154	0.0208097	0.0358324	0.0239478	0.0406341	0.0410041	0.0267386	0.0267519	0.0850762	0.0281326	0.0500914	0.0322041	0.0213649	0.0446855	0.0163982	0.0261852	0.0177629	0.0263146	0.0378391	0.218305	0.300511	0.061603	0.0223873	0.38606	0.0111341	0.232688	0.239886	0.151479	0.375947	3.021028
26	0	-14503.4	-14523.5	20.1437	0.115928	0.106951	0.103402	0.0922863	0.118144	0.0708472	0.114176	0.102555	0.087738	0.190547	0.0805835	0.0805994	0.102625	0.0967472	0.100738	0.117872	0.125084	0.115163	0.113499	0.0891843	0.0732775	0.0787507	0.178224	0.0194657	0.0239186	0.0272987	0.0447176	0.0443544	0.0197409	0.0173763	0.0483367	0.0265226	0.0342215	0.023673	0.0229205	0.0360143	0.0124056	0.0454847	0.0161451	0.0364035	0.123093	0.0374414	0.018008	0.219933	0.282357	0.0550843	0.0296849	0.399546	0.0133946	0.261841	0.231734	0.152849	0.353575	3.132464
27	1	-14514.1	-14534.4	20.2615	0.138719	0.0960756	0.0630189	0.102937	0.127831	0.077719	0.110892	0.0783248	0.104519	0.173597	0.0746303	0.0791162	0.104905	0.101035	0.113198	0.132637	0.157607	0.0924264	0.116641	0.0702596	0.0811952	0.0823182	0.142233	0.0211056	0.0539787	0.0287559	0.0315273	0.029163	0.0670947	0.0485478	0.0211801	0.0146205	0.0739096	0.0250107	0.0482045	0.0277915	0.0294309	0.0340749	0.0320733	0.0324274	0.0112819	0.0397262	0.0289453	0.21157	0.312693	0.0534286	0.0232949	0.387428	0.0115854	0.231594	0.238758	0.155468	0.37418	3.120685
28	0	-14508	-14528.7	20.6689	0.141999	0.105155	0.126023	0.0867774	0.131221	0.0708472	0.123802	0.06825	0.104087	0.174588	0.0690106	0.0769967	0.0893379	0.104287	0.121262	0.128187	0.09388	0.103699	0.10993	0.0881644	0.0692012	0.086254	0.178224	0.0259454	0.0224925	0.0255361	0.0468505	0.0465342	0.0144233	0.0229469	0.0387855	0.0331984	0.039958	0.0225672	0.021008	0.0393586	0.0166088	0.0381965	0.0295802	0.0231482	0.0734612	0.043873	0.00428746	0.219657	0.282001	0.055015	0.0296476	0.399043	0.0146367	0.24871	0.220113	0.145184	0.385993	3.079943
29	1	-14502.5	-14522.7	20.1973	0.128661	0.0864955	0.090186	0.10186	0.0961137	0.103511	0.118334	0.0707168	0.100764	0.173597	0.0711733	0.0746373	0.118417	0.10057	0.129536	0.124145	0.141768	0.108345	0.103652	0.0815118	0.0923574	0.0935163	0.167761	0.0174372	0.041838	0.0193067	0.0289498	0.0166997	0.049956	0.0480798	0.0156539	0.0233299	0.0957968	0.0182831	0.0403531	0.0312227	0.0195874	0.0386978	0.0203042	0.0204199	0.0175657	0.0478466	0.0381471	0.21157	0.312693	0.0534286	0.0232949	0.387428	0.0115854	0.231594	0.238758	0.155468	0.37418	3.127105
30	0	-14498.6	-14519.6	21.0204	0.1265	0.114713	0.108372	0.09712	0.124753	0.0797379	0.123458	0.0625695	0.085273	0.182429	0.0630346	0.0710904	0.105267	0.0952133	0.0914144	0.127539	0.140548	0.095759	0.115584	0.0783633	0.0982186	0.0835296	0.155117	0.0251525	0.0395738	0.0168366	0.033455	0.0290894	0.0236295	0.0172264	0.0420627	0.0231187	0.0365342	0.0219015	0.0263043	0.0438623	0.0198124	0.0417322	0.0114077	0.0388983	0.0829308	0.0407101	0.00495025	0.21996	0.282391	0.055091	0.0296885	0.399594	0.0132757	0.232568	0.228458	0.162117	0.376857	3.044793
