Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
10	0	-13189.2	-13168.6	-20.5267	0.8542883	0.31133	0.13895	0.166136	0.124152	0.187005	0.104801	0.211235	0.116485	0.136156	0.344122	0.145198	0.106424	0.174667	0.144194	0.14856	0.123533	0.220921	0.201852	0.161718	0.106483	0.129889	0.137312	0.380851	0.0610829	0.0695491	0.021174	0.0204268	0.032072	0.0914553	0.0118323	0.0939805	0.00602392	0.0330694	0.0827165	0.0203208	0.183678	0.13652	0.0796869	0.117505	0.0287488	0.0490607	0.15721	0.0393458	0.0778105	0.222185	0.0662502	0.0149563	0.600762	0.0180363	0.107047	0.428106	0.970932	2.49391	0.322351	0.327815	0.124432	0.225403	0.3283626	5.357433
11	1	-13155.8	-13127.2	-28.5982	0.8983221	0.310349	0.127732	0.194387	0.115059	0.192551	0.154195	0.26921	0.12076	0.13386	0.315255	0.0905079	0.166769	0.181274	0.213704	0.226397	0.324743	0.254353	0.22108	0.236755	0.086866	0.147821	0.102695	0.486367	0.0457896	0.0456878	0.00694143	0.111571	0.0479153	0.0818731	0.0252244	0.0452717	0.0693427	0.00266227	0.0631876	0.130154	0.0517812	0.0308317	0.0645041	0.150383	0.0473647	0.0772558	0.224293	0.169862	0.0546291	0.35394	0.0479578	0.0181593	0.493998	0.031316	0.116247	0.443902	0.980873	2.45898	0.343283	0.367387	0.0715114	0.217818	0.394091	6.164583
12	0	-13161.2	-13137.2	-24.0548	1.173251	0.269066	0.158991	0.185024	0.166378	0.163038	0.125739	0.226855	0.10042	0.179635	0.323309	0.147814	0.116088	0.177651	0.166507	0.194043	0.285349	0.217181	0.198684	0.217265	0.0977568	0.142322	0.119594	0.361512	0.0311875	0.0642205	0.0061598	0.0369646	0.0547026	0.0939688	0.0303624	0.0502089	0.0198455	0.0289922	0.0785566	0.0282144	0.189139	0.137497	0.121166	0.120214	0.0540225	0.0259264	0.136518	0.0621555	0.0738968	0.25061	0.062918	0.0120076	0.570545	0.0300226	0.170172	0.523279	1.02367	2.28287	0.311893	0.346743	0.121419	0.219945	0.3602271	5.710244
13	1	-13139.3	-13109.6	-29.6664	0.8452971	0.285312	0.13994	0.1772	0.122894	0.197566	0.129883	0.188775	0.12418	0.191297	0.366387	0.112154	0.118309	0.257124	0.253982	0.169938	0.260265	0.254655	0.184192	0.263991	0.0885839	0.173583	0.130779	0.456187	0.0266492	0.0850307	0.0142427	0.173318	0.0594252	0.0461239	0.0363467	0.0847507	0.0480701	0.0158061	0.0431994	0.0690198	0.031248	0.0369489	0.0753473	0.137068	0.091244	0.147852	0.186008	0.216533	0.037991	0.345017	0.055319	0.0235081	0.481544	0.0566212	0.105155	0.424751	0.968757	2.50134	0.343283	0.367387	0.0715114	0.217818	0.3421495	6.271408
14	0	-13167.7	-13139	-28.7419	1.077797	0.258715	0.13552	0.204373	0.160433	0.177439	0.111476	0.218272	0.156601	0.17167	0.353071	0.14842	0.126669	0.216139	0.234159	0.248806	0.258532	0.268409	0.238416	0.219299	0.0962734	0.200981	0.0938792	0.404388	0.0500933	0.0415677	0.0106474	0.0444904	0.0700176	0.0655655	0.0573295	0.0696044	0.0135836	0.0339715	0.0459304	0.0480594	0.211348	0.160878	0.162428	0.0977408	0.0616913	0.0504703	0.122321	0.0592785	0.0683959	0.23777	0.0608932	0.0239355	0.578561	0.0304444	0.15221	0.498948	1.01178	2.33706	0.340033	0.329961	0.105385	0.224621	0.3427601	6.178957
15	1	-13142.9	-13102.6	-40.2839	0.7732861	0.290451	0.153184	0.22469	0.1733	0.214127	0.146427	0.301228	0.186845	0.154908	0.389283	0.116227	0.15675	0.232969	0.267918	0.252095	0.31471	0.365566	0.230232	0.28127	0.102378	0.163334	0.123875	0.633403	0.0418041	0.0839839	0.0561041	0.250187	0.0635277	0.0495269	0.0277839	0.0745012	0.0368009	0.0462884	0.0804889	0.0515531	0.0429887	0.03312	0.0917679	0.128919	0.0942563	0.169937	0.225084	0.209361	0.0336956	0.343913	0.0551421	0.0234329	0.480004	0.0638122	0.089863	0.396152	0.949269	2.56472	0.345346	0.363586	0.0719411	0.219127	0.3451077	7.333153
16	0	-13148.8	-13122.1	-26.685	0.8657977	0.278131	0.163781	0.175207	0.114691	0.16423	0.112413	0.236288	0.126924	0.120338	0.291565	0.107785	0.121248	0.2391	0.218038	0.243251	0.308989	0.237644	0.225779	0.25561	0.0483018	0.146457	0.087452	0.523877	0.0502946	0.0689883	0.0126733	0.0282539	0.0759773	0.0494992	0.0228483	0.0789944	0.0266702	0.0338196	0.0708316	0.0366459	0.1383	0.181614	0.123009	0.0985279	0.0447785	0.0421032	0.210512	0.0318223	0.0572385	0.267708	0.0597477	0.0177564	0.567678	0.0298717	0.109463	0.432335	0.973642	2.48456	0.336946	0.352791	0.0876828	0.222581	0.3427601	5.97326
17	1	-13155.1	-13116.9	-38.1945	0.8125627	0.30519	0.167467	0.173838	0.132827	0.275723	0.103066	0.283029	0.109276	0.191333	0.456246	0.0845984	0.187375	0.252381	0.266259	0.192469	0.274064	0.339147	0.249563	0.245135	0.130125	0.143121	0.120356	0.461683	0.064254	0.0747124	0.041008	0.336784	0.0677936	0.0584968	0.032996	0.0796371	0.0431943	0.0313146	0.0445774	0.0477004	0.0879164	0.0376864	0.072542	0.106599	0.0977012	0.245733	0.198917	0.210378	0.0377124	0.315402	0.0586107	0.0191943	0.530888	0.0381929	0.098229	0.412143	0.960376	2.52925	0.345346	0.363586	0.0719411	0.219127	0.3822412	7.124214
18	0	-13148.3	-13116.3	-31.9394	0.9969929	0.276442	0.166999	0.170364	0.148531	0.190782	0.138947	0.187878	0.138424	0.173345	0.284042	0.122526	0.113762	0.28056	0.16397	0.20934	0.318397	0.26866	0.211538	0.228983	0.114335	0.218885	0.123156	0.491986	0.0616279	0.115913	0.0249199	0.0574784	0.0716758	0.0786695	0.0258461	0.0473046	0.01721	0.0380206	0.125926	0.0303433	0.181038	0.161163	0.160086	0.125318	0.0615226	0.0493316	0.294885	0.0285699	0.0460426	0.267672	0.0792118	0.017754	0.567602	0.0217174	0.136353	0.475846	0.9995	2.3883	0.33985	0.355831	0.0884385	0.215881	0.3427601	6.498702
19	1	-13158.6	-13122.6	-36.0014	0.9897993	0.372183	0.170124	0.168697	0.146926	0.290815	0.192932	0.267841	0.153676	0.152097	0.32005	0.072586	0.206791	0.262897	0.266259	0.172133	0.304095	0.323555	0.235472	0.256954	0.11013	0.173227	0.126577	0.571826	0.0384694	0.0612547	0.0322657	0.160393	0.0295057	0.0993454	0.027343	0.0223118	0.0382042	0.0166207	0.0248842	0.0508588	0.0516873	0.0459818	0.0531954	0.15037	0.125273	0.149562	0.196012	0.213525	0.0416207	0.314465	0.0584367	0.0180858	0.529312	0.0380796	0.134914	0.473664	0.998289	2.39313	0.335211	0.370501	0.0709927	0.223295	0.3822412	6.904906
