Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-14771.8	-14781.2	9.49154	0.16906	0.100691	0.0946477	0.100449	0.106682	0.0863997	0.123559	0.0772086	0.0906574	0.189176	0.0824425	0.0873241	0.109247	0.0970937	0.137923	0.122033	0.139109	0.148019	0.114511	0.0794649	0.0962196	0.0688406	0.163589	0.0131786	0.0480203	0.0390119	0.0455594	0.0327813	0.0286157	0.0588349	0.0876701	0.0390964	0.0193325	0.0315617	0.0316324	0.0849004	0.0377885	0.0516501	0.0376283	0.0135478	0.0573909	0.028037	0.0341105	3.795604	0.271778	0.290999	0.0958939	0.341329	3.404695
11	1	-14790.9	-14801	10.0876	0.149072	0.0793099	0.11064	0.0861413	0.106813	0.0914728	0.132045	0.0842934	0.0863434	0.188802	0.0750356	0.0798567	0.107494	0.109859	0.104664	0.127908	0.127659	0.131319	0.135597	0.0749196	0.0917968	0.0996181	0.225362	0.00980961	0.0375261	0.0437437	0.0379788	0.0420752	0.0204301	0.0348397	0.0853269	0.066155	0.0174732	0.0369049	0.0258107	0.0328143	0.0238126	0.027265	0.0261832	0.0670308	0.0460755	0.010756	0.0286623	4.101664	0.285005	0.282623	0.0972591	0.335113	3.326694
12	0	-14775.5	-14786.3	10.7943	0.139173	0.110509	0.100863	0.0873161	0.101229	0.0826881	0.101582	0.0885221	0.0956698	0.169654	0.0968349	0.0851849	0.116217	0.0920719	0.0872321	0.0969122	0.12995	0.114077	0.127611	0.0807709	0.0923959	0.111242	0.176415	0.0185254	0.0485398	0.0346	0.0326592	0.0406206	0.0163478	0.0681375	0.0917866	0.0443573	0.0181272	0.028739	0.0380535	0.0567692	0.0411952	0.0468893	0.02442	0.025057	0.0527043	0.0281823	0.0345831	3.795604	0.275654	0.295149	0.0972616	0.331935	3.274414
13	1	-14768.5	-14779.3	10.7417	0.125852	0.0982201	0.108447	0.105739	0.101909	0.0909275	0.141894	0.0732534	0.0808826	0.20482	0.0777069	0.0971285	0.0943395	0.121714	0.120531	0.13221	0.138344	0.122845	0.123876	0.0685041	0.0843663	0.0610951	0.159887	0.0584513	0.033466	0.031623	0.0443867	0.0404467	0.0358436	0.0347137	0.0897268	0.0728758	0.0215554	0.0298001	0.0222486	0.020517	0.0146098	0.0211035	0.0224172	0.0561366	0.0325853	0.0226655	0.0216189	4.101664	0.277513	0.286253	0.0968158	0.339418	3.261283
14	0	-14775.6	-14785.4	9.76756	0.174749	0.0763873	0.111991	0.097009	0.111057	0.0905665	0.127594	0.0776914	0.0870741	0.179598	0.0684096	0.0838802	0.116383	0.110163	0.107087	0.119617	0.145205	0.11787	0.127611	0.0896351	0.091261	0.0821904	0.165259	0.0125922	0.0442973	0.0507243	0.0464862	0.0157595	0.0208256	0.0563376	0.10974	0.0306455	0.0223109	0.0221432	0.0366524	0.0597885	0.0416579	0.050445	0.0179478	0.0169991	0.0539085	0.0412986	0.0441282	4.199584	0.275573	0.295062	0.0975284	0.331837	3.352977
15	1	-14764.6	-14775.3	10.706	0.147156	0.0860441	0.0975189	0.105739	0.105629	0.079576	0.14354	0.069412	0.09494	0.16204	0.0840301	0.0888011	0.0943395	0.0977018	0.119786	0.128991	0.102419	0.124817	0.133711	0.0776089	0.089908	0.0830645	0.177161	0.0488349	0.0358325	0.0174941	0.0445779	0.0398097	0.0285	0.0452827	0.0972942	0.0382586	0.0182702	0.0298001	0.035397	0.034761	0.022827	0.0335309	0.03351	0.0607607	0.0607728	0.0324068	0.0318556	3.788016	0.277513	0.286253	0.0968158	0.339418	3.283711
16	0	-14780.4	-14790	9.63257	0.130255	0.0982588	0.131971	0.0860248	0.106745	0.0797505	0.108605	0.0809842	0.08035	0.165796	0.0796005	0.0824677	0.116383	0.114815	0.11982	0.129047	0.148588	0.122102	0.137177	0.0874833	0.0808848	0.0742678	0.201047	0.017501	0.0582857	0.0327126	0.0613374	0.016474	0.0179267	0.0567298	0.097162	0.0213466	0.0143289	0.0298541	0.0441753	0.100394	0.0414389	0.0346067	0.0225791	0.0231202	0.0640137	0.0279452	0.0377486	3.935118	0.277196	0.290911	0.0981028	0.333791	3.382102
17	1	-14767.8	-14778.2	10.4366	0.137717	0.103218	0.0912937	0.106195	0.0884005	0.0904415	0.14354	0.0848057	0.101905	0.138905	0.0833897	0.0907914	0.113874	0.120471	0.108496	0.126838	0.129868	0.109589	0.147595	0.0787043	0.0956154	0.0830645	0.177161	0.0745405	0.0387762	0.031369	0.043617	0.0349137	0.0429657	0.022629	0.0887671	0.0653443	0.0162961	0.0215996	0.0244878	0.0257395	0.0188654	0.0357931	0.0231481	0.0525484	0.0401964	0.0256828	0.0242391	3.906949	0.277513	0.286253	0.0968158	0.339418	3.303398
18	0	-14786.8	-14797.3	10.5712	0.1166	0.0716779	0.125717	0.0922511	0.12702	0.101536	0.137158	0.0819758	0.111639	0.169386	0.0853291	0.0962102	0.0872739	0.0917088	0.116383	0.139978	0.148433	0.107877	0.122646	0.0785898	0.109092	0.0637642	0.186418	0.0150072	0.0283842	0.0375438	0.0386397	0.0214827	0.0300334	0.0397311	0.0993177	0.0175145	0.0109342	0.0255432	0.0349742	0.0784756	0.0477113	0.0367974	0.0263262	0.0145289	0.0713759	0.0148036	0.0304453	3.935118	0.282792	0.287734	0.0993286	0.330146	3.288235
19	1	-14765	-14775.9	10.8813	0.131582	0.103802	0.107162	0.100332	0.119651	0.0920118	0.114494	0.0792054	0.0859906	0.172439	0.0680392	0.0739932	0.101852	0.110811	0.106053	0.149163	0.11905	0.120582	0.126337	0.0774476	0.0860677	0.0548408	0.186949	0.0631963	0.0410808	0.0345057	0.0526379	0.0292514	0.024253	0.0357689	0.0694543	0.07207	0.0281712	0.0253322	0.0330858	0.0257911	0.0129356	0.0283034	0.0280444	0.0579289	0.0453997	0.0301023	0.0234301	4.079926	0.277513	0.286253	0.0968158	0.339418	3.248596
20	0	-14780.6	-14790.7	10.071	0.137521	0.0720473	0.118629	0.115151	0.105469	0.0793041	0.138605	0.0994586	0.0920589	0.182648	0.0857763	0.0729426	0.120928	0.101578	0.106865	0.138334	0.148433	0.124551	0.113755	0.0860379	0.0888909	0.0754879	0.163471	0.0101953	0.041491	0.0394203	0.0506413	0.0121885	0.0331088	0.0382175	0.116247	0.027679	0.0230499	0.0289638	0.0399663	0.0519565	0.0402028	0.0343394	0.0242537	0.0339412	0.062699	0.0163842	0.0328409	4.146479	0.282792	0.287734	0.0993286	0.330146	3.325728
21	1	-14775.8	-14785	9.17916	0.141194	0.083454	0.0762807	0.0818229	0.113911	0.082909	0.100286	0.0860198	0.11448	0.176323	0.075106	0.0817993	0.100164	0.10747	0.0959051	0.14963	0.159309	0.135973	0.131019	0.0892823	0.0991065	0.0867626	0.212844	0.0501546	0.0320157	0.0444392	0.0532346	0.0250844	0.037025	0.0427416	0.114799	0.0709145	0.0271326	0.0414253	0.0359104	0.0227644	0.00992678	0.0373285	0.0181027	0.0653705	0.0528014	0.0173372	0.0392542	4.079926	0.279216	0.281875	0.0974097	0.3415	3.418813
22	0	-14777.5	-14787.9	10.4519	0.165887	0.0873148	0.105714	0.0894767	0.109897	0.0793041	0.138605	0.109477	0.0902462	0.159345	0.0770444	0.0893961	0.0888394	0.100246	0.11842	0.134289	0.143095	0.116501	0.123403	0.0860379	0.079257	0.0742339	0.189941	0.0237381	0.0405316	0.0359277	0.0319254	0.0151608	0.0237979	0.0436753	0.109557	0.0266147	0.0171947	0.0167133	0.0373856	0.0570308	0.0542942	0.0475207	0.0362822	0.027454	0.0552255	0.0251875	0.0178874	3.953285	0.284064	0.289028	0.0952772	0.331631	3.299073
23	1	-14775.2	-14784.3	9.102	0.156622	0.095623	0.0974176	0.0815003	0.114787	0.082909	0.115087	0.0838106	0.111803	0.212303	0.0674507	0.0748612	0.0993216	0.107062	0.0934409	0.160991	0.127822	0.13302	0.160111	0.0777109	0.0991065	0.0832276	0.209792	0.0473158	0.0479974	0.0443393	0.0568477	0.032866	0.0236424	0.0295431	0.0840649	0.0515291	0.0255865	0.0265778	0.0454393	0.0195461	0.00918952	0.0307049	0.0179433	0.0593695	0.0592637	0.0183856	0.041597	4.234226	0.279216	0.281875	0.0974097	0.3415	3.417529
24	0	-14781.3	-14791.2	9.89394	0.149966	0.12908	0.102748	0.094753	0.094493	0.0908395	0.131794	0.069153	0.0845282	0.173581	0.0903637	0.0786436	0.101715	0.110839	0.0991411	0.121165	0.143095	0.10079	0.121203	0.111195	0.0956962	0.0834146	0.18946	0.0201457	0.0385674	0.0474524	0.043607	0.0411742	0.0413807	0.0595256	0.0914418	0.0161618	0.0114561	0.0303455	0.0348931	0.061499	0.0385874	0.0397709	0.019297	0.0454925	0.0415157	0.0200714	0.0318497	4.172876	0.284064	0.289028	0.0952772	0.331631	3.34189
25	1	-14779.8	-14789.6	9.74613	0.164186	0.0975194	0.126515	0.0815003	0.0949584	0.07453	0.14287	0.078908	0.107587	0.159548	0.0757345	0.0968815	0.0972128	0.140847	0.107649	0.172911	0.111717	0.108379	0.112386	0.0720353	0.0873535	0.0985311	0.209792	0.0512609	0.0277309	0.0216801	0.0433813	0.0425752	0.0313824	0.0498471	0.083207	0.0712449	0.0206514	0.0273734	0.0219217	0.0358692	0.0124067	0.0459602	0.0296963	0.0448402	0.0426553	0.0202776	0.0136722	4.164075	0.278074	0.282321	0.097564	0.342041	3.357184
