Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-13175	-13141.4	-33.6306	0.9840586	0.375497	0.155811	0.190249	0.167789	0.289192	0.184936	0.159009	0.155509	0.159389	0.343852	0.100151	0.144181	0.211146	0.211519	0.259731	0.296901	0.246471	0.220554	0.225346	0.131159	0.121376	0.0954017	0.454897	0.0353015	0.229376	0.147127	0.0369404	0.0273993	0.197724	0.056673	0.106621	0.0639954	0.0268226	0.0559632	0.217837	0.00425532	0.0955105	0.0219126	0.0490691	0.109974	0.101304	0.0101945	0.17376	0.0506248	0.224729	0.0694935	5.56846e-17	0.620039	0.0351139	0.133762	0.471907	0.997308	2.39702	0.336135	0.34741	0.112874	0.203581	0.3469809	6.667826
110	-13162.4	-13134.6	-27.7185	0.8662293	0.258678	0.152454	0.222497	0.148925	0.208083	0.139658	0.192618	0.126875	0.145497	0.226021	0.113657	0.11754	0.168325	0.180599	0.192796	0.304606	0.270836	0.224161	0.195875	0.0931684	0.152739	0.111221	0.471175	0.0505908	0.150461	0.204702	0.0352689	0.0630409	0.176726	0.0384659	0.0971308	0.0798642	0.0535213	0.0566921	0.198549	0.00409968	0.0419468	0.0185895	0.068179	0.0968492	0.0489948	0.00501882	0.169916	0.0522786	0.199404	0.0717636	3.75895e-15	0.640293	0.0362609	0.109554	0.432492	0.973742	2.48421	0.33848	0.349834	0.106685	0.205001	0.3469809	6.076612
120	-13164.3	-13129	-35.3059	1.056668	0.285456	0.174725	0.187884	0.146772	0.256136	0.148518	0.267842	0.16161	0.198379	0.316748	0.144302	0.149995	0.214945	0.174238	0.198054	0.383251	0.334028	0.277678	0.226787	0.101375	0.152739	0.160629	0.540932	0.035069	0.237844	0.212027	0.0465957	0.0480748	0.157972	0.0623836	0.141037	0.0249425	0.0638994	0.0209745	0.120674	0.0322325	0.059368	0.0331993	0.0360999	0.0748991	0.0528414	0.00662183	0.165579	0.0561597	0.221107	0.0768726	4.02656e-15	0.607019	0.0388424	0.14812	0.493146	1.00879	2.34994	0.33848	0.349834	0.106685	0.205001	0.3469809	6.835358
130	-13170.9	-13139.3	-31.6522	1.023662	0.240379	0.162921	0.188172	0.0895646	0.227694	0.162905	0.262847	0.146871	0.175739	0.303195	0.135263	0.174897	0.22286	0.202853	0.19646	0.240471	0.271955	0.252571	0.262635	0.146179	0.17255	0.0911424	0.540932	0.0701317	0.232253	0.155188	0.0673798	0.061545	0.159065	0.0876983	0.0672487	0.0116077	0.055863	0.0142613	0.105082	0.0253283	0.0409395	0.0327029	0.0447001	0.137262	0.0740756	0.0210226	0.135581	0.0522644	0.221889	0.0619702	8.66568e-14	0.624896	0.0389799	0.141651	0.48375	1.00381	2.37079	0.33848	0.349834	0.106685	0.205001	0.3469809	6.469989
140	-13164.3	-13131	-33.2816	0.8884877	0.276097	0.115258	0.177817	0.112171	0.211266	0.183593	0.279182	0.151053	0.128618	0.334918	0.142214	0.139415	0.240275	0.243337	0.169249	0.312161	0.24556	0.23746	0.25748	0.0704008	0.163185	0.107688	0.498682	0.0822333	0.178607	0.166437	0.0446766	0.0951012	0.224594	0.0709793	0.0723384	0.0319414	0.0822174	0.0137232	0.155671	0.032056	0.0666493	0.035503	0.0938675	0.115423	0.0444899	0.0377536	0.191588	0.0536749	0.260035	0.0649748	1.69667e-13	0.579603	0.041712	0.114203	0.440463	0.978751	2.46658	0.339183	0.35056	0.104829	0.205427	0.3469809	6.63293
150	-13164.6	-13134.3	-30.333	0.9589064	0.252981	0.141997	0.173578	0.108657	0.168664	0.163736	0.200478	0.126214	0.153138	0.346372	0.113534	0.0952142	0.211404	0.227971	0.246658	0.252809	0.358683	0.234906	0.170842	0.114949	0.147571	0.134541	0.4745	0.032688	0.140138	0.226004	0.0587834	0.0551034	0.213899	0.0572707	0.0768544	0.0298813	0.0589372	0.0278877	0.14235	0.0607947	0.0645527	0.035576	0.0715846	0.135908	0.0480419	0.00536657	0.177045	0.0486903	0.240991	0.0643643	1.29897e-13	0.586453	0.0595009	0.128683	0.464042	0.992843	2.41443	0.34134	0.352789	0.105495	0.200376	0.3469809	6.338061
160	-13154.5	-13125.4	-29.134	1.079364	0.313701	0.109314	0.182764	0.130854	0.249171	0.159504	0.188265	0.103036	0.172368	0.292799	0.135725	0.103913	0.191714	0.1885	0.181474	0.344819	0.282921	0.188184	0.212966	0.0925091	0.112416	0.125035	0.464674	0.0621076	0.189207	0.267326	0.0532896	0.0184958	0.166777	0.0830465	0.088327	0.0435271	0.051416	0.0100186	0.171735	0.0255618	0.0736758	0.0809753	0.0521208	0.092436	0.0239042	0.00573414	0.131862	0.0507699	0.251284	0.0671133	8.57694e-14	0.56879	0.0620422	0.152512	0.499372	1.012	2.33612	0.348429	0.360117	0.0869162	0.204538	0.3469809	6.218168
170	-13150.4	-13118.1	-32.3173	0.9447102	0.322653	0.138792	0.181124	0.130854	0.233266	0.143725	0.317148	0.137293	0.122193	0.29954	0.126655	0.15523	0.256927	0.19625	0.210009	0.306477	0.283836	0.200881	0.212966	0.0956772	0.155654	0.103938	0.543572	0.0517624	0.206146	0.146521	0.0507143	0.0355168	0.235833	0.0602151	0.103815	0.0680563	0.0427234	0.0270353	0.160504	0.012073	0.0564331	0.0627107	0.0580137	0.0924582	0.0581472	0.00171317	0.131444	0.0515771	0.253461	0.06528	2.0184e-12	0.577834	0.0518476	0.125794	0.459478	0.990198	2.42453	0.348429	0.360117	0.0869162	0.204538	0.3704043	6.536495
180	-13164.5	-13128.5	-36.0169	1.097128	0.286904	0.168913	0.17693	0.172453	0.220421	0.156322	0.295865	0.168726	0.18898	0.340419	0.111873	0.121899	0.266284	0.216388	0.275569	0.306477	0.300504	0.228002	0.23215	0.0787616	0.175712	0.131234	0.499339	0.0359315	0.165047	0.284321	0.0460522	0.0206555	0.205221	0.0742869	0.122421	0.0163159	0.151651	0.0399048	0.14878	0.041427	0.0409721	0.0631354	0.0480829	0.104627	0.0346923	0.00850692	0.134297	0.0539396	0.26224	0.0607092	2.11086e-12	0.568889	0.0542225	0.155916	0.504118	1.0144	2.32557	0.346178	0.36425	0.0863547	0.203217	0.3704043	6.906452
190	-13160.9	-13125.7	-35.194	1.074174	0.286904	0.153199	0.18812	0.117194	0.296569	0.119884	0.297904	0.158422	0.169153	0.360943	0.125163	0.121629	0.241738	0.212776	0.232889	0.269234	0.3119	0.211452	0.232131	0.102626	0.169368	0.132871	0.538761	0.0519886	0.209974	0.218859	0.0186372	0.03219	0.244079	0.0651999	0.107659	0.0112128	0.101616	0.0386159	0.133009	0.0746083	0.0562849	0.0277246	0.0372976	0.0967402	0.0429458	0.0107112	0.19398	0.0527285	0.256352	0.0593461	4.07536e-12	0.556116	0.0754571	0.151512	0.497965	1.01128	2.33924	0.346569	0.364662	0.0853228	0.203446	0.3704043	6.824163
