Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-20634.8	-20632.8	-1.97833	1	0.0187823	0.0206751	0.02878	0.0871963	0.110975	0.166901	0.0377775	0.00485043	0.0310175	0.157729	0.0173897	0.196561	0.016858	0.341444	0.136474	0.0561726	0.0177956	0.0425784	0.0638056	0.076517	0.114156	0.220201	0.182713	0.00598929	0.0716783	0.0249977	0.0215056	0.189027	0.25802	0.128023	0.00106231	0.0931713	0.029728	0.0530541	0.0721825	0.0873825	0.00161637	0.0690677	0.00965257	0.143126	0.036913	0.00582349	0.0532273	0.0268367	0.105416	0.0332434	0.381985	0.188141	0.264377	0.136954	0.476752	1	2.38629	0.0836034	0.149582	0.248103	0.518713	0.9284753	3.502598
10	-14833.7	-14834.5	0.824497	1.855012	0.0443074	0.0484512	0.0816064	0.0804336	0.123977	0.146369	0.150074	0.0246771	0.14131	0.150672	0.0665608	0.0848224	0.0826268	0.173577	0.101798	0.0950699	0.0177956	0.0839179	0.179359	0.127079	0.181842	0.121485	0.186359	0.00753654	0.0537327	0.0909068	0.0341553	0.0216869	0.091722	0.0232064	0.00334728	0.0675755	0.0146468	0.0132063	0.00779888	0.0663864	0.00147591	0.0145782	0.00368763	0.158769	0.0181079	0.00216256	0.0334564	0.281849	0.253748	0.0226534	0.000213838	0.401114	0.0404223	0.275331	0.638654	1.0659	2.02012	0.191868	0.328023	0.100415	0.379694	0.5267901	3.222315
20	-13937.5	-13931	-6.53742	1.586638	0.135037	0.0720704	0.122636	0.115394	0.156406	0.200436	0.166177	0.100895	0.162128	0.227778	0.10776	0.08074	0.121089	0.129446	0.149345	0.126096	0.042965	0.158933	0.188263	0.0776422	0.148102	0.0989805	0.256029	0.0248814	0.0324971	0.110552	0.0432728	0.0223173	0.0262551	0.00307514	0.000761759	0.0333629	0.0510258	0.0149718	0.00976946	0.137005	0.00593667	0.0247261	0.014691	0.168648	0.0375421	0.02854	0.0243282	0.130349	0.385822	0.062237	0.00156259	0.389714	0.0303153	0.238401	0.60237	1.05513	2.1041	0.311353	0.334909	0.0886937	0.265044	0.5267901	3.958507
30	-13634.1	-13626.4	-7.7621	1.630123	0.167524	0.0841576	0.108719	0.079796	0.125637	0.101297	0.183678	0.185288	0.149684	0.229898	0.100052	0.0948529	0.0951755	0.115538	0.142872	0.20224	0.0542012	0.146746	0.141141	0.0961201	0.116536	0.111663	0.321557	0.0715531	0.0153833	0.0765289	0.0355292	0.0135748	0.0833974	0.0044758	0.00125648	0.0814379	0.0829132	0.0161717	0.0658321	0.129942	0.0108282	0.0663579	0.00944383	0.0871526	0.0120844	0.038301	0.0244397	0.128274	0.379681	0.0612463	0.0174551	0.383511	0.0298328	0.244742	0.608874	1.05723	2.08915	0.300808	0.357433	0.08569	0.256069	0.5267901	4.080975
40	-13217.4	-13204.9	-12.5268	1.056766	0.195954	0.104021	0.147331	0.0813938	0.146305	0.105943	0.157104	0.141904	0.0942991	0.212022	0.0644892	0.125903	0.158075	0.147313	0.163041	0.256264	0.128925	0.148855	0.187075	0.0856053	0.115097	0.0963973	0.364223	0.0459108	0.0537905	0.0613233	0.0379334	0.0582184	0.0394369	0.00413188	0.00579287	0.0845628	0.0307688	0.0129391	0.12256	0.164637	0.05839	0.0717988	0.0238761	0.149736	0.0285354	0.0606558	0.0149094	0.057836	0.331183	0.0608361	0.0424551	0.466686	0.0410045	0.148139	0.493174	1.0088	2.34988	0.361123	0.348636	0.083581	0.20666	0.382407	4.557447
50	-13159.4	-13140.5	-18.9185	1.326541	0.236449	0.124175	0.167932	0.0721394	0.180447	0.0805587	0.197762	0.125268	0.0982927	0.246083	0.114428	0.0814011	0.190149	0.175549	0.169608	0.291447	0.253371	0.181163	0.235199	0.0907122	0.120323	0.116667	0.380468	0.0786157	0.00947452	0.0390161	0.0510173	0.118633	0.0576314	0.0021114	0.00979535	0.0835547	0.0390583	0.0281619	0.0964997	0.193253	0.0406301	0.0756027	0.0668943	0.186254	0.0246232	0.046865	0.0193307	0.0556894	0.341454	0.063414	0.0160057	0.48116	0.0422763	0.197241	0.556884	1.03837	2.2075	0.329821	0.358541	0.0859556	0.225683	0.382407	5.196614
60	-13145.1	-13123.7	-21.3983	1.069379	0.25415	0.113859	0.128821	0.115169	0.242738	0.127428	0.192934	0.115316	0.124176	0.29846	0.128857	0.113669	0.20735	0.19897	0.224448	0.291447	0.245854	0.167879	0.19474	0.095757	0.113781	0.0812387	0.334767	0.111655	0.00646692	0.0483108	0.0725965	0.114064	0.0423704	0.00381346	0.0432388	0.0667806	0.0513989	0.0765831	0.0242532	0.136991	0.0391242	0.0910554	0.131711	0.120005	0.0590441	0.0682833	0.0250439	0.0555877	0.340831	0.0632982	0.0201116	0.493794	0.0263777	0.150585	0.496656	1.01061	2.34215	0.329821	0.358541	0.0859556	0.225683	0.382407	5.444595
70	-13147.6	-13122	-25.6115	1.072379	0.282423	0.162731	0.194214	0.135336	0.170594	0.114567	0.181386	0.16315	0.113021	0.339585	0.121093	0.148228	0.177737	0.181388	0.151595	0.287734	0.216201	0.139051	0.227696	0.0672291	0.146599	0.108543	0.444373	0.136487	0.00910409	0.0310868	0.0573202	0.151426	0.0499499	0.00246645	0.0347133	0.121465	0.0414499	0.0832339	0.048729	0.225472	0.0695296	0.0571083	0.144706	0.169469	0.0578081	0.0683262	0.0315895	0.0517533	0.342667	0.0599303	0.0249558	0.496453	0.0242406	0.151165	0.497476	1.01103	2.34033	0.329821	0.358541	0.0859556	0.225683	0.382407	5.865913
80	-13142.9	-13118.5	-24.4753	0.9638875	0.291244	0.153696	0.142054	0.152444	0.200391	0.0922286	0.194909	0.126608	0.114587	0.26788	0.0922892	0.167298	0.176648	0.155545	0.175415	0.334679	0.217437	0.187064	0.223178	0.0643645	0.141951	0.10522	0.418602	0.162712	0.011911	0.0389643	0.0505309	0.161968	0.0772323	0.006606	0.0379953	0.0707336	0.037193	0.0667954	0.0191701	0.14008	0.0478688	0.0705648	0.175555	0.220024	0.0747471	0.0804591	0.00545467	0.0514962	0.340964	0.0596325	0.0231063	0.493987	0.030814	0.129693	0.465622	0.993749	2.41094	0.320132	0.377385	0.0834305	0.219053	0.382407	5.7523
90	-13143.8	-13116.9	-26.8375	1.020513	0.2647	0.143347	0.199049	0.101124	0.228076	0.126807	0.246025	0.143433	0.11681	0.32524	0.112338	0.127065	0.195524	0.211279	0.220533	0.281796	0.219653	0.175639	0.219005	0.0819865	0.16751	0.123006	0.423182	0.115275	0.00863135	0.0331803	0.0531129	0.184555	0.0675047	0.026537	0.0231043	0.071359	0.0545202	0.0621035	0.020982	0.171121	0.0439842	0.101857	0.191657	0.124073	0.0878076	0.089106	0.00491511	0.0563817	0.287664	0.0612452	0.0201196	0.540852	0.0337374	0.141029	0.482832	1.00332	2.37282	0.320132	0.377385	0.0834305	0.219053	0.382407	5.988512
