Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
10	0	-15808.3	-15820.7	12.4536	0.129074	0.097498	0.0815681	0.100064	0.123508	0.0869879	0.125655	0.0769544	0.09645	0.153444	0.0745961	0.0897908	0.1045	0.0919875	0.101644	0.144593	0.122232	0.103928	0.136356	0.0863629	0.0851547	0.0860388	0.177419	0.0355408	0.0232983	0.0380141	0.0439914	0.0281976	0.0474829	0.0131352	0.036949	0.0636611	0.0413792	0.0277438	0.0366634	0.0632829	0.0334888	0.0339526	0.0309061	0.021641	0.0675801	0.0297758	0.0510548	3.243545
11	1	-15804.7	-15817.6	12.8571	0.138859	0.108939	0.120053	0.0956814	0.112817	0.0812648	0.11077	0.0773824	0.0842301	0.183157	0.0982049	0.0842448	0.0763961	0.103223	0.103134	0.105366	0.138636	0.119101	0.11399	0.0767063	0.106906	0.0797454	0.18004	0.0192135	0.0259973	0.0352447	0.0282239	0.0517843	0.0134735	0.0859084	0.0477309	0.0311942	0.020177	0.0442031	0.0402193	0.0371707	0.0218357	0.0305462	0.0295796	0.0369289	0.0246076	0.036431	0.0438854	3.203201
12	0	-15808.2	-15821.7	13.4305	0.12292	0.118062	0.101676	0.0975034	0.0972023	0.090006	0.111017	0.087257	0.0907117	0.187632	0.058581	0.0748864	0.096613	0.102745	0.0996496	0.112885	0.103578	0.129196	0.122236	0.066394	0.10557	0.0707123	0.192126	0.039036	0.0402192	0.0225536	0.0437548	0.0150032	0.0306731	0.0205936	0.0177768	0.0385718	0.0299748	0.0390581	0.0448551	0.0521056	0.0487808	0.037072	0.0184735	0.0309713	0.0623126	0.0322612	0.0426491	3.145857
13	1	-15807.9	-15820.4	12.5708	0.122075	0.0928836	0.104804	0.0908573	0.102918	0.0819405	0.147383	0.0790409	0.11621	0.17373	0.0718755	0.0802254	0.0763961	0.103223	0.116864	0.106411	0.127458	0.130472	0.123619	0.0810834	0.0808642	0.0963536	0.164249	0.0358153	0.0280395	0.0464529	0.0233925	0.0510124	0.0205231	0.0734422	0.0545154	0.0173551	0.0187659	0.0536939	0.0448554	0.0528513	0.0434082	0.0236882	0.0300544	0.0225905	0.0406443	0.0204701	0.0593167	3.231824
14	0	-15803.1	-15815	11.8578	0.122152	0.112543	0.119473	0.118937	0.115485	0.0719353	0.132739	0.0857125	0.104116	0.146509	0.0777439	0.0908673	0.116413	0.104073	0.107391	0.137151	0.13459	0.109441	0.116636	0.0721862	0.0779057	0.0849312	0.167664	0.0311847	0.047006	0.0313732	0.0487826	0.0410464	0.0456475	0.0319348	0.0114396	0.036393	0.0186805	0.0315368	0.039901	0.0743153	0.0341847	0.0463987	0.0364527	0.0284965	0.0612034	0.0386231	0.0419334	3.303128
15	1	-15811.5	-15823.8	12.2834	0.139259	0.0928836	0.111393	0.119104	0.106948	0.0753749	0.109392	0.0842428	0.0952219	0.17373	0.0665206	0.0868393	0.0801543	0.0892099	0.115474	0.136568	0.1372	0.123508	0.10741	0.0615011	0.0728543	0.0964739	0.171387	0.0327853	0.0264221	0.0724085	0.0353624	0.0547646	0.0160743	0.0838664	0.0734896	0.0238877	0.022085	0.0631106	0.0324374	0.0307807	0.0381261	0.0184988	0.0271847	0.0334407	0.0312181	0.0306108	0.0613611	3.260563
16	0	-15824.1	-15837.8	13.7859	0.141369	0.0817475	0.106015	0.103425	0.1144	0.0759558	0.108878	0.089903	0.124262	0.153758	0.0717707	0.074621	0.0970741	0.104073	0.138371	0.105181	0.13459	0.106411	0.128752	0.0799664	0.123952	0.0732193	0.153183	0.0460585	0.0152959	0.0175339	0.044089	0.0237105	0.0253888	0.0223296	0.0129297	0.0461067	0.0133214	0.0272413	0.0217185	0.0697688	0.0313407	0.0286932	0.0172827	0.036688	0.0431509	0.0324035	0.0443916	3.11032
17	1	-15812.2	-15824.4	12.1292	0.116136	0.0947585	0.117124	0.0940538	0.108498	0.0692383	0.108788	0.0873997	0.110855	0.206467	0.0903264	0.0832107	0.104191	0.088535	0.131529	0.111362	0.13402	0.117883	0.10741	0.0658733	0.119115	0.0770223	0.171387	0.0371001	0.0188084	0.0485339	0.0245213	0.0504752	0.0196453	0.0739014	0.0535815	0.0204976	0.0159132	0.0569126	0.0282426	0.0382649	0.051834	0.017508	0.0321536	0.0300596	0.0359934	0.0441476	0.0627105	3.275987
18	0	-15810.5	-15823.6	13.1198	0.132965	0.0856565	0.087988	0.115672	0.101446	0.0794541	0.138787	0.0651376	0.112176	0.125989	0.0643658	0.0838348	0.109467	0.0824254	0.121052	0.123665	0.130121	0.106411	0.142028	0.0919654	0.0871471	0.0749557	0.159836	0.0530179	0.035235	0.0129582	0.0403202	0.0157457	0.031135	0.0199508	0.0279857	0.0461887	0.0341078	0.0332304	0.030187	0.0912528	0.0247695	0.0478943	0.0212986	0.01773	0.0741808	0.0441663	0.0530336	3.176933
19	1	-15811	-15825	13.9874	0.12366	0.0911685	0.0900121	0.120015	0.123497	0.0956532	0.108089	0.0784747	0.0795879	0.173348	0.0776536	0.063594	0.121444	0.0860981	0.108238	0.128621	0.110265	0.087871	0.105516	0.0658733	0.0888561	0.0822218	0.173339	0.0125691	0.0133599	0.0502851	0.0185216	0.0621028	0.0291685	0.0899482	0.0566105	0.0237207	0.0154503	0.0432423	0.0309792	0.0336934	0.0305594	0.0200465	0.0208494	0.0387152	0.0295897	0.0361229	0.0515357	3.090168
20	0	-15803.7	-15816.2	12.5729	0.12445	0.0983325	0.118894	0.124003	0.0971468	0.0769085	0.138787	0.0805531	0.104315	0.156936	0.0854841	0.0897618	0.104554	0.0936042	0.116332	0.150839	0.127139	0.108333	0.10057	0.0874728	0.0761417	0.0951659	0.140352	0.0311294	0.0348199	0.0241682	0.0362102	0.0167161	0.0231086	0.0328393	0.0234969	0.0619886	0.0242001	0.0370174	0.0388669	0.0851604	0.0258258	0.0508303	0.0445183	0.0146605	0.0435791	0.0366596	0.0497514	3.231621
21	1	-15805.3	-15818.7	13.3972	0.142806	0.0946286	0.0799565	0.0894306	0.111036	0.0550984	0.12628	0.0871459	0.0946307	0.149914	0.0827843	0.0898282	0.0975132	0.096266	0.098219	0.116963	0.114985	0.118767	0.129118	0.0808972	0.11779	0.0936139	0.139481	0.0214911	0.0258293	0.0450859	0.0239387	0.0655335	0.0247578	0.0674231	0.065131	0.0267371	0.014545	0.0523356	0.0364081	0.0327942	0.0407731	0.0289238	0.0362983	0.0354217	0.0208246	0.0350104	0.0427687	3.149184
22	0	-15798.8	-15811.5	12.7318	0.131834	0.104767	0.110123	0.0880769	0.109944	0.0808197	0.13326	0.0761893	0.103199	0.156936	0.0783396	0.0677274	0.102725	0.112371	0.107408	0.132533	0.129812	0.12037	0.104256	0.0949263	0.0886672	0.0830698	0.147408	0.0301078	0.0294847	0.0178701	0.0540685	0.012656	0.0282077	0.0317467	0.0293415	0.0427723	0.0320422	0.0401146	0.0448087	0.0962874	0.0443498	0.0422275	0.0172846	0.0184984	0.0574773	0.0380154	0.043601	3.215724
23	1	-15800.2	-15812.4	12.1638	0.130151	0.0938959	0.0819758	0.102029	0.108092	0.098262	0.12628	0.0639523	0.108234	0.17395	0.0816788	0.0878409	0.110851	0.092505	0.129598	0.130367	0.13394	0.119504	0.122754	0.0776683	0.0934589	0.0936139	0.159496	0.0278396	0.0256954	0.0529189	0.0310892	0.0614735	0.0274448	0.0542892	0.0573795	0.0243077	0.0225781	0.047333	0.0358192	0.0465048	0.0287515	0.0246948	0.0376907	0.0362934	0.0245147	0.0272106	0.058596	3.272523
24	0	-15808.2	-15820.8	12.6296	0.147427	0.109881	0.0889267	0.0765368	0.101683	0.0808197	0.131835	0.0867736	0.0667863	0.188027	0.0831874	0.0943369	0.099478	0.0951632	0.11018	0.1281	0.133457	0.114906	0.121387	0.0961035	0.0956803	0.0780961	0.175096	0.0323874	0.0271427	0.019855	0.0338948	0.0177653	0.0440563	0.0346391	0.0238167	0.0682425	0.0281988	0.0361698	0.0506386	0.062058	0.037921	0.0345654	0.0287025	0.0200121	0.0417958	0.0383883	0.0418337	3.225951
25	1	-15804.3	-15817.6	13.2714	0.111859	0.119814	0.108276	0.0881154	0.143657	0.0642677	0.133721	0.0849723	0.0979706	0.164138	0.0734588	0.0881641	0.0891682	0.0764821	0.120174	0.101149	0.131056	0.130597	0.12046	0.081003	0.0756708	0.0820785	0.162881	0.0202723	0.024932	0.0509549	0.019236	0.0614227	0.0225634	0.0753707	0.0473348	0.0224052	0.0124449	0.0398894	0.0452883	0.0409842	0.0369132	0.0233991	0.0328246	0.0411628	0.026286	0.0280714	0.0408829	3.161772
26	0	-15801.7	-15813.3	11.6036	0.123501	0.0908234	0.0981179	0.125297	0.126583	0.0808197	0.121895	0.100018	0.112172	0.179523	0.0744325	0.102911	0.114828	0.0940424	0.114542	0.10871	0.129358	0.123958	0.134122	0.0689184	0.0956803	0.0800031	0.182073	0.0230255	0.0453124	0.0224871	0.0411319	0.0308709	0.0410222	0.0377415	0.0206937	0.0422516	0.0202569	0.0428821	0.041999	0.0737172	0.0296194	0.0544162	0.026046	0.0281222	0.0491348	0.0263718	0.0491213	3.328551
27	1	-15809.4	-15822.8	13.4025	0.112959	0.121128	0.108276	0.103462	0.126481	0.0813836	0.113041	0.0836076	0.100333	0.16049	0.0671882	0.0717076	0.0967053	0.0835856	0.0982779	0.10931	0.12528	0.139295	0.119852	0.0701435	0.0761683	0.0907837	0.162881	0.0444814	0.0216405	0.057837	0.0215306	0.0611542	0.0149563	0.0863441	0.0472527	0.0377529	0.0177006	0.0391507	0.0316052	0.0354063	0.0179541	0.0298455	0.0224153	0.0445802	0.0276539	0.0216025	0.0454494	3.148653
28	0	-15808.1	-15820.3	12.2918	0.120411	0.0922851	0.0871759	0.0985153	0.109983	0.082965	0.132216	0.0914676	0.093349	0.194637	0.0842672	0.0914867	0.105302	0.0830427	0.118671	0.151265	0.127504	0.0902148	0.142642	0.0809661	0.100267	0.0954202	0.154557	0.0240758	0.0413541	0.0341143	0.0380074	0.0168235	0.0361775	0.0246087	0.0323915	0.0421456	0.0295229	0.0301014	0.0439812	0.061106	0.0238639	0.0414061	0.0352673	0.0190282	0.0752134	0.0207793	0.06115	3.259729
29	1	-15812.2	-15823.8	11.5876	0.127008	0.108063	0.077082	0.129994	0.123333	0.0756812	0.117383	0.0841748	0.107939	0.15064	0.0845309	0.0876766	0.12001	0.122363	0.107807	0.137268	0.134836	0.1167	0.11657	0.0750339	0.0918776	0.103394	0.185764	0.0417684	0.0221309	0.0504224	0.0287889	0.06377	0.0280757	0.0756611	0.0641164	0.0206615	0.00920308	0.0335139	0.0375375	0.047609	0.0263681	0.0296749	0.0362909	0.0265273	0.0410587	0.0336106	0.0282285	3.330145
