Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-14587.2	-14577.2	-10.0541	0.103942	0.0871249	0.0811875	0.0707566	0.0853966	0.0677832	0.117698	0.0596485	0.0779677	0.161099	0.0694035	0.0574724	0.0768627	0.095496	0.117117	0.126408	0.116864	0.085086	0.098427	0.0645863	0.0647212	0.101585	0.168014	0.01757	0.0181144	0.0517346	0.0174183	0.0541	0.0119502	0.0363803	0.0289632	0.0264906	0.0372857	0.0135424	0.00952056	0.0616277	0.0296763	0.047019	0.0243986	0.00758055	0.0180736	0.0232783	0.0686197	0.256849	0.209625	0.0585956	0.0295058	0.429108	0.0163154	0.227181	0.212951	0.188733	0.371135	2.757991
11	1	-14738.1	-14728.7	-9.39737	0.123621	0.0835824	0.120737	0.104166	0.0971018	0.0992306	0.125394	0.0732487	0.0791035	0.189869	0.076905	0.0886654	0.0917692	0.0929725	0.130616	0.00890202	0.22903	0.108791	0.141775	0.0683765	0.0762203	0.104124	0.181298	0.0522104	0.0574789	0.106257	0.0188322	0.0272705	0.00240921	0.0827172	0.0321024	0.0624096	0.0219708	0.0338481	0.0143603	0.0267889	0.0118571	0.0383409	0.0275375	0.0193803	0.0401531	0.0328458	0.0265557	0.238484	0.228576	0.0713637	0.0260238	0.408568	0.026984	0.235643	0.247491	0.152264	0.364602	3.230826
12	0	-14563.2	-14557	-6.20302	0.11445	0.0824814	0.08643	0.0976946	0.0944343	0.0579277	0.117698	0.0676133	0.078938	0.16973	0.073436	0.0637445	0.0950401	0.0883771	0.120157	0.118819	0.132355	0.0879288	0.0984371	0.0837122	0.0863578	0.0811734	0.175872	0.0303254	0.021885	0.0539704	0.0120252	0.0308764	0.0118789	0.0350883	0.0228039	0.025327	0.0413823	0.0129444	0.012544	0.0610668	0.011311	0.0529013	0.0270991	0.0341928	0.0258312	0.0345033	0.0469127	0.254358	0.207593	0.0564266	0.030852	0.424947	0.0258235	0.227181	0.212951	0.188733	0.371135	2.877676
13	1	-14714	-14707.7	-6.35689	0.121569	0.124706	0.130941	0.0981911	0.100829	0.0686432	0.136612	0.069354	0.076618	0.172577	0.076905	0.065478	0.0990263	0.080772	0.0975146	0.0146291	0.205009	0.100997	0.118542	0.0672237	0.0678176	0.109103	0.174712	0.0396317	0.0498978	0.0814113	0.0118663	0.0343646	0.00468944	0.0825408	0.027901	0.0585303	0.0139858	0.0281956	0.00689989	0.0163642	0.0117645	0.0162599	0.0169356	0.0216049	0.0463352	0.0311016	0.0319603	0.236357	0.226537	0.0704694	0.0300254	0.409868	0.0267433	0.239473	0.210318	0.162087	0.388122	3.010011
14	0	-14570.9	-14565.3	-5.56611	0.133797	0.0985879	0.0962936	0.0821183	0.115057	0.0774901	0.115248	0.0772501	0.078938	0.154573	0.0958236	0.0631116	0.111743	0.0839139	0.108873	0.124147	0.144508	0.0933323	0.124947	0.0746716	0.0769722	0.0795313	0.165652	0.0353683	0.0187222	0.0437424	0.0148916	0.0368336	0.00859263	0.0390181	0.0154811	0.0192022	0.038036	0.00963094	0.0134784	0.0691994	0.0213841	0.0547653	0.0302617	0.0333693	0.0237961	0.0343371	0.0559453	0.251378	0.20516	0.0716734	0.0304906	0.41308	0.0282173	0.227181	0.212951	0.188733	0.371135	2.992634
15	1	-14601.9	-14593.9	-7.9397	0.135353	0.0965574	0.0850437	0.101371	0.0869342	0.0683192	0.102131	0.0621767	0.0737565	0.147988	0.0763872	0.0733475	0.0872135	0.0937649	0.0970308	0.0779634	0.158174	0.112463	0.110617	0.102623	0.0997337	0.0698728	0.145009	0.0518286	0.041259	0.0441075	0.0187833	0.0461448	0.00468944	0.0895642	0.0423863	0.0357477	0.00748964	0.033271	0.00487686	0.0222506	0.0143067	0.0198689	0.0137763	0.0206326	0.0584357	0.019614	0.0526652	0.227872	0.267887	0.0679396	0.0275281	0.385992	0.0227824	0.230148	0.212897	0.164074	0.392881	2.905528
16	0	-14561.8	-14554.8	-7.0129	0.113713	0.10878	0.0995461	0.0803467	0.113648	0.0798254	0.101255	0.078095	0.0937321	0.168973	0.061767	0.0746854	0.100934	0.110647	0.0938376	0.0972639	0.140703	0.110538	0.129767	0.0616818	0.0893299	0.0695262	0.165652	0.0353683	0.0201855	0.0408529	0.0132657	0.0383631	0.013969	0.0340196	0.0193598	0.0284778	0.0424558	0.0116163	0.0269816	0.0903263	0.0270891	0.031664	0.0134254	0.0352055	0.0408889	0.036058	0.0414431	0.232975	0.241537	0.0664262	0.0282584	0.404652	0.0261515	0.227181	0.212951	0.188733	0.371135	2.985263
17	1	-14564.4	-14554.6	-9.85886	0.117906	0.120638	0.105761	0.0942026	0.110158	0.0730745	0.128525	0.0709162	0.0953524	0.172604	0.0697076	0.0778144	0.0921171	0.109467	0.089635	0.110475	0.127122	0.112463	0.120615	0.0775572	0.0844531	0.098517	0.192125	0.0541639	0.0456939	0.0197069	0.0189787	0.0366585	0.00665644	0.0965543	0.0422292	0.0620497	0.0271345	0.0416009	0.00572167	0.0195323	0.00838092	0.0105213	0.0143396	0.027453	0.0481777	0.0434872	0.0556211	0.227456	0.267398	0.0678157	0.0293022	0.385287	0.0227409	0.226786	0.224393	0.161678	0.387143	3.135867
18	0	-14565.7	-14557.6	-8.09149	0.111687	0.103084	0.0708526	0.10106	0.0809136	0.0758877	0.117465	0.067644	0.0937321	0.193199	0.0763244	0.0809689	0.105224	0.0823378	0.0938264	0.0945799	0.126356	0.0949143	0.12232	0.0887889	0.0754116	0.0714459	0.16985	0.0286913	0.0182711	0.0379119	0.0147301	0.0309125	0.0185633	0.0439514	0.0199128	0.0234071	0.0512933	0.0232057	0.0125812	0.0773605	0.0212606	0.0293093	0.0277426	0.0301268	0.0280964	0.0433351	0.0677098	0.233731	0.242321	0.0666418	0.028905	0.405965	0.0224364	0.227087	0.213276	0.188655	0.370982	2.946246
19	1	-14559	-14550.7	-8.32257	0.130014	0.0922345	0.12523	0.0873606	0.0906448	0.0781792	0.109864	0.0696563	0.0637831	0.165953	0.0750068	0.0779958	0.0823004	0.0857387	0.103932	0.132225	0.127122	0.101585	0.11037	0.0685488	0.0937214	0.0771017	0.146726	0.0588185	0.0370902	0.0264331	0.014119	0.0221854	0.0123216	0.0646969	0.0419089	0.0553446	0.0350334	0.0200188	0.0164514	0.0136826	0.0113543	0.0389667	0.0236224	0.0229842	0.0431809	0.0322653	0.0177808	0.226623	0.253677	0.0531115	0.029195	0.414735	0.0226576	0.226786	0.224393	0.161678	0.387143	2.903554
