Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-13437.4	-13416.2	-21.2444	0.2967133	0.208824	0.130886	0.123102	0.127974	0.145776	0.131952	0.196066	0.00258069	0.228046	0.315051	0.0673228	0.128605	0.154819	0.169022	0.154971	0.254083	0.00880029	0.178027	0.417749	0.107619	0.11508	0.0803343	0.374598	0.193928	0.0514641	0.0889617	0.0594194	0.031153	0.193589	0.0781081	0.120007	0.0773747	0.0537365	0.0483042	0.00706596	0.0872826	0.145395	0.101735	0.0303555	0.0509823	0.0268151	0.143197	0.0190392	0.0283226	0.730477	0.0170422	0.0185935	0.130257	0.0753078	0.00503249	0.101941	0.590242	3.30279	0.244895	0.409842	0.0393498	0.305913	5.429201
11	1	-13399.4	-13372	-27.3997	0.321134	0.310975	0.000383801	0.156015	0.098976	0.115582	0.143264	0.231679	0.121783	0.127678	0.298784	0.103463	0.142205	0.199049	0.142673	0.194377	0.262156	0.222565	0.209506	0.256904	0.0740697	0.131754	0.0863129	0.516185	0.0235609	0.0875319	0.0351714	0.00352709	0.128587	0.0443484	0.242724	0.0817247	0.32418	0.125484	0.0783274	0.0101768	0.000126689	0.138264	0.063033	0.0835044	0.229975	0.0629357	0.0247706	0.110446	0.0205766	0.763824	0.0170723	0.0625157	0.0957898	0.0402215	0.00716543	0.121004	0.629646	3.24219	0.238378	0.389206	0.03837	0.334046	6.044737
12	0	-13314.3	-13291	-23.2875	0.2922619	0.255297	0.122822	0.125261	0.111101	0.173837	0.138712	0.213044	0.0284607	0.202093	0.292425	0.123502	0.142334	0.196459	0.187156	0.169378	0.257018	0.0931194	0.230829	0.308514	0.0821355	0.0942572	0.0534749	0.405215	0.165902	0.0640202	0.0887828	0.0785318	0.0509762	0.226947	0.0743563	0.0931212	0.0939654	0.0169229	0.0354683	0.0188711	0.0432689	0.112741	0.103005	0.0806911	0.0554706	0.0312964	0.162095	0.0306368	0.0281653	0.726418	0.0169475	0.0250433	0.129533	0.0738928	0.00468864	0.0984904	0.582576	3.31425	0.246139	0.42185	0.0385571	0.293455	5.633516
13	1	-13331.1	-13298.1	-33.0367	0.3132309	0.238519	0.000101848	0.154775	0.225436	0.203554	0.130214	0.221452	0.149973	0.109826	0.458405	0.114858	0.124617	0.230499	0.193052	0.220145	0.349407	0.263158	0.241325	0.256904	0.104499	0.141872	0.133397	0.537051	0.0366478	0.0407705	0.018989	0.0138724	0.139037	0.0363418	0.175198	0.0553922	0.309998	0.242128	0.0918227	0.0495999	0.000133292	0.125121	0.0720592	0.0602363	0.155727	0.0642745	0.0709204	0.0471304	0.0200862	0.74562	0.0166654	0.0610258	0.11734	0.0392629	0.00642979	0.114819	0.617368	3.26138	0.265005	0.43268	0.0426559	0.25966	6.60844
14	0	-13261.8	-13236.3	-25.5275	0.2983843	0.20401	0.0917234	0.171384	0.108504	0.182655	0.0939116	0.215528	0.0580583	0.183457	0.293024	0.095762	0.137022	0.196459	0.194969	0.156186	0.257018	0.247045	0.207147	0.200893	0.106221	0.158621	0.0715244	0.459436	0.18622	0.0662878	0.0944574	0.135714	0.00750476	0.254491	0.0783217	0.0563443	0.0644931	0.039059	0.0878258	0.0679352	0.0351753	0.0527017	0.173113	0.0731984	0.0396454	0.03001	0.18686	0.0375915	0.035695	0.680763	0.0187285	0.0291093	0.164163	0.0715417	0.00516516	0.103239	0.593079	3.29852	0.28633	0.399359	0.0365014	0.27781	5.85751
15	1	-13306.8	-13278.9	-27.9111	0.2476184	0.214214	0.000218415	0.193797	0.132087	0.201819	0.135007	0.277308	0.120406	0.128118	0.390664	0.11142	0.138769	0.173823	0.158707	0.179138	0.341921	0.245407	0.217399	0.224555	0.103267	0.136106	0.0653992	0.451465	0.0114516	0.0464559	0.0246351	0.0225797	0.12659	0.0422183	0.135738	0.0718271	0.326003	0.210783	0.122317	0.0967813	0.000426583	0.126569	0.0298887	0.0426069	0.157257	0.0444231	0.0308788	0.0854324	0.0126042	0.72767	0.0160932	0.0595566	0.114515	0.0695614	0.00200262	0.0649755	0.496436	3.43659	0.262868	0.43972	0.041964	0.255448	6.095879
16	0	-13226.2	-13196	-30.1927	0.295225	0.287231	0.114595	0.247144	0.114307	0.173409	0.148186	0.180784	0.138533	0.175762	0.304311	0.13091	0.134252	0.190632	0.200179	0.198312	0.222776	0.265459	0.195798	0.224465	0.0986618	0.164481	0.111937	0.410212	0.190993	0.0619376	0.0587832	0.179653	0.0126215	0.19224	0.0534091	0.0775897	0.0490717	0.0370383	0.0957183	0.0537917	0.0527836	0.0721139	0.185317	0.101885	0.0300202	0.0595181	0.222933	0.104276	0.0323548	0.61706	0.0331954	0.0276551	0.224888	0.0648471	0.00491597	0.100786	0.587696	3.3066	0.286995	0.400287	0.0541275	0.25859	6.32403
17	1	-13294.2	-13260.1	-34.0712	0.2491752	0.257127	0.000146183	0.146171	0.132195	0.150275	0.187362	0.229155	0.188729	0.12729	0.341605	0.166386	0.121849	0.244248	0.204841	0.202309	0.272491	0.293219	0.269114	0.224555	0.0808742	0.171993	0.0802113	0.543958	0.0304053	0.0514014	0.0159228	0.13219	0.133707	0.069567	0.249839	0.0788068	0.264534	0.237675	0.106738	0.0518538	0.00134492	0.206473	0.0494905	0.0448129	0.175979	0.056496	0.0437147	0.0748301	0.00612985	0.750388	0.0261207	0.061416	0.11809	0.0378553	0.00207354	0.066095	0.499743	3.43209	0.268262	0.448743	0.0437464	0.239249	6.711885
18	0	-13217.1	-13186.4	-30.6765	0.3015049	0.263281	0.095841	0.19011	0.13057	0.196905	0.136376	0.209809	0.136415	0.150388	0.297894	0.1529	0.151536	0.212517	0.237275	0.194224	0.395287	0.236282	0.198019	0.22403	0.0750475	0.17438	0.0856464	0.400881	0.195959	0.0561519	0.0613365	0.167915	0.0277305	0.202931	0.111375	0.0655933	0.0660452	0.0289608	0.0810462	0.0370809	0.0327967	0.076022	0.129152	0.152445	0.0451926	0.0544826	0.182188	0.0523958	0.0358291	0.605096	0.0344402	0.0271189	0.258898	0.0386183	0.00541818	0.105666	0.598322	3.29059	0.286995	0.400287	0.0541275	0.25859	6.372412
19	1	-13281.1	-13243.7	-37.4101	0.2445411	0.273438	0.000141049	0.179687	0.134452	0.169985	0.181923	0.247077	0.120282	0.194273	0.389544	0.0811533	0.204952	0.261938	0.232912	0.147664	0.32943	0.293219	0.175623	0.243237	0.0629467	0.132877	0.119625	0.631037	0.0387841	0.0503682	0.0260949	0.21218	0.087677	0.0523675	0.204952	0.0891678	0.384528	0.167685	0.146494	0.0969657	0.00557017	0.240075	0.0899242	0.0250496	0.146366	0.0780799	0.0208511	0.0751827	0.00990839	0.72698	0.0225981	0.0595001	0.142636	0.0383782	0.00186703	0.0627769	0.489831	3.44552	0.324053	0.414529	0.0404109	0.221007	7.045779
