Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-15418.8	-15433.9	15.0433	0.126212	0.0787936	0.0933467	0.0950156	0.11307	0.0909005	0.132529	0.0947984	0.0928849	0.151584	0.0923266	0.0881212	0.0957048	0.0877488	0.10251	0.134996	0.145453	0.116063	0.111931	0.0674621	0.085568	0.0870233	0.195411	0.0250007	0.0580891	0.048735	0.0389511	0.0445468	0.029672	0.0332735	0.0103334	0.0524791	0.0490266	0.0288726	0.0269815	0.0320601	0.0451623	0.0239507	0.0164152	0.0311336	7.68895e-05	0.030892	0.0586528	0.217827	0.301026	0.100265	0.380882	3.163759
11	1	-15382.6	-15396.7	14.0457	0.13956	0.0813684	0.0909769	0.0911671	0.101514	0.0828957	0.130667	0.0762426	0.109808	0.154007	0.079599	0.106538	0.0784398	0.0987925	0.102841	0.145702	0.147502	0.10454	0.128899	0.0698755	0.0843787	0.0927202	0.177884	0.0660416	0.0462105	0.0302139	0.023229	0.0389203	0.0362067	0.0229163	0.0569413	0.0255883	0.0274131	0.0323283	0.0250797	0.0339665	0.0813649	0.0521008	0.0277635	0.0456987	0.0266101	0.0466663	0.0423367	0.231108	0.29257	0.0935262	0.382796	3.263514
12	0	-15389.1	-15404.6	15.5436	0.127066	0.0777658	0.0933467	0.104784	0.103485	0.103433	0.107509	0.0721237	0.0920712	0.161735	0.0646586	0.083254	0.112434	0.0844119	0.121373	0.13207	0.135926	0.116063	0.111931	0.0644683	0.0775856	0.0919293	0.188293	0.0271082	0.0556357	0.0542288	0.0276239	0.027081	0.0209701	0.0439475	0.0261312	0.0376307	0.0318361	0.0218549	0.030095	0.0304295	0.0389998	0.022477	0.0102237	0.0422547	0.000203948	0.0412769	0.0959975	0.216485	0.299172	0.099648	0.384695	3.113724
13	1	-15383.6	-15398.3	14.6136	0.148931	0.10849	0.118625	0.110921	0.0991127	0.0838608	0.11657	0.0892479	0.0811495	0.139318	0.0799699	0.0798343	0.0962693	0.0916457	0.101243	0.118731	0.132009	0.136383	0.116504	0.0893355	0.0881581	0.0893676	0.171243	0.0466754	0.0243053	0.0166981	0.0197325	0.029997	0.0247279	0.0195968	0.0446348	0.0291841	0.020511	0.0329302	0.0320799	0.0253948	0.0930271	0.0595699	0.0237169	0.0469626	0.0312335	0.0497786	0.0490479	0.225155	0.310791	0.0911172	0.372937	3.206723
14	0	-15388	-15403.4	15.379	0.138267	0.0917453	0.0824777	0.116103	0.101974	0.0844855	0.123071	0.0877256	0.0817406	0.177969	0.0788606	0.0822861	0.0877231	0.0884234	0.111786	0.132107	0.130696	0.121345	0.112148	0.0825824	0.0659408	0.0938126	0.165993	0.0127353	0.0835101	0.0500475	0.0304093	0.0337279	0.0285248	0.0309106	0.0280381	0.0199532	0.0567448	0.0248246	0.0232308	0.0304878	0.0467964	0.0238808	0.0113396	0.0447285	0.000195687	0.0272029	0.0836353	0.216567	0.299285	0.0993079	0.38484	3.130187
15	1	-15378	-15393.5	15.5105	0.0894051	0.115857	0.104285	0.0961788	0.100906	0.0885637	0.119895	0.0846782	0.0880833	0.146586	0.0916238	0.0689004	0.0967256	0.0906236	0.117468	0.110799	0.123929	0.119882	0.120697	0.0731023	0.0995797	0.0853356	0.171478	0.0529484	0.0333329	0.0318921	0.0139635	0.0227557	0.0347228	0.0186307	0.0433367	0.0167034	0.0331183	0.0199095	0.0442856	0.0372023	0.0715511	0.0565294	0.0333795	0.0476316	0.0078766	0.0442896	0.0483953	0.218157	0.311231	0.109267	0.361345	3.117037
16	0	-15375.9	-15390.6	14.6247	0.11228	0.0911926	0.115258	0.114926	0.120739	0.0875753	0.136415	0.0737234	0.105006	0.162454	0.0874398	0.0827381	0.110606	0.0747572	0.105342	0.155522	0.126617	0.115445	0.117241	0.0700013	0.0791766	0.0834723	0.148524	0.021537	0.0399747	0.060976	0.047115	0.0419287	0.0336712	0.0401716	0.0292417	0.0273298	0.0461566	0.0303343	0.0272655	0.0385589	0.0458542	0.020903	0.0366856	0.0367166	0.000179253	0.0320023	0.0725627	0.217917	0.298769	0.0991368	0.384177	3.205615
17	1	-15374.3	-15389.9	15.6112	0.103824	0.11086	0.113016	0.111729	0.107428	0.0938687	0.11743	0.0692485	0.104016	0.154196	0.0711714	0.0748328	0.100633	0.0820216	0.0962054	0.12341	0.133325	0.117903	0.120697	0.0765187	0.0809112	0.0712097	0.179756	0.0464489	0.0411435	0.0286083	0.0154086	0.0288801	0.0373461	0.0123002	0.0393537	0.0237701	0.0269793	0.0168883	0.0351731	0.0289325	0.0719597	0.051996	0.0249717	0.0484353	0.0295575	0.0375561	0.0470432	0.205918	0.321778	0.0987142	0.37359	3.106962
18	0	-15379.5	-15395.1	15.5176	0.128796	0.110473	0.0921593	0.0920138	0.116035	0.0866659	0.124966	0.0823448	0.0686563	0.142484	0.0929073	0.0952381	0.113147	0.113968	0.116253	0.152131	0.115293	0.107744	0.113011	0.0666165	0.0823012	0.0784473	0.151728	0.0229915	0.054469	0.0484926	0.043492	0.0423702	0.0206217	0.0289202	0.035156	0.0314092	0.0377851	0.0244076	0.0240849	0.0235038	0.0348645	0.01636	0.0461746	0.0379742	0.000222495	0.0361798	0.0634609	0.228997	0.294536	0.0977323	0.378734	3.116319
19	1	-15387.1	-15401.2	14.1592	0.127458	0.0953186	0.0958539	0.112752	0.103937	0.0806136	0.11361	0.0609921	0.100738	0.167175	0.108474	0.0846056	0.0796242	0.101172	0.0962054	0.111534	0.151641	0.125401	0.119723	0.0821272	0.0977518	0.0972389	0.175564	0.0392037	0.04114	0.0483351	0.0249161	0.03668	0.0485314	0.0310655	0.0438239	0.0407243	0.0347414	0.0168848	0.0248413	0.040994	0.0793722	0.0288691	0.0396911	0.0312299	0.0272241	0.043049	0.041335	0.214483	0.293567	0.10282	0.38913	3.252162
